route,family,comparison,control_run_id,quantity,axis,scope,control,candidate,relative_change,noninferior_2pct
R1,BRIDGE_PINO,physics_vs_best_available_control,S6_MICROPANEL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_V2_HARD_ZERO_BASE,displacement,X,pooled,0.08684300067011512,0.08560513688854034,-0.014254042030134029,True
R1,BRIDGE_PINO,physics_vs_best_available_control,S6_MICROPANEL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_V2_HARD_ZERO_BASE,displacement,X,P90,0.09763634445079976,0.10048172051134126,0.02914259107657724,False
R1,BRIDGE_PINO,physics_vs_best_available_control,S6_MICROPANEL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_V2_HARD_ZERO_BASE,displacement,X,worst,0.09814061666641456,0.10110473691684861,0.03020278811278776,False
R1,BRIDGE_PINO,physics_vs_best_available_control,S6_MICROPANEL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_V2_HARD_ZERO_BASE,displacement,Y,pooled,0.062015881654656727,0.05836725179393439,-0.05883379810739753,True
R1,BRIDGE_PINO,physics_vs_best_available_control,S6_MICROPANEL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_V2_HARD_ZERO_BASE,displacement,Y,P90,0.09569733406383255,0.0884689806689982,-0.07553348758924516,True
R1,BRIDGE_PINO,physics_vs_best_available_control,S6_MICROPANEL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_V2_HARD_ZERO_BASE,displacement,Y,worst,0.09736942754536719,0.09067174799279262,-0.06878626814822264,True
R1,BRIDGE_PINO,physics_vs_best_available_control,S6_MICROPANEL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_V2_HARD_ZERO_BASE,displacement,Z,pooled,0.05262743005426312,0.04494503342403988,-0.14597704319405425,True
R1,BRIDGE_PINO,physics_vs_best_available_control,S6_MICROPANEL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_V2_HARD_ZERO_BASE,displacement,Z,P90,0.06312299278631973,0.05669399915877323,-0.10184868213250842,True
R1,BRIDGE_PINO,physics_vs_best_available_control,S6_MICROPANEL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_V2_HARD_ZERO_BASE,displacement,Z,worst,0.06382845850375976,0.05878520493794189,-0.07901261731897846,True
R2,MO_PIGNO,physics_vs_best_available_control,S6_MICROPANEL_R2_MO_PIGNO_DATA_ONLY_CONTROL_V2_DETERMINISTIC,displacement,X,pooled,0.10224186688390223,0.09456166566334055,-0.07511796737125997,True
R2,MO_PIGNO,physics_vs_best_available_control,S6_MICROPANEL_R2_MO_PIGNO_DATA_ONLY_CONTROL_V2_DETERMINISTIC,displacement,X,P90,0.12272356098688605,0.10880497460765484,-0.11341413390635335,True
R2,MO_PIGNO,physics_vs_best_available_control,S6_MICROPANEL_R2_MO_PIGNO_DATA_ONLY_CONTROL_V2_DETERMINISTIC,displacement,X,worst,0.1252550933030302,0.1088766824928319,-0.1307604375861502,True
R2,MO_PIGNO,physics_vs_best_available_control,S6_MICROPANEL_R2_MO_PIGNO_DATA_ONLY_CONTROL_V2_DETERMINISTIC,displacement,Y,pooled,0.06346160501506001,0.0652501534175756,0.028183157392428937,False
