epoch,elapsed_s,lr,loss,field_q_loss,field_v_loss,state_q_loss,state_v_loss,physics_loss,effective_physics_weight,data_grad_norm,physics_grad_norm,gradient_cosine,gradient_norm,peak_vram_GiB,score,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,variational_weak_median,variational_weak_p90,hard_BC_max_abs,q_graph_residual_fraction,v_graph_residual_fraction,finite
0,0.6498288000002503,0.0,2.4675588607788086,0.9604617953300476,1.0113012790679932,0.9688670039176941,1.014316439628601,7.184647560119629,0.0,226.9248809814453,nan,nan,0.0,1.5340590476989746,5.889448581359518,0.9385973811149597,0.9830530285835266,0.973354697227478,1.0216891765594482,1.0028289556503296,1.0054130554199219,0.9758119197266083,1.0073319217841912,0.9755977076845642,0.9984636543486829,0.0,0.0,0.0,True
1,0.9912710999997216,0.00016,2.4675588607788086,0.9604617953300476,1.0113012790679932,0.9688670039176941,1.014316439628601,7.184647560119629,0.0,226.92486572265625,nan,nan,226.9248809814453,1.765951156616211,7.863928172980877,2.349439859390259,0.947929322719574,0.8310849666595459,2.4220130443573,1.1037144660949707,0.9958956837654114,0.9716447744697226,1.00603530526587,0.9714161815646661,0.9953580652715639,0.0,0.9343470931053162,1.047960877418518,True
5,1.590639399997599,0.0008,11.035621643066406,7.873634338378906,2.667809009552002,0.9637789726257324,1.0129379034042358,7.447775840759277,0.0,4252.80078125,nan,nan,4252.80126953125,1.765951156616211,7.825115023572452,2.5050268173217773,1.1231918334960938,0.5255652070045471,2.0433552265167236,1.098532795906067,1.2843064069747925,0.9569068172596598,1.002654267583165,0.9416925483355381,0.9780937455050541,0.0,0.9651647806167603,1.016367793083191,True
10,2.295648399995116,0.0007978896645755696,8.812045097351074,5.982749938964844,2.338837146759033,0.9497007131576538,1.0121341943740845,7.317663669586182,0.0,4027.296630859375,nan,nan,4027.29638671875,1.765951156616211,6.342491244094907,1.1923633813858032,0.9349973797798157,0.6488255262374878,2.09676194190979,1.0494275093078613,1.0935742855072021,0.9454668247571913,1.0019125271443643,0.93442255033047,0.9649619185752364,0.0,0.9576261043548584,0.9627065658569336,True
15,3.009774500002095,0.0007915834000556312,4.170989036560059,2.036987066268921,1.6457276344299316,0.9418790936470032,1.0112192630767822,7.1814470291137695,0.0,2052.64453125,nan,nan,2052.64453125,1.765951156616211,5.595744757276523,1.0311803817749023,0.8712981343269348,0.5304115414619446,1.4897987842559814,1.0113887786865234,0.9271460771560669,0.9478465624133023,1.001682634500307,0.942844638371919,0.9838091095607658,0.0,0.9563165903091431,1.0149275064468384,True
20,3.73379869999917,0.0007811551416258089,3.611771583557129,1.3547264337539673,1.7710055112838745,0.9350457787513733,1.0091131925582886,7.33543062210083,0.0,1835.37158203125,nan,nan,1835.37158203125,1.765951156616211,4.977267148934549,0.8434110283851624,0.8284893035888672,0.3877130448818207,1.1387995481491089,0.9726941585540771,0.8398898243904114,0.9425997917354558,0.9987244295928887,0.9264711177196424,1.0041307545261096,0.0,0.9380102157592773,0.9737613797187805,True
25,4.457282099996519,0.0007667271510815446,2.6812024116516113,1.0742835998535156,1.1247929334640503,0.9225640296936035,1.00593900680542,7.443675518035889,0.0,1105.8065185546875,nan,nan,1105.806396484375,1.765951156616211,4.642559655813605,0.7201881408691406,0.7686300277709961,0.34694358706474304,1.0392096042633057,0.9596156477928162,0.7692333459854126,0.9264790031036484,0.9925791959686191,0.9070911901461596,0.9976043523254858,0.0,0.9152274131774902,1.0011482238769531,True
30,5.200161599997955,0.0007484685834203322,2.4240002632141113,0.7693548202514648,1.1786034107208252,0.9032109379768372,1.000956654548645,7.9276628494262695,0.0,1020.6612548828125,nan,nan,1020.6611938476562,1.765951156616211,4.3372116841154185,0.6776263117790222,0.6947985291481018,0.26778897643089294,0.9949014782905579,0.9395837783813477,0.6719362139701843,0.9021814380559064,0.9832113867609007,0.8822620687250371,1.0019599209500238,0.0,0.9044486284255981,0.9901906847953796,True
35,5.930331199997454,0.0007265935036540318,2.555992603302002,1.0301496982574463,1.0589114427566528,0.8737454414367676,0.9939802289009094,9.768599510192871,0.0,933.0516967773438,nan,nan,933.0516967773438,1.765951156616211,4.8015724117988015,1.3771916627883911,0.5942798852920532,0.21112582087516785,0.9613532423973083,0.9672053456306458,0.6115825772285461,0.8633976112298366,0.9710136979702051,0.8608582057044468,1.0145192905367917,0.0,0.8761465549468994,0.9943960905075073,True
40,6.710901499995089,0.0007013583770923271,2.6239399909973145,1.0969727039337158,1.071346402168274,0.8376186490058899,0.9848642945289612,12.723691940307617,0.0,397.1343688964844,nan,nan,397.1343688964844,1.765951156616211,3.930429949948465,0.6455236077308655,0.5333675146102905,0.21201586723327637,0.9474331140518188,0.9287715554237366,0.5805320739746094,0.8334244427646951,0.9554602917685103,0.8270123969173747,1.031985127373625,0.0,0.843676745891571,0.9516733884811401,True
