epoch,elapsed_s,lr,loss,field_q_loss,field_v_loss,state_q_loss,state_v_loss,physics_loss,effective_physics_weight,data_grad_norm,physics_grad_norm,gradient_cosine,gradient_norm,peak_vram_GiB,score,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,variational_weak_median,variational_weak_p90,hard_BC_max_abs,q_graph_residual_fraction,v_graph_residual_fraction,finite
0,0.5702022000041325,0.0,2.4675588607788086,0.9604617953300476,1.0113012790679932,0.9688670039176941,1.014316439628601,7.184648036956787,0.0,142.5508575439453,nan,nan,0.0,1.5304369926452637,5.889448580986552,0.9385973811149597,0.9830530285835266,0.973354697227478,1.0216891765594482,1.0028289556503296,1.0054130554199219,0.9758119194458358,1.0073319215998036,0.9755977076845642,0.998463630662418,0.0,0.0,0.0,True
1,0.861849799999618,0.00016,2.4675588607788086,0.9604617953300476,1.0113012790679932,0.9688670039176941,1.014316439628601,7.184647560119629,0.0,142.5508575439453,nan,nan,142.55084228515625,1.7580041885375977,6.185841419280479,1.0687739849090576,0.961049497127533,0.916297972202301,1.5160123109817505,1.0194027423858643,0.9947103261947632,0.9716405173392424,1.0060335158423113,0.9714080275516687,0.9953540817020512,0.0,0.8107190132141113,1.0555661916732788,True
5,1.464458200003719,0.0008,3.291865825653076,1.5093135833740234,1.2891144752502441,0.96131831407547,1.0124324560165405,7.681486129760742,0.0,728.9345092773438,nan,nan,728.9345092773438,1.7580041885375977,5.782769984949126,1.144307017326355,0.9386520385742188,0.6341320872306824,1.2380253076553345,1.0023095607757568,0.9780111312866211,0.9552888156331367,1.002434052651754,0.9606920977977493,0.9784205649045497,0.0,0.9088340401649475,1.0192731618881226,True
10,2.158855500005302,0.0007978896645755696,2.511361837387085,0.881005585193634,1.1407603025436401,0.9485001564025879,1.0098830461502075,7.946092128753662,0.0,389.5060729980469,nan,nan,389.50604248046875,1.7580041885375977,5.190556945110781,0.8761965036392212,0.9032902717590332,0.48583486676216125,1.0606929063796997,0.9843540787696838,0.9119316339492798,0.9478639761138855,0.9977640345742952,0.944082076812285,0.9728856478977715,0.0,0.9406545162200928,0.9708316922187805,True
15,2.85217140000168,0.0007915834000556312,2.3150441646575928,0.7268702387809753,1.1043787002563477,0.9295541644096375,1.0056267976760864,8.101762771606445,0.0,396.7931213378906,nan,nan,396.7931213378906,1.7580041885375977,4.738409734487095,0.6964725852012634,0.830826461315155,0.39912229776382446,0.9644484519958496,0.963818371295929,0.8550476431846619,0.9274397353026278,0.985782843332009,0.9249043485053219,1.0234412106001958,0.0,0.9333489537239075,0.9530383944511414,True
20,3.620542700002261,0.0007811551416258089,1.9918031692504883,0.5735197067260742,0.9428829550743103,0.9022074341773987,0.9993941187858582,9.955644607543945,0.0,198.759765625,nan,nan,198.75978088378906,1.7580041885375977,4.268512743124092,0.5800006985664368,0.7216587066650391,0.2729298770427704,0.940809965133667,0.9360002279281616,0.7691074013710022,0.8867309619371805,0.9684674033925008,0.920463350386608,1.0559325415040721,0.0,0.886348307132721,0.9444423913955688,True
25,4.331186000003072,0.0007667271510815446,1.8064637184143066,0.45827716588974,0.8854158520698547,0.862186849117279,0.9888959527015686,16.521408081054688,0.0,131.87596130371094,nan,nan,131.87596130371094,1.7580041885375977,3.8520288676461125,0.5301594734191895,0.5664979815483093,0.21378004550933838,0.9116131067276001,0.9059492945671082,0.661916196346283,0.830587217457605,0.9425297017823494,0.8643523681433627,1.1293897481262472,0.0,0.8466818928718567,0.9389948844909668,True
30,5.05282520000037,0.0007484685834203322,1.6632345914840698,0.3915962874889374,0.8269740343093872,0.8059197068214417,0.9727373719215393,19.606983184814453,0.0,74.201416015625,nan,nan,74.201416015625,1.7580041885375977,3.520400024961505,0.46954381465911865,0.4641801714897156,0.17212244868278503,0.9113333821296692,0.8658722639083862,0.5766042470932007,0.7838936715106507,0.9075099441072139,0.8028905415059159,1.0532268333989765,0.0,0.7954005002975464,0.9162633419036865,True
35,5.748439700000745,0.0007265935036540318,1.5645924806594849,0.3534737527370453,0.7898568511009216,0.7390820980072021,0.9459654092788696,23.08030891418457,0.0,73.4355239868164,nan,nan,73.43551635742188,1.7580041885375977,3.223393425188086,0.40933263301849365,0.40923330187797546,0.15105687081813812,0.8555759787559509,0.8265959024429321,0.5367496013641357,0.718270870321491,0.8520780157409567,0.7346826845823259,0.9477741525998606,0.0,0.722990870475769,0.8637783527374268,True
40,6.428797600005055,0.0007013583770923271,1.4886248111724854,0.31803038716316223,0.7813912630081177,0.646795392036438,0.9100176095962524,40.023311614990234,0.0,67.01598358154297,nan,nan,67.01598358154297,1.7580041885375977,2.937842560435831,0.3747861981391907,0.342771977186203,0.12128175795078278,0.851004421710968,0.792629063129425,0.5221993327140808,0.6180954398186139,0.7959815571276074,0.6667362847925912,0.8787462710759119,0.0,0.622326672077179,0.7920252084732056,True
