rank,trial_id,route,noninferior_folds,physical_ratio_worst,ranking_key,decision
1,R4_LHS_03,R4,4,2.4660814330085932e-08,"[0, 0.0, 2.0, 0.13307473781202672, 0.13307473781202672, 0.18562933422399003, 0.19323148855554637, 0.32348527763160206, 0.7032375816575914, 5.916414098187603e-08, 377760, 2.4660814330085932e-08]",PROMOTE_TO_S10
2,R2_LHS_02,R2,1,0.08081256115806888,"[3, 0.0, 1.0, 0.12936560897630733, 0.12936560897630733, 0.16966460983641476, 0.17853249814233635, 0.26586083763670343, 0.6580569101112197, 0.21224590520634304, 396512, 0.08081256115806888]",PROMOTE_TO_S10
3,R6_LHS_04,R6,1,0.0038723897966941876,"[3, 0.0, 1.0, 0.13630784633538454, 0.13630784633538454, 0.1601740201447292, 0.16752847225560855, 0.3060502096344353, 0.4505207907348566, 0.010748722815054495, 279753, 0.0038723897966941876]",PROMOTE_TO_S10
4,R1_LHS_07,R1,1,0.1724743404272367,"[3, 0.0, 3.0, 0.14470893362679613, 0.14470893362679613, 0.2274411578213937, 0.2406943209187854, 0.37261349674049565, 0.7300485864662893, 0.5354850255803967, 301024, 0.1724743404272367]",RETAIN_S9_COMPARATOR
