trial_id,route,variant,fold,run_id,status,best_epoch,selection_key,parameters,peak_vram_GiB,repaired_r4_physics
R2_LHS_02,R2,physics,1,S9_HIGH_R2_LHS_02_FOLD_1_PHYSICS_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,120,"[1.0, 0.12936560897630733, 0.12936560897630733, 0.13397197497547889, 0.13560123303862107, 0.2653697465401903, 0.6580569101112197, 0.1623554073817317, 396512]",396512,2.2717905044555664,False
R2_LHS_02,R2,physics,2,S9_HIGH_R2_LHS_02_FOLD_2_PHYSICS_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,125,"[1.0, 0.10301388256976755, 0.10301388256976755, 0.10985303550112178, 0.11244456165253747, 0.2598142899413318, 0.5066144633703528, 0.21224590520634304, 396512]",396512,2.2717905044555664,False
R2_LHS_02,R2,physics,3,S9_HIGH_R2_LHS_02_FOLD_3_PHYSICS_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,130,"[1.0, 0.10989969345388378, 0.10989969345388378, 0.16966460983641476, 0.17853249814233635, 0.26586083763670343, 0.5318899632514624, 0.1995894991646585, 396512]",396512,2.2717905044555664,False
R2_LHS_02,R2,control,0,S9_HIGH_R2_LHS_02_FOLD_0_CONTROL_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,150,"[1.0, 0.10317694121013377, 0.10317694121013377, 0.12875532118046365, 0.13436752309479155, 0.24877529885076646, 0.5293462359921031, 2.157513133244271, 396512]",396512,2.274031639099121,False
R2_LHS_02,R2,control,1,S9_HIGH_R2_LHS_02_FOLD_1_CONTROL_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,150,"[1.0, 0.11670173808447146, 0.11670173808447146, 0.12406106294403152, 0.1255736231825162, 0.27970316725617017, 0.5634624906854075, 2.243606565680631, 396512]",396512,2.274031639099121,False
R2_LHS_02,R2,control,2,S9_HIGH_R2_LHS_02_FOLD_2_CONTROL_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,145,"[1.0, 0.12062145608108027, 0.12062145608108027, 0.12794053394984567, 0.12972461226805748, 0.28297871647916384, 0.45493377988157746, 3.1322267576760967, 396512]",396512,2.274031639099121,False
R2_LHS_02,R2,control,3,S9_HIGH_R2_LHS_02_FOLD_3_CONTROL_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,130,"[2.0, 0.11354767415672586, 0.11354767415672586, 0.17021614844077623, 0.17855781693405576, 0.28301405918754513, 0.5731575022575571, 4.460531602521553, 396512]",396512,2.274031639099121,False
R4_LHS_03,R4,physics,0,S9_HIGH_R4_LHS_03_FOLD_0_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,125,"[1.0, 0.11191623712944919, 0.11191623712944919, 0.13231983573349881, 0.1366117095756046, 0.25969772983517786, 0.6693911249943694, 0.03250640631592316, 377760]",377760,1.8359789848327637,True
R4_LHS_03,R4,physics,1,S9_HIGH_R4_LHS_03_FOLD_1_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,145,"[1.0, 0.12007250529439532, 0.12007250529439532, 0.13018293866317393, 0.13228448336904972, 0.26011980602664764, 0.6088103816209277, 0.027547584005456486, 377760]",377760,1.8359789848327637,True
R4_LHS_03,R4,physics,2,S9_HIGH_R4_LHS_03_FOLD_2_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,125,"[1.0, 0.12043445218264731, 0.12043445218264731, 0.12609074824756158, 0.1274551534968026, 0.25093591590113795, 0.6564168798400448, 0.02176939781280764, 377760]",377760,1.8359789848327637,True
R4_LHS_03,R4,physics,3,S9_HIGH_R4_LHS_03_FOLD_3_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,130,"[1.0, 0.12426272115181439, 0.12426272115181439, 0.17583979657244575, 0.18332499000412872, 0.27876840751601273, 0.6994823440843375, 0.02544521404255711, 377760]",377760,1.8359789848327637,True
R4_LHS_03,R4,control,0,S9_HIGH_R4_LHS_03_FOLD_0_CONTROL_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,135,"[2.0, 0.12976589896039092, 0.12976589896039092, 0.15593560126737113, 0.16150529537815522, 0.3217819945470306, 0.6446439833611046, 2.3991154626916114, 377760]",377760,1.8359403610229492,False
R4_LHS_03,R4,control,1,S9_HIGH_R4_LHS_03_FOLD_1_CONTROL_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,125,"[1.0, 0.12542910157194834, 0.12542910157194834, 0.1479040066257377, 0.1528496711493814, 0.31937175004807555, 0.673645796157133, 3.0640198784509023, 377760]",377760,1.8359403610229492,False
R4_LHS_03,R4,control,2,S9_HIGH_R4_LHS_03_FOLD_2_CONTROL_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,75,"[2.0, 0.14841796350152028, 0.14841796350152028, 0.17010364428766472, 0.18027142009963426, 0.35119547296070974, 0.6883993102319962, 2.669848615803292, 377760]",377760,1.8359403610229492,False
R4_LHS_03,R4,control,3,S9_HIGH_R4_LHS_03_FOLD_3_CONTROL_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,85,"[2.0, 0.14203775145299852, 0.14203775145299852, 0.19647697058237693, 0.2043370211996467, 0.3552464207803525, 0.7164328039082714, 3.1282182227745294, 377760]",377760,1.8359403610229492,False
