trial_id,variant,quantity,view,model,axis,case_count,pooled_relative_l2,mean_relative_l2,median_relative_l2,p90_relative_l2,worst_relative_l2,mean_rmse,mean_mae,mean_nrmse,mean_r2,mean_peak_amplitude_relative_error,mean_peak_time_abs_error_s
R4_LHS_03,physics,displacement,incremental,S10,X,64,0.06963758918429416,0.07837089305690742,0.07940291471565147,0.11027629455397417,0.13914196886991953,8.378338584424494e-05,4.650372993742139e-05,0.005947161731274191,0.9931892921276584,0.020691362217406084,0.14375
R4_LHS_03,physics,displacement,incremental,B2,X,64,0.06497085990036514,0.0741550185731855,0.07178993203579533,0.10808340636735056,0.13800193841239855,7.840233852058239e-05,4.10382675934579e-05,0.005622063810895545,0.993800620714067,0.017805254760139073,0.12773437499999996
R4_LHS_03,physics,displacement,incremental,S10,Y,64,0.047063356772063636,0.047837174947082804,0.04702322566280094,0.06082887806326448,0.07477496261793228,0.0006712353103026868,0.00033769904240287375,0.005090407462624148,0.9975214079349578,0.054245367091309865,0.09257812500000034
R4_LHS_03,physics,displacement,incremental,B2,Y,64,0.02975722127091477,0.030940231891614763,0.030381373818217587,0.04085088857359957,0.043751501193503226,0.00042818517686313236,0.00023261409468883627,0.003300902711313956,0.9989527964083144,0.01615540614037033,0.018749999999999656
R4_LHS_03,physics,displacement,incremental,S10,Z,64,0.03221381338355883,0.035943955438540565,0.03686347631859306,0.05097506304316783,0.06297006391693662,0.0005159797016857005,0.00032127277054595587,0.007298900623826127,0.9974890747356602,0.03352063053952997,0.12773437499999987
R4_LHS_03,physics,displacement,incremental,B2,Z,64,0.04524229056213449,0.04974898960344576,0.05039492858444661,0.0688108835654065,0.07918174644291572,0.0007256060741069488,0.0004760855267943444,0.010356749125576839,0.9950270796371884,0.014021018674928594,0.2402343750000002
R4_LHS_03,physics,displacement,total,S10_HYBRID,X,68,0.019996060545706143,0.061500552694189206,0.03282023979690221,0.12650876442105646,0.3819923878453377,0.00010413039081427753,5.362828989559732e-05,0.005096982184339641,0.9910923503327443,0.017349002377163792,0.19117647058823534
R4_LHS_03,physics,displacement,total,B2,X,68,0.01814026582695039,0.0556123915459219,0.030282538145069343,0.12245315969919927,0.3819923878453377,9.480009953441817e-05,4.6729377667381214e-05,0.004634425635153428,0.9923782463791182,0.013368644876060319,0.17610294117647066
R4_LHS_03,physics,displacement,total,S10_HYBRID,Y,68,0.034241189981967284,0.03293242148347031,0.0346357459431076,0.042874652841670476,0.04915939842282997,0.0007698989660608715,0.00038818609068667215,0.004950510250011477,0.998610815709291,0.03987811309578101,0.41029411764705914
R4_LHS_03,physics,displacement,total,B2,Y,68,0.02493080638792909,0.023622556344310732,0.021546622418989504,0.03729696768613176,0.0457175689909722,0.000547718153764175,0.000287857075751486,0.003637628778665955,0.9992419762069493,0.015641679784466435,0.3330882352941173
R4_LHS_03,physics,displacement,total,S10_HYBRID,Z,68,0.028833596003982796,0.03219538517725407,0.03067006926578364,0.047362187188576044,0.06418285574239974,0.0005878561699217349,0.0003654147866620715,0.008076749264458843,0.9958822720301765,0.025051773270065955,0.2955882352941175
R4_LHS_03,physics,displacement,total,B2,Z,68,0.0371812033501441,0.03995341345936107,0.040204832860819585,0.055133474835479535,0.06418285574239974,0.0007536197583237025,0.0004993448802811815,0.010185268563248749,0.9939952970509864,0.016757218506566012,0.3415441176470588
R4_LHS_03,physics,velocity,incremental,S10,X,64,0.49591779136501973,0.4763478802662951,0.4357600311962444,0.6523402944954383,0.806280641894472,0.0005618206571235736,0.00030830457199249907,0.009730005726731956,0.7596122803993947,0.10273756493653213,5.1015625
R4_LHS_03,physics,velocity,incremental,S10,Y,64,0.2672962463913221,0.29219810942764085,0.2891964773726986,0.37289015933044345,0.4128500353891861,0.0024753474883679686,0.000951975607615679,0.005357445142807147,0.9112400173396188,0.09041282966224251,5.54375
R4_LHS_03,physics,velocity,incremental,S10,Z,64,0.26085566639906105,0.2643964295088771,0.2627813091065091,0.29479104603030526,0.36820498835053483,0.0018755424959564584,0.0006831975674362153,0.003150525144024695,0.9289673740497155,0.12350293475658825,2.0886718749999997
R4_LHS_03,control,displacement,incremental,S10,X,64,0.07093184492738469,0.0778948930675403,0.07683972587098167,0.11122165634529053,0.1280812900815985,8.441924607836293e-05,4.5560784889907684e-05,0.005915122542285946,0.9932885397180327,0.02262944246109169,0.12773437499999996
R4_LHS_03,control,displacement,incremental,B2,X,64,0.06497085990036514,0.0741550185731855,0.07178993203579533,0.10808340636735056,0.13800193841239855,7.840233852058239e-05,4.10382675934579e-05,0.005622063810895545,0.993800620714067,0.017805254760139073,0.12773437499999996
R4_LHS_03,control,displacement,incremental,S10,Y,64,0.0488650055294628,0.05023992177492058,0.04951999844441182,0.06672777074597423,0.07584277098929831,0.0006996205022000245,0.0003588698440627736,0.005371931624815161,0.9972341612089768,0.04683827470466943,0.17734375000000022
R4_LHS_03,control,displacement,incremental,B2,Y,64,0.02975722127091477,0.030940231891614763,0.030381373818217587,0.04085088857359957,0.043751501193503226,0.00042818517686313236,0.00023261409468883627,0.003300902711313956,0.9989527964083144,0.01615540614037033,0.018749999999999656
R4_LHS_03,control,displacement,incremental,S10,Z,64,0.0426285561280803,0.044686662142366884,0.047375528060596715,0.06095424280211249,0.07279917245820904,0.0006625082686006724,0.0004427990231044688,0.009510829189801272,0.9955743779858538,0.04822635315605099,0.14765625
R4_LHS_03,control,displacement,incremental,B2,Z,64,0.04524229056213449,0.04974898960344576,0.05039492858444661,0.0688108835654065,0.07918174644291572,0.0007256060741069488,0.0004760855267943444,0.010356749125576839,0.9950270796371884,0.014021018674928594,0.2402343750000002
R4_LHS_03,control,displacement,total,S10_HYBRID,X,68,0.020194858322146344,0.061852910872525584,0.03293525549139478,0.13672909321259394,0.3819923878453377,0.00010460948747996349,5.2629133540641714e-05,0.005132102917872074,0.991051318805246,0.020062356063959928,0.20441176470588243
R4_LHS_03,control,displacement,total,B2,X,68,0.01814026582695039,0.0556123915459219,0.030282538145069343,0.12245315969919927,0.3819923878453377,9.480009953441817e-05,4.6729377667381214e-05,0.004634425635153428,0.9923782463791182,0.013368644876060319,0.17610294117647066
R4_LHS_03,control,displacement,total,S10_HYBRID,Y,68,0.035575133602866744,0.033884627588560534,0.032510455801428556,0.046229986710604264,0.06102767368006332,0.000791287437390179,0.0004005721032387152,0.005130406600595209,0.99849318575196,0.037064302192446386,0.4477941176470589
R4_LHS_03,control,displacement,total,B2,Y,68,0.02493080638792909,0.023622556344310732,0.021546622418989504,0.03729696768613176,0.0457175689909722,0.000547718153764175,0.000287857075751486,0.003637628778665955,0.9992419762069493,0.015641679784466435,0.3330882352941173
R4_LHS_03,control,displacement,total,S10_HYBRID,Z,68,0.03635561650018717,0.03794048332728999,0.03698708331957937,0.0579247019692976,0.07565833642350993,0.0007181399365748369,0.0004678037170256889,0.009794328347193902,0.9941302119404438,0.03409581430806812,0.31360294117647064
R4_LHS_03,control,displacement,total,B2,Z,68,0.0371812033501441,0.03995341345936107,0.040204832860819585,0.055133474835479535,0.06418285574239974,0.0007536197583237025,0.0004993448802811815,0.010185268563248749,0.9939952970509864,0.016757218506566012,0.3415441176470588
R4_LHS_03,control,velocity,incremental,S10,X,64,0.46922443438483935,0.4504576912223651,0.41410889789531347,0.6069622420914501,0.6580364819554485,0.0005324846621718722,0.000296676176868747,0.009173821993060206,0.7876074930065982,0.10505471516401643,5.341796875
R4_LHS_03,control,velocity,incremental,S10,Y,64,0.25855161213702943,0.2833359921832318,0.2872990525746418,0.36176747734877807,0.38985239642187686,0.002398367498196014,0.0009661644991999822,0.005201797933716468,0.9166995450329173,0.09814091857131518,6.01640625
R4_LHS_03,control,velocity,incremental,S10,Z,64,0.2638227147771781,0.2680153658370471,0.26945578556774824,0.30365112400081856,0.37787972522692015,0.0018982238416071799,0.0008155155353622879,0.0031755403747061,0.9269398355629638,0.11488552051339179,2.5640625
R2_LHS_02,physics,displacement,incremental,S10,X,64,0.07848598840465752,0.08359463390568925,0.08113787499085318,0.11688210522850394,0.12796279852955694,9.20657860700683e-05,4.9307634896697974e-05,0.00634276771963692,0.9923175831528794,0.025818511063417218,0.11523437499999986
R2_LHS_02,physics,displacement,incremental,B2,X,64,0.06497085990036514,0.0741550185731855,0.07178993203579533,0.10808340636735056,0.13800193841239855,7.840233852058239e-05,4.10382675934579e-05,0.005622063810895545,0.993800620714067,0.017805254760139073,0.12773437499999996
R2_LHS_02,physics,displacement,incremental,S10,Y,64,0.050753130394919604,0.05227063809313102,0.046159696828398905,0.0785185887374897,0.09853789746560893,0.0007214805087601011,0.00037451393809817047,0.00559912104466319,0.996891874151866,0.045064008711210926,0.14296875
R2_LHS_02,physics,displacement,incremental,B2,Y,64,0.02975722127091477,0.030940231891614763,0.030381373818217587,0.04085088857359957,0.043751501193503226,0.00042818517686313236,0.00023261409468883627,0.003300902711313956,0.9989527964083144,0.01615540614037033,0.018749999999999656
R2_LHS_02,physics,displacement,incremental,S10,Z,64,0.041719702792326084,0.04268722574256118,0.04213864687859036,0.05772008927054709,0.06781009300866181,0.0006442165345202865,0.00043449624369810833,0.009362183477576374,0.9956712991765513,0.01972039020827175,0.25468749999999984
R2_LHS_02,physics,displacement,incremental,B2,Z,64,0.04524229056213449,0.04974898960344576,0.05039492858444661,0.0688108835654065,0.07918174644291572,0.0007256060741069488,0.0004760855267943444,0.010356749125576839,0.9950270796371884,0.014021018674928594,0.2402343750000002
R2_LHS_02,physics,displacement,total,S10_HYBRID,X,68,0.02168779121188284,0.06412532026933318,0.03652589136252781,0.14322085600101328,0.3819923878453377,0.00011243980187260706,5.6105713192076785e-05,0.005271024799546509,0.9907845906144646,0.019533358247216276,0.20036764705882362
R2_LHS_02,physics,displacement,total,B2,X,68,0.01814026582695039,0.0556123915459219,0.030282538145069343,0.12245315969919927,0.3819923878453377,9.480009953441817e-05,4.6729377667381214e-05,0.004634425635153428,0.9923782463791182,0.013368644876060319,0.17610294117647066
R2_LHS_02,physics,displacement,total,S10_HYBRID,Y,68,0.0364933674367093,0.0347234972199813,0.03394695142687494,0.04736092262088971,0.05671794329269398,0.0008125712966037879,0.00041687027470422525,0.005259730552828907,0.9984294653359065,0.03481907411593997,0.43014705882352944
R2_LHS_02,physics,displacement,total,B2,Y,68,0.02493080638792909,0.023622556344310732,0.021546622418989504,0.03729696768613176,0.0457175689909722,0.000547718153764175,0.000287857075751486,0.003637628778665955,0.9992419762069493,0.015641679784466435,0.3330882352941173
R2_LHS_02,physics,displacement,total,S10_HYBRID,Z,68,0.03558923879117675,0.036818345567337984,0.03707032617423174,0.05073746345328161,0.06443755669156379,0.0007059237340363144,0.0004659652989097872,0.009666226171410372,0.9943197168007072,0.018974956985321784,0.3518382352941176
R2_LHS_02,physics,displacement,total,B2,Z,68,0.0371812033501441,0.03995341345936107,0.040204832860819585,0.055133474835479535,0.06418285574239974,0.0007536197583237025,0.0004993448802811815,0.010185268563248749,0.9939952970509864,0.016757218506566012,0.3415441176470588
R2_LHS_02,physics,velocity,incremental,S10,X,64,0.5300445740013032,0.5060994245653058,0.47809140705256303,0.6755031118133076,0.7362526731566028,0.0005993056411638053,0.00033029516745707423,0.010324317689697968,0.7313066594636011,0.1051971160957352,5.398828125
