run_id,trial_id,outer_fold,inner_fold,phase,variant,epoch,status,trainer_provenance
S10_INNER_R4_LHS_03_OUTER_3_INNER_3_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,3,3,inner,physics,100,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_OUTER_R4_LHS_03_OUTER_3_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,3,,outer,physics,85,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_OUTER_R4_LHS_03_OUTER_3_OUTER_OOF_CONTROL_SEED_20260813,R4_LHS_03,3,,outer,control,85,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_INNER_R2_LHS_02_OUTER_3_INNER_0_PHYSICS_SEED_20260813,R2_LHS_02,3,0,inner,physics,90,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_INNER_R2_LHS_02_OUTER_3_INNER_1_PHYSICS_SEED_20260813,R2_LHS_02,3,1,inner,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_INNER_R2_LHS_02_OUTER_3_INNER_2_PHYSICS_SEED_20260813,R2_LHS_02,3,2,inner,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_INNER_R2_LHS_02_OUTER_3_INNER_3_PHYSICS_SEED_20260813,R2_LHS_02,3,3,inner,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_OUTER_R2_LHS_02_OUTER_3_OUTER_OOF_PHYSICS_SEED_20260813,R2_LHS_02,3,,outer,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_OUTER_R2_LHS_02_OUTER_3_OUTER_OOF_CONTROL_SEED_20260813,R2_LHS_02,3,,outer,control,95,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_INNER_R6_LHS_04_OUTER_3_INNER_0_PHYSICS_SEED_20260813,R6_LHS_04,3,0,inner,physics,90,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_INNER_R6_LHS_04_OUTER_3_INNER_1_PHYSICS_SEED_20260813,R6_LHS_04,3,1,inner,physics,85,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_INNER_R6_LHS_04_OUTER_3_INNER_2_PHYSICS_SEED_20260813,R6_LHS_04,3,2,inner,physics,85,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_INNER_R6_LHS_04_OUTER_3_INNER_3_PHYSICS_SEED_20260813,R6_LHS_04,3,3,inner,physics,85,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_OUTER_R6_LHS_04_OUTER_3_OUTER_OOF_PHYSICS_SEED_20260813,R6_LHS_04,3,,outer,physics,85,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_OUTER_R6_LHS_04_OUTER_3_OUTER_OOF_CONTROL_SEED_20260813,R6_LHS_04,3,,outer,control,85,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_INNER_R4_LHS_03_OUTER_4_INNER_0_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,4,0,inner,physics,100,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_INNER_R4_LHS_03_OUTER_4_INNER_1_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,4,1,inner,physics,70,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_INNER_R4_LHS_03_OUTER_4_INNER_2_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,4,2,inner,physics,85,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_INNER_R4_LHS_03_OUTER_4_INNER_3_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,4,3,inner,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_OUTER_R4_LHS_03_OUTER_4_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,4,,outer,physics,80,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_OUTER_R4_LHS_03_OUTER_4_OUTER_OOF_CONTROL_SEED_20260813,R4_LHS_03,4,,outer,control,80,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_INNER_R2_LHS_02_OUTER_4_INNER_0_PHYSICS_SEED_20260813,R2_LHS_02,4,0,inner,physics,90,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_INNER_R2_LHS_02_OUTER_4_INNER_1_PHYSICS_SEED_20260813,R2_LHS_02,4,1,inner,physics,90,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_INNER_R2_LHS_02_OUTER_4_INNER_2_PHYSICS_SEED_20260813,R2_LHS_02,4,2,inner,physics,85,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_INNER_R2_LHS_02_OUTER_4_INNER_3_PHYSICS_SEED_20260813,R2_LHS_02,4,3,inner,physics,75,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_OUTER_R2_LHS_02_OUTER_4_OUTER_OOF_PHYSICS_SEED_20260813,R2_LHS_02,4,,outer,physics,70,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_OUTER_R2_LHS_02_OUTER_4_OUTER_OOF_CONTROL_SEED_20260813,R2_LHS_02,4,,outer,control,70,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_INNER_R6_LHS_04_OUTER_4_INNER_0_PHYSICS_SEED_20260813,R6_LHS_04,4,0,inner,physics,90,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_INNER_R6_LHS_04_OUTER_4_INNER_1_PHYSICS_SEED_20260813,R6_LHS_04,4,1,inner,physics,80,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_INNER_R6_LHS_04_OUTER_4_INNER_2_PHYSICS_SEED_20260813,R6_LHS_04,4,2,inner,physics,85,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_INNER_R6_LHS_04_OUTER_4_INNER_3_PHYSICS_SEED_20260813,R6_LHS_04,4,3,inner,physics,75,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_OUTER_R6_LHS_04_OUTER_4_OUTER_OOF_PHYSICS_SEED_20260813,R6_LHS_04,4,,outer,physics,70,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
S10_OUTER_R6_LHS_04_OUTER_4_OUTER_OOF_CONTROL_SEED_20260813,R6_LHS_04,4,,outer,control,70,PASS_S10_FOLD_TRIAL_EXECUTION,CURRENT_TRANSIENT_IO_RETRY_TRAINER
