trial_id,variant,quantity,view,axis,metric,paired_mean_difference,ci95_low,ci95_high,probability_improvement
R4_LHS_03,physics,displacement,incremental,X,case_relative_l2,0.004215874483721907,0.0016641462809254038,0.006823839969765331,0.0012
R4_LHS_03,physics,displacement,incremental,Y,case_relative_l2,0.016896943055468037,0.014424151093169918,0.019494346930600353,0.0
R4_LHS_03,physics,displacement,incremental,Z,case_relative_l2,-0.013805034164905191,-0.015555712030882424,-0.012099649582631546,1.0
R4_LHS_03,physics,displacement,total,X,case_relative_l2,0.005888161148267303,0.0023662838564816155,0.00972041665447563,0.0004
R4_LHS_03,physics,displacement,total,Y,case_relative_l2,0.009309865139159573,0.007452759372896335,0.011187180929500369,0.0
R4_LHS_03,physics,displacement,total,Z,case_relative_l2,-0.007758028282106993,-0.009531740890606545,-0.005993581527329932,1.0
R4_LHS_03,control,displacement,incremental,X,case_relative_l2,0.003739874494354781,-0.0007565637747340577,0.008251032930291658,0.0517
R4_LHS_03,control,displacement,incremental,Y,case_relative_l2,0.01929968988330582,0.01689052251567897,0.02176646889365274,0.0
R4_LHS_03,control,displacement,incremental,Z,case_relative_l2,-0.005062327461078877,-0.008464078621253542,-0.0016682622834342132,0.9993
R4_LHS_03,control,displacement,total,X,case_relative_l2,0.006240519326603695,0.001968694745972368,0.010840301355293762,0.0021
R4_LHS_03,control,displacement,total,Y,case_relative_l2,0.010262071244249799,0.008529561439912674,0.011940431088076027,0.0
R4_LHS_03,control,displacement,total,Z,case_relative_l2,-0.002012930132071076,-0.004767847557888954,0.0007891441344271528,0.9221
R2_LHS_02,physics,displacement,incremental,X,case_relative_l2,0.009439615332503728,0.003856724329412402,0.015106470652688381,0.0003
R2_LHS_02,physics,displacement,incremental,Y,case_relative_l2,0.021330406201516258,0.018145916050598385,0.024885535609555778,0.0
R2_LHS_02,physics,displacement,incremental,Z,case_relative_l2,-0.007061763860884579,-0.01040849122570537,-0.003483110956828021,1.0
R2_LHS_02,physics,displacement,total,X,case_relative_l2,0.008512928723411287,0.004287545155128459,0.013059596311717167,0.0
R2_LHS_02,physics,displacement,total,Y,case_relative_l2,0.011100940875670566,0.009055713228956245,0.013174014703099578,0.0
R2_LHS_02,physics,displacement,total,Z,case_relative_l2,-0.003135067892023082,-0.00564433183038475,-0.000562640682109423,0.9923
R2_LHS_02,control,displacement,incremental,X,case_relative_l2,0.00845968592876854,0.002727350761459404,0.014646534833718083,0.0013
R2_LHS_02,control,displacement,incremental,Y,case_relative_l2,0.022144345060828026,0.01852488321480982,0.02604763270703839,0.0
R2_LHS_02,control,displacement,incremental,Z,case_relative_l2,-0.002358742532477203,-0.007458836213474117,0.0029513725174368285,0.8134
R2_LHS_02,control,displacement,total,X,case_relative_l2,0.008112112570099613,0.004483567330939605,0.012084803114442695,0.0
R2_LHS_02,control,displacement,total,Y,case_relative_l2,0.01190557391972249,0.009934876408985617,0.013964952393249781,0.0
R2_LHS_02,control,displacement,total,Z,case_relative_l2,6.066989668113214e-05,-0.0035303140950519096,0.004117652419567463,0.5024
R6_LHS_04,physics,displacement,incremental,X,case_relative_l2,0.002908403043494658,-0.00077014975914182,0.006646270820052367,0.0646
R6_LHS_04,physics,displacement,incremental,Y,case_relative_l2,0.019530017713618487,0.014801029106862576,0.024653293428842406,0.0
R6_LHS_04,physics,displacement,incremental,Z,case_relative_l2,-0.003361988729371718,-0.009396146480618574,0.002905397489855831,0.8584
R6_LHS_04,physics,displacement,total,X,case_relative_l2,0.005661942100032015,0.0020307361800556405,0.009406652263842132,0.001
R6_LHS_04,physics,displacement,total,Y,case_relative_l2,0.010258546448067866,0.007612555329459113,0.012993113888030951,0.0
R6_LHS_04,physics,displacement,total,Z,case_relative_l2,0.000321367580411054,-0.003779865656963652,0.004644721404695105,0.4573
R6_LHS_04,control,displacement,incremental,X,case_relative_l2,0.0034723672996618254,-0.0009493003560672498,0.00781378798187474,0.0631
R6_LHS_04,control,displacement,incremental,Y,case_relative_l2,0.018678803088517285,0.015697491429023037,0.021617521848843052,0.0
R6_LHS_04,control,displacement,incremental,Z,case_relative_l2,-0.0033545537091097303,-0.007177529586771337,0.00040240966126987095,0.9585
R6_LHS_04,control,displacement,total,X,case_relative_l2,0.0062170340147729855,0.0019190533347370623,0.010573985160561102,0.0017
R6_LHS_04,control,displacement,total,Y,case_relative_l2,0.010053130639177092,0.007985449660905808,0.01206999206580635,0.0
R6_LHS_04,control,displacement,total,Z,case_relative_l2,-0.0004928308758719866,-0.003189179316910699,0.002099873012363436,0.6395
