trial_id,variant,case_id,base_case_id,active_train_load,quantity,axis,view,model,relative_l2,squared_error_sum,target_squared_sum,absolute_error_sum,sample_count,rmse,mae,nrmse,r2,correlation,peak_amplitude_relative_error,peak_time_abs_error_s,predicted_peak_node_zero_based,target_peak_node_zero_based
R4_LHS_03,physics,BASE_C2_0T,BASE_C2_0T,False,displacement,Y,total,S10_HYBRID,0.0457175689909722,0.22931694075390066,109.71597869070649,162.4884068873859,614912,0.0006106770310304062,0.0002642466025827857,0.014064589383914953,0.9971750760585211,0.9986331055014156,0.021061725007432038,12.325000000000001,236,236
R4_LHS_03,physics,BASE_C2_0T,BASE_C2_0T,False,displacement,Y,total,B2,0.0457175689909722,0.22931694075390066,109.71597869070649,162.4884068873859,614912,0.0006106770310304062,0.0002642466025827857,0.014064589383914953,0.9971750760585211,0.9986331055014156,0.021061725007432038,12.325000000000001,236,236
R4_LHS_03,physics,BASE_C2_0T,BASE_C2_0T,False,velocity,Y,incremental,S10,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C2_0T,BASE_C2_0T,False,displacement,Z,incremental,S10,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C2_0T,BASE_C2_0T,False,displacement,Z,incremental,B2,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C2_0T,BASE_C2_0T,False,displacement,Z,total,S10_HYBRID,0.06418285574239974,0.13662062139034248,33.16486112401237,161.34321495507243,614912,0.0004713588265232685,0.0002623842353947759,0.0228848793994319,0.9538005295980667,0.9780371790391355,0.05454259984732091,4.975,443,443
R4_LHS_03,physics,BASE_C2_0T,BASE_C2_0T,False,displacement,Z,total,B2,0.06418285574239974,0.13662062139034248,33.16486112401237,161.34321495507243,614912,0.0004713588265232685,0.0002623842353947759,0.0228848793994319,0.9538005295980667,0.9780371790391355,0.05454259984732091,4.975,443,443
R4_LHS_03,physics,BASE_C2_0T,BASE_C2_0T,False,velocity,Z,incremental,S10,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C3_0T,BASE_C3_0T,False,displacement,X,incremental,S10,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
R4_LHS_03,physics,BASE_C3_0T,BASE_C3_0T,False,displacement,X,incremental,B2,0.0,0.0,0.0,0.0,614912,0.0,0.0,0.0,1.0,nan,0.0,0.0,0,0
