epoch,elapsed_s,lr,loss,qfield_loss,vfield_loss,q32_loss,v32_loss,gradient_norm,score,peak_vram_GiB,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,rotation_X_relative_l2,rotation_Y_relative_l2,rotation_Z_relative_l2,rotation_rate_X_relative_l2,rotation_rate_Y_relative_l2,rotation_rate_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,hard_BC_max_abs,finite
0,0.5470703999963007,0.0,2.579723358154297,1.0407203435897827,1.0227349996566772,1.0527894496917725,1.0122822523117065,0.0,5.851461858726684,1.9214520454406738,1.0760977268218994,0.9909115433692932,0.8594692349433899,1.0221819877624512,1.0027580261230469,1.0174963474273682,0.9270708560943604,1.1203715801239014,1.1163884401321411,1.003816843032837,1.0149198770523071,1.0044841766357422,0.8961516524761277,1.0152270409190807,0.0,True
1,0.9507268999950611,0.00016,2.579723358154297,1.0407203435897827,1.0227349996566772,1.0527894496917725,1.012282371520996,2.9380266666412354,5.797601317426769,2.185873508453369,1.0390161275863647,0.9773992896080017,0.8625433444976807,1.018601655960083,1.000935673713684,1.0163354873657227,0.9221904873847961,1.1096149682998657,1.104393482208252,1.003523588180542,1.0137327909469604,1.0042616128921509,0.8942343116771369,1.0129436710756803,0.0,True
5,1.3457406999950763,0.0008,2.341001033782959,0.8507424592971802,1.0032731294631958,0.9408926367759705,1.0070487260818481,1.8823717832565308,5.205546700350878,2.185873508453369,0.8152968883514404,0.7605078816413879,0.8330284953117371,0.9899862408638,0.9813025593757629,1.0058428049087524,0.8397842645645142,1.0388381481170654,0.9879880547523499,1.000952124595642,1.0070592164993286,1.002764344215393,0.8132033740682453,0.9898885168078192,0.0,True
10,1.800765499996487,0.0007978896645755696,1.9756419658660889,0.5618646144866943,0.9740195870399475,0.7536022067070007,1.0054290294647217,2.7771482467651367,4.214871646761188,2.185873508453369,0.6751886606216431,0.46901121735572815,0.590735673904419,0.9537817239761353,0.9497351050376892,0.9882574677467346,0.6346774697303772,0.9084944725036621,0.8947454690933228,0.9992605447769165,1.0034550428390503,1.0024230480194092,0.5583060414671489,0.9514858100639387,0.0,True
15,2.242906100000255,0.0007915834000556312,1.7045278549194336,0.3512616455554962,0.9399357438087463,0.6615294814109802,0.9917923212051392,3.1428020000457764,3.4318565348991275,2.185873508453369,0.5647898316383362,0.32049277424812317,0.35866880416870117,0.9062597155570984,0.9067407250404358,0.9686384797096252,0.4696049392223358,0.6235600709915161,0.8664670586585999,0.9988644123077393,1.005837321281433,1.0015403032302856,0.34560467951698126,0.9029619703468119,0.0,True
20,2.6752739999938058,0.0007811551416258089,1.5152757167816162,0.22453810274600983,0.9032205939292908,0.5819700360298157,0.9680980443954468,1.811947226524353,2.8443894343710334,2.185873508453369,0.4880543053150177,0.23166488111019135,0.1858483999967575,0.8697482347488403,0.8549607992172241,0.9359003901481628,0.3461112976074219,0.36466720700263977,0.8224287033081055,0.9972984790802002,1.0083634853363037,1.0011849403381348,0.190360546951027,0.8363131778818531,0.0,True
25,3.1322801999995136,0.0007667271510815446,1.3877522945404053,0.16961367428302765,0.8766869902610779,0.43403130769729614,0.9317755103111267,0.9645875096321106,2.656892635461852,2.185873508453369,0.4219329357147217,0.20572106540203094,0.1703851968050003,0.8594778776168823,0.8309338092803955,0.9004964828491211,0.333633154630661,0.3108205199241638,0.7157843708992004,0.993496298789978,1.0016406774520874,0.9977783560752869,0.1695991762326278,0.787600352868544,0.0,True
30,3.696602799995162,0.0007484685834203322,1.2879977226257324,0.13513284921646118,0.8506361246109009,0.3266894221305847,0.8822258114814758,0.7168433666229248,2.3739019039590494,2.185873508453369,0.3874751627445221,0.17715893685817719,0.0876198261976242,0.8716479539871216,0.8075328469276428,0.8413559794425964,0.29140761494636536,0.26686447858810425,0.659911036491394,0.9848535656929016,0.9934186339378357,0.9944785237312317,0.10304757971596969,0.7166640165281523,0.0,True
35,4.176393099995039,0.0007265935036540318,1.2023576498031616,0.11618196964263916,0.8183913826942444,0.24796411395072937,0.8231730461120605,0.5649489164352417,2.2012237119181153,2.185873508453369,0.3313591480255127,0.16714893281459808,0.0768648013472557,0.8807397484779358,0.7879592776298523,0.7670165300369263,0.28633353114128113,0.22622109949588776,0.6352068781852722,0.959940493106842,0.9839622378349304,0.9926412105560303,0.08936287464942738,0.6372603540179287,0.0,True
40,4.749338999994507,0.0007013583770923271,1.115494728088379,0.10276336967945099,0.7723586559295654,0.20121189951896667,0.7602787017822266,0.49739834666252136,2.0487609553462245,2.185873508453369,0.29161471128463745,0.15967214107513428,0.07705939561128616,0.8776739835739136,0.7699277400970459,0.6732747554779053,0.28164857625961304,0.19911305606365204,0.6076422929763794,0.9068698883056641,0.9730022549629211,0.9889578223228455,0.08543538244845764,0.5490821707045533,0.0,True
45,5.2781025000003865,0.000673059062521458,1.0235024690628052,0.09477336704730988,0.7137562036514282,0.1713584065437317,0.6885331869125366,0.5188148617744446,1.9159848704091533,2.185873508453369,0.26612749695777893,0.15275423228740692,0.08199045062065125,0.8450826406478882,0.7558808922767639,0.5814195275306702,0.271128386259079,0.1892346292734146,0.5908370614051819,0.8298712968826294,0.9638576507568359,0.9844881892204285,0.08608934013673149,0.4756636403578473,0.0,True
50,5.806296299997484,0.0006420273435304578,0.9412696361541748,0.0882217288017273,0.6613981127738953,0.15376724302768707,0.6128320693969727,0.424579381942749,1.7837747918310671,2.185873508453369,0.2508341073989868,0.1455436646938324,0.07581716775894165,0.8049290180206299,0.7452945709228516,0.5015939474105835,0.2598574161529541,0.1890690177679062,0.5723517537117004,0.7647220492362976,0.9560754895210266,0.9793668389320374,0.07907089978873792,0.4132003680270717,0.0,True
55,6.25615889999608,0.0006086270386519245,0.8705692291259766,0.08085063844919205,0.6213451623916626,0.14047814905643463,0.5330154895782471,0.3534088730812073,1.666589274418622,2.185873508453369,0.22696787118911743,0.14709214866161346,0.07009796798229218,0.7686342000961304,0.7374776601791382,0.4305603504180908,0.25451815128326416,0.1824953407049179,0.5482664108276367,0.7208938002586365,0.9477307200431824,0.9737977385520935,0.07713737657906619,0.35391560931970584,0.0,True
60,6.671351199998753,0.0005732497359223691,0.8175573945045471,0.07480453699827194,0.5935689210891724,0.12910984456539154,0.4676259160041809,0.29479408264160156,1.5631688148486247,2.185873508453369,0.21323581039905548,0.13776269555091858,0.061574265360832214,0.7509909272193909,0.7301939129829407,0.37585002183914185,0.24416883289813995,0.1737918257713318,0.5320558547973633,0.6854134202003479,0.9414457678794861,0.9682515263557434,0.06771679044343351,0.3087236441472966,0.0,True
