epoch,elapsed_s,lr,loss,qfield_loss,vfield_loss,q32_loss,v32_loss,gradient_norm,score,peak_vram_GiB,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,rotation_X_relative_l2,rotation_Y_relative_l2,rotation_Z_relative_l2,rotation_rate_X_relative_l2,rotation_rate_Y_relative_l2,rotation_rate_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,hard_BC_max_abs,finite
0,0.5643889000057243,0.0,2.5790343284606934,1.040144681930542,1.022733211517334,1.0523918867111206,1.0122343301773071,0.0,5.850381518164835,1.9214520454406738,1.0756088495254517,0.9906278252601624,0.859336256980896,1.0223361253738403,1.002698540687561,1.0174716711044312,0.9268780946731567,1.1200059652328491,1.1161928176879883,1.0038069486618042,1.014866590499878,1.0044699907302856,0.8959703086417734,1.01517021834727,0.0,True
1,0.9269335999997566,0.00016,2.5790343284606934,1.040144681930542,1.022733211517334,1.0523918867111206,1.0122343301773071,2.92657732963562,5.796570793512528,2.185873508453369,1.0387274026870728,0.9771039485931396,0.8623306155204773,1.01874577999115,1.0008816719055176,1.0163114070892334,0.9219698309898376,1.1093405485153198,1.1042494773864746,1.0035130977630615,1.0136882066726685,1.0042494535446167,0.8939942797852111,1.0128902348673525,0.0,True
5,1.3078295000013895,0.0008,2.340703010559082,0.8504606485366821,1.0032795667648315,0.9408025145530701,1.0070483684539795,1.8809683322906494,5.20476763194917,2.185873508453369,0.8151642680168152,0.7602466344833374,0.8328348398208618,0.9900075197219849,0.98131263256073,1.005843997001648,0.8396015763282776,1.0388225317001343,0.9878760576248169,1.000949501991272,1.0070449113845825,1.0027621984481812,0.8129912040122832,0.9898972219473824,0.0,True
10,1.718178800001624,0.0008,1.975171446800232,0.561485230922699,0.9739927649497986,0.7534083127975464,1.0053656101226807,2.776301622390747,4.213133524550808,2.185873508453369,0.6752681136131287,0.46850886940956116,0.590092122554779,0.953718900680542,0.9496968984603882,0.9882596135139465,0.6341462135314941,0.9082561731338501,0.8945860266685486,0.9992408156394958,1.003429889678955,1.0024147033691406,0.5576932107693245,0.9514670037531529,0.0,True
15,2.133706100001291,0.0008,1.70330810546875,0.35040709376335144,0.9397411346435547,0.6609753370285034,0.9916640520095825,3.1496219635009766,3.425995556106595,2.185873508453369,0.5647819638252258,0.31935134530067444,0.3564954400062561,0.9059370756149292,0.9064009785652161,0.9684615731239319,0.46830034255981445,0.6216120719909668,0.8662933707237244,0.9988552927970886,1.005866289138794,1.0015405416488647,0.3436860659399373,0.9025618547649247,0.0,True
20,2.546249400002125,0.0008,1.512923240661621,0.22323621809482574,0.9027042388916016,0.5802900195121765,0.9676409959793091,1.824837565422058,2.834828216597558,2.185873508453369,0.4869500696659088,0.23009692132472992,0.18298518657684326,0.8696029186248779,0.8542118668556213,0.9351061582565308,0.3446386158466339,0.3621494770050049,0.8209569454193115,0.9972521066665649,1.008360505104065,1.0012062788009644,0.1878067328214518,0.8350576686802188,0.0,True
25,2.954001199999766,0.0008,1.3837347030639648,0.16825518012046814,0.8757274746894836,0.4289417564868927,0.930066704750061,0.9544953107833862,2.6489329712239895,2.185873508453369,0.4204452931880951,0.20556621253490448,0.16832247376441956,0.8597427606582642,0.829976499080658,0.8983840346336365,0.332933634519577,0.30975639820098877,0.7121552228927612,0.9932856559753418,1.0012787580490112,0.9975983500480652,0.16804524125342432,0.7850042065937342,0.0,True
30,3.3464103000005707,0.0008,1.2810118198394775,0.13356274366378784,0.8484522104263306,0.31850603222846985,0.8774816393852234,0.7715355753898621,2.35357230311182,2.185873508453369,0.3840784728527069,0.1747732311487198,0.08394178003072739,0.8737115263938904,0.8054510951042175,0.8344610333442688,0.28954607248306274,0.2644527852535248,0.6569743156433105,0.9835326671600342,0.9926498532295227,0.9942701458930969,0.09955635567842522,0.7088212719601048,0.0,True
35,3.7385995000004186,0.0008,1.19051194190979,0.11455323547124863,0.8130117654800415,0.23814548552036285,0.8136425018310547,0.566267192363739,2.1795097968804344,2.185873508453369,0.32401761412620544,0.16774314641952515,0.07697101682424545,0.8825150728225708,0.7848246097564697,0.7526437640190125,0.28711530566215515,0.22550198435783386,0.6313126087188721,0.953955888748169,0.9823697805404663,0.9922457933425903,0.08946645225192147,0.6226396879190208,0.0,True
40,4.147231000002648,0.0008,1.0939016342163086,0.10097642987966537,0.7594603896141052,0.19166715443134308,0.7421920895576477,0.5524049997329712,2.0196379440700465,2.185873508453369,0.2852463126182556,0.15905195474624634,0.08155375719070435,0.8738873600959778,0.7655892372131348,0.6464942693710327,0.2816416919231415,0.1966502070426941,0.602696418762207,0.8889425992965698,0.9704002737998962,0.9879487156867981,0.0881315107711613,0.5253379508072129,0.0,True
