epoch,elapsed_s,lr,loss,field_q_loss,field_v_loss,state_q_loss,state_v_loss,physics_loss,q_task_weight,v_task_weight,effective_physics_weight,data_grad_norm,physics_grad_norm,gradient_cosine,q_task_grad_norm,v_task_grad_norm,q_v_task_gradient_cosine,gradient_norm,peak_vram_GiB,score,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,variational_weak_median,variational_weak_p90,hard_BC_max_abs,q_graph_residual_fraction,v_graph_residual_fraction,finite
0,0.7800424000015482,0.0,2.8737878799438477,0.9604617953300476,1.0113012790679932,0.9688670039176941,1.014316439628601,7.184647560119629,0.2444557541009109,1.755544245899089,0.05,48.810726165771484,60.78419876098633,-0.0009365734877064824,141.18856811523438,19.66020393371582,2.1215894321358064e-06,0.0,1.531994342803955,5.889448580767011,0.9385973811149597,0.9830530285835266,0.973354697227478,1.0216891765594482,1.0028289556503296,1.0054130554199219,0.9758119192882108,1.007331921475971,0.9755977076845642,0.998463630662418,0.0,0.0,0.0,True
1,1.1879745000042021,0.00016,2.8737878799438477,0.9604617953300476,1.0113012790679932,0.9688670039176941,1.014316439628601,7.184648036956787,0.2444557541009109,1.7555442458990893,0.05,48.810726165771484,60.78419876098633,-0.0009365733130834997,141.18856811523438,19.66020393371582,2.1215894321358064e-06,48.90241241455078,1.759561538696289,6.198573812656455,1.0662964582443237,0.9684580564498901,0.9212706685066223,1.5094033479690552,1.019726037979126,0.9953435659408569,0.9771070354437041,1.0064102361347913,0.9821352246690027,1.0008826422686834,0.0,0.833014190196991,1.054019808769226,True
5,2.223092500003986,0.0008,4.797679901123047,2.829362154006958,1.7560673952102661,0.9632469415664673,1.013388991355896,4.858859539031982,0.5052116484660236,1.4947883515339764,0.05,1220.0465087890625,37.30485916137695,7.617653864144813e-06,783.2767944335938,772.0570068359375,6.538703019032255e-05,1220.0478515625,1.759561538696289,5.970308559720078,1.1030687093734741,0.9736244678497314,0.6419550776481628,1.3407928943634033,1.044910192489624,1.1581060886383057,0.9789169209111341,1.001677592383818,1.0070377005393636,1.0443810492180206,0.0,0.9487841129302979,1.0352582931518555,True
10,3.581099400005769,0.0007978896645755696,3.0424704551696777,1.0924408435821533,1.243452787399292,0.9574337601661682,1.0118321180343628,3.4470551013946533,0.7454148552352754,1.2545851447647247,0.05,516.3345947265625,26.707727432250977,-1.9569079086068086e-05,323.43463134765625,363.93646240234375,8.340813110407908e-06,516.3363037109375,1.759561538696289,5.347927964683749,0.9053481817245483,0.9471641182899475,0.4925547242164612,1.0679851770401,0.9969747066497803,0.9821711778640747,0.979419210921523,0.9997523975085839,1.0065640561876104,1.0365276009160542,0.0,0.96732497215271,0.9832199215888977,True
15,4.9050960000022314,0.0007915834000556312,2.4623377323150635,0.7701373100280762,1.0620324611663818,0.9560721516609192,1.01021146774292,2.417346239089966,0.9419515291981514,1.058048470801849,0.05,221.91087341308594,19.238143920898438,-0.0001963469258043915,110.05694580078125,185.44322204589844,-5.587847226706799e-06,221.91281127929688,1.759561538696289,5.111179357748921,0.8286051750183105,0.9100035429000854,0.442184716463089,1.0125923156738281,0.9853456020355225,0.9153559803962708,0.9756955250212853,0.9960868985866805,1.0016105658217873,1.021851016340356,0.0,0.9720370173454285,0.9760894179344177,True
20,6.254196900001261,0.0007811551416258089,2.2797539234161377,0.7057262063026428,0.984696626663208,0.955415666103363,1.007662057876587,1.6607662439346313,0.9468439026959075,1.053156097304093,0.05,159.7174530029297,13.203354835510254,-0.0008182941819541156,139.6786346435547,85.0257568359375,8.506660378770903e-06,159.71827697753906,1.759561538696289,4.7941102244230835,0.7545596957206726,0.8552588224411011,0.31945013999938965,0.9685484766960144,0.9678533673286438,0.8747031688690186,0.9648018549447844,0.9889744097405945,0.9718209171189055,1.0054063843017993,0.0,0.9579992294311523,1.0028305053710938,True
25,7.591105500003323,0.0007667271510815446,2.097935914993286,0.5705531239509583,0.9319692850112915,0.9500234127044678,1.0029107332229614,1.2217991352081299,0.8769744293159722,1.1230255706840282,0.05,87.21290588378906,7.795595169067383,-0.001143089379183948,49.05302047729492,67.55449676513672,-6.509821105282754e-06,87.21331787109375,1.759561538696289,4.516014583188547,0.6846059560775757,0.7683984041213989,0.24532254040241241,1.0031341314315796,0.9423072338104248,0.819072961807251,0.9480400318533944,0.9747809744182768,0.9775101282469132,1.0004469048011215,0.0,0.9539517760276794,0.9568086862564087,True
30,8.980353400002059,0.0007484685834203322,2.0252816677093506,0.5214926600456238,0.9661300182342529,0.940538227558136,0.9945788979530334,1.0125828981399536,0.9929048615400713,1.007095138459929,0.05,174.6979522705078,9.576786994934082,-0.0011605238541960716,82.23561096191406,153.35435485839844,-6.246558768907562e-06,174.6980438232422,1.759561538696289,4.138615690669897,0.5806153416633606,0.6634781360626221,0.2211950421333313,0.9162830710411072,0.9145492911338806,0.7218425869941711,0.9205369070384103,0.9529055783751871,0.9529742369232869,1.0214364809837853,0.0,0.9305394291877747,0.9423412680625916,True
35,10.261064500002249,0.0007265935036540318,1.8163700103759766,0.4423116147518158,0.8595520853996277,0.9263518452644348,0.9829216599464417,0.9113976955413818,1.0194308205349087,0.9805691794650915,0.05,91.96038055419922,7.631598949432373,-0.0018038996495306492,66.00727081298828,63.92278289794922,-9.904843864205759e-06,91.9604721069336,1.759561538696289,3.84470673744093,0.5007033348083496,0.5787149667739868,0.18149687349796295,0.9412651658058167,0.8802065849304199,0.6455053687095642,0.8880181511388566,0.924569702997747,0.9322648617101105,1.0359806691589128,0.0,0.9016678929328918,0.9382791519165039,True
40,11.551381800003583,0.0007013583770923271,1.7719273567199707,0.3930380344390869,0.810133695602417,0.9044934511184692,0.9666165709495544,0.731015145778656,0.8510784744865358,1.1489215255134642,0.05,65.17127227783203,5.000834941864014,-0.0024634897708892822,67.888916015625,26.241132736206055,-1.6232503185165115e-05,65.17113494873047,1.759561538696289,3.599282881931286,0.4575980305671692,0.5137328505516052,0.16608017683029175,0.884115993976593,0.8504891395568848,0.580615758895874,0.8576716459342666,0.8931794636665543,0.9265404244010217,1.0228991870159843,0.0,0.8673098087310791,0.9008694291114807,True
45,12.869670900006895,0.000673059062521458,1.6639879941940308,0.3577405512332916,0.7838272452354431,0.8743175864219666,0.9397855997085571,0.6210302710533142,0.9144706802370315,1.0855293197629687,0.05,51.31001281738281,4.146426677703857,-0.0018818303942680359,45.40095138549805,27.77372932434082,4.895959591522114e-06,51.31003952026367,1.759561538696289,3.4053590955829804,0.44183024764060974,0.4609387516975403,0.14692369103431702,0.8542866706848145,0.8159372210502625,0.548348069190979,0.8245736386223107,0.8436135722503499,0.9215295950406646,1.0285704631496344,0.0,0.8357750773429871,0.8508676886558533,True
