outer_fold,inner_fold,component,rank,train_cases,validation_cases,pooled_relative_l2_floor,median_case_relative_l2_floor,p90_case_relative_l2_floor,worst_case_relative_l2_floor,selection_use
0,0,u_X_transverse,16,41,13,0.010299342380444656,0.029081937907604553,0.06975506435926238,0.07468312782109537,INNER_ONLY
0,0,u_X_transverse,32,41,13,0.0039057606406927817,0.013114532504928444,0.022500215871012915,0.024207251024917945,INNER_ONLY
0,0,u_X_transverse,64,41,13,0.0007351794019071032,0.0025338785698690797,0.0038292304441134494,0.004297270446597793,INNER_ONLY
0,0,u_X_transverse,96,41,13,0.0003133201153301735,0.000993737310019347,0.0017888724987684761,0.0019630956143057727,INNER_ONLY
0,0,u_X_transverse,128,41,13,0.00023187770607700672,0.00071798091922771,0.0012557785682595366,0.001410971586006528,INNER_ONLY
0,0,v_Y_vertical,16,41,13,0.01393690805848042,0.01376008223044025,0.015247727638299177,0.015634280891970914,INNER_ONLY
0,0,v_Y_vertical,32,41,13,0.005025124655632716,0.004889033803525012,0.005450813360297083,0.005564772002815437,INNER_ONLY
0,0,v_Y_vertical,64,41,13,0.001219892676461057,0.0011831882121336767,0.0013377100629776788,0.0014258796401459925,INNER_ONLY
0,0,v_Y_vertical,96,41,13,0.00039853786130618677,0.0003834762576363231,0.00046231074515753784,0.0004681304998199222,INNER_ONLY
0,0,v_Y_vertical,128,41,13,0.00028362502201874373,0.000263986652254987,0.00032363190105392766,0.0003383406059042192,INNER_ONLY
0,0,w_Z_longitudinal,16,41,13,0.0035283694203276155,0.004434922149402872,0.005024651729729606,0.005212222002240153,INNER_ONLY
0,0,w_Z_longitudinal,32,41,13,0.0009276568313987332,0.0013151390453331586,0.0014692753075886166,0.001518755429728849,INNER_ONLY
0,0,w_Z_longitudinal,64,41,13,0.00026038578423205134,0.00025986884198515777,0.00039251944163349575,0.00039592078788170196,INNER_ONLY
0,0,w_Z_longitudinal,96,41,13,0.00023079145850236224,0.00023860570512048644,0.00034657138228346806,0.0003500210934088066,INNER_ONLY
0,0,w_Z_longitudinal,128,41,13,0.00021610625108786513,0.00021984609417703945,0.0003219334263967974,0.00033045659991823246,INNER_ONLY
0,1,u_X_transverse,16,40,14,0.009590630703337735,0.009698724712248776,0.06903899454738542,0.07215633998248117,INNER_ONLY
0,1,u_X_transverse,32,40,14,0.0036028386737925323,0.0033321511867106376,0.02021802178350931,0.023545167272377324,INNER_ONLY
0,1,u_X_transverse,64,40,14,0.0006818836606253026,0.000660255914781361,0.0038612425962889,0.007218527760319718,INNER_ONLY
0,1,u_X_transverse,96,40,14,0.0002801824189453461,0.0002579467193107944,0.0016336723241037242,0.003538615118210121,INNER_ONLY
0,1,u_X_transverse,128,40,14,0.00020799518687964312,0.00018674859361307933,0.0011438350631061437,0.0024909957701306266,INNER_ONLY
0,1,v_Y_vertical,16,40,14,0.01397607185817823,0.013701133998376585,0.015671508743575934,0.015845653232120036,INNER_ONLY
0,1,v_Y_vertical,32,40,14,0.0050905568849403645,0.005114491872316886,0.005528159430138094,0.005592939462432861,INNER_ONLY
0,1,v_Y_vertical,64,40,14,0.0012285104153178887,0.0011953100611005933,0.0013347412250256793,0.001398449702313551,INNER_ONLY
0,1,v_Y_vertical,96,40,14,0.00039508717841806425,0.00037748517719895006,0.0004379468351508689,0.0004952179340203234,INNER_ONLY
0,1,v_Y_vertical,128,40,14,0.0002748703414810604,0.0002468806379534887,0.0003068585186851788,0.00035385959762536016,INNER_ONLY
0,1,w_Z_longitudinal,16,40,14,0.003653587508252097,0.00417916416869756,0.00514799670412847,0.0052334447091414455,INNER_ONLY
0,1,w_Z_longitudinal,32,40,14,0.0009608335793586386,0.0012705410686851058,0.001482518390335386,0.0015006724534628927,INNER_ONLY
0,1,w_Z_longitudinal,64,40,14,0.0002691855126021419,0.000313878074576755,0.00038926946755051944,0.00042326055096399097,INNER_ONLY
0,1,w_Z_longitudinal,96,40,14,0.00024043770670313544,0.0002840706807053873,0.00034582677380059763,0.00038650916873354124,INNER_ONLY
0,1,w_Z_longitudinal,128,40,14,0.0002233137140731197,0.000256841779659326,0.0003258996090128248,0.0003514127008575484,INNER_ONLY
0,2,u_X_transverse,16,41,13,0.009304346947566385,0.007743469567184898,0.07067953869405728,0.07300201767504948,INNER_ONLY
0,2,u_X_transverse,32,41,13,0.003607780961906908,0.0035322606969841346,0.02251196242306833,0.023104618290974665,INNER_ONLY
0,2,u_X_transverse,64,41,13,0.0006837133321913639,0.0006883619462137836,0.00425867752763123,0.004280793755824011,INNER_ONLY
0,2,u_X_transverse,96,41,13,0.0002492339586872541,0.00025068475336225684,0.0017404629175377293,0.001778442558456019,INNER_ONLY
