trial_id,variant,case_id,axis,model,derivative_vs_velocity_relative_l2,derivative_vs_velocity_relative_l2_defined,derivative_vs_velocity_rmse_mps
COMMON_FEM,common,V52_B_E1_C4_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.3102116179501045,True,0.003309295969386412
R4_LHS_03,physics,V52_B_E1_C4_2T,Y,S10,0.7211519202618183,True,0.007366925387141396
COMMON_FEM,common,V52_B_E1_C4_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.22278535610464675,True,0.00151585484794251
R4_LHS_03,physics,V52_B_E1_C4_2T,Z,S10,0.7168658359459731,True,0.0046912875716492
COMMON_FEM,common,V52_CPLUS_E1_C4_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.3465127151998475,True,0.00048071721652323475
R4_LHS_03,physics,V52_CPLUS_E1_C4_2T,X,S10,0.9067191822049339,True,0.0011785525063151303
COMMON_FEM,common,V52_CPLUS_E1_C4_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.3139788765817397,True,0.004974690861622944
R4_LHS_03,physics,V52_CPLUS_E1_C4_2T,Y,S10,0.7012188109371059,True,0.01062405994338862
COMMON_FEM,common,V52_CPLUS_E1_C4_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.2181386827143002,True,0.002236826540607685
R4_LHS_03,physics,V52_CPLUS_E1_C4_2T,Z,S10,0.7232541502335366,True,0.007050901807102212
COMMON_FEM,common,V52_C_E1_C4_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.3364074849754714,True,0.000377467134108832
R4_LHS_03,physics,V52_C_E1_C4_2T,X,S10,0.9143837402194283,True,0.0009641981291335731
COMMON_FEM,common,V52_C_E1_C4_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.3118042107027322,True,0.003972093919887395
R4_LHS_03,physics,V52_C_E1_C4_2T,Y,S10,0.7311881190842869,True,0.008892026381344925
COMMON_FEM,common,V52_C_E1_C4_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.2210866355611207,True,0.0017933478721356855
R4_LHS_03,physics,V52_C_E1_C4_2T,Z,S10,0.7337896817646318,True,0.005717404352706243
COMMON_FEM,common,V40_A_E2_C5_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.6231822549362905,True,0.0006398323712949107
R4_LHS_03,physics,V40_A_E2_C5_2T,X,S10,0.894258950130627,True,0.0010448488794755338
COMMON_FEM,common,V40_A_E2_C5_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.27730051418113033,True,0.0019487756099371347
R4_LHS_03,physics,V40_A_E2_C5_2T,Y,S10,0.907175412555002,True,0.006136861895543079
COMMON_FEM,common,V40_A_E2_C5_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.24739235891518757,True,0.0014143881382346793
R4_LHS_03,physics,V40_A_E2_C5_2T,Z,S10,1.0001731018905322,True,0.0056350472575882994
COMMON_FEM,common,V40_B_E2_C5_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.4791302541418472,True,0.0006489633817683717
R4_LHS_03,physics,V40_B_E2_C5_2T,X,S10,0.8943543207319276,True,0.0010014195700723623
COMMON_FEM,common,V40_B_E2_C5_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.27763391887852606,True,0.002436008630341179
R4_LHS_03,physics,V40_B_E2_C5_2T,Y,S10,0.7735682221846306,True,0.006537151962301165
COMMON_FEM,common,V40_B_E2_C5_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.2469941012157292,True,0.001794173268863969
R4_LHS_03,physics,V40_B_E2_C5_2T,Z,S10,0.8695453124182015,True,0.005945191701343543
COMMON_FEM,common,V40_CPLUS_E2_C5_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.4351378162184862,True,0.0007060142533350132
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,X,S10,0.8877613834247804,True,0.001422854367497863
COMMON_FEM,common,V40_CPLUS_E2_C5_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.2785949221804202,True,0.0036642800469324664
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,Y,S10,0.7483484639773778,True,0.00960323621727739
COMMON_FEM,common,V40_CPLUS_E2_C5_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.24601036554523345,True,0.0027734929910154037
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,Z,S10,0.8662878751888223,True,0.009150446014753684
COMMON_FEM,common,V40_C_E2_C5_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.48694112184778815,True,0.0007113072014380193
R4_LHS_03,physics,V40_C_E2_C5_2T,X,S10,0.8722061885180549,True,0.0012084666423018023
COMMON_FEM,common,V40_C_E2_C5_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.2720179505209473,True,0.002852588385725527
R4_LHS_03,physics,V40_C_E2_C5_2T,Y,S10,0.8116411347570877,True,0.00837319474128629
COMMON_FEM,common,V40_C_E2_C5_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.24631721043714275,True,0.0021905698850643684
R4_LHS_03,physics,V40_C_E2_C5_2T,Z,S10,0.9267468245886168,True,0.008119856073135034
COMMON_FEM,common,V52_A_E2_C5_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.7028334142975687,True,0.000700328705761124
R4_LHS_03,physics,V52_A_E2_C5_2T,X,S10,0.9183384889109304,True,0.0008001264379027032
COMMON_FEM,common,V52_A_E2_C5_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.3159187892301833,True,0.002718581638620731
R4_LHS_03,physics,V52_A_E2_C5_2T,Y,S10,0.7607855930956482,True,0.006255870057330797
COMMON_FEM,common,V52_A_E2_C5_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.2200141357026011,True,0.0011822432181833712
R4_LHS_03,physics,V52_A_E2_C5_2T,Z,S10,0.7915644187571966,True,0.004090303382974551
COMMON_FEM,common,V52_B_E2_C5_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.5613328422584568,True,0.00066921734163138
R4_LHS_03,physics,V52_B_E2_C5_2T,X,S10,0.9330617050870122,True,0.0008955993233904642
COMMON_FEM,common,V52_B_E2_C5_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.31354074501700324,True,0.0033463267665270707
R4_LHS_03,physics,V52_B_E2_C5_2T,Y,S10,0.7400153696505798,True,0.007523631318787546
COMMON_FEM,common,V52_B_E2_C5_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.22511927243920668,True,0.0015112784424274486
R4_LHS_03,physics,V52_B_E2_C5_2T,Z,S10,0.7518192516575696,True,0.004893782751118283
COMMON_FEM,common,V52_CPLUS_E2_C5_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.48928059056350576,True,0.0007650096982992636
R4_LHS_03,physics,V52_CPLUS_E2_C5_2T,X,S10,0.916558917159632,True,0.0012350099786752663
COMMON_FEM,common,V52_CPLUS_E2_C5_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.3092589969129378,True,0.004904796489436464
R4_LHS_03,physics,V52_CPLUS_E2_C5_2T,Y,S10,0.6748116931536017,True,0.010323156985032854
COMMON_FEM,common,V52_CPLUS_E2_C5_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.21530079081167655,True,0.002197837742784821
R4_LHS_03,physics,V52_CPLUS_E2_C5_2T,Z,S10,0.6830299395730856,True,0.00675388608701895
COMMON_FEM,common,V52_C_E2_C5_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.5407499798305884,True,0.0007127273631513689
R4_LHS_03,physics,V52_C_E2_C5_2T,X,S10,0.913734033951576,True,0.0010387015807805549
COMMON_FEM,common,V52_C_E2_C5_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.31223793697490243,True,0.003988574268534122
R4_LHS_03,physics,V52_C_E2_C5_2T,Y,S10,0.6721859105023419,True,0.008284443397634893
COMMON_FEM,common,V52_C_E2_C5_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.22221425018742175,True,0.0017876702534656093
R4_LHS_03,physics,V52_C_E2_C5_2T,Z,S10,0.6736576844694022,True,0.0052459539547359164
COMMON_FEM,common,V40_A_E3_C6_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.24406438779166806,True,0.00016671946996846314
R4_LHS_03,physics,V40_A_E3_C6_1T,X,S10,0.8412946033300629,True,0.0005498261516873846
COMMON_FEM,common,V40_A_E3_C6_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.2935344202332273,True,0.0013510744843258956
R4_LHS_03,physics,V40_A_E3_C6_1T,Y,S10,0.890858716969334,True,0.003816902809739034
COMMON_FEM,common,V40_A_E3_C6_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.1731005210557972,True,0.0009430839384240679
R4_LHS_03,physics,V40_A_E3_C6_1T,Z,S10,0.7097767288289035,True,0.0037402785864322297
COMMON_FEM,common,V40_B_E3_C6_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.2521623988409008,True,0.00021945353389715312
R4_LHS_03,physics,V40_B_E3_C6_1T,X,S10,0.8572007472838925,True,0.0007062249708173251
COMMON_FEM,common,V40_B_E3_C6_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.32444204853169933,True,0.001823746713738105
R4_LHS_03,physics,V40_B_E3_C6_1T,Y,S10,1.003178806343634,True,0.005249659392381816
COMMON_FEM,common,V40_B_E3_C6_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.21662961435764996,True,0.001314807130937352
R4_LHS_03,physics,V40_B_E3_C6_1T,Z,S10,0.9376252072144734,True,0.005331018525867362
COMMON_FEM,common,V40_CPLUS_E3_C6_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.23981065837154444,True,0.0003095094245375369
R4_LHS_03,physics,V40_CPLUS_E3_C6_1T,X,S10,0.8757828770591267,True,0.001083415113822492
COMMON_FEM,common,V40_CPLUS_E3_C6_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.3152041510403604,True,0.0025472054328666187
R4_LHS_03,physics,V40_CPLUS_E3_C6_1T,Y,S10,1.0448368465732683,True,0.008224301084710015
COMMON_FEM,common,V40_CPLUS_E3_C6_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.23983123308847834,True,0.0018598292004468513
R4_LHS_03,physics,V40_CPLUS_E3_C6_1T,Z,S10,0.9686360090877739,True,0.0072579610201896575
COMMON_FEM,common,V40_C_E3_C6_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.24830941319044644,True,0.000257718873201026
R4_LHS_03,physics,V40_C_E3_C6_1T,X,S10,0.8425738845205978,True,0.0008315135729407867
COMMON_FEM,common,V40_C_E3_C6_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.3134659060673015,True,0.002056409578146788
R4_LHS_03,physics,V40_C_E3_C6_1T,Y,S10,0.9187868876725849,True,0.005695365772606158
COMMON_FEM,common,V40_C_E3_C6_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.22889003010399575,True,0.0015222778357435267
R4_LHS_03,physics,V40_C_E3_C6_1T,Z,S10,0.8883366632616266,True,0.005627285032545256
COMMON_FEM,common,V52_A_E3_C6_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.3231880510361588,True,0.0002186746224120622
R4_LHS_03,physics,V52_A_E3_C6_1T,X,S10,0.8633759754205174,True,0.000516875778520671
COMMON_FEM,common,V52_A_E3_C6_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.364098077007211,True,0.002133418764858724
R4_LHS_03,physics,V52_A_E3_C6_1T,Y,S10,0.8683059456670644,True,0.004638194171919861
COMMON_FEM,common,V52_A_E3_C6_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.1807271388766811,True,0.001003055829346518
R4_LHS_03,physics,V52_A_E3_C6_1T,Z,S10,0.6814866164691309,True,0.0035650014242491097
COMMON_FEM,common,V52_B_E3_C6_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.29058462489983145,True,0.00024242795179211553
R4_LHS_03,physics,V52_B_E3_C6_1T,X,S10,0.804890426296496,True,0.0006117002138624814
