trial_id,variant,case_id,model,quantity,axis,node_relative_l2_median,node_relative_l2_p90,node_relative_l2_worst,node_relative_metrics_defined,valid_energy_node_count,predicted_hotspot_node_zero_based,target_hotspot_node_zero_based,hotspot_distance_m
R4_LHS_03,physics,V40_B_E1_C4_2T,S10,velocity,X,0.4073854982852936,0.6521616578102112,0.9157030582427979,True,496,153,50,135.00101694431785
COMMON_B2,common,V40_B_E1_C4_2T,B2,displacement,X,0.1255417764186859,0.2570919543504715,0.5497499704360962,True,496,187,187,0.0
R4_LHS_03,physics,V40_B_E1_C4_2T,S10_HYBRID,displacement,Y,0.04857087507843971,0.15579983592033386,0.5080932378768921,True,496,280,280,0.0
R4_LHS_03,physics,V40_B_E1_C4_2T,S10,velocity,Y,0.20527072995901108,0.46250875294208527,1.0421704053878784,True,496,265,266,135.00458240048846
COMMON_B2,common,V40_B_E1_C4_2T,B2,displacement,Y,0.050160592421889305,0.09678597375750542,0.2130296230316162,True,496,280,280,0.0
R4_LHS_03,physics,V40_B_E1_C4_2T,S10_HYBRID,displacement,Z,0.04324626736342907,0.05830053202807904,0.7462125420570374,True,508,1,361,8.335999999999995
R4_LHS_03,physics,V40_B_E1_C4_2T,S10,velocity,Z,0.1421140432357788,0.26185382604599,1.790806531906128,True,508,265,265,0.0
COMMON_B2,common,V40_B_E1_C4_2T,B2,displacement,Z,0.06375505030155182,0.07510830238461494,0.18220803141593933,True,508,361,361,0.0
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,S10_HYBRID,displacement,X,0.09107734635472298,0.16700894385576248,0.32322585582733154,True,496,187,187,0.0
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,S10,velocity,X,0.38152487576007843,0.6393716633319855,0.863480806350708,True,496,153,493,135.25712142434497
COMMON_B2,common,V40_CPLUS_E1_C4_2T,B2,displacement,X,0.08747619390487671,0.1700100228190422,0.30625924468040466,True,496,187,187,0.0
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,S10_HYBRID,displacement,Y,0.03186732158064842,0.14826440066099167,0.41508978605270386,True,496,280,280,0.0
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,S10,velocity,Y,0.19506336748600006,0.49207746982574463,1.13136625289917,True,496,265,266,135.00458240048846
COMMON_B2,common,V40_CPLUS_E1_C4_2T,B2,displacement,Y,0.021513340063393116,0.05923634395003319,0.1547417789697647,True,496,280,280,0.0
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,S10_HYBRID,displacement,Z,0.02772795967757702,0.053058957681059844,1.177672028541565,True,508,443,361,0.5240000000000145
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,S10,velocity,Z,0.1454906016588211,0.2539086490869522,1.5460494756698608,True,508,265,265,0.0
COMMON_B2,common,V40_CPLUS_E1_C4_2T,B2,displacement,Z,0.0493180975317955,0.06263583600521087,0.20094338059425354,True,508,72,361,7.811999999999991
R4_LHS_03,physics,V40_C_E1_C4_2T,S10_HYBRID,displacement,X,0.13613971322774887,0.26820601522922516,0.6547595858573914,True,496,187,187,0.0
R4_LHS_03,physics,V40_C_E1_C4_2T,S10,velocity,X,0.3823304772377014,0.6224089860916138,0.9253562092781067,True,496,493,50,8.86000000000001
COMMON_B2,common,V40_C_E1_C4_2T,B2,displacement,X,0.123794324696064,0.25736525654792786,0.5210578441619873,True,496,187,187,0.0
R4_LHS_03,physics,V40_C_E1_C4_2T,S10_HYBRID,displacement,Y,0.043721433728933334,0.15272591263055801,0.5066777467727661,True,496,280,280,0.0
R4_LHS_03,physics,V40_C_E1_C4_2T,S10,velocity,Y,0.20378074795007706,0.43524911999702454,1.0114258527755737,True,496,266,198,1.2691934446726394
COMMON_B2,common,V40_C_E1_C4_2T,B2,displacement,Y,0.0480838343501091,0.0931016243994236,0.20922304689884186,True,496,280,280,0.0
R4_LHS_03,physics,V40_C_E1_C4_2T,S10_HYBRID,displacement,Z,0.03828970715403557,0.05382748171687127,0.8319163918495178,True,508,1,361,8.335999999999995
R4_LHS_03,physics,V40_C_E1_C4_2T,S10,velocity,Z,0.13944342732429504,0.2535383701324463,1.8361775875091553,True,508,265,265,0.0
COMMON_B2,common,V40_C_E1_C4_2T,B2,displacement,Z,0.06130775436758995,0.07131794914603233,0.20530903339385986,True,508,361,361,0.0
R4_LHS_03,physics,V52_A_E1_C4_2T,S10_HYBRID,displacement,X,0.09855109080672264,0.181301087141037,0.3628367781639099,True,496,187,187,0.0
R4_LHS_03,physics,V52_A_E1_C4_2T,S10,velocity,X,0.44422823190689087,0.7498860657215118,0.8911740779876709,True,496,50,50,0.0
COMMON_B2,common,V52_A_E1_C4_2T,B2,displacement,X,0.07955599576234818,0.13746848702430725,0.2609577775001526,True,496,187,187,0.0
R4_LHS_03,physics,V52_A_E1_C4_2T,S10_HYBRID,displacement,Y,0.03724457509815693,0.14413627237081528,0.4977041780948639,True,496,280,280,0.0
R4_LHS_03,physics,V52_A_E1_C4_2T,S10,velocity,Y,0.1941559687256813,0.3860039561986923,1.0436022281646729,True,496,266,266,0.0
COMMON_B2,common,V52_A_E1_C4_2T,B2,displacement,Y,0.022227109409868717,0.06822047755122185,0.19246013462543488,True,496,280,280,0.0
R4_LHS_03,physics,V52_A_E1_C4_2T,S10_HYBRID,displacement,Z,0.031711312010884285,0.05122333429753781,1.6916887760162354,True,508,361,72,7.811999999999991
R4_LHS_03,physics,V52_A_E1_C4_2T,S10,velocity,Z,0.175386443734169,0.26794312596321107,1.0909425020217896,True,508,265,265,0.0
COMMON_B2,common,V52_A_E1_C4_2T,B2,displacement,Z,0.04713752120733261,0.060406734421849254,0.11345943063497543,True,508,72,72,0.0
R4_LHS_03,physics,V52_B_E1_C4_2T,S10_HYBRID,displacement,X,0.11926524713635445,0.2218099981546402,0.39931580424308777,True,496,187,187,0.0
R4_LHS_03,physics,V52_B_E1_C4_2T,S10,velocity,X,0.4554586708545685,0.7163844108581543,0.891670823097229,True,496,70,493,135.2904268601441
COMMON_B2,common,V52_B_E1_C4_2T,B2,displacement,X,0.1118817925453186,0.25333619117736816,0.6020698547363281,True,496,187,187,0.0
R4_LHS_03,physics,V52_B_E1_C4_2T,S10_HYBRID,displacement,Y,0.04114353097975254,0.20726288110017776,0.7512897849082947,True,496,306,280,1.034716823373547
R4_LHS_03,physics,V52_B_E1_C4_2T,S10,velocity,Y,0.22654113173484802,0.4201442301273346,1.0301554203033447,True,496,266,296,1.2691934446726394
COMMON_B2,common,V52_B_E1_C4_2T,B2,displacement,Y,0.02848992310464382,0.07522492110729218,0.18263259530067444,True,496,280,280,0.0
R4_LHS_03,physics,V52_B_E1_C4_2T,S10_HYBRID,displacement,Z,0.037498963996768,0.06910134926438333,0.9194285869598389,True,508,72,361,7.811999999999991
R4_LHS_03,physics,V52_B_E1_C4_2T,S10,velocity,Z,0.17479445785284042,0.2797220289707184,1.2697890996932983,True,508,265,265,0.0
COMMON_B2,common,V52_B_E1_C4_2T,B2,displacement,Z,0.04913875833153725,0.0621715497225523,0.10827945172786713,True,508,72,361,7.811999999999991
R4_LHS_03,physics,V52_CPLUS_E1_C4_2T,S10_HYBRID,displacement,X,0.08703742176294327,0.16059522330760956,0.3040978014469147,True,496,187,187,0.0
R4_LHS_03,physics,V52_CPLUS_E1_C4_2T,S10,velocity,X,0.44423428177833557,0.7545883655548096,0.9249013066291809,True,496,50,493,8.86000000000001
COMMON_B2,common,V52_CPLUS_E1_C4_2T,B2,displacement,X,0.08072766661643982,0.15758445858955383,0.28774353861808777,True,496,187,187,0.0
R4_LHS_03,physics,V52_CPLUS_E1_C4_2T,S10_HYBRID,displacement,Y,0.03705932758748531,0.14245818555355072,0.500778317451477,True,496,280,280,0.0
R4_LHS_03,physics,V52_CPLUS_E1_C4_2T,S10,velocity,Y,0.1680443212389946,0.41222596168518066,1.0480456352233887,True,496,266,296,1.2691934446726394
COMMON_B2,common,V52_CPLUS_E1_C4_2T,B2,displacement,Y,0.022973107174038887,0.06063828431069851,0.1623980849981308,True,496,280,280,0.0
R4_LHS_03,physics,V52_CPLUS_E1_C4_2T,S10_HYBRID,displacement,Z,0.032166266813874245,0.05499314591288568,1.8894288539886475,True,508,361,361,0.0
R4_LHS_03,physics,V52_CPLUS_E1_C4_2T,S10,velocity,Z,0.11684403568506241,0.20993449240922932,1.1242064237594604,True,508,265,265,0.0
COMMON_B2,common,V52_CPLUS_E1_C4_2T,B2,displacement,Z,0.04367394559085369,0.054757986962795255,0.09873658418655396,True,508,361,361,0.0
R4_LHS_03,physics,V52_C_E1_C4_2T,S10_HYBRID,displacement,X,0.09631681069731712,0.1687665954232216,0.32412993907928467,True,496,187,187,0.0
R4_LHS_03,physics,V52_C_E1_C4_2T,S10,velocity,X,0.4325672537088394,0.7320086061954498,0.8741723299026489,True,496,50,493,8.86000000000001
COMMON_B2,common,V52_C_E1_C4_2T,B2,displacement,X,0.09299134090542793,0.16569898277521133,0.30237630009651184,True,496,187,187,0.0
R4_LHS_03,physics,V52_C_E1_C4_2T,S10_HYBRID,displacement,Y,0.04547390528023243,0.15383535623550415,0.48196014761924744,True,496,280,280,0.0
R4_LHS_03,physics,V52_C_E1_C4_2T,S10,velocity,Y,0.16953619569540024,0.3951210379600525,1.0679064989089966,True,496,266,266,0.0
COMMON_B2,common,V52_C_E1_C4_2T,B2,displacement,Y,0.029213116504251957,0.06929576396942139,0.1919744908809662,True,496,280,280,0.0
R4_LHS_03,physics,V52_C_E1_C4_2T,S10_HYBRID,displacement,Z,0.04351293854415417,0.061275925114750864,1.1127172708511353,True,508,224,361,3.9059999999999957
R4_LHS_03,physics,V52_C_E1_C4_2T,S10,velocity,Z,0.11302559822797775,0.2244213372468949,1.7202110290527344,True,508,265,265,0.0
COMMON_B2,common,V52_C_E1_C4_2T,B2,displacement,Z,0.04433738254010677,0.05357182659208774,0.09502442181110382,True,508,361,361,0.0
R4_LHS_03,physics,V40_A_E2_C5_2T,S10_HYBRID,displacement,X,0.019579938612878323,0.045000288635492325,0.10303327441215515,True,496,433,433,0.0
R4_LHS_03,physics,V40_A_E2_C5_2T,S10,velocity,X,0.7376886010169983,1.1771544814109802,1.3228435516357422,True,496,153,153,0.0
COMMON_B2,common,V40_A_E2_C5_2T,B2,displacement,X,0.017359700053930283,0.03424549475312233,0.0759122297167778,True,496,433,433,0.0
R4_LHS_03,physics,V40_A_E2_C5_2T,S10_HYBRID,displacement,Y,0.05365999415516853,0.19809763133525848,0.7967618107795715,True,496,306,280,1.034716823373547
R4_LHS_03,physics,V40_A_E2_C5_2T,S10,velocity,Y,0.24552585929632187,0.48206672072410583,1.0946745872497559,True,496,265,316,2.117891640824903
COMMON_B2,common,V40_A_E2_C5_2T,B2,displacement,Y,0.02965150959789753,0.0763913057744503,0.18816280364990234,True,496,280,280,0.0
R4_LHS_03,physics,V40_A_E2_C5_2T,S10_HYBRID,displacement,Z,0.05321933701634407,0.08648667559027672,1.0943948030471802,True,508,1,443,8.86000000000001
R4_LHS_03,physics,V40_A_E2_C5_2T,S10,velocity,Z,0.15729589015245438,0.24894707947969438,1.8857319355010986,True,508,265,265,0.0
COMMON_B2,common,V40_A_E2_C5_2T,B2,displacement,Z,0.054098401218652725,0.06939641758799553,0.1605616956949234,True,508,443,443,0.0
R4_LHS_03,physics,V40_B_E2_C5_2T,S10_HYBRID,displacement,X,0.02029502112418413,0.03868738189339638,0.0849677175283432,True,496,433,433,0.0
R4_LHS_03,physics,V40_B_E2_C5_2T,S10,velocity,X,0.6321386396884918,0.7669410109519958,0.8851293921470642,True,496,50,493,8.86000000000001
COMMON_B2,common,V40_B_E2_C5_2T,B2,displacement,X,0.018151652067899704,0.03761331923305988,0.0883866548538208,True,496,433,433,0.0
R4_LHS_03,physics,V40_B_E2_C5_2T,S10_HYBRID,displacement,Y,0.04128836654126644,0.14032669365406036,0.5649920105934143,True,496,280,280,0.0
R4_LHS_03,physics,V40_B_E2_C5_2T,S10,velocity,Y,0.20812010020017624,0.4629143625497818,1.0263742208480835,True,496,266,266,0.0
COMMON_B2,common,V40_B_E2_C5_2T,B2,displacement,Y,0.02023985516279936,0.057527465745806694,0.19142916798591614,True,496,280,280,0.0
R4_LHS_03,physics,V40_B_E2_C5_2T,S10_HYBRID,displacement,Z,0.031230319291353226,0.05187250971794129,1.9328889846801758,True,508,443,443,0.0
R4_LHS_03,physics,V40_B_E2_C5_2T,S10,velocity,Z,0.14434663206338882,0.2448832869529724,1.3528743982315063,True,508,265,265,0.0
COMMON_B2,common,V40_B_E2_C5_2T,B2,displacement,Z,0.0404964592307806,0.051462597027420995,0.17533107101917267,True,508,443,443,0.0
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,S10_HYBRID,displacement,X,0.02599289547652006,0.05158050172030926,0.1261643022298813,True,496,433,433,0.0
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,S10,velocity,X,0.4471054673194885,0.6255989670753479,0.8498545289039612,True,496,153,153,0.0
COMMON_B2,common,V40_CPLUS_E2_C5_2T,B2,displacement,X,0.021189311519265175,0.0551166757941246,0.12254346907138824,True,496,433,433,0.0
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,S10_HYBRID,displacement,Y,0.04403001628816128,0.13835440576076508,0.5425398945808411,True,496,280,280,0.0
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,S10,velocity,Y,0.18671834468841553,0.4331385940313339,0.9730342030525208,True,496,266,296,1.2691934446726394
COMMON_B2,common,V40_CPLUS_E2_C5_2T,B2,displacement,Y,0.020367057994008064,0.05785887688398361,0.15426521003246307,True,496,280,280,0.0
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,S10_HYBRID,displacement,Z,0.034902483224868774,0.0572915218770504,2.0230422019958496,True,508,443,443,0.0
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,S10,velocity,Z,0.12164358794689178,0.2251145780086518,1.223661184310913,True,508,265,265,0.0
COMMON_B2,common,V40_CPLUS_E2_C5_2T,B2,displacement,Z,0.04800033941864967,0.06099519543349743,0.21258150041103363,True,508,1,443,8.86000000000001
R4_LHS_03,physics,V40_C_E2_C5_2T,S10_HYBRID,displacement,X,0.0249111233279109,0.056179191917181015,0.13080906867980957,True,496,433,433,0.0
R4_LHS_03,physics,V40_C_E2_C5_2T,S10,velocity,X,0.5586615800857544,0.8211022615432739,0.897991955280304,True,496,153,493,135.25712142434497
COMMON_B2,common,V40_C_E2_C5_2T,B2,displacement,X,0.02306031994521618,0.04644196480512619,0.11020827293395996,True,496,433,433,0.0
R4_LHS_03,physics,V40_C_E2_C5_2T,S10_HYBRID,displacement,Y,0.045445794239640236,0.1943790689110756,0.8511129021644592,True,496,280,280,0.0
R4_LHS_03,physics,V40_C_E2_C5_2T,S10,velocity,Y,0.20600773394107819,0.4171890616416931,1.0114662647247314,True,496,265,265,0.0
COMMON_B2,common,V40_C_E2_C5_2T,B2,displacement,Y,0.0288754440844059,0.06780987232923508,0.18172787129878998,True,496,280,280,0.0
R4_LHS_03,physics,V40_C_E2_C5_2T,S10_HYBRID,displacement,Z,0.0466356985270977,0.08985307440161705,0.7836909294128418,True,508,72,443,8.336000000000006
R4_LHS_03,physics,V40_C_E2_C5_2T,S10,velocity,Z,0.11452661454677582,0.22525749653577806,1.5568442344665527,True,508,265,265,0.0
COMMON_B2,common,V40_C_E2_C5_2T,B2,displacement,Z,0.049542004242539406,0.06277732700109481,0.19923797249794006,True,508,443,443,0.0
R4_LHS_03,physics,V52_A_E2_C5_2T,S10_HYBRID,displacement,X,0.013307312037795782,0.02911248989403248,0.06255636364221573,True,496,36,36,0.0
