trial_id,variant,case_id,model,quantity,axis,band_low_hz,band_high_hz,predicted_energy,target_energy,relative_energy_error
R4_LHS_03,physics,BASE_C1_0T,S10_HYBRID,displacement,Z,5.0,10.0,4.081821932911553e-10,3.699526556249078e-10,0.10333629745587815
R4_LHS_03,physics,BASE_C1_0T,S10_HYBRID,displacement,Z,10.0,20.0,1.0332418369007097e-10,9.084427391690251e-11,0.1373769554764028
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,Z,0.0,0.5,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,Z,0.5,1.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,Z,1.0,2.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,Z,2.0,5.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,Z,5.0,10.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,Z,10.0,20.0,0.0,0.0,0.0
COMMON_B2,common,BASE_C1_0T,B2,displacement,Z,0.0,0.5,6.618657575380092e-08,1.2025354850925083e-11,5502.918726249424
COMMON_B2,common,BASE_C1_0T,B2,displacement,Z,0.5,1.0,9.235396100382788e-11,6.473638664169895e-11,0.4266159388071174
COMMON_B2,common,BASE_C1_0T,B2,displacement,Z,1.0,2.0,4.078972226133297e-08,4.1753547439757856e-08,0.023083671628512395
COMMON_B2,common,BASE_C1_0T,B2,displacement,Z,2.0,5.0,1.61938865245518e-08,1.6825845278197276e-08,0.03755881164938322
COMMON_B2,common,BASE_C1_0T,B2,displacement,Z,5.0,10.0,4.081821932911553e-10,3.699526556249078e-10,0.10333629745587815
COMMON_B2,common,BASE_C1_0T,B2,displacement,Z,10.0,20.0,1.0332418369007097e-10,9.084427391690251e-11,0.1373769554764028
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,X,0.0,0.5,3.356306654217051e-09,5.1771709953119955e-12,647.2897044073368
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,X,0.5,1.0,1.6948535009409278e-08,1.6746270090514675e-08,0.0120782071351619
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,X,1.0,2.0,5.27633385133417e-05,5.27772613844501e-05,0.0002638043495091391
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,X,2.0,5.0,4.010637658645548e-06,3.983117284552985e-06,0.006909255270812643
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,X,5.0,10.0,1.452481054887626e-10,2.43917318192725e-10,0.404519094564665
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,X,10.0,20.0,2.477331942814289e-11,7.67575963024498e-11,0.6772525375791084
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,X,0.0,0.5,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,X,0.5,1.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,X,1.0,2.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,X,2.0,5.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,X,5.0,10.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,X,10.0,20.0,0.0,0.0,0.0
COMMON_B2,common,BASE_C2_0T,B2,displacement,X,0.0,0.5,3.356306654217051e-09,5.1771709953119955e-12,647.2897044073368
COMMON_B2,common,BASE_C2_0T,B2,displacement,X,0.5,1.0,1.6948535009409278e-08,1.6746270090514675e-08,0.0120782071351619
COMMON_B2,common,BASE_C2_0T,B2,displacement,X,1.0,2.0,5.27633385133417e-05,5.27772613844501e-05,0.0002638043495091391
COMMON_B2,common,BASE_C2_0T,B2,displacement,X,2.0,5.0,4.010637658645548e-06,3.983117284552985e-06,0.006909255270812643
COMMON_B2,common,BASE_C2_0T,B2,displacement,X,5.0,10.0,1.452481054887626e-10,2.43917318192725e-10,0.404519094564665
COMMON_B2,common,BASE_C2_0T,B2,displacement,X,10.0,20.0,2.477331942814289e-11,7.67575963024498e-11,0.6772525375791084
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,Y,0.0,0.5,3.643417264140628e-07,2.2245217336697347e-11,16377.429614756691
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,Y,0.5,1.0,3.490863681015455e-10,1.5629128253410343e-10,1.2335626302469773
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,Y,1.0,2.0,3.66529582079965e-07,3.663977910045488e-07,0.000359693968282007
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,Y,2.0,5.0,1.371008286213033e-07,1.3747908495772369e-07,0.0027513736837622644
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,Y,5.0,10.0,1.5089247667526247e-09,1.502201886797975e-09,0.004475350492988641
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,Y,10.0,20.0,4.5440972516622257e-10,4.389719439551031e-10,0.035168036189343374
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,Y,0.0,0.5,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,Y,0.5,1.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,Y,1.0,2.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,Y,2.0,5.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,Y,5.0,10.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,Y,10.0,20.0,0.0,0.0,0.0
COMMON_B2,common,BASE_C2_0T,B2,displacement,Y,0.0,0.5,3.643417264140628e-07,2.2245217336697347e-11,16377.429614756691
COMMON_B2,common,BASE_C2_0T,B2,displacement,Y,0.5,1.0,3.490863681015455e-10,1.5629128253410343e-10,1.2335626302469773
COMMON_B2,common,BASE_C2_0T,B2,displacement,Y,1.0,2.0,3.66529582079965e-07,3.663977910045488e-07,0.000359693968282007
COMMON_B2,common,BASE_C2_0T,B2,displacement,Y,2.0,5.0,1.371008286213033e-07,1.3747908495772369e-07,0.0027513736837622644
COMMON_B2,common,BASE_C2_0T,B2,displacement,Y,5.0,10.0,1.5089247667526247e-09,1.502201886797975e-09,0.004475350492988641
COMMON_B2,common,BASE_C2_0T,B2,displacement,Y,10.0,20.0,4.5440972516622257e-10,4.389719439551031e-10,0.035168036189343374
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,Z,0.0,0.5,2.189970200446729e-07,1.147477710558154e-11,19084.07834441061
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,Z,0.5,1.0,1.3424495902923863e-10,1.147909073744143e-10,0.16947380328104666
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,Z,1.0,2.0,2.0831646729012443e-07,2.0849064315305116e-07,0.0008354133321890948
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,Z,2.0,5.0,3.674621398194793e-08,3.652462728971114e-08,0.0060667749044823315
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,Z,5.0,10.0,3.979367075241318e-10,3.711858369472536e-10,0.0720686726543382
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,Z,10.0,20.0,1.0057904673625615e-10,8.946896745125755e-11,0.12417802061984617
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,Z,0.0,0.5,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,Z,0.5,1.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,Z,1.0,2.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,Z,2.0,5.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,Z,5.0,10.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,Z,10.0,20.0,0.0,0.0,0.0
COMMON_B2,common,BASE_C2_0T,B2,displacement,Z,0.0,0.5,2.189970200446729e-07,1.147477710558154e-11,19084.07834441061
COMMON_B2,common,BASE_C2_0T,B2,displacement,Z,0.5,1.0,1.3424495902923863e-10,1.147909073744143e-10,0.16947380328104666
COMMON_B2,common,BASE_C2_0T,B2,displacement,Z,1.0,2.0,2.0831646729012443e-07,2.0849064315305116e-07,0.0008354133321890948
COMMON_B2,common,BASE_C2_0T,B2,displacement,Z,2.0,5.0,3.674621398194793e-08,3.652462728971114e-08,0.0060667749044823315
COMMON_B2,common,BASE_C2_0T,B2,displacement,Z,5.0,10.0,3.979367075241318e-10,3.711858369472536e-10,0.0720686726543382
COMMON_B2,common,BASE_C2_0T,B2,displacement,Z,10.0,20.0,1.0057904673625615e-10,8.946896745125755e-11,0.12417802061984617
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,X,0.0,0.5,3.275268231124557e-09,1.2876829973987699e-14,254352.61325270892
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,X,0.5,1.0,4.034373857571874e-12,4.7305505773695916e-14,84.28338914442334
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,X,1.0,2.0,1.3575272062365964e-10,1.6532683653885083e-10,0.17888273031971702
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,X,2.0,5.0,2.581801884035819e-10,7.527757131777977e-12,33.297093262173625
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,X,5.0,10.0,2.8945713183700394e-11,5.733321091155606e-12,4.048681684399802
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,X,10.0,20.0,1.7679708358956966e-11,3.1028174070735373e-12,4.697953195264498
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,X,0.0,0.5,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,X,0.5,1.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,X,1.0,2.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,X,2.0,5.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,X,5.0,10.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,X,10.0,20.0,0.0,0.0,0.0
COMMON_B2,common,BASE_C3_0T,B2,displacement,X,0.0,0.5,3.275268231124557e-09,1.2876829973987699e-14,254352.61325270892
COMMON_B2,common,BASE_C3_0T,B2,displacement,X,0.5,1.0,4.034373857571874e-12,4.7305505773695916e-14,84.28338914442334
COMMON_B2,common,BASE_C3_0T,B2,displacement,X,1.0,2.0,1.3575272062365964e-10,1.6532683653885083e-10,0.17888273031971702
COMMON_B2,common,BASE_C3_0T,B2,displacement,X,2.0,5.0,2.581801884035819e-10,7.527757131777977e-12,33.297093262173625
COMMON_B2,common,BASE_C3_0T,B2,displacement,X,5.0,10.0,2.8945713183700394e-11,5.733321091155606e-12,4.048681684399802
COMMON_B2,common,BASE_C3_0T,B2,displacement,X,10.0,20.0,1.7679708358956966e-11,3.1028174070735373e-12,4.697953195264498
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,Y,0.0,0.5,3.240053798762232e-08,2.1703492863109987e-11,1491.8720548338279
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,Y,0.5,1.0,2.4057642084402344e-10,5.502174902205604e-11,3.372387739756981
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,Y,1.0,2.0,1.2150578917516255e-08,1.2516215218473172e-08,0.029213008451409495
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,Y,2.0,5.0,2.1005654233319525e-08,2.135089792170793e-08,0.016169984496876188
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,Y,5.0,10.0,1.4977660588787287e-09,1.4965406927384123e-09,0.0008187990786098674
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,Y,10.0,20.0,4.519992873487019e-10,4.385976354053635e-10,0.030555686719451303
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,Y,0.0,0.5,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,Y,0.5,1.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,Y,1.0,2.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,Y,2.0,5.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,Y,5.0,10.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,Y,10.0,20.0,0.0,0.0,0.0
COMMON_B2,common,BASE_C3_0T,B2,displacement,Y,0.0,0.5,3.240053798762232e-08,2.1703492863109987e-11,1491.8720548338279
COMMON_B2,common,BASE_C3_0T,B2,displacement,Y,0.5,1.0,2.4057642084402344e-10,5.502174902205604e-11,3.372387739756981
COMMON_B2,common,BASE_C3_0T,B2,displacement,Y,1.0,2.0,1.2150578917516255e-08,1.2516215218473172e-08,0.029213008451409495
COMMON_B2,common,BASE_C3_0T,B2,displacement,Y,2.0,5.0,2.1005654233319525e-08,2.135089792170793e-08,0.016169984496876188
COMMON_B2,common,BASE_C3_0T,B2,displacement,Y,5.0,10.0,1.4977660588787287e-09,1.4965406927384123e-09,0.0008187990786098674
COMMON_B2,common,BASE_C3_0T,B2,displacement,Y,10.0,20.0,4.519992873487019e-10,4.385976354053635e-10,0.030555686719451303
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,Z,0.0,0.5,2.2430758713113273e-08,1.1283952106726977e-11,1986.845969298388
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,Z,0.5,1.0,8.518997793252142e-11,6.199039015478997e-11,0.3742449066670186
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,Z,1.0,2.0,4.059482181806035e-08,4.221302879086547e-08,0.03833430149781824
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,Z,2.0,5.0,1.6265443416705524e-08,1.6610486719775446e-08,0.020772618460308808
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,Z,5.0,10.0,3.823660817380936e-10,3.6823512650847625e-10,0.03837481601389839
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,Z,10.0,20.0,9.946021022459111e-11,9.051302148549449e-11,0.09884974108979978
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,Z,0.0,0.5,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,Z,0.5,1.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,Z,1.0,2.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,Z,2.0,5.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,Z,5.0,10.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,Z,10.0,20.0,0.0,0.0,0.0
COMMON_B2,common,BASE_C3_0T,B2,displacement,Z,0.0,0.5,2.2430758713113273e-08,1.1283952106726977e-11,1986.845969298388
COMMON_B2,common,BASE_C3_0T,B2,displacement,Z,0.5,1.0,8.518997793252142e-11,6.199039015478997e-11,0.3742449066670186
COMMON_B2,common,BASE_C3_0T,B2,displacement,Z,1.0,2.0,4.059482181806035e-08,4.221302879086547e-08,0.03833430149781824
COMMON_B2,common,BASE_C3_0T,B2,displacement,Z,2.0,5.0,1.6265443416705524e-08,1.6610486719775446e-08,0.020772618460308808
COMMON_B2,common,BASE_C3_0T,B2,displacement,Z,5.0,10.0,3.823660817380936e-10,3.6823512650847625e-10,0.03837481601389839
COMMON_B2,common,BASE_C3_0T,B2,displacement,Z,10.0,20.0,9.946021022459111e-11,9.051302148549449e-11,0.09884974108979978
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,X,0.0,0.5,4.6595369109510736e-09,4.061826869464167e-12,1146.1530079187635
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,X,0.5,1.0,1.681906144101299e-08,1.711943479612213e-08,0.017545751871269676
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,X,1.0,2.0,5.275140700094043e-05,5.280143814496043e-05,0.0009475337372941771
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,X,2.0,5.0,4.009996684161606e-06,3.990211971234122e-06,0.004958311255169933
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,X,5.0,10.0,1.4453796168884802e-10,2.5094470050724774e-10,0.4240246500655888
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,X,10.0,20.0,2.0368684709543806e-11,1.0313000426719181e-10,0.8024950657737576
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,X,0.0,0.5,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,X,0.5,1.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,X,1.0,2.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,X,2.0,5.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,X,5.0,10.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,X,10.0,20.0,0.0,0.0,0.0
COMMON_B2,common,BASE_C8_0T,B2,displacement,X,0.0,0.5,4.6595369109510736e-09,4.061826869464167e-12,1146.1530079187635
COMMON_B2,common,BASE_C8_0T,B2,displacement,X,0.5,1.0,1.681906144101299e-08,1.711943479612213e-08,0.017545751871269676
COMMON_B2,common,BASE_C8_0T,B2,displacement,X,1.0,2.0,5.275140700094043e-05,5.280143814496043e-05,0.0009475337372941771
COMMON_B2,common,BASE_C8_0T,B2,displacement,X,2.0,5.0,4.009996684161606e-06,3.990211971234122e-06,0.004958311255169933
COMMON_B2,common,BASE_C8_0T,B2,displacement,X,5.0,10.0,1.4453796168884802e-10,2.5094470050724774e-10,0.4240246500655888
COMMON_B2,common,BASE_C8_0T,B2,displacement,X,10.0,20.0,2.0368684709543806e-11,1.0313000426719181e-10,0.8024950657737576
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,Y,0.0,0.5,4.606047297851452e-08,2.224908705556409e-11,2069.218560585641
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,Y,0.5,1.0,4.225477179736343e-10,1.6073370477137295e-10,1.628868155404398
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,Y,1.0,2.0,3.6637438761781736e-07,3.6679616289049514e-07,0.001149890089781822
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,Y,2.0,5.0,1.37044676146645e-07,1.3770793488775594e-07,0.004816416291853883
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,Y,5.0,10.0,1.5027804609002856e-09,1.5028591420640073e-09,5.2354316861425485e-05
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,Y,10.0,20.0,4.553506334019955e-10,4.389465615851994e-10,0.037371455326030735
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,Y,0.0,0.5,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,Y,0.5,1.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,Y,1.0,2.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,Y,2.0,5.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,Y,5.0,10.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,Y,10.0,20.0,0.0,0.0,0.0
COMMON_B2,common,BASE_C8_0T,B2,displacement,Y,0.0,0.5,4.606047297851452e-08,2.224908705556409e-11,2069.218560585641
COMMON_B2,common,BASE_C8_0T,B2,displacement,Y,0.5,1.0,4.225477179736343e-10,1.6073370477137295e-10,1.628868155404398
COMMON_B2,common,BASE_C8_0T,B2,displacement,Y,1.0,2.0,3.6637438761781736e-07,3.6679616289049514e-07,0.001149890089781822
COMMON_B2,common,BASE_C8_0T,B2,displacement,Y,2.0,5.0,1.37044676146645e-07,1.3770793488775594e-07,0.004816416291853883
COMMON_B2,common,BASE_C8_0T,B2,displacement,Y,5.0,10.0,1.5027804609002856e-09,1.5028591420640073e-09,5.2354316861425485e-05
COMMON_B2,common,BASE_C8_0T,B2,displacement,Y,10.0,20.0,4.553506334019955e-10,4.389465615851994e-10,0.037371455326030735
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,Z,0.0,0.5,3.8252635829929054e-08,1.1382699658979797e-11,3359.594320851785
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,Z,0.5,1.0,1.3641484232346985e-10,1.165328267318061e-10,0.17061300364249396
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,Z,1.0,2.0,2.0828122417815229e-07,2.0863415787670136e-07,0.001691639097552054
