epoch,elapsed_s,learning_rate,loss_total,loss_q,loss_qdot,loss_variational,gradient_norm,data_gradient_norm,physics_gradient_norm,data_physics_gradient_cosine,reduced_q_relative_l2,reduced_qdot_relative_l2,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,variational_weak_median,variational_weak_p90,hard_BC_max_abs,finite,peak_vram_GiB
0,0.7680000999971526,0.0,5.02128791809082,1.0452675819396973,1.0325993299484253,58.8684196472168,0.0,0.25606247782707214,940.7315063476562,0.1470622718334198,1.0782554362733123,1.0293632633272911,1.3967740741457324,0.9389801202337521,1.1228727473142635,1.0816491483779505,1.050753613647187,0.9960722405649017,1.0988605907541384,1.337476914612417,6.603308987785806e-17,True,0.04448986053466797
1,0.9698032999949646,0.0002,5.02128791809082,1.0452675819396973,1.0325993299484253,58.8684196472168,47.074920654296875,0.25606247782707214,940.7315063476562,0.1470623016357422,1.0797783996818207,1.0266409392288203,1.4062976386053678,0.9410537463406955,1.1242331213704428,1.0756973364129678,1.0475726464630606,0.9949304679921777,1.07952864806379,1.2335050924421174,6.617793561952306e-17,True,0.04883289337158203
5,1.2628992999962065,0.001,2.53341007232666,1.0329002141952515,1.0219569206237793,9.571054458618164,16.945524215698242,0.17863939702510834,338.7734680175781,0.03304951637983322,1.0716247519896585,1.0080260294648107,1.3864899762516065,0.9628832829327844,1.1069677935502564,1.0330604874573013,1.0237251901952487,0.9886069711042315,1.1377295685368067,1.351038162492848,6.828624081113477e-17,True,0.05343151092529297
10,1.4914317000002484,0.0009973620807194618,2.1148934364318848,1.0162476301193237,1.0069243907928467,1.8344284296035767,2.2445566654205322,0.11883869022130966,44.727516174316406,0.04238218069076538,1.0590035179651804,0.9884315403425414,1.3111388736392198,0.9809975190234037,1.0850044403454326,1.0011727789609837,0.9983159680455993,0.9820801025145576,1.0767870816713354,1.3404270299226895,7.771375966020568e-17,True,0.05350923538208008
15,1.7427385999981198,0.000989479250069539,2.0360262393951416,1.0010665655136108,0.995788037776947,0.7834360003471375,0.8372220396995544,0.09744885563850403,16.61410903930664,0.008505508303642273,1.0475934644354146,0.9748590769502689,1.2633885820027637,0.9743478476394387,1.0722823275962843,0.9863114827146119,0.984279355435467,0.9733764140500837,1.0831282497555577,1.2397362989680338,8.08063929545157e-17,True,0.05350923538208008
20,1.9986549999957788,0.0009764439270322612,2.00042724609375,0.9853663444519043,0.9857255220413208,0.5867063403129578,0.9708640575408936,0.0966842770576477,19.30786895751953,0.00666341558098793,1.0337005334803155,0.9595284801159556,1.2645580315997291,0.955615336119718,1.0600078949798888,0.9731404318512592,0.9698096563052994,0.9619110611692228,1.065224699988363,1.1406693341212482,9.439770034475037e-17,True,0.05451154708862305
25,2.243319299996074,0.0009584089388519307,1.96255624294281,0.9675249457359314,0.9737845063209534,0.4249362349510193,0.5563104748725891,0.10755091905593872,10.912293434143066,0.001861213007941842,1.0140013497814075,0.9332063615023842,1.2796583242257202,0.9317113201701495,1.0416219339215402,0.9565807538191011,0.9485767789354959,0.9404531536800602,1.067344302229232,1.1681634643306162,1.2123258277519102e-16,True,0.05451154708862305
30,2.4513559999977588,0.0009355857292754152,1.921177864074707,0.9452682137489319,0.9584581851959229,0.349029541015625,0.3820236325263977,0.122576504945755,7.290742874145508,-0.0220454353839159,0.9786391227908183,0.8940826536615046,1.3091989873668228,0.8853275213223293,1.0095204076976354,0.9424891504389725,0.9201061145885018,0.906184199610826,1.0614267360321346,1.2347275124020547,1.6780913633053014e-16,True,0.05451154708862305
35,2.6614712000009604,0.0009082418795675396,1.8713388442993164,0.9168316721916199,0.9399929046630859,0.2902846932411194,0.29896053671836853,0.13556072115898132,5.370466709136963,-0.015165571123361588,0.924693022025148,0.8447131193808209,1.4170460535893286,0.8147955450836099,0.9597690909975513,0.9427058837262986,0.8831444224132988,0.8629152872027296,1.0518960144543064,1.2173666152776914,2.3432070164098377e-16,True,0.05451154708862305
40,2.9133062999972026,0.0008766979713654089,1.8258320093154907,0.8840585947036743,0.9183681607246399,0.46810445189476013,1.5395516157150269,0.14936478435993195,30.553667068481445,0.030868081375956535,0.8508480237588911,0.7896826131517131,1.6350993180149027,0.7318265716739584,0.8861451619946181,0.9439502606215826,0.8416537959609312,0.8138157882090312,1.0488891615441172,1.1900490175918341,3.393319231689213e-16,True,0.05451154708862305
