trial_id,route,outer_fold,axis,validation_case_count,physics_displacement_pooled_l2,control_displacement_pooled_l2,displacement_reduction_vs_control,physics_velocity_pooled_l2,control_velocity_pooled_l2,velocity_reduction_vs_control,physics_displacement_p90,control_displacement_p90,physics_displacement_worst,control_displacement_worst
R4_LHS_03,R4,0,X,14,0.06982248276472092,0.08750908076763153,0.20211157342487657,0.4963752031326294,0.4785168170928955,-0.03732028928100765,0.10232701450586319,0.12644294202327727,0.11042214184999466,0.12808096408843994
R4_LHS_03,R4,0,Y,14,0.0385715626180172,0.05420682206749916,0.2884371164576426,0.26038894057273865,0.24492017924785614,-0.06315837826179409,0.05041475147008896,0.07317590564489365,0.051484931260347366,0.0758427157998085
R4_LHS_03,R4,0,Z,14,0.029405919834971428,0.05323663353919983,0.4476375029739829,0.2541663944721222,0.25762033462524414,0.013407094428886351,0.03763077706098557,0.05832650512456894,0.03789820522069931,0.05875498056411743
R4_LHS_03,R4,1,X,14,0.07594432681798935,0.055343493819236755,-0.3722358596665248,0.48055705428123474,0.44478273391723633,-0.08043100065717744,0.11969612985849382,0.09870972484350206,0.13914130628108978,0.11978853493928909
R4_LHS_03,R4,1,Y,14,0.05183976888656616,0.034123100340366364,-0.5191986768342276,0.2525396943092346,0.24987651407718658,-0.010657985372828522,0.0575400285422802,0.0406982570886612,0.05924569442868233,0.04400111362338066
R4_LHS_03,R4,1,Z,14,0.031534917652606964,0.024090439081192017,-0.3090221206149385,0.24636682868003845,0.24356280267238617,-0.011512537944572552,0.0484370194375515,0.038965788483619694,0.05098475515842438,0.04196026548743248
R4_LHS_03,R4,2,X,14,0.07245413959026337,0.08025479316711426,0.0971986004699759,0.4754558205604553,0.4584221839904785,-0.03715709484585196,0.10751402825117112,0.1024101734161377,0.11133204400539398,0.10509751737117767
R4_LHS_03,R4,2,Y,14,0.0403294712305069,0.054026033729314804,0.25351782378531484,0.25592660903930664,0.24311792850494385,-0.05268505129642188,0.04574851840734482,0.06613975167274475,0.049413975328207016,0.06750234961509705
R4_LHS_03,R4,2,Z,14,0.02845880202949047,0.042439308017492294,0.3294235142156288,0.2587992250919342,0.25456076860427856,-0.016650077350467276,0.045888256281614304,0.06321435198187829,0.048606351017951965,0.06567253917455673
R4_LHS_03,R4,3,X,13,0.07353229075670242,0.07026173174381256,-0.046548226633737595,0.5595384836196899,0.4982469975948334,-0.12301426063925394,0.12022176012396812,0.10498774722218514,0.12086747586727142,0.10885472595691681
R4_LHS_03,R4,3,Y,13,0.060942888259887695,0.05132114887237549,-0.1874809819912523,0.30197012424468994,0.29365241527557373,-0.028325014665078033,0.06978929191827775,0.059140161052346235,0.07477488368749619,0.06604459136724472
R4_LHS_03,R4,3,Z,13,0.03924627974629402,0.040126901119947433,0.021945910326368244,0.28913235664367676,0.29132962226867676,0.00754219776172842,0.058001036196947096,0.0650370929390192,0.06297041475772858,0.06676198542118073
R4_LHS_03,R4,4,X,13,0.056789446622133255,0.06147861108183861,0.07627310339628962,0.4708031117916107,0.46818122267723083,-0.005600158629572894,0.09279997497797013,0.09607862234115601,0.09875229001045227,0.10336660593748093
R4_LHS_03,R4,4,Y,13,0.043414756655693054,0.048500288277864456,0.10485569885761771,0.2732439935207367,0.2693372070789337,-0.014505186580694104,0.050207403302192685,0.0553841732442379,0.05122087523341179,0.056398507207632065
R4_LHS_03,R4,4,Z,13,0.032164961099624634,0.04623037204146385,0.30424611182501415,0.26046979427337646,0.27675700187683105,0.05885020972550898,0.0488544650375843,0.060647003352642066,0.054738327860832214,0.07280018925666809
R2_LHS_02,R2,0,X,14,0.11548468470573425,0.0655311718583107,-0.7622862743158533,0.5379401445388794,0.5165475606918335,-0.04141454819454365,0.12378230839967728,0.08603719770908357,0.12796249985694885,0.09032196551561356
R2_LHS_02,R2,0,Y,14,0.06402304768562317,0.04041991010308266,-0.5839482948464153,0.2513047754764557,0.2460004985332489,-0.02156205769839069,0.09400202631950379,0.052558050304651265,0.09853783249855042,0.05377015098929405
R2_LHS_02,R2,0,Z,14,0.0558776929974556,0.031052272766828537,-0.7994719232643968,0.27355965971946716,0.2683145999908447,-0.019548171172203845,0.06558366417884827,0.043839319795370105,0.06781046837568283,0.0498330257833004
R2_LHS_02,R2,1,X,14,0.05988147109746933,0.06393600255250931,0.06341546692272598,0.5476599931716919,0.5287618637084961,-0.0357403412769841,0.1032743200659752,0.10410212427377702,0.12294303625822067,0.123104989528656
R2_LHS_02,R2,1,Y,14,0.03754795342683792,0.04193907603621483,0.1047024165621848,0.2781631052494049,0.2723546326160431,-0.021326872899387825,0.04593878835439682,0.05329462587833405,0.04869599640369415,0.056703366339206696
R2_LHS_02,R2,1,Z,14,0.029748503118753433,0.03446745499968529,0.13691036605327958,0.291874498128891,0.295409232378006,0.011965551044768772,0.039905096590518954,0.042126339673995976,0.04234422370791435,0.04521174728870392
R2_LHS_02,R2,2,X,14,0.07709793001413345,0.1252528429031372,0.3844616359426171,0.5002096891403198,0.5241550207138062,0.045683682550397085,0.1045623317360878,0.15501075983047485,0.1075027734041214,0.15686681866645813
R2_LHS_02,R2,2,Y,14,0.04889680817723274,0.079680897295475,0.3863421492868964,0.24538873136043549,0.27408504486083984,0.10469857454270892,0.061854615807533264,0.09701771289110184,0.07344052195549011,0.10996522754430771
R2_LHS_02,R2,2,Z,14,0.0399116687476635,0.08693346381187439,0.5408940700438086,0.280738890171051,0.30475035309791565,0.07879059919956775,0.048727286607027055,0.10370523780584336,0.04965744540095329,0.1077674999833107
R2_LHS_02,R2,3,X,13,0.06256628781557083,0.05764112249016762,-0.08544534028190282,0.5244461894035339,0.5281635522842407,0.007038279837049834,0.10327535346150399,0.10568718612194061,0.10826913267374039,0.1106368824839592
R2_LHS_02,R2,3,Y,13,0.047487687319517136,0.04613346979022026,-0.029354339386454577,0.2825198471546173,0.2801806330680847,-0.008348949964590012,0.05238642357289791,0.048742154985666274,0.06218820810317993,0.05280882120132446
R2_LHS_02,R2,3,Z,13,0.034425362944602966,0.03555307909846306,0.03171922608269512,0.3138473629951477,0.31098392605781555,-0.00920766862014536,0.059409618750214575,0.06168707907199859,0.06553014367818832,0.06875530630350113
R2_LHS_02,R2,4,X,13,0.07258419692516327,0.059444304555654526,-0.22104543854502604,0.5366460680961609,0.5339877009391785,-0.004978330310430149,0.09363303631544113,0.09164887666702272,0.09901195764541626,0.09743767231702805
R2_LHS_02,R2,4,Y,13,0.051741741597652435,0.04676796868443489,-0.10634998810356486,0.2793678343296051,0.27705252170562744,-0.008356944776116192,0.068492491543293,0.05709681436419487,0.07072627544403076,0.058760806918144226
R2_LHS_02,R2,4,Z,13,0.04191608354449272,0.031381525099277496,-0.33569300446324596,0.3034781515598297,0.29777222871780396,-0.01916203826862984,0.052325817942619327,0.04789460971951485,0.05418597161769867,0.0570218451321125
R6_LHS_04,R6,0,X,14,0.08657106012105942,0.07840423285961151,-0.10416309124624949,0.4617786407470703,0.47553879022598267,0.028935913876496466,0.10867556482553482,0.0979022890329361,0.10911060124635696,0.10673154890537262
R6_LHS_04,R6,0,Y,14,0.07221735268831253,0.05109338089823723,-0.41343852019008004,0.2271118015050888,0.22412174940109253,-0.013341195631331714,0.10528436899185181,0.07136287093162537,0.10691561549901962,0.07537921518087387
R6_LHS_04,R6,0,Z,14,0.08348605781793594,0.04921715706586838,-0.696279565806793,0.23338422179222107,0.24018962681293488,0.028333467648101265,0.1002938613295555,0.059582269936800006,0.10213813930749893,0.0700215995311737
R6_LHS_04,R6,1,X,14,0.06781893223524094,0.06990675628185272,0.029865840694911053,0.4561920464038849,0.4615905284881592,0.011695391805277856,0.11025899052619935,0.10904657840728761,0.12605084478855133,0.12568128108978271
R6_LHS_04,R6,1,Y,14,0.038208507001399994,0.04736018553376198,0.19323569849273425,0.23192349076271057,0.23036408424377441,-0.006769312690627468,0.04478458687663078,0.05809653028845787,0.0462881475687027,0.06150228902697563
R6_LHS_04,R6,1,Z,14,0.030509749427437782,0.03897203877568245,0.21713745582961183,0.23168866336345673,0.2480701357126236,0.0660356487575915,0.0465674489736557,0.06484851390123368,0.04955668747425079,0.07134676724672318
R6_LHS_04,R6,2,X,14,0.060392189770936966,0.058754872530698776,-0.0278669184310239,0.4429576098918915,0.4503335654735565,0.016378871457002585,0.09268812835216524,0.08878457993268968,0.10328704863786697,0.09752166271209717
R6_LHS_04,R6,2,Y,14,0.032919544726610184,0.03466634452342987,0.05038892392127128,0.22153185307979584,0.21711033582687378,-0.020365300602030414,0.0389175646007061,0.04299784153699875,0.040711790323257446,0.046484027057886124
R6_LHS_04,R6,2,Z,14,0.021324165165424347,0.025804845616221428,0.1736371733214493,0.22547824680805206,0.23925645649433136,0.05758761911031538,0.032557607442140576,0.03862652778625489,0.03468463942408562,0.0409010611474514
R6_LHS_04,R6,3,X,13,0.06892038136720657,0.0779118463397026,0.1154056205174813,0.4746367931365967,0.5194471478462219,0.08626547454427641,0.11783184707164765,0.12294006794691086,0.12659138441085815,0.12407433241605759
R6_LHS_04,R6,3,Y,13,0.05410441756248474,0.06298541277647018,0.1410008257864933,0.2532966136932373,0.255295068025589,0.007828017782746095,0.055984838679432866,0.06580069810152053,0.05886811763048172,0.06750088185071945
R6_LHS_04,R6,3,Z,13,0.04419576749205589,0.05601157248020172,0.2109529239216116,0.2613757252693176,0.28850284218788147,0.09402720858083566,0.07235470265150071,0.09597202017903328,0.07287555932998657,0.10492382198572159
