run_id,trial_id,route,phase,outer_fold,inner_fold,variant,selected_epoch,status,peak_vram_GiB
S10_OUTER_R2_LHS_02_OUTER_1_OUTER_OOF_PHYSICS_SEED_20260813,R2_LHS_02,R2,outer,1,,physics,70,PASS_S10_FOLD_TRIAL_EXECUTION,4.552417278289795
S10_OUTER_R2_LHS_02_OUTER_1_OUTER_OOF_CONTROL_SEED_20260813,R2_LHS_02,R2,outer,1,,control,70,PASS_S10_FOLD_TRIAL_EXECUTION,4.553918361663818
S10_INNER_R6_LHS_04_OUTER_1_INNER_0_PHYSICS_SEED_20260813,R6_LHS_04,R6,inner,1,0,physics,75,PASS_S10_FOLD_TRIAL_EXECUTION,4.089056968688965
S10_INNER_R6_LHS_04_OUTER_1_INNER_1_PHYSICS_SEED_20260813,R6_LHS_04,R6,inner,1,1,physics,90,PASS_S10_FOLD_TRIAL_EXECUTION,4.089056968688965
S10_INNER_R6_LHS_04_OUTER_1_INNER_2_PHYSICS_SEED_20260813,R6_LHS_04,R6,inner,1,2,physics,90,PASS_S10_FOLD_TRIAL_EXECUTION,4.089056968688965
S10_INNER_R6_LHS_04_OUTER_1_INNER_3_PHYSICS_SEED_20260813,R6_LHS_04,R6,inner,1,3,physics,85,PASS_S10_FOLD_TRIAL_EXECUTION,4.089056968688965
S10_OUTER_R6_LHS_04_OUTER_1_OUTER_OOF_PHYSICS_SEED_20260813,R6_LHS_04,R6,outer,1,,physics,80,PASS_S10_FOLD_TRIAL_EXECUTION,4.088991165161133
S10_OUTER_R6_LHS_04_OUTER_1_OUTER_OOF_CONTROL_SEED_20260813,R6_LHS_04,R6,outer,1,,control,80,PASS_S10_FOLD_TRIAL_EXECUTION,4.062607288360596
S10_INNER_R4_LHS_03_OUTER_2_INNER_0_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,R4,inner,2,0,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,4.115423679351807
S10_INNER_R4_LHS_03_OUTER_2_INNER_1_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,R4,inner,2,1,physics,100,PASS_S10_FOLD_TRIAL_EXECUTION,4.115182876586914
S10_INNER_R4_LHS_03_OUTER_2_INNER_2_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,R4,inner,2,2,physics,90,PASS_S10_FOLD_TRIAL_EXECUTION,4.115468978881836
S10_INNER_R4_LHS_03_OUTER_2_INNER_3_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,R4,inner,2,3,physics,100,PASS_S10_FOLD_TRIAL_EXECUTION,4.115468978881836
S10_OUTER_R4_LHS_03_OUTER_2_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,R4,outer,2,,physics,85,PASS_S10_FOLD_TRIAL_EXECUTION,4.115468978881836
S10_OUTER_R4_LHS_03_OUTER_2_OUTER_OOF_CONTROL_SEED_20260813,R4_LHS_03,R4,outer,2,,control,85,PASS_S10_FOLD_TRIAL_EXECUTION,4.115426540374756
S10_INNER_R2_LHS_02_OUTER_2_INNER_0_PHYSICS_SEED_20260813,R2_LHS_02,R2,inner,2,0,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,4.551508903503418
S10_INNER_R2_LHS_02_OUTER_2_INNER_1_PHYSICS_SEED_20260813,R2_LHS_02,R2,inner,2,1,physics,85,PASS_S10_FOLD_TRIAL_EXECUTION,4.551508903503418
S10_INNER_R2_LHS_02_OUTER_2_INNER_2_PHYSICS_SEED_20260813,R2_LHS_02,R2,inner,2,2,physics,100,PASS_S10_FOLD_TRIAL_EXECUTION,4.551508903503418
S10_INNER_R2_LHS_02_OUTER_2_INNER_3_PHYSICS_SEED_20260813,R2_LHS_02,R2,inner,2,3,physics,90,PASS_S10_FOLD_TRIAL_EXECUTION,4.551508903503418
S10_OUTER_R2_LHS_02_OUTER_2_OUTER_OOF_PHYSICS_SEED_20260813,R2_LHS_02,R2,outer,2,,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,4.552417278289795
S10_OUTER_R2_LHS_02_OUTER_2_OUTER_OOF_CONTROL_SEED_20260813,R2_LHS_02,R2,outer,2,,control,95,PASS_S10_FOLD_TRIAL_EXECUTION,4.553918361663818
S10_INNER_R6_LHS_04_OUTER_2_INNER_0_PHYSICS_SEED_20260813,R6_LHS_04,R6,inner,2,0,physics,100,PASS_S10_FOLD_TRIAL_EXECUTION,4.089056968688965
S10_INNER_R6_LHS_04_OUTER_2_INNER_1_PHYSICS_SEED_20260813,R6_LHS_04,R6,inner,2,1,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,4.089056968688965
S10_INNER_R6_LHS_04_OUTER_2_INNER_2_PHYSICS_SEED_20260813,R6_LHS_04,R6,inner,2,2,physics,70,PASS_S10_FOLD_TRIAL_EXECUTION,4.089056968688965
S10_INNER_R6_LHS_04_OUTER_2_INNER_3_PHYSICS_SEED_20260813,R6_LHS_04,R6,inner,2,3,physics,75,PASS_S10_FOLD_TRIAL_EXECUTION,4.089056968688965
S10_OUTER_R6_LHS_04_OUTER_2_OUTER_OOF_PHYSICS_SEED_20260813,R6_LHS_04,R6,outer,2,,physics,85,PASS_S10_FOLD_TRIAL_EXECUTION,4.088991165161133
S10_OUTER_R6_LHS_04_OUTER_2_OUTER_OOF_CONTROL_SEED_20260813,R6_LHS_04,R6,outer,2,,control,85,PASS_S10_FOLD_TRIAL_EXECUTION,4.062607288360596
S10_INNER_R4_LHS_03_OUTER_3_INNER_0_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,R4,inner,3,0,physics,90,PASS_S10_FOLD_TRIAL_EXECUTION,4.115423679351807
S10_INNER_R4_LHS_03_OUTER_3_INNER_1_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,R4,inner,3,1,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,4.115468978881836
S10_INNER_R4_LHS_03_OUTER_3_INNER_2_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,R4,inner,3,2,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,4.1145710945129395
S10_INNER_R4_LHS_03_OUTER_3_INNER_3_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,R4,inner,3,3,physics,100,PASS_S10_FOLD_TRIAL_EXECUTION,4.115423679351807
S10_OUTER_R4_LHS_03_OUTER_3_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,R4,outer,3,,physics,85,PASS_S10_FOLD_TRIAL_EXECUTION,4.115468978881836
S10_OUTER_R4_LHS_03_OUTER_3_OUTER_OOF_CONTROL_SEED_20260813,R4_LHS_03,R4,outer,3,,control,85,PASS_S10_FOLD_TRIAL_EXECUTION,4.115426540374756
S10_INNER_R2_LHS_02_OUTER_3_INNER_0_PHYSICS_SEED_20260813,R2_LHS_02,R2,inner,3,0,physics,90,PASS_S10_FOLD_TRIAL_EXECUTION,4.551508903503418
