trial_id,variant,case_id,axis,derivative_vs_velocity_relative_l2,model
R4_LHS_03,control,V40_CPLUS_E3_C6_1T,Z,1.1460843722470977,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E4_C7_1T,X,0.863997153247762,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E4_C7_1T,Y,1.0378468827571388,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E4_C7_1T,Z,1.2077989857466862,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E5_C9_1T,X,0.924301529005244,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E5_C9_1T,Y,1.19976243124171,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E5_C9_1T,Z,1.3670282329560877,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E6_C10_1T,X,0.8354727266459244,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E6_C10_1T,Y,1.0281908064142309,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E6_C10_1T,Z,1.1742470560045424,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E7_C11_2T,X,0.9043104906552007,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E7_C11_2T,Y,0.8275118255129796,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E7_C11_2T,Z,0.9421496337132572,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E8_C12_2T,X,0.8739254227868557,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E8_C12_2T,Y,0.7452220608839054,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E8_C12_2T,Z,0.8819516709825007,R4_LHS_03-control
R4_LHS_03,control,V40_C_E1_C4_2T,X,0.8540216123290967,R4_LHS_03-control
R4_LHS_03,control,V40_C_E1_C4_2T,Y,0.7487596960040824,R4_LHS_03-control
R4_LHS_03,control,V40_C_E1_C4_2T,Z,0.8943096559075664,R4_LHS_03-control
R4_LHS_03,control,V40_C_E2_C5_2T,X,0.8465810228162076,R4_LHS_03-control
R4_LHS_03,control,V40_C_E2_C5_2T,Y,0.8114587007782278,R4_LHS_03-control
R4_LHS_03,control,V40_C_E2_C5_2T,Z,0.9257795057393652,R4_LHS_03-control
R4_LHS_03,control,V40_C_E3_C6_1T,X,0.825648992636031,R4_LHS_03-control
R4_LHS_03,control,V40_C_E3_C6_1T,Y,0.9730244824282566,R4_LHS_03-control
R4_LHS_03,control,V40_C_E3_C6_1T,Z,1.0101342487734222,R4_LHS_03-control
R4_LHS_03,control,V40_C_E4_C7_1T,X,0.9090272447069998,R4_LHS_03-control
R4_LHS_03,control,V40_C_E4_C7_1T,Y,1.1243803118828104,R4_LHS_03-control
R4_LHS_03,control,V40_C_E4_C7_1T,Z,1.149377228424729,R4_LHS_03-control
R4_LHS_03,control,V40_C_E5_C9_1T,X,0.926580629619276,R4_LHS_03-control
R4_LHS_03,control,V40_C_E5_C9_1T,Y,1.2176661159033009,R4_LHS_03-control
R4_LHS_03,control,V40_C_E5_C9_1T,Z,1.2695956709897367,R4_LHS_03-control
R4_LHS_03,control,V40_C_E6_C10_1T,X,0.8297946689969515,R4_LHS_03-control
R4_LHS_03,control,V40_C_E6_C10_1T,Y,1.0020280845791616,R4_LHS_03-control
R4_LHS_03,control,V40_C_E6_C10_1T,Z,1.0506010760497997,R4_LHS_03-control
R4_LHS_03,control,V40_C_E7_C11_2T,X,0.9017315433406032,R4_LHS_03-control
R4_LHS_03,control,V40_C_E7_C11_2T,Y,0.8724203590750919,R4_LHS_03-control
R4_LHS_03,control,V40_C_E7_C11_2T,Z,0.9713986739255658,R4_LHS_03-control
R4_LHS_03,control,V40_C_E8_C12_2T,X,0.8036410726151738,R4_LHS_03-control
R4_LHS_03,control,V40_C_E8_C12_2T,Y,0.7035145049740462,R4_LHS_03-control
R4_LHS_03,control,V40_C_E8_C12_2T,Z,0.8686301792510287,R4_LHS_03-control
R4_LHS_03,control,V52_A_E1_C4_2T,X,0.8790530761481966,R4_LHS_03-control
R4_LHS_03,control,V52_A_E1_C4_2T,Y,0.6928494254142957,R4_LHS_03-control
R4_LHS_03,control,V52_A_E1_C4_2T,Z,0.7599311944126761,R4_LHS_03-control
R4_LHS_03,control,V52_A_E2_C5_2T,X,0.9744671949178396,R4_LHS_03-control
R4_LHS_03,control,V52_A_E2_C5_2T,Y,0.855736429531086,R4_LHS_03-control
R4_LHS_03,control,V52_A_E2_C5_2T,Z,0.9754716813851672,R4_LHS_03-control
R4_LHS_03,control,V52_A_E3_C6_1T,X,0.8307209263449697,R4_LHS_03-control
R4_LHS_03,control,V52_A_E3_C6_1T,Y,0.8880144396474877,R4_LHS_03-control
R4_LHS_03,control,V52_A_E3_C6_1T,Z,0.7103069562887458,R4_LHS_03-control
R4_LHS_03,control,V52_A_E4_C7_1T,X,1.0284568835030998,R4_LHS_03-control
R4_LHS_03,control,V52_A_E4_C7_1T,Y,1.1494211787514077,R4_LHS_03-control
R4_LHS_03,control,V52_A_E4_C7_1T,Z,1.111083947277332,R4_LHS_03-control
R4_LHS_03,control,V52_A_E5_C9_1T,X,1.0473807065583618,R4_LHS_03-control
R4_LHS_03,control,V52_A_E5_C9_1T,Y,1.257157996587485,R4_LHS_03-control
R4_LHS_03,control,V52_A_E5_C9_1T,Z,1.2268543096331237,R4_LHS_03-control
R4_LHS_03,control,V52_A_E6_C10_1T,X,0.8382394098960179,R4_LHS_03-control
R4_LHS_03,control,V52_A_E6_C10_1T,Y,0.9410882435715572,R4_LHS_03-control
R4_LHS_03,control,V52_A_E6_C10_1T,Z,0.7276118830412227,R4_LHS_03-control
R4_LHS_03,control,V52_A_E7_C11_2T,X,0.98605580472889,R4_LHS_03-control
R4_LHS_03,control,V52_A_E7_C11_2T,Y,0.9276221233447824,R4_LHS_03-control
R4_LHS_03,control,V52_A_E7_C11_2T,Z,1.152850679579858,R4_LHS_03-control
R4_LHS_03,control,V52_A_E8_C12_2T,X,0.9457048088085228,R4_LHS_03-control
R4_LHS_03,control,V52_A_E8_C12_2T,Y,0.7481807800855896,R4_LHS_03-control
R4_LHS_03,control,V52_A_E8_C12_2T,Z,0.861384288480842,R4_LHS_03-control
R4_LHS_03,control,V52_B_E1_C4_2T,X,0.8991800033427728,R4_LHS_03-control
R4_LHS_03,control,V52_B_E1_C4_2T,Y,0.7208128100759499,R4_LHS_03-control
R4_LHS_03,control,V52_B_E1_C4_2T,Z,0.7805522072893764,R4_LHS_03-control
R4_LHS_03,control,V52_B_E2_C5_2T,X,0.9306575182301496,R4_LHS_03-control
R4_LHS_03,control,V52_B_E2_C5_2T,Y,0.7682991272904559,R4_LHS_03-control
R4_LHS_03,control,V52_B_E2_C5_2T,Z,0.8319819803352693,R4_LHS_03-control
R4_LHS_03,control,V52_B_E3_C6_1T,X,0.8503778345279622,R4_LHS_03-control
R4_LHS_03,control,V52_B_E3_C6_1T,Y,0.899314782982421,R4_LHS_03-control
R4_LHS_03,control,V52_B_E3_C6_1T,Z,0.8541201531217615,R4_LHS_03-control
R4_LHS_03,control,V52_B_E4_C7_1T,X,0.910527153505864,R4_LHS_03-control
R4_LHS_03,control,V52_B_E4_C7_1T,Y,1.0688195523362034,R4_LHS_03-control
R4_LHS_03,control,V52_B_E4_C7_1T,Z,1.033124069809448,R4_LHS_03-control
R4_LHS_03,control,V52_B_E5_C9_1T,X,0.8929629284811558,R4_LHS_03-control
R4_LHS_03,control,V52_B_E5_C9_1T,Y,1.038649717692999,R4_LHS_03-control
R4_LHS_03,control,V52_B_E5_C9_1T,Z,1.0246078380548571,R4_LHS_03-control
R4_LHS_03,control,V52_B_E6_C10_1T,X,0.8491810293519351,R4_LHS_03-control
R4_LHS_03,control,V52_B_E6_C10_1T,Y,0.8961294654926854,R4_LHS_03-control
R4_LHS_03,control,V52_B_E6_C10_1T,Z,0.8242045051224732,R4_LHS_03-control
R4_LHS_03,control,V52_B_E7_C11_2T,X,0.9407323367150372,R4_LHS_03-control
R4_LHS_03,control,V52_B_E7_C11_2T,Y,0.7978919657963902,R4_LHS_03-control
R4_LHS_03,control,V52_B_E7_C11_2T,Z,0.8991577130958374,R4_LHS_03-control
R4_LHS_03,control,V52_B_E8_C12_2T,X,0.9206192882854712,R4_LHS_03-control
R4_LHS_03,control,V52_B_E8_C12_2T,Y,0.7429473238107827,R4_LHS_03-control
R4_LHS_03,control,V52_B_E8_C12_2T,Z,0.7918937929268841,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E1_C4_2T,X,0.8672688353965939,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E1_C4_2T,Y,0.6787193616843524,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E1_C4_2T,Z,0.7109978188591143,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E2_C5_2T,X,0.9669602521818648,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E2_C5_2T,Y,0.7417099689128698,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E2_C5_2T,Z,0.836071172674659,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E3_C6_1T,X,0.8362451657950926,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E3_C6_1T,Y,0.9700787368925132,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E3_C6_1T,Z,0.948666408777261,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E4_C7_1T,X,0.9152512867688438,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E4_C7_1T,Y,1.0441046116043713,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E4_C7_1T,Z,1.2987221168541272,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E5_C9_1T,X,0.8970634377654461,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E5_C9_1T,Y,1.0634539600687023,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E5_C9_1T,Z,1.1827671235091672,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E6_C10_1T,X,0.8630972717101769,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E6_C10_1T,Y,0.9664089676799504,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E6_C10_1T,Z,1.0932919954597242,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E7_C11_2T,X,0.9384534449373784,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E7_C11_2T,Y,0.7648624909277864,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E7_C11_2T,Z,0.8211445143529948,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E8_C12_2T,X,0.945338675565239,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E8_C12_2T,Y,0.6901786695686318,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E8_C12_2T,Z,0.7501402521867861,R4_LHS_03-control
R4_LHS_03,control,V52_C_E1_C4_2T,X,0.9275235159636804,R4_LHS_03-control
R4_LHS_03,control,V52_C_E1_C4_2T,Y,0.7505967459747761,R4_LHS_03-control
R4_LHS_03,control,V52_C_E1_C4_2T,Z,0.8154099928085677,R4_LHS_03-control
R4_LHS_03,control,V52_C_E2_C5_2T,X,0.9519799700766288,R4_LHS_03-control
R4_LHS_03,control,V52_C_E2_C5_2T,Y,0.7588192470868841,R4_LHS_03-control
R4_LHS_03,control,V52_C_E2_C5_2T,Z,0.8604770261050804,R4_LHS_03-control
R4_LHS_03,control,V52_C_E3_C6_1T,X,0.8381709498744235,R4_LHS_03-control
R4_LHS_03,control,V52_C_E3_C6_1T,Y,0.9541542415122845,R4_LHS_03-control
R4_LHS_03,control,V52_C_E3_C6_1T,Z,0.8599804063867401,R4_LHS_03-control
R4_LHS_03,control,V52_C_E4_C7_1T,X,0.8936001496401017,R4_LHS_03-control
R4_LHS_03,control,V52_C_E4_C7_1T,Y,1.0371342163574149,R4_LHS_03-control
R4_LHS_03,control,V52_C_E4_C7_1T,Z,1.0697179821101117,R4_LHS_03-control
R4_LHS_03,control,V52_C_E5_C9_1T,X,0.9388602539596768,R4_LHS_03-control
R4_LHS_03,control,V52_C_E5_C9_1T,Y,1.1114740897103397,R4_LHS_03-control
R4_LHS_03,control,V52_C_E5_C9_1T,Z,1.242647564903928,R4_LHS_03-control
R4_LHS_03,control,V52_C_E6_C10_1T,X,0.8221369859179678,R4_LHS_03-control
R4_LHS_03,control,V52_C_E6_C10_1T,Y,0.9079387486568978,R4_LHS_03-control
R4_LHS_03,control,V52_C_E6_C10_1T,Z,0.8776606990930239,R4_LHS_03-control
R4_LHS_03,control,V52_C_E7_C11_2T,X,0.8986691901946356,R4_LHS_03-control
R4_LHS_03,control,V52_C_E7_C11_2T,Y,0.7445435823646156,R4_LHS_03-control
R4_LHS_03,control,V52_C_E7_C11_2T,Z,0.8108825294156793,R4_LHS_03-control
R4_LHS_03,control,V52_C_E8_C12_2T,X,0.9135228490058092,R4_LHS_03-control
R4_LHS_03,control,V52_C_E8_C12_2T,Y,0.7256040383270224,R4_LHS_03-control
R4_LHS_03,control,V52_C_E8_C12_2T,Z,0.7514884320125644,R4_LHS_03-control
R4_LHS_03,physics,BASE_C1_0T,X,,R4_LHS_03-physics
R4_LHS_03,physics,BASE_C1_0T,Y,,R4_LHS_03-physics
R4_LHS_03,physics,BASE_C1_0T,Z,,R4_LHS_03-physics
R4_LHS_03,physics,BASE_C2_0T,X,,R4_LHS_03-physics
R4_LHS_03,physics,BASE_C2_0T,Y,,R4_LHS_03-physics
R4_LHS_03,physics,BASE_C2_0T,Z,,R4_LHS_03-physics
R4_LHS_03,physics,BASE_C3_0T,X,,R4_LHS_03-physics
R4_LHS_03,physics,BASE_C3_0T,Y,,R4_LHS_03-physics
R4_LHS_03,physics,BASE_C3_0T,Z,,R4_LHS_03-physics
R4_LHS_03,physics,BASE_C8_0T,X,,R4_LHS_03-physics
R4_LHS_03,physics,BASE_C8_0T,Y,,R4_LHS_03-physics
R4_LHS_03,physics,BASE_C8_0T,Z,,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E1_C4_2T,X,0.8729399311635988,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E1_C4_2T,Y,0.7565972042857161,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E1_C4_2T,Z,0.8325520239137068,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E2_C5_2T,X,0.894258950130627,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E2_C5_2T,Y,0.907175412555002,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E2_C5_2T,Z,1.0001731018905322,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E3_C6_1T,X,0.8412946033300629,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E3_C6_1T,Y,0.890858716969334,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E3_C6_1T,Z,0.7097767288289035,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E4_C7_1T,X,0.8695189051150916,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E4_C7_1T,Y,1.009057041061579,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E4_C7_1T,Z,0.8104156748371721,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E5_C9_1T,X,0.9430086513161487,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E5_C9_1T,Y,1.132873889562612,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E5_C9_1T,Z,0.9277605358674028,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E6_C10_1T,X,0.8578689705602428,R4_LHS_03-physics
R4_LHS_03,physics,V40_A_E6_C10_1T,Y,0.9823211346385812,R4_LHS_03-physics
