trial_id,seed,observation_node_zero_based,X_m,Y_m,Z_m,axis,node_relative_l2
R4_LHS_03,20260813,0,-8.336,-17.092913958612904,-105.81646918606299,X,0.0
R4_LHS_03,20260813,0,-8.336,-17.092913958612904,-105.81646918606299,Y,0.0
R4_LHS_03,20260813,0,-8.336,-17.092913958612904,-105.81646918606299,Z,0.0
R4_LHS_03,20260813,1,-8.336,-17.0929139586129,-29.183530813936898,X,1.0
R4_LHS_03,20260813,1,-8.336,-17.0929139586129,-29.183530813936898,Y,0.0
R4_LHS_03,20260813,1,-8.336,-17.0929139586129,-29.183530813936898,Z,0.029279625039211745
R4_LHS_03,20260813,2,-8.336,-16.127119864078097,-105.24757298778898,X,0.03769049494702115
R4_LHS_03,20260813,2,-8.336,-16.127119864078097,-105.24757298778898,Y,0.03311979752233763
R4_LHS_03,20260813,2,-8.336,-16.127119864078097,-105.24757298778898,Z,0.07515782836851269
R4_LHS_03,20260813,3,-8.336000000000002,-16.1271198640781,-28.6146346156628,X,0.06423694010189053
R4_LHS_03,20260813,3,-8.336000000000002,-16.1271198640781,-28.6146346156628,Y,0.048764716961699574
R4_LHS_03,20260813,3,-8.336000000000002,-16.1271198640781,-28.6146346156628,Z,0.02858171312510389
R4_LHS_03,20260813,4,-8.336,-14.53323430000629,-107.32423573259814,X,0.04796888168549917
R4_LHS_03,20260813,4,-8.336,-14.53323430000629,-107.32423573259814,Y,0.03345921092468683
R4_LHS_03,20260813,4,-8.336,-14.53323430000629,-107.32423573259814,Z,0.03841072785967126
R4_LHS_03,20260813,5,-8.336,-14.3200758620046,-30.816857276085102,X,0.01575609971731035
R4_LHS_03,20260813,5,-8.336,-14.3200758620046,-30.816857276085102,Y,0.04262497079243698
R4_LHS_03,20260813,5,-8.336,-14.3200758620046,-30.816857276085102,Z,0.028590547125508892
R4_LHS_03,20260813,6,-8.336,-12.726190297932762,-108.3886659964721,X,0.03498350697407336
R4_LHS_03,20260813,6,-8.336,-12.726190297932762,-108.3886659964721,Y,0.03231788378819129
R4_LHS_03,20260813,6,-8.336,-12.726190297932762,-108.3886659964721,Z,0.041549902080967094
R4_LHS_03,20260813,7,-8.336000000000002,-12.726190297932702,-31.755727624346303,X,0.013910692163270358
