trial_id,factor,level,median_relative_l2,q25,q75,case_count
R4_LHS_03,speed_kmh,0.0,0.07272775440134241,0.03423088860040659,0.11604859307779054,4
R4_LHS_03,speed_kmh,40.0,0.0336451957829014,0.02946029186324966,0.05248115638067663,32
R4_LHS_03,speed_kmh,52.0,0.03353415500076114,0.026224168959201263,0.04580368285451124,32
R4_LHS_03,train_count,0.0,0.07272775440134241,0.03423088860040659,0.11604859307779054,4
R4_LHS_03,train_count,1.0,0.030696144864628464,0.02530627759116454,0.038010157966854106,32
R4_LHS_03,train_count,2.0,0.0437415847713175,0.030519708104134645,0.056533564953627546,32
R4_LHS_03,wind_mps,0.0,0.03229160730327976,0.02732351977678052,0.05236619638305212,34
R4_LHS_03,wind_mps,20.0,0.03750595734553516,0.025653694399951858,0.05149714637740361,34
R4_LHS_03,seismic_scale_factor,0.0,0.05249465036637016,0.0401647023038571,0.06436485958826488,34
R4_LHS_03,seismic_scale_factor,0.4,0.026390267674002085,0.02275987018988058,0.031666202551011914,34
