trial_id,variant,case_id,axis,hotspot_distance_m,model
R4_LHS_03,control,V52_B_E5_C9_1T,Y,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_B_E5_C9_1T,Z,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_B_E6_C10_1T,X,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_B_E6_C10_1T,Y,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_B_E6_C10_1T,Z,0.5240000000000045,R4_LHS_03-control
R4_LHS_03,control,V52_B_E7_C11_2T,X,9.902761372205656,R4_LHS_03-control
R4_LHS_03,control,V52_B_E7_C11_2T,Y,1.0347168233735533,R4_LHS_03-control
R4_LHS_03,control,V52_B_E7_C11_2T,Z,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_B_E8_C12_2T,X,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_B_E8_C12_2T,Y,1.034716823373547,R4_LHS_03-control
R4_LHS_03,control,V52_B_E8_C12_2T,Z,7.811999999999991,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E1_C4_2T,X,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E1_C4_2T,Y,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E1_C4_2T,Z,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E2_C5_2T,X,8.556802959534613,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E2_C5_2T,Y,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E2_C5_2T,Z,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E3_C6_1T,X,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E3_C6_1T,Y,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E3_C6_1T,Z,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E4_C7_1T,X,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E4_C7_1T,Y,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E4_C7_1T,Z,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E5_C9_1T,X,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E5_C9_1T,Y,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E5_C9_1T,Z,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E6_C10_1T,X,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E6_C10_1T,Y,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E6_C10_1T,Z,0.5240000000000045,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E7_C11_2T,X,10.30760891233149,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E7_C11_2T,Y,1.0347168233735533,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E7_C11_2T,Z,8.86000000000001,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E8_C12_2T,X,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E8_C12_2T,Y,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_CPLUS_E8_C12_2T,Z,7.811999999999991,R4_LHS_03-control
R4_LHS_03,control,V52_C_E1_C4_2T,X,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_C_E1_C4_2T,Y,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_C_E1_C4_2T,Z,7.811999999999991,R4_LHS_03-control
R4_LHS_03,control,V52_C_E2_C5_2T,X,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_C_E2_C5_2T,Y,1.0347168233735533,R4_LHS_03-control
R4_LHS_03,control,V52_C_E2_C5_2T,Z,8.86000000000001,R4_LHS_03-control
R4_LHS_03,control,V52_C_E3_C6_1T,X,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_C_E3_C6_1T,Y,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_C_E3_C6_1T,Z,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_C_E4_C7_1T,X,0.0,R4_LHS_03-control
R4_LHS_03,control,V52_C_E4_C7_1T,Y,0.0,R4_LHS_03-control
