trial_context,seed,case_id,axis,model,frequency_hz,target_psd,predicted_psd,coherence,phase_rad
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.0,9.518853923492418e-20,9.190693279916732e-20,0.970928966999054,
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.03330557868442947,1.3141449926479254e-05,1.2581946066347882e-05,0.9641962200775432,
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.06661115736885893,8.970120688900352e-06,8.209141924453434e-06,0.9574634731560325,
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.09991673605328841,4.575193997879978e-06,3.906732217728859e-06,0.9507307262345218,
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.13322231473771787,1.47323839883029e-06,1.1862326800837764e-06,0.9439979793130111,
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.16652789342214733,3.4587836239552416e-07,4.057213232044887e-07,0.9318206039793188,0.029013199227661216
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.19983347210657681,4.721482227409979e-08,7.695965109633107e-08,0.9074445042284601,0.024378612032664206
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.23313905079100627,5.1885313823163415e-09,8.228446368718778e-09,0.8830684044776014,0.0197440248376672
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.26644462947543573,3.5275631304898525e-09,3.3782918684721608e-09,0.8586923047267427,0.015109437642670191
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.2997502081598652,9.108997112150519e-09,5.626036081451957e-09,0.8343162049758841,0.010474850447673184
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.33305578684429465,1.0513941717249509e-08,5.692865290285454e-09,0.798294113091287,0.0154435611194268
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.3663613655287241,9.647405541102216e-09,6.239064820334761e-09,0.7550485577313331,0.0263687476832156
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.39966694421315363,4.215656268513612e-09,2.562949408257964e-09,0.7118030023713791,0.03729393424700442
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.4329725228975831,2.262122267282507e-09,9.89587856103924e-10,0.668557447011425,0.04821912081079322
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.46627810158201255,2.3878146127032096e-09,1.4025104411174993e-09,0.6253118916514712,0.059144307374582025
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.499583680266442,4.259737895750959e-09,1.9808379381203167e-09,0.6471682228116966,0.04668972315189181
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.5328892589508715,5.137705372249002e-09,2.339491489422585e-09,0.6742436925537084,0.03236081131340796
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.566194837635301,5.458549168224636e-09,2.2546886579988268e-09,0.7013191622957203,0.01803189947492409
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.5995004163197304,5.2372772785247435e-09,1.6955494785975134e-09,0.7283946320377321,0.0037029876364402664
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.6328059950041599,3.9130454432267925e-09,1.4364830436264242e-09,0.7582951296775368,-0.006369604379773056
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.6661115736885893,2.2553761080956747e-09,8.83626005698801e-10,0.7974240517834641,-0.0025382183099027485
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.6994171523730188,2.0360622077220114e-09,1.172784314107389e-09,0.8365529738893915,0.001293167759967571
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.7327227310574482,2.5678978943233233e-09,1.710374286645333e-09,0.8756818959953188,0.005124553829837878
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.7660283097418777,2.361062012568027e-09,2.665094367415577e-09,0.9148108181012462,0.008955939899708196
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.7993338884263073,4.391789598656715e-09,3.6396352598444537e-09,0.9403127924190969,0.00945375269167726
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.8326394671107367,5.903808553142653e-09,4.581014234616987e-09,0.95434460205202,0.0071456081202330895
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.8659450457951662,1.1232264895966182e-08,1.0912834191856291e-08,0.9683764116849432,0.00483746354878891
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.8992506244795956,2.5711974771525092e-08,2.6183954560110578e-08,0.9824082213178662,0.002529318977344739
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.9325562031640251,5.999122265620827e-08,6.468096813705415e-08,0.9964400309507893,0.00022117440590056076
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.9658617818484545,1.5883695425600308e-07,1.6196293017856078e-07,0.9987649456051169,0.0001023380252803394
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,0.999167360532884,4.743144188523729e-07,4.718349373433739e-07,0.9990492088411571,0.0003651241733358467
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.0324729392173135,1.575089072503033e-06,1.562730631121667e-06,0.9993334720771974,0.0006279103213913539
