epoch,elapsed_s,lr,train_data_loss,train_physics_loss,val_X_l2,val_Y_l2,val_Z_l2,val_P90_worst,val_case_worst,val_velocity_median,val_residual_median,selection_key,peak_vram_GiB,trial_id,route,fold
0,0.9619957999966572,0.0,,,1.007114161053153,1.0054781060452216,0.9991941502080128,1.0129337695000369,1.0141134654182462,1.0029930648967469,1.1554505083992177,"[6.0, 1.0071141610531533, 1.0071141610531533, 1.0129337695000369, 1.0141134654182462, 3.011786417306388, 1.0029930648967469, 1.1554505083992175, 301024]",0.5185713768005371,R1_LHS_07,R1,0
1,2.376977299994905,0.0002369343074569,9.956234455108644,1.1663500666618347,1.0056898294197116,1.0034772491366268,0.99682541921047,1.0107222843824015,1.011868609016104,1.0022222258332074,1.1521596385863344,"[6.0, 1.0056898294197116, 1.0056898294197116, 1.0107222843824017, 1.011868609016104, 3.005992497766808, 1.0022222258332074, 1.1521596385863344, 301024]",0.5385985374450684,R1_LHS_07,R1,0
5,4.217529699999432,0.0011846715372846,8.657206296920776,0.8210841976106167,0.9929392142073716,0.7726547038613877,0.6581817695927428,1.005405623315294,1.0078127214231918,0.9829282537906268,1.2024533804913196,"[6.0, 0.9929392142073717, 0.9929392142073717, 1.005405623315294, 1.0078127214231918, 2.423775687661502, 0.9829282537906269, 1.2024533804913196, 301024]",0.5385985374450684,R1_LHS_07,R1,0
10,6.4427998999963165,0.0011846715372846,2.882859587669373,0.3692780416458845,0.7026164592367248,0.3353333492881767,0.3031705376690628,0.7946263984235568,0.8134310502823306,0.8110933079602489,0.56433728450658,"[6.0, 0.7026164592367248, 0.7026164592367248, 0.7946263984235568, 0.8134310502823306, 1.3411203461939643, 0.8110933079602489, 0.56433728450658, 301024]",0.5385985374450684,R1_LHS_07,R1,0
15,8.551247199997306,0.0011846715372846,1.8196691870689392,0.2300665955990553,0.471753853249459,0.2672676216727785,0.2118143983458637,0.5227440849455984,0.5330418316847076,0.7672582773825202,0.5735918690102997,"[6.0, 0.471753853249459, 0.471753853249459, 0.5227440849455984, 0.5330418316847076, 0.9508358732681013, 0.7672582773825202, 0.5735918690102997, 301024]",0.5385985374450684,R1_LHS_07,R1,0
20,10.94886449999467,0.0011846715372846,1.0286303982138634,0.1843940075486898,0.3371456885540486,0.2271139134738038,0.2529906948486583,0.3526813801763215,0.3557260506434878,0.7535665920291386,0.503284916341422,"[6.0, 0.33714568855404864, 0.33714568855404864, 0.35268138017632156, 0.3557260506434878, 0.8172502968765107, 0.7535665920291386, 0.503284916341422, 301024]",0.5385985374450684,R1_LHS_07,R1,0
25,14.239658799997414,0.0011846715372846,1.1517144590616226,0.1703969147056341,0.2607740540542292,0.2048458414578673,0.1688631282441674,0.3086446757104495,0.3187217337217883,0.7263070918341182,0.3127992103340242,"[6.0, 0.2607740540542292, 0.2607740540542292, 0.30864467571044957, 0.3187217337217883, 0.634483023756264, 0.7263070918341182, 0.3127992103340242, 301024]",0.5385985374450684,R1_LHS_07,R1,0
30,17.088063199997123,0.0011846715372846,0.6746379770338535,0.0935968710109591,0.1820575009074253,0.1451762607613522,0.1341248836089449,0.2023989397189898,0.2065146736266307,0.7145193804481585,0.2522431286329041,"[4.0, 0.18205750090742537, 0.18205750090742537, 0.20239893971898984, 0.20651467362663076, 0.4613586452777225, 0.7145193804481585, 0.25224312863290416, 301024]",0.5385985374450684,R1_LHS_07,R1,0
35,19.37612569999328,0.0011846715372846,0.8270678892731667,0.0860479399561882,0.1927534630387919,0.1480344518074163,0.1124308965426267,0.1974829724002215,0.1992461473114301,0.7116289571146639,0.22367163865059,"[3.0, 0.19275346303879196, 0.19275346303879196, 0.1974829724002215, 0.1992461473114301, 0.453218811388835, 0.7116289571146639, 0.22367163865059003, 301024]",0.5385985374450684,R1_LHS_07,R1,0
40,21.60764209999616,0.0011846715372846,0.8299424834549427,0.069775344338268,0.1737100178644282,0.275803499050104,0.1824270954861054,0.2937143115213941,0.3180792217163733,0.7067678715332592,0.2780018498353437,"[6.0, 0.275803499050104, 0.275803499050104, 0.29371431152139416, 0.3180792217163733, 0.6319406124006376, 0.7067678715332592, 0.27800184983534376, 301024]",0.5385985374450684,R1_LHS_07,R1,0
45,24.505988299999444,0.0011846715372846,0.588911160826683,0.0538241351023316,0.1355247059727666,0.1040253936059359,0.1006835503616548,0.1462719830060116,0.153552048601857,0.7041929775737406,0.1993953756473878,"[3.0, 0.1355247059727666, 0.1355247059727666, 0.1462719830060116, 0.15355204860185703, 0.34023364994035743, 0.7041929775737406, 0.19939537564738782, 301024]",0.5385985374450684,R1_LHS_07,R1,0
50,26.66499159999512,0.0011846715372846,0.6305765137076378,0.0515540014021098,0.1940353082559697,0.135940341576186,0.1335530325085482,0.2344320406554331,0.2430647913981687,0.7031211236013954,0.1943119602120873,"[4.0, 0.19403530825596974, 0.19403530825596974, 0.23443204065543316, 0.2430647913981687, 0.46352868234070405, 0.7031211236013954, 0.1943119602120873, 301024]",0.5385985374450684,R1_LHS_07,R1,0
55,29.073839499993483,0.0011846715372846,0.557465486228466,0.0422024112194776,0.132244128053089,0.123963794778606,0.1195366323602491,0.1480749859452229,0.1512913336716048,0.7009865204005788,0.2058400560852578,"[3.0, 0.13224412805308902, 0.13224412805308902, 0.14807498594522298, 0.15129133367160488, 0.37574455519194416, 0.7009865204005788, 0.20584005608525785, 301024]",0.5385985374450684,R1_LHS_07,R1,0
60,31.338873599997896,0.0011846715372846,0.6305924244225025,0.043793857563287,0.1623337725783925,0.118731485723961,0.1043340808499963,0.1838510344112874,0.1882523968020185,0.7004074094278581,0.1837578815382,"[3.0, 0.16233377257839252, 0.16233377257839252, 0.1838510344112874, 0.18825239680201858, 0.3853993391523499, 0.7004074094278581, 0.18375788153820008, 301024]",0.5385985374450684,R1_LHS_07,R1,0
