case_id,B2__X,B2__Y,B2__Z,R4_LHS_03-control__X,R4_LHS_03-control__Y,R4_LHS_03-control__Z,R4_LHS_03-physics__X,R4_LHS_03-physics__Y,R4_LHS_03-physics__Z
BASE_C1_0T,0.3819923878453377,0.0228171677397597,0.0354964603879568,0.3819923878453377,0.0228171677397597,0.0354964603879568,0.3819923878453377,0.0228171677397597,0.0354964603879568
BASE_C3_0T,0.2824886377266512,0.0138120164583427,0.0211250461351502,0.2824886377266512,0.0138120164583427,0.0211250461351502,0.2824886377266512,0.0138120164583427,0.0211250461351502
V52_A_E8_C12_2T,0.1575327526838655,0.0238813094524506,0.0549581237893308,0.1917212963333082,0.0399545398887341,0.058769924100951,0.2069903195189436,0.0401526383305014,0.0531705584642899
V40_B_E8_C12_2T,0.1233825322752077,0.0202498312895391,0.0510049042754836,0.1772265453739201,0.0370695757960258,0.0519256750248661,0.1927789295448846,0.034248148408499,0.041910671390544
V40_A_E8_C12_2T,0.1084914608276598,0.0169616219707558,0.0459163979582993,0.1805403999711846,0.0324716300781598,0.0453062757238588,0.1416530549544526,0.0268873509440754,0.0354384150283702
V40_B_E1_C4_2T,0.143487582312361,0.0375196161915235,0.0623783922430588,0.1636132654630485,0.0411074788221799,0.053471725777714,0.1710123964545687,0.0413237707436171,0.0456868260977245
V40_C_E1_C4_2T,0.1422757549749358,0.0372015468981067,0.0599268933013538,0.1480006171788112,0.0408284653674382,0.0500170208299908,0.1619027894635683,0.0386055725122174,0.0416227083984135
V52_B_E1_C4_2T,0.1364717064555413,0.0202672672649831,0.0471131674593262,0.1050172341877931,0.0302833842563154,0.042875332542306,0.1188889769117909,0.0367103185585281,0.0430237167950553
V40_CPLUS_E1_C4_2T,0.0827521861678357,0.0170271554216938,0.0475325754109076,0.131898440084215,0.0342493523835873,0.0492633915581979,0.088359449603607,0.0254605545168648,0.0319367908535236
V40_A_E1_C4_2T,0.0810589575750497,0.0230666272667278,0.0465941591718207,0.1274396299662581,0.0488926108518889,0.0623976609903806,0.1200183541924579,0.0433215592911883,0.0594167333847641
V40_CPLUS_E8_C12_2T,0.1220548571666241,0.0327699029043744,0.0618500437207356,0.0848712122357013,0.0306707220686252,0.040708093173607,0.1003902698728486,0.0291522642912932,0.0310220763193083
V40_CPLUS_E6_C10_1T,0.0819597834684513,0.0311044947719366,0.047973621157136,0.1112460522572715,0.0334086555454791,0.0275417476787368,0.1045017461878677,0.0405578555869887,0.0295047000618053
V52_CPLUS_E8_C12_2T,0.0794222285396152,0.0174799069510439,0.0447770781485903,0.1083029052279739,0.0348950266783264,0.047178961833964,0.1044505443427061,0.025243994580728,0.0325126896068746
V40_C_E6_C10_1T,0.0874742481095959,0.0308255625536018,0.0450121657334293,0.1076078573714819,0.0296232448589608,0.0226966585442625,0.0945306381866814,0.0361818867006646,0.0249870866694644
V52_C_E8_C12_2T,0.1064394179116483,0.0292630575855547,0.0604156536404247,0.0812115038427859,0.037222182675939,0.0469270265776657,0.0982988087923688,0.0313015034092929,0.0366381312137768
V52_A_E1_C4_2T,0.0737980849515047,0.0160594875819766,0.0450431222015213,0.0846452041184649,0.0202459156156515,0.0266226182383997,0.0988375583448733,0.0341533012617028,0.0343069741202489
V52_C_E1_C4_2T,0.0860877005152865,0.0220410660136556,0.0427402914932424,0.0988373832225567,0.0413230292165683,0.0580715800693762,0.0940068975958309,0.0361559517657587,0.046346428901466
V40_CPLUS_E3_C6_1T,0.0629024118901722,0.0224956663567174,0.0338033196625179,0.0939712511073097,0.0386179291577748,0.0327722169586307,0.0830537170906581,0.0445480353350346,0.0298012347592566
V52_C_E3_C6_1T,0.0939614818114154,0.0419826970119718,0.0376067241480853,0.078809584587316,0.0515523811890852,0.0344037192094871,0.0788945368743955,0.0370873490148802,0.0232052327487654
V40_A_E6_C10_1T,0.0475645663082099,0.0163053122928837,0.0227453865551136,0.0887248899801026,0.0278287879993422,0.0247113979067467,0.0512643972311425,0.0226199649370315,0.0151349971518637
V52_A_E6_C10_1T,0.0879825420654204,0.0257425592150042,0.0259984907185852,0.0881608570171194,0.0318270258682067,0.0238203714743154,0.0648322081730429,0.0236750026760007,0.0161010351705487
V52_CPLUS_E1_C4_2T,0.0784832382321124,0.0178421183829874,0.0418877450273518,0.0656824090327155,0.0213435086706966,0.0249241927379186,0.0880697588490008,0.0362223233105122,0.0372324802315164
V52_B_E6_C10_1T,0.0676340494413268,0.0170629882140874,0.0249866969499341,0.0759314811409042,0.0389497495554848,0.040874661647858,0.0879110562810776,0.0253418912733519,0.0181573184611129
V40_C_E8_C12_2T,0.0799283695613452,0.0159492164262744,0.0438361865691309,0.0724030677133281,0.0214418902374658,0.0226020571971014,0.0845090983795556,0.0370977468708413,0.0359580697628748
V52_B_E8_C12_2T,0.0842602908594437,0.0231754392631778,0.0437552792795117,0.0750561166537892,0.0265241951775716,0.0369970316745647,0.0757789192748453,0.0259188624688955,0.0325501671234865
V52_CPLUS_E3_C6_1T,0.0835564140515025,0.0450968043726125,0.0471871746318461,0.0679763751485584,0.0544503376243168,0.0423259623736522,0.0691278118212031,0.0366375782642034,0.0310536351199581
V52_A_E3_C6_1T,0.0426320562856038,0.0161181663754891,0.0243561370924955,0.0800426531902385,0.0201865896224794,0.0166093114012114,0.0744918565775903,0.022504956237773,0.0158016364496828
V40_CPLUS_E7_C11_2T,0.0143761818220672,0.0257335238971028,0.0532699341432261,0.0154246932427621,0.0448708926484935,0.0756583364235099,0.0153190709183839,0.0352878719405154,0.0460725956559365
V40_A_E3_C6_1T,0.0684072518939457,0.0165966704289299,0.0254668325345811,0.0709454939614278,0.0310100491125545,0.0346168760489371,0.056148387047334,0.0241460638551436,0.0190449128377843
V40_C_E3_C6_1T,0.0421815725733212,0.0179249419531076,0.0270450625350479,0.0460147270460564,0.0227430585321857,0.0147643636871728,0.0709171401800805,0.0290552956473095,0.017754111979721
V52_B_E7_C11_2T,0.0168154871819539,0.0369514786067123,0.0555426272764931,0.0210218275194214,0.0474256280564123,0.0673152681731289,0.0213012987980747,0.0463577737613562,0.0605424872012468
V40_C_E7_C11_2T,0.0129547738524871,0.0242882540320953,0.0464997220130872,0.0132567061810302,0.0437106137425699,0.0672960530472513,0.0135363128400906,0.0362437956230466,0.0444843265190453
V40_B_E3_C6_1T,0.045272860604342,0.0230332040665966,0.026490603912599,0.0658971637060072,0.0407988397054419,0.0359596132247732,0.066850855737987,0.0383612191661712,0.0235847093207941
BASE_C2_0T,0.0090404013545385,0.0457175689909722,0.0641828557423997,0.0090404013545385,0.0457175689909722,0.0641828557423997,0.0090404013545385,0.0457175689909722,0.0641828557423997
V52_B_E3_C6_1T,0.053271832032336,0.0166849753254013,0.0232891676704234,0.0637172823751809,0.0360211559762462,0.0409805226632254,0.0624055013567701,0.0233477603367063,0.0183815630062476
V52_B_E2_C5_2T,0.0155140075769177,0.0360572825216068,0.061105757295061,0.0109896357802647,0.0408188617610928,0.0564270632786121,0.0110851730121399,0.0350233434777161,0.0430338579901542
V40_A_E5_C9_1T,0.0181652502536506,0.0400651178875381,0.0354668506248775,0.0206631247207722,0.0610276736800633,0.0450340523799415,0.0187582739665875,0.0491593984228299,0.0342944456832888
