model,axis,P50,P90,P95,worst
B2,X,0.030282538145069298,0.12245315969919919,0.1430634427442622,0.3819923878453377
B2,Y,0.02154662241898945,0.03729696768613174,0.041171785768500835,0.0457175689909722
B2,Z,0.0402048328608195,0.05513347483547949,0.060864221015938295,0.0641828557423997
R4_LHS_03-control,X,0.032935255491394755,0.13672909321259394,0.17938055086214202,0.3819923878453377
R4_LHS_03-control,Y,0.0325104558014285,0.046229986710604236,0.05179743416632557,0.0610276736800633
R4_LHS_03-control,Z,0.03698708331957935,0.05792470196929756,0.06355803757919301,0.0756583364235099
R4_LHS_03-physics,X,0.03282023979690215,0.1265087644210564,0.185160642963274,0.3819923878453377
R4_LHS_03-physics,Y,0.034635745943107546,0.04287465284167045,0.046087961043726304,0.0491593984228299
R4_LHS_03-physics,Z,0.0306700692657836,0.047362187188575974,0.05593779407765292,0.0641828557423997
