trial_id,perturbation,axis,case_count,paired_mean_error_change,paired_median_error_change,paired_P90_error_change,paired_worst_error_change,bootstrap_CI95_low,bootstrap_CI95_high,median_prediction_shift_relative_l2,max_prediction_shift_relative_l2,record_type,permutation_pass,functional_dependence,beneficial_use,verdict,causal_retrained_graph_free_superiority
R4_LHS_03,P1_CONSISTENT_NODE_RELABEL,X,64.0,-2.0436438379241306e-09,-1.3765508247165492e-09,7.263373731636325e-09,1.5484100668317072e-08,-4.181807617870711e-09,1.4953203248107094e-11,3.4305404028600606e-07,5.814151222693908e-07,metric,,,,,
R4_LHS_03,P1_CONSISTENT_NODE_RELABEL,Y,64.0,1.9588001608098274e-09,2.2529500071089004e-09,1.093879057958991e-08,1.8874821990089163e-08,-2.2303893495567017e-10,3.8825876985914785e-09,4.0998590122853784e-07,8.301297498292115e-07,metric,,,,,
R4_LHS_03,P1_CONSISTENT_NODE_RELABEL,Z,64.0,1.1777957671654795e-09,2.5705072220078007e-09,1.2791648206639251e-08,2.4670838337514933e-08,-1.6360768191587365e-09,3.927500938823169e-09,4.321730244782884e-07,8.57887641814159e-07,metric,,,,,
R4_LHS_03,P2_EDGE_ATTRIBUTE_MISMATCH,X,64.0,0.004884141845269625,0.00521218308880785,0.00873983740118937,0.0140642265674201,0.00392207143497875,0.005802635505390364,0.031351588666439,0.0458186641335487,metric,,,,,
R4_LHS_03,P2_EDGE_ATTRIBUTE_MISMATCH,Y,64.0,0.00230655780919063,0.0023902405569143,0.004482020559171611,0.0069587528484219,0.0018353883769830835,0.0027734937149148024,0.0172862140461802,0.0246684867888689,metric,,,,,
R4_LHS_03,P2_EDGE_ATTRIBUTE_MISMATCH,Z,64.0,0.0009886071290651564,0.0014507044100874,0.0026970956185349503,0.0037121051057746,0.0005692738626640845,0.0013920137790763589,0.01336208172142505,0.0209777895361185,metric,,,,,
R4_LHS_03,P3_CONNECTIVITY_DESTINATION_SHIFT,X,64.0,0.01327368081342644,0.0132986031154427,0.021973115511235732,0.0270035922074041,0.011566653499338459,0.014918859476499137,0.050383519381284644,0.0751889571547508,metric,,,,,
R4_LHS_03,P3_CONNECTIVITY_DESTINATION_SHIFT,Y,64.0,0.005883045390080154,0.0062183724798001005,0.009240025017760682,0.0119553432096793,0.005194576554488495,0.006573470127191757,0.0267012128606438,0.037884309887886,metric,,,,,
R4_LHS_03,P3_CONNECTIVITY_DESTINATION_SHIFT,Z,64.0,0.005271647393744026,0.00516292698392575,0.01004330407292312,0.0130177241961066,0.004381541712605872,0.006180272227071444,0.02209705580025905,0.0417953245341777,metric,,,,,
R4_LHS_03,P4_MEAN_NEUTRALIZED_EDGE_MECHANICS,X,64.0,0.018093516758630246,0.01945995309215045,0.028947477846496567,0.0432537148588272,0.01580219995571242,0.020324904068053706,0.05522703565657135,0.0863239169120788,metric,,,,,
R4_LHS_03,P4_MEAN_NEUTRALIZED_EDGE_MECHANICS,Y,64.0,0.008548703988602562,0.00835309077956065,0.013455690853817419,0.0166521283728296,0.007678828124945324,0.00939878481366078,0.03170121833682055,0.0405650921165943,metric,,,,,
R4_LHS_03,P4_MEAN_NEUTRALIZED_EDGE_MECHANICS,Z,64.0,0.0068763110565025366,0.005663226344691,0.014408998233611983,0.0198170214389081,0.005734584640922463,0.00807726599072857,0.02188806608319275,0.0511408112943172,metric,,,,,
R4_LHS_03,,,,,,,,,,,,verdict,True,True,True,PASS_FUNCTIONAL_BENEFICIAL_GRAPH_USE,False
