evidence,FEM_mode,graph_mode,value,trial_id,mode,seed,case_id,admitted_modes,response_subspace_MAC_mean,response_subspace_MAC_min
structural_MAC,8.0,2.0,0.0023652536750802533,,,,,,,
structural_MAC,8.0,3.0,0.006265745689852535,,,,,,,
structural_MAC,8.0,4.0,0.0014673169880128033,,,,,,,
structural_MAC,8.0,5.0,0.1120141135398875,,,,,,,
structural_MAC,8.0,6.0,0.00027021371462773085,,,,,,,
structural_MAC,8.0,7.0,0.18813789115301166,,,,,,,
structural_MAC,8.0,8.0,0.9984196241597432,,,,,,,
structural_MAC,8.0,9.0,0.00876527677928462,,,,,,,
structural_MAC,8.0,10.0,0.1776644716735545,,,,,,,
structural_MAC,8.0,11.0,0.04318534743970177,,,,,,,
structural_MAC,8.0,12.0,0.025516499162427576,,,,,,,
structural_MAC,9.0,1.0,0.0012537367450070748,,,,,,,
structural_MAC,9.0,2.0,0.010306892161083455,,,,,,,
structural_MAC,9.0,3.0,0.00012538955235150303,,,,,,,
structural_MAC,9.0,4.0,8.35758247715114e-05,,,,,,,
structural_MAC,9.0,5.0,0.4744525503322143,,,,,,,
structural_MAC,9.0,6.0,0.024810808213797626,,,,,,,
structural_MAC,9.0,7.0,0.08616238448171276,,,,,,,
structural_MAC,9.0,8.0,0.007937920027647321,,,,,,,
structural_MAC,9.0,9.0,0.9986349455418567,,,,,,,
structural_MAC,9.0,10.0,0.17834208988299097,,,,,,,
structural_MAC,9.0,11.0,0.01951532196271672,,,,,,,
structural_MAC,9.0,12.0,0.18607043520768823,,,,,,,
structural_MAC,10.0,1.0,0.004520850003215246,,,,,,,
structural_MAC,10.0,2.0,5.352914261081746e-05,,,,,,,
structural_MAC,10.0,3.0,0.0002956412849822467,,,,,,,
structural_MAC,10.0,4.0,3.3063289717607637e-05,,,,,,,
structural_MAC,10.0,5.0,0.00023813081539222807,,,,,,,
structural_MAC,10.0,6.0,0.02384163437160494,,,,,,,
structural_MAC,10.0,7.0,0.21637525989591289,,,,,,,
structural_MAC,10.0,8.0,0.2088885805765438,,,,,,,
structural_MAC,10.0,9.0,0.207530195545365,,,,,,,
structural_MAC,10.0,10.0,0.9999976075741982,,,,,,,
structural_MAC,10.0,11.0,0.015436277555555798,,,,,,,
structural_MAC,10.0,12.0,0.02016587890141309,,,,,,,
structural_MAC,11.0,1.0,0.0008079838511053554,,,,,,,
structural_MAC,11.0,2.0,0.11316914270457781,,,,,,,
structural_MAC,11.0,3.0,2.8884044171836073e-05,,,,,,,
structural_MAC,11.0,4.0,9.394266724792193e-08,,,,,,,
structural_MAC,11.0,5.0,0.002209240410298505,,,,,,,
structural_MAC,11.0,6.0,0.002441371199589713,,,,,,,
structural_MAC,11.0,7.0,0.04103042819159943,,,,,,,
structural_MAC,11.0,8.0,0.04540296998315099,,,,,,,
structural_MAC,11.0,9.0,0.01632461792081827,,,,,,,
structural_MAC,11.0,10.0,0.01786593027870395,,,,,,,
structural_MAC,11.0,11.0,0.9999152489388773,,,,,,,
structural_MAC,11.0,12.0,0.04797972584248186,,,,,,,
structural_MAC,12.0,1.0,0.00012407981876918716,,,,,,,
structural_MAC,12.0,2.0,0.0013119599968153157,,,,,,,
structural_MAC,12.0,3.0,7.473116612629346e-07,,,,,,,
structural_MAC,12.0,4.0,0.00011791856314781579,,,,,,,
structural_MAC,12.0,5.0,0.0012068629843693523,,,,,,,
structural_MAC,12.0,6.0,0.0019282625451999373,,,,,,,
structural_MAC,12.0,7.0,0.17666703978505835,,,,,,,
structural_MAC,12.0,8.0,0.02152256583918415,,,,,,,
structural_MAC,12.0,9.0,0.186411245200775,,,,,,,
structural_MAC,12.0,10.0,0.021799646334580463,,,,,,,
structural_MAC,12.0,11.0,0.04768202956369798,,,,,,,
structural_MAC,12.0,12.0,0.9999688935973905,,,,,,,
OOF_temporal_modal_coordinate_MAC,,,0.9991106932276153,R4_LHS_03,1.0,,,,,
OOF_temporal_modal_coordinate_MAC,,,0.9995043905800427,R4_LHS_03,2.0,,,,,
OOF_temporal_modal_coordinate_MAC,,,0.9930431994377922,R4_LHS_03,3.0,,,,,
OOF_temporal_modal_coordinate_MAC,,,0.9986874416917657,R4_LHS_03,4.0,,,,,
OOF_temporal_modal_coordinate_MAC,,,0.9720381789758186,R4_LHS_03,5.0,,,,,
OOF_temporal_modal_coordinate_MAC,,,,R4_LHS_03,6.0,,,,,
OOF_temporal_modal_coordinate_MAC,,,0.9923731992026557,R4_LHS_03,7.0,,,,,
OOF_temporal_modal_coordinate_MAC,,,0.9883871095536606,R4_LHS_03,8.0,,,,,
OOF_temporal_modal_coordinate_MAC,,,0.9921417750195405,R4_LHS_03,9.0,,,,,
OOF_temporal_modal_coordinate_MAC,,,0.9981818298940265,R4_LHS_03,10.0,,,,,
OOF_temporal_modal_coordinate_MAC,,,0.9964735302786889,R4_LHS_03,11.0,,,,,
OOF_temporal_modal_coordinate_MAC,,,0.8558690805308478,R4_LHS_03,12.0,,,,,
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,BASE_C1_0T,5.0,0.4530556498791919,0.023955293117067653
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,BASE_C2_0T,11.0,0.552268550092409,0.005766618725387094
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,BASE_C3_0T,5.0,0.516644911841554,0.034761335743790006
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,BASE_C8_0T,11.0,0.5750044228245866,0.0018372218003763782
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_A_E1_C4_2T,10.0,0.7728331537542674,0.007584064251639096
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_B_E1_C4_2T,10.0,0.7365832322724131,0.0011840741080362434
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_CPLUS_E1_C4_2T,10.0,0.7484531700752802,0.0023185471642273034
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_C_E1_C4_2T,10.0,0.726697361674782,0.005768845275172097
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_A_E1_C4_2T,10.0,0.7663702662011438,0.052232925893345515
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_B_E1_C4_2T,10.0,0.7635051759885672,0.04815091637468564
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_CPLUS_E1_C4_2T,10.0,0.7548941810878047,0.03106724357125864
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_C_E1_C4_2T,10.0,0.7457235006218721,0.0005207941678400153
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_A_E2_C5_2T,10.0,0.8275415746229399,0.06776710581498777
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_B_E2_C5_2T,10.0,0.8607992686659802,0.2582685204620957
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_CPLUS_E2_C5_2T,10.0,0.8520649772386661,0.13712852646052293
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_C_E2_C5_2T,10.0,0.8306274532930459,0.1517073430742633
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_A_E2_C5_2T,11.0,0.8215243005039919,0.21883904730386927
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_B_E2_C5_2T,11.0,0.8071857316301018,0.20548778965561212
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_CPLUS_E2_C5_2T,10.0,0.8348794767377974,0.051968574428629746
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_C_E2_C5_2T,11.0,0.8438164983358086,0.11801339319566093
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_A_E3_C6_1T,10.0,0.7330139327565233,0.06056388064873375
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_B_E3_C6_1T,10.0,0.6976884583691892,0.001724266222545747
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_CPLUS_E3_C6_1T,10.0,0.6924224057015532,0.0463993345050268
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_C_E3_C6_1T,10.0,0.7525245975166793,0.17176298567904613
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_A_E3_C6_1T,10.0,0.7906864524704437,0.23329548918769405
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_B_E3_C6_1T,10.0,0.7333077730724724,0.02530381934995967
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_CPLUS_E3_C6_1T,10.0,0.7125976735460948,0.04117266011952258
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_C_E3_C6_1T,10.0,0.7233178452984272,0.04366965267835455
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_A_E4_C7_1T,10.0,0.8477141956279954,0.22444694312445324
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_B_E4_C7_1T,11.0,0.7748950089619476,0.026163267716771892
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_CPLUS_E4_C7_1T,10.0,0.839907560156081,0.3404410389635152
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_C_E4_C7_1T,10.0,0.8303096962016403,0.08263534176570174
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_A_E4_C7_1T,11.0,0.7901286294122714,0.03988841918520938
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_B_E4_C7_1T,11.0,0.7877773040178777,0.00873511808590909
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_CPLUS_E4_C7_1T,10.0,0.8133061556425847,0.10368107982450693
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_C_E4_C7_1T,10.0,0.8444789960257463,0.27819664623384394
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_A_E5_C9_1T,11.0,0.7785267816748461,0.02968274598919155
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_B_E5_C9_1T,11.0,0.7832799576583981,0.02235379574432826
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_CPLUS_E5_C9_1T,10.0,0.7759401063362718,0.12598331483490782
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_C_E5_C9_1T,11.0,0.7872253067602958,0.1355806355227914
