trial_id,route,fold,epoch,train_data_loss,train_physics_loss,data_gradient_norm_available,physics_gradient_norm_available,gradient_cosine_available
R4_LHS_03,R4,0,25,1.0260169431567192,0.0969259701669216,False,False,False
R4_LHS_03,R4,0,30,0.8224891126155853,0.0542265153490006,False,False,False
R4_LHS_03,R4,0,35,0.846020057797432,0.0653654267080128,False,False,False
R4_LHS_03,R4,0,40,0.6899922974407673,0.0646917133126407,False,False,False
R4_LHS_03,R4,0,45,0.571674320846796,0.0383074632845819,False,False,False
R4_LHS_03,R4,0,50,0.5207865014672279,0.0249867690727114,False,False,False
R4_LHS_03,R4,0,55,0.5009796172380447,0.0323078446090221,False,False,False
R4_LHS_03,R4,0,60,0.7225015535950661,0.026816114783287,False,False,False
R4_LHS_03,R4,0,65,0.688666082918644,0.0381776459980756,False,False,False
R4_LHS_03,R4,0,70,0.5131622366607189,0.0215335872489959,False,False,False
R4_LHS_03,R4,0,75,0.5328165963292122,0.0291991105768829,False,False,False
R4_LHS_03,R4,0,80,0.4949461072683334,0.0199423289159312,False,False,False
R4_LHS_03,R4,0,85,0.4419211409986019,0.0125897444086149,False,False,False
R4_LHS_03,R4,0,90,0.4344332870095968,0.0119592184200882,False,False,False
R4_LHS_03,R4,0,95,0.438078336417675,0.0136809544637799,False,False,False
R4_LHS_03,R4,0,100,0.4362577982246876,0.0166453329147771,False,False,False
R4_LHS_03,R4,0,105,0.611434780061245,0.0223782385000959,False,False,False
R4_LHS_03,R4,0,110,0.427278995513916,0.0144864990143105,False,False,False
R4_LHS_03,R4,0,115,0.4735855720937252,0.0169047953095287,False,False,False
R4_LHS_03,R4,0,120,0.4082082863897085,0.0109749843832105,False,False,False
R4_LHS_03,R4,0,125,0.3956109415739774,0.0083287603338249,False,False,False
R4_LHS_03,R4,0,130,0.4486722983419895,0.0109945948934182,False,False,False
R4_LHS_03,R4,0,135,0.3759643137454986,0.0353246277663856,False,False,False
R4_LHS_03,R4,0,140,0.3633619025349617,0.0231079082004725,False,False,False
R4_LHS_03,R4,0,145,0.3700456395745277,0.0195754503365606,False,False,False
R4_LHS_03,R4,0,150,0.3450706005096435,0.023699457407929,False,False,False
R6_LHS_04,R6,0,0,,,False,False,False
R6_LHS_04,R6,0,1,13.522692382335665,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,5,9.049887478351591,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,10,5.071855306625366,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,15,3.6867091059684753,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,20,3.0358434915542603,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,25,3.641723483800888,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,30,2.485188901424408,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,35,2.5064802169799805,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,40,2.5363064110279083,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,45,2.3896979987621307,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,50,2.2868448197841644,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,55,2.237953878939152,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,60,2.284745618700981,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,65,2.158867947757244,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,70,2.1178910583257675,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,75,1.928419977426529,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,80,1.6509821265935898,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,85,1.3627659529447556,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,90,1.2157637029886246,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,95,1.2267482802271843,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,100,1.0834874510765076,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,105,1.2354783192276957,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,110,0.9133804738521576,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,115,1.0301859453320503,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,120,0.8229534327983856,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,125,0.8597702644765377,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,130,0.956151120364666,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,135,0.752531997859478,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,140,0.7402725517749786,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,145,0.7919668778777122,0.0724158079829067,False,False,False
R6_LHS_04,R6,0,150,0.7058899328112602,0.0724158079829067,False,False,False
