"category","package_target","source","sha256","size_bytes","storage_mode"
"S10_OUTER_R4_LHS_03_OUTER_2_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813","predictions_oof\S10_OUTER_R4_LHS_03_OUTER_2_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813\predictions.h5","external://predictions_oof/S10_OUTER_R4_LHS_03_OUTER_2_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813/predictions.h5","ad972688048b92271cfd3fd232efa98d573eb80e1155846f8a3ee2c3a05c54ee","179628275","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_2_OUTER_OOF_CONTROL_SEED_20260813","checkpoints\S10_OUTER_R4_LHS_03_OUTER_2_OUTER_OOF_CONTROL_SEED_20260813\final_checkpoint.pt","external://checkpoints/S10_OUTER_R4_LHS_03_OUTER_2_OUTER_OOF_CONTROL_SEED_20260813/final_checkpoint.pt","69ad7707474fca3570d8f20bbbc28e675c687d1fbcbeb683f06a3aef9f6558dd","1540391","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_2_OUTER_OOF_CONTROL_SEED_20260813","predictions_oof\S10_OUTER_R4_LHS_03_OUTER_2_OUTER_OOF_CONTROL_SEED_20260813\predictions.h5","external://predictions_oof/S10_OUTER_R4_LHS_03_OUTER_2_OUTER_OOF_CONTROL_SEED_20260813/predictions.h5","4c5e4986a9761e9653b76f647554316aaf8f63e5cd6d512178f620f5f28de663","176938341","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_3_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813","checkpoints\S10_OUTER_R4_LHS_03_OUTER_3_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813\final_checkpoint.pt","external://checkpoints/S10_OUTER_R4_LHS_03_OUTER_3_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813/final_checkpoint.pt","bf5a94b48b9cae91cb7e3610125599616a9635681623666df30e0791e00cd04d","1540391","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_3_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813","predictions_oof\S10_OUTER_R4_LHS_03_OUTER_3_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813\predictions.h5","external://predictions_oof/S10_OUTER_R4_LHS_03_OUTER_3_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813/predictions.h5","8f41db9beb8d57bf3793ea894624efc5d37c31c8fd28b81625a0789323b7e137","165780408","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_3_OUTER_OOF_CONTROL_SEED_20260813","checkpoints\S10_OUTER_R4_LHS_03_OUTER_3_OUTER_OOF_CONTROL_SEED_20260813\final_checkpoint.pt","external://checkpoints/S10_OUTER_R4_LHS_03_OUTER_3_OUTER_OOF_CONTROL_SEED_20260813/final_checkpoint.pt","ec6338d7b3bbc2c02e096234d68cd5b3da1b10beba05d0bd476e2609beb7406a","1540391","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_3_OUTER_OOF_CONTROL_SEED_20260813","predictions_oof\S10_OUTER_R4_LHS_03_OUTER_3_OUTER_OOF_CONTROL_SEED_20260813\predictions.h5","external://predictions_oof/S10_OUTER_R4_LHS_03_OUTER_3_OUTER_OOF_CONTROL_SEED_20260813/predictions.h5","d17c55440131595404d2dc84bc17805a46442f2cbb479365e536118c2ae3e39a","164249465","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_4_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813","checkpoints\S10_OUTER_R4_LHS_03_OUTER_4_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813\final_checkpoint.pt","external://checkpoints/S10_OUTER_R4_LHS_03_OUTER_4_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813/final_checkpoint.pt","df7ecdfa4c21668561b9d11dcf1d09ceecdd32507e54d9ba07b97ecc20bab015","1540391","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_4_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813","predictions_oof\S10_OUTER_R4_LHS_03_OUTER_4_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813\predictions.h5","external://predictions_oof/S10_OUTER_R4_LHS_03_OUTER_4_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813/predictions.h5","5a642b98377883294e9eb2e76e427e14a5c81e4c1777f130bc60d8620b557c07","179456966","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_4_OUTER_OOF_CONTROL_SEED_20260813","checkpoints\S10_OUTER_R4_LHS_03_OUTER_4_OUTER_OOF_CONTROL_SEED_20260813\final_checkpoint.pt","external://checkpoints/S10_OUTER_R4_LHS_03_OUTER_4_OUTER_OOF_CONTROL_SEED_20260813/final_checkpoint.pt","55dadfd2441436d92cf8e5622cdb028950bf24ccba6f5028a61a3d5a2a03e72e","1540391","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_4_OUTER_OOF_CONTROL_SEED_20260813","predictions_oof\S10_OUTER_R4_LHS_03_OUTER_4_OUTER_OOF_CONTROL_SEED_20260813\predictions.h5","external://predictions_oof/S10_OUTER_R4_LHS_03_OUTER_4_OUTER_OOF_CONTROL_SEED_20260813/predictions.h5","c9442125320fc614f88471b213bdcb0e0d92ec4e476206c857aef16de632c0e9","177505270","external_pointer"
"predictions_oof","predictions_oof\S10_R4_LHS_03_PHYSICS_OOF_FIELDS.h5","external://predictions_oof/S10_R4_LHS_03_PHYSICS_OOF_FIELDS.h5","d85d7e45858fcbce5dbf2c77a1dbe8bfb0e9e0baa2809c3b33dfae5085b4e9d6","1326431459","external_pointer"
"predictions_oof","predictions_oof\S10_R4_LHS_03_CONTROL_OOF_FIELDS.h5","external://predictions_oof/S10_R4_LHS_03_CONTROL_OOF_FIELDS.h5","f5e91b331c149613b8c06c50e2a5d040cdc14cbe925917f796f77878877812c2","1326225090","external_pointer"
