epoch,elapsed_s,lr,loss,qfield_loss,vfield_loss,q32_loss,v32_loss,gradient_norm,score,peak_vram_GiB,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,rotation_X_relative_l2,rotation_Y_relative_l2,rotation_Z_relative_l2,rotation_rate_X_relative_l2,rotation_rate_Y_relative_l2,rotation_rate_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,hard_BC_max_abs,finite
0,0.44635749999724794,0.0,2.579723358154297,1.0407203435897827,1.0227349996566772,1.0527894496917725,1.012282371520996,0.0,5.851461857981713,1.9214520454406738,1.0760977268218994,0.9909115433692932,0.8594692349433899,1.0221819877624512,1.0027580261230469,1.0174963474273682,0.9270708560943604,1.1203714609146118,1.1163884401321411,1.003816843032837,1.0149198770523071,1.0044841766357422,0.8961516516813818,1.0152270410186324,0.0,True
1,0.8027508000013768,0.00016,2.5797228813171387,1.0407203435897827,1.0227348804473877,1.0527894496917725,1.0122822523117065,2.9380271434783936,5.797601317123916,2.185873508453369,1.0390161275863647,0.9773992896080017,0.8625433444976807,1.018601655960083,1.000935673713684,1.0163354873657227,0.9221904873847961,1.1096149682998657,1.1043932437896729,1.003523588180542,1.0137327909469604,1.0042616128921509,0.8942343113175717,1.0129436711891044,0.0,True
5,1.1590766000008443,0.0008,2.341001033782959,0.8507424592971802,1.0032731294631958,0.9408926367759705,1.0070487260818481,1.8823717832565308,5.2055466989181385,2.185873508453369,0.8152968883514404,0.7605078816413879,0.8330284953117371,0.9899862408638,0.9813025593757629,1.0058428049087524,0.8397842645645142,1.0388381481170654,0.9879880547523499,1.000952124595642,1.0070592164993286,1.002764344215393,0.8132033725488953,0.9898885169810392,0.0,True
10,1.563617100000556,0.0008,1.9754698276519775,0.5617340803146362,0.9740022420883179,0.7535083293914795,1.0054259300231934,2.779226779937744,4.213988881692681,2.185873508453369,0.6751673817634583,0.46876463294029236,0.590460479259491,0.9537408351898193,0.9496943950653076,0.9882399439811707,0.6344611644744873,0.9082249999046326,0.8946617841720581,0.999258279800415,1.0034542083740234,1.002422571182251,0.5580380970599322,0.9514414071027167,0.0,True
15,1.9386432000028435,0.0008,1.7034969329833984,0.35044756531715393,0.9397680163383484,0.6614034175872803,0.9917217493057251,3.143846035003662,3.4256843067599965,2.185873508453369,0.5649272203445435,0.3194190263748169,0.35616612434387207,0.9059714674949646,0.9064162969589233,0.9684820175170898,0.4681577980518341,0.6214841604232788,0.8666719794273376,0.9988802075386047,1.0058817863464355,1.0015443563461304,0.3434459918522641,0.9025821057180217,0.0,True
20,2.334898000000976,0.0008,1.5127638578414917,0.22317570447921753,0.9026913642883301,0.5799800157546997,0.9676069617271423,1.81904137134552,2.8353778755359857,2.185873508453369,0.4866621196269989,0.23019486665725708,0.18343199789524078,0.8695446848869324,0.8542300462722778,0.9351025223731995,0.34470629692077637,0.36210212111473083,0.820720911026001,0.9972717761993408,1.0083839893341064,1.0011943578720093,0.18811691730776214,0.8350666945650442,0.0,True
25,2.735651200004213,0.0008,1.3837270736694336,0.16826507449150085,0.8757368326187134,0.4288158416748047,0.9300845265388489,0.9521255493164062,2.6487600183317688,2.185873508453369,0.42063114047050476,0.2055974155664444,0.1680901199579239,0.8597296476364136,0.8299868106842041,0.8983789086341858,0.3328542113304138,0.31002411246299744,0.7119302749633789,0.9933212399482727,1.001301884651184,0.9975969195365906,0.1678946876168661,0.7849979424852557,0.0,True
30,3.1455721000020276,0.0008,1.2810012102127075,0.13352565467357635,0.8484798073768616,0.3184657394886017,0.87751704454422,0.7785079479217529,2.3535392188728146,2.185873508453369,0.38408002257347107,0.1746939867734909,0.08394168317317963,0.8736613988876343,0.8054496645927429,0.8345625400543213,0.2895311117172241,0.26453524827957153,0.6567392945289612,0.9835713505744934,0.9926683306694031,0.9942720532417297,0.09953223180510401,0.7089089855604394,0.0,True
35,3.5466413000031025,0.0008,1.1905896663665771,0.11454503238201141,0.8130584955215454,0.23822692036628723,0.8137176632881165,0.5696319937705994,2.179482991719249,2.185873508453369,0.32398873567581177,0.1676972508430481,0.07697323709726334,0.8824968934059143,0.7848052382469177,0.7527409791946411,0.28708451986312866,0.22559984028339386,0.6312034726142883,0.9540435671806335,0.9824068546295166,0.9922261834144592,0.0894500240994262,0.6227043771599262,0.0,True
40,3.954686800003401,0.0008,1.0939778089523315,0.10095846652984619,0.7595224976539612,0.19172199070453644,0.7422652244567871,0.5542281866073608,2.0198306625948703,2.185873508453369,0.2852648198604584,0.1589851826429367,0.08165016025304794,0.8738417625427246,0.7655635476112366,0.6466636657714844,0.28163856267929077,0.1967383474111557,0.602610170841217,0.8891154527664185,0.9704286456108093,0.9879127144813538,0.08817116961057175,0.5254496845302654,0.0,True
