epoch,elapsed_s,lr,loss,qfield_loss,vfield_loss,q32_loss,v32_loss,gradient_norm,residual_gate,score,peak_vram_GiB,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,rotation_X_relative_l2,rotation_Y_relative_l2,rotation_Z_relative_l2,rotation_rate_X_relative_l2,rotation_rate_Y_relative_l2,rotation_rate_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,hard_BC_max_abs,finite
0,0.6264059999957681,0.0,1.066879391670227,0.27314722537994385,0.7334504723548889,0.0004080443468410522,0.2407185584306717,0.0,0.11920291930437088,1.6295997164273792,1.8442482948303223,0.2865002155303955,0.1538991928100586,0.048195380717515945,0.8064587712287903,0.7384871244430542,0.5091260075569153,0.49642977118492126,0.8245168924331665,0.7765821218490601,0.9978297352790833,0.9809062480926514,0.9925214052200317,0.003841984455124692,0.2202539825998092,0.0,True
1,1.079225099994801,0.00016,1.066879391670227,0.27314722537994385,0.7334504723548889,0.0004080443468410522,0.2407185584306717,0.03908127546310425,0.11920291930437088,1.6295364084277209,2.0451459884643555,0.2864484488964081,0.15389356017112732,0.04819389432668686,0.8064537644386292,0.7384852170944214,0.5091230869293213,0.49636512994766235,0.8244386315345764,0.7765473127365112,0.9978240132331848,0.9809007048606873,0.9925190210342407,0.0038428898464984316,0.22025316191162872,0.0,True
5,1.567610699996294,0.0008,1.0661040544509888,0.27248090505599976,0.7333477735519409,0.0004085467953700572,0.24069322645664215,0.0451117604970932,0.11938843876123428,1.6278616884141919,2.0451459884643555,0.28476113080978394,0.1537790447473526,0.048167064785957336,0.806327760219574,0.7384389638900757,0.5090190172195435,0.49486207962036133,0.8225805163383484,0.7754377126693726,0.9976289868354797,0.9807752966880798,0.9924627542495728,0.0041453305991047545,0.22023249361479305,0.0,True
10,2.080379399994854,0.0007978896645755696,1.0584285259246826,0.26582953333854675,0.7323535084724426,0.0004876872699242085,0.2404944747686386,0.13447913527488708,0.11974143981933594,1.632710384672152,2.0451459884643555,0.2786310315132141,0.15420003235340118,0.048785630613565445,0.8054901361465454,0.7381399273872375,0.5081258416175842,0.48334044218063354,0.8078331351280212,0.7656223177909851,0.995956540107727,0.9800569415092468,0.9921057224273682,0.015147672792945262,0.2201361296466851,0.0,True
15,2.6193256999977166,0.0007915834000556312,1.034117579460144,0.2451149821281433,0.7285966873168945,0.0018932954408228397,0.23973017930984497,0.39484500885009766,0.12014216929674149,1.7266136658446272,2.0451459884643555,0.313628613948822,0.1668686717748642,0.06030065193772316,0.8029489517211914,0.7371803522109985,0.5048711895942688,0.43932101130485535,0.7490014433860779,0.7434945106506348,0.9899749755859375,0.9781196713447571,0.9910282492637634,0.053387360979957596,0.21985624088006167,0.0,True
20,3.1497738999969442,0.0007811551416258089,0.999416708946228,0.22054141759872437,0.7182264924049377,0.0045000589452683926,0.23809508979320526,0.46945133805274963,0.12059187144041061,1.6834106779130924,2.0451459884643555,0.26225557923316956,0.1659950613975525,0.06999017298221588,0.7974388003349304,0.7346637845039368,0.49401792883872986,0.4075513482093811,0.7011561989784241,0.7378902435302734,0.9699817299842834,0.9753234386444092,0.9883432984352112,0.06247796359463772,0.2192632877334362,0.0,True
25,3.6846796999961953,0.0007667271510815446,0.9802132844924927,0.21634753048419952,0.7044901847839355,0.003992729354649782,0.2335096299648285,0.6398683190345764,0.12107141315937042,1.6487429327017293,2.0451459884643555,0.29002293944358826,0.1568962186574936,0.05291429162025452,0.7917405962944031,0.7315879464149475,0.48116230964660645,0.40897032618522644,0.6825292110443115,0.7411125898361206,0.9501302242279053,0.9739853143692017,0.9852022528648376,0.03898817803277559,0.21535175753927746,0.0,True
30,4.20971489999647,0.0007484685834203322,0.971986711025238,0.21393756568431854,0.6991667747497559,0.0033698261249810457,0.23215968906879425,0.5167436599731445,0.12157560884952545,1.6704519027719702,2.0451459884643555,0.26081833243370056,0.1737772673368454,0.06617964804172516,0.7882021069526672,0.7302472591400146,0.476674884557724,0.40419259667396545,0.6875879764556885,0.7353022694587708,0.9432329535484314,0.9731040596961975,0.9838509559631348,0.06504274603046306,0.2141435672080662,0.0,True
35,4.754258999993908,0.0007265935036540318,0.9672586917877197,0.21228894591331482,0.6959728002548218,0.0034063984639942646,0.23258119821548462,0.3052482008934021,0.12208544462919235,1.6663826670501523,2.0451459884643555,0.25946786999702454,0.15971337258815765,0.07842700183391571,0.7854000926017761,0.7295989394187927,0.4753129780292511,0.3978753089904785,0.6874464154243469,0.7367473840713501,0.940043568611145,0.971714437007904,0.9831055402755737,0.06620590213561929,0.2148250309410499,0.0,True
40,5.27148920000036,0.0007013583770923271,0.9630150198936462,0.2111934870481491,0.6933655142784119,0.0028539353515952826,0.23096999526023865,0.10699991136789322,0.12258993834257126,1.6463479502216876,2.0451459884643555,0.2501790523529053,0.15730918943881989,0.07608197629451752,0.7828100323677063,0.7287096381187439,0.4744625389575958,0.39860475063323975,0.686021089553833,0.7367582321166992,0.9383653998374939,0.9703797101974487,0.9821279048919678,0.06254875607886937,0.2144757426691049,0.0,True
