epoch,elapsed_s,lr,loss,qfield_loss,vfield_loss,q32_loss,v32_loss,weak_loss,physics_weight,data_grad_norm,physics_grad_norm,gradient_cosine,gradient_norm,score,peak_vram_GiB,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,rotation_X_relative_l2,rotation_Y_relative_l2,rotation_Z_relative_l2,rotation_rate_X_relative_l2,rotation_rate_Y_relative_l2,rotation_rate_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,weak_median,weak_p90,hard_BC_max_abs,finite
0,0.5767636999953538,0.0,2.442448616027832,0.9250848293304443,1.0125231742858887,1.0114989280700684,1.0078638792037964,6.098949909210205,0.0,0.9425422549247742,nan,nan,0.0,5.809367393288702,1.8463354110717773,0.9246564507484436,0.8960184454917908,1.0021511316299438,1.009898066520691,1.0098286867141724,0.9994921684265137,0.9854869246482849,1.0006074905395508,0.9551618695259094,1.0059436559677124,1.0053578615188599,1.0049083232879639,0.9748459703618232,1.0041718684520249,1.1199749064967646,1.573651992734897,0.0,True
1,0.8991099999984726,0.00016,2.442448616027832,0.9250848293304443,1.0125230550765991,1.0114989280700684,1.0078638792037964,6.098950386047363,0.0,0.9425422549247742,nan,nan,0.942542314529419,5.784601291124605,2.0810275077819824,0.9124923348426819,0.8943416476249695,0.9981711506843567,1.0066717863082886,1.0087430477142334,0.9984040260314941,0.9817367196083069,0.9966908097267151,0.9515007138252258,1.0054564476013184,1.0051026344299316,1.0047451257705688,0.9713708139877647,1.0026318279156483,1.1096781483425364,1.5503792161270695,0.0,True
5,1.566068499996618,0.0008,2.3321120738983154,0.8392446637153625,0.9933456778526306,0.9927103519439697,1.005376935005188,6.56606388092041,0.0,0.8966795206069946,nan,nan,0.8966795206069946,5.440030591039141,2.0810275077819824,0.736796498298645,0.8618124723434448,0.9514080286026001,0.9648206830024719,0.9935888051986694,0.9848646521568298,0.9369254112243652,0.9454054236412048,0.9008004665374756,1.0009076595306396,1.0032702684402466,1.002699375152588,0.9274471369304196,0.9818587693700924,0.9912379887490106,1.3072939043646776,0.0,True
10,2.3816110999978264,0.0008,2.052950620651245,0.6161906719207764,0.9482925534248352,0.954041600227356,0.9998282194137573,36.81025695800781,0.0,1.0077710151672363,nan,nan,1.0077708959579468,4.777965718964812,2.0810275077819824,0.6365743279457092,0.7167063355445862,0.7877007126808167,0.8995547294616699,0.9533945918083191,0.9559122920036316,0.7977105379104614,0.8360219597816467,0.8274941444396973,0.9961447715759277,1.0080934762954712,1.0012290477752686,0.768004782169084,0.929097507975612,0.790253215556751,0.9963585573206614,0.0,True
15,3.1921369999981835,0.0008,1.8460962772369385,0.4651511311531067,0.9153871536254883,0.8780609965324402,0.9841712117195129,90.26605224609375,0.0,1.6454309225082397,nan,nan,1.6454309225082397,4.1934338035183085,2.0810275077819824,0.4827377498149872,0.6485270857810974,0.6337686777114868,0.8718326091766357,0.9036595821380615,0.9357611536979675,0.6948964595794678,0.676019012928009,0.7499403953552246,0.989147961139679,1.0130374431610107,1.0008519887924194,0.6346501936053699,0.8762468481980702,0.6194749394052967,0.7785525232546346,0.0,True
20,4.006548400000611,0.0008,1.6578426361083984,0.3314414322376251,0.8912934064865112,0.7848222255706787,0.9556089043617249,139.80047607421875,0.0,1.6898850202560425,nan,nan,1.689884901046753,3.583824164238546,2.0810275077819824,0.562065601348877,0.4456809461116791,0.41985994577407837,0.8703227639198303,0.8608007431030273,0.9108543992042542,0.5645573139190674,0.6236367225646973,0.7190530300140381,0.9763970375061035,1.0125401020050049,1.0002063512802124,0.4224987413082009,0.8254599531643095,0.633880342333607,0.7839674402353523,0.0,True
25,4.89438639999571,0.0008,1.4992834329605103,0.24735894799232483,0.8589599132537842,0.6556565761566162,0.9162017107009888,136.4859619140625,0.0,1.1561896800994873,nan,nan,1.1561896800994873,3.192992037986924,2.0810275077819824,0.47127148509025574,0.32267439365386963,0.362127423286438,0.8506144881248474,0.8358252644538879,0.8913075923919678,0.4686345160007477,0.502388596534729,0.6810666918754578,0.9479583501815796,1.004057765007019,0.9937564134597778,0.3483891096224317,0.7993119076971549,0.5081207850250213,0.7425084425205541,0.0,True
30,5.692413600001601,0.0008,1.3515543937683105,0.18996299803256989,0.8175773620605469,0.49536362290382385,0.8806923627853394,104.8552474975586,0.0,1.0793368816375732,nan,nan,1.0793368816375732,2.8227012364487103,2.0810275077819824,0.42745843529701233,0.25190848112106323,0.258568674325943,0.8327682614326477,0.8143454790115356,0.8509858250617981,0.3723328113555908,0.3967885971069336,0.6738530993461609,0.887607216835022,0.995487630367279,0.9883432388305664,0.25241352545787693,0.7666046749876482,0.3993789797701159,0.5610551600723559,0.0,True
35,6.483499299996765,0.0008,1.2094519138336182,0.14569854736328125,0.763289213180542,0.3758462369441986,0.8260102868080139,114.12190246582031,0.0,0.846321702003479,nan,nan,0.846321702003479,2.4439167850873984,2.0810275077819824,0.4063660204410553,0.1740405261516571,0.1553543359041214,0.8333351016044617,0.7889566421508789,0.7779250741004944,0.31002843379974365,0.32402387261390686,0.6479297280311584,0.802864670753479,0.9902069568634033,0.9845358729362488,0.15476186824314198,0.7065712508390098,0.35687207218957256,0.4523075936845446,0.0,True
40,7.305683499995212,0.0008,1.0879580974578857,0.12104317545890808,0.7136437296867371,0.2596943974494934,0.7533906102180481,78.36673736572266,0.0,0.7071256637573242,nan,nan,0.7071256637573242,2.1948059455516074,2.0810275077819824,0.342046320438385,0.16369624435901642,0.11076872050762177,0.8215380311012268,0.7674967646598816,0.6983386278152466,0.2929650545120239,0.2941974401473999,0.6102150082588196,0.7420641183853149,0.9790301322937012,0.9795042872428894,0.116819359262661,0.6355771783914917,0.300153217751578,0.4761670648565024,0.0,True
45,8.111754899997322,0.0008,0.9836689829826355,0.10468380153179169,0.667232871055603,0.1927156001329422,0.6542935371398926,62.83816146850586,0.0,0.6099089980125427,nan,nan,0.6099089980125427,1.9933423930594318,2.0810275077819824,0.3102285861968994,0.15964101254940033,0.07606713473796844,0.8173502683639526,0.7510595917701721,0.5987268686294556,0.2780159115791321,0.26873454451560974,0.5729162693023682,0.692546010017395,0.9635727405548096,0.9751405119895935,0.09058191534512046,0.5465107596965061,0.26131316741750127,0.5321891132896222,0.0,True
50,8.901955900000758,0.0008,0.8910356760025024,0.09017346799373627,0.6254412531852722,0.1520528942346573,0.5496309995651245,37.26919174194336,0.0,0.44063499569892883,nan,nan,0.44063496589660645,1.812443385138244,2.0810275077819824,0.27498406171798706,0.14341694116592407,0.07079191505908966,0.8050588369369507,0.7421083450317383,0.48766010999679565,0.25821834802627563,0.2387358546257019,0.5492814779281616,0.6551186442375183,0.9472076892852783,0.9683728218078613,0.0795718611381518,0.4525299201486985,0.22559232958440953,0.8681580809231954,0.0,True
55,9.682767099999182,0.0008,0.8153274059295654,0.08036735653877258,0.587062418460846,0.13160458207130432,0.45998573303222656,28.537317276000977,0.0,0.39553266763687134,nan,nan,0.39553266763687134,1.6580300775475898,2.0810275077819824,0.2513520419597626,0.13356737792491913,0.06576880067586899,0.7665210366249084,0.735501229763031,0.395091712474823,0.24701128900051117,0.2134089171886444,0.5282126665115356,0.6368228197097778,0.9317436814308167,0.9606645703315735,0.0726197055460131,0.3723303240192892,0.2011834789544951,1.1414978408849414,0.0,True
