epoch,elapsed_s,lr,train_data_loss,train_physics_loss,selection_key,peak_vram_GiB
0,0.004171099997620331,0.0,0.0,0.0,null,2.779482841491699
1,22.557145099999616,0.00019716996643689944,1.020205275328071,0.01815787840124135,null,4.115468978881836
2,45.11010309999983,0.0003943399328737989,0.611890535387728,0.024431220365516256,null,4.115468978881836
3,67.50858099999823,0.0005915098993106982,0.33305498529915456,0.026966853272190967,null,4.115468978881836
4,90.71715779999795,0.0007886798657475978,0.22942858920605094,0.1348069569369404,null,4.115468978881836
5,113.12759079999887,0.000985849832184497,0.14309593469456391,0.025616705217474747,null,4.115468978881836
6,135.63249249999717,0.000985849832184497,0.08766840101668129,0.044533340883016644,null,4.115468978881836
7,156.8927894999979,0.000985849832184497,0.08002231318365645,0.061267348155590345,null,4.115468978881836
8,178.19174869999915,0.000985849832184497,0.07125016688196747,0.0777342046858583,null,4.115468978881836
9,199.6937341999983,0.000985849832184497,0.06831257541974385,0.02377299768279231,null,4.115468978881836
10,220.91146389999994,0.000985849832184497,0.065253345951162,0.015976241363746254,null,4.115468978881836
11,242.09973069999978,0.000985849832184497,0.07345207546044279,0.018617692726575936,null,4.115468978881836
12,263.21631010000056,0.000985849832184497,0.06634011067863968,0.019168487895690853,null,4.115468978881836
13,284.6029133999982,0.000985849832184497,0.05777435563504696,0.013118160849629135,null,4.115468978881836
14,305.74865879999925,0.000985849832184497,0.0661841328083365,0.01196123459133747,null,4.115468978881836
15,327.0266722999986,0.000985849832184497,0.058011076792522716,0.007725507283701916,null,4.115468978881836
16,348.39248719999887,0.000985849832184497,0.056739335120828065,0.006629089745894556,null,4.115468978881836
17,369.66585309999937,0.000985849832184497,0.05616266721928561,0.006500315096236296,null,4.115468978881836
18,391.0997260000004,0.000985849832184497,0.05757124390867022,0.01528068385023889,null,4.115468978881836
19,412.644339399998,0.000985849832184497,0.05389523285406607,0.00565576252900152,null,4.115468978881836
20,433.8598767000003,0.000985849832184497,0.05385249501301183,0.01140417356816775,null,4.115468978881836
21,455.2316236999977,0.000985849832184497,0.05248309326944528,0.004514147147041832,null,4.115468978881836
22,476.258030099998,0.000985849832184497,0.052621591560266634,0.002946044023176413,null,4.115468978881836
23,497.61641029999737,0.000985849832184497,0.05153067016767131,0.005828216898469425,null,4.115468978881836
24,518.7776840000006,0.000985849832184497,0.052126692332051416,0.007765156272568076,null,4.115468978881836
25,539.8953098999991,0.000985849832184497,0.050447731037382725,0.004412024872412649,null,4.115468978881836
26,561.2181404000003,0.000985849832184497,0.05063860615094503,0.004543482042471943,null,4.115468978881836
27,582.8910681999987,0.000985849832184497,0.04617604539143266,0.002739238253241183,null,4.115468978881836
28,604.4322180999989,0.000985849832184497,0.04555623930085589,0.004181774716230351,null,4.115468978881836
29,626.0781510999986,0.000985849832184497,0.04021585505041811,0.005470710053259609,null,4.115468978881836
30,647.4883101999985,0.000985849832184497,0.03778918335835139,0.0052474592097711235,null,4.115468978881836
