epoch,elapsed_s,learning_rate,loss_total,loss_q,loss_qdot,loss_variational,loss_q_physical32,loss_qdot_physical32,effective_physics_weight,loss_observation_displacement,loss_observation_velocity,gradient_norm,data_gradient_norm,physics_gradient_norm,data_physics_gradient_cosine,reduced_q_relative_l2,reduced_qdot_relative_l2,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,variational_weak_median,variational_weak_p90,hard_BC_max_abs,finite,peak_vram_GiB
0,0.7250390000044717,0.0,3.06758189201355,1.0452675819396973,1.0325993299484253,58.8684196472168,1.0796769857406616,1.0379509925842285,0.001442830300276813,1.3645018339157104,1.0887359380722046,0.0,6.786579608917236,940.7315063476562,0.07751769572496414,1.0782554362733123,1.0293632633272911,1.3967740741457324,0.9389801202337521,1.1228727473142635,1.0816491483779505,1.050753613647187,0.9960722405649017,1.0988605907541384,1.337476914612417,6.603308987785806e-17,True,0.10548591613769531
1,1.020639200003643,0.0002,3.06758189201355,1.0452675819396973,1.0325993299484253,58.8684196472168,1.0796769857406616,1.0379509925842285,0.001442830300276813,1.3645018339157104,1.0887359380722046,7.023396015167236,6.786579608917236,940.7315063476562,0.07751769572496414,1.0600570677310979,1.0226490324318351,1.279980464238271,0.9275002575844572,1.103060824645047,1.0662169979667147,1.0427136568507467,0.9935695397484818,1.079452970447121,1.257814660258008,6.913813445763327e-17,True,0.139984130859375
5,1.4237978000019211,0.001,2.209743022918701,1.0471935272216797,1.0281111001968384,28.959487915039062,1.0235234498977661,1.0185449123382568,0.0014128499033559518,0.7074767351150513,0.950833797454834,2.530231237411499,2.4027068614959717,518.791748046875,0.026068521663546562,0.8518549995567043,0.9464755835971538,0.7680344605200559,0.7524867041362251,0.8849386903579833,0.9265291323694904,0.958940756941833,0.9570959018805746,0.901575325633601,0.9545329045999777,1.1963230328172414e-16,True,0.139984130859375
10,1.768556200004241,0.0009973620807194618,1.691200613975525,1.043911337852478,1.0293736457824707,9.044967651367188,0.8995848298072815,0.9722453951835632,0.001513539506311985,0.43389421701431274,0.7756589651107788,1.5940461158752441,1.6009138822555542,175.82278442382812,-0.10886593908071518,0.6783080233761833,0.8435800377336001,0.5779763465415674,0.5424367145339949,0.7203185930566316,0.8602169024763832,0.8635921832347583,0.8846909943842198,1.0482693812741748,1.2868664216387038,1.2171387982192925e-16,True,0.139984130859375
15,2.1266797999996925,0.000989479250069539,1.3431072235107422,1.0850883722305298,1.0458072423934937,11.585259437561035,0.7482725381851196,0.9021131992340088,0.0013160563682671066,0.23471617698669434,0.6805477142333984,1.211233377456665,1.2249760627746582,185.5000762939453,-0.15562240779399872,0.5158225002420103,0.7633792690051544,0.3931031088942939,0.40445640974835845,0.548835072594238,0.820772755675376,0.8002558896764959,0.8087445761607476,1.1035456040557678,1.9637000585999282,2.1238590151763584e-16,True,0.139984130859375
20,2.390528500000073,0.0009764439270322612,0.9917115569114685,1.1605480909347534,1.0658916234970093,8.458977699279785,0.5065587162971497,0.7995161414146423,0.0012638406481426158,0.0905371829867363,0.56396484375,0.9449511766433716,0.9177725911140442,174.59445190429688,0.0047792405821383,0.22382572207611362,0.6603847254459578,0.34176004771064333,0.21923449379068993,0.22401703240637558,0.7702999349795436,0.7602044079081408,0.6738928198444298,0.862665495933542,2.7286787441365523,2.957766354294073e-16,True,0.139984130859375
25,2.71638030000031,0.0009584089388519307,0.7916169762611389,1.29539954662323,1.093246340751648,8.139790534973145,0.30616703629493713,0.6509096622467041,0.001288059840984703,0.08811479061841965,0.4537484645843506,1.2677017450332642,1.2199313640594482,203.85806274414062,0.07786671817302704,0.2663537929731006,0.5252996783965557,0.31970275924309244,0.25961649181815916,0.26924092421289364,0.7350972084554236,0.7267515603727758,0.48761061265542777,0.8684803602225533,2.645740963943668,2.86208407071541e-16,True,0.139984130859375
30,2.9988359000053606,0.0009355857292754152,0.6093658804893494,1.2265191078186035,1.0950589179992676,5.642691135406494,0.2175784707069397,0.5118984580039978,0.001079076341392079,0.04307340830564499,0.37783434987068176,0.5662848353385925,0.5371140241622925,137.3877716064453,0.06410043686628342,0.14926333929185354,0.4545660017092476,0.26803998346320945,0.18279644409906773,0.1351452838336502,0.6766762978841325,0.7054451656203551,0.3870844670803085,0.693018509368133,1.1199206525728433,2.6629103698397837e-16,True,0.139984130859375
35,3.3283407000053558,0.0009082418795675396,0.5185777544975281,1.226172685623169,1.1044602394104004,4.500852584838867,0.1539272665977478,0.4228871762752533,0.0009107290738792982,0.03365635499358177,0.33661869168281555,0.49793651700019836,0.47629663348197937,140.220458984375,0.03924555703997612,0.12594667805809184,0.4194722865078216,0.23801725397536397,0.15525798492958484,0.11270347084792369,0.6421514802452816,0.6814362559706238,0.3335544378224517,0.4911960086379726,0.8580618121676513,2.7344911200871513e-16,True,0.139984130859375
40,3.7273554999992484,0.0008766979713654089,0.44827693700790405,1.2697663307189941,1.1062722206115723,3.549833059310913,0.10886481404304504,0.361173540353775,0.0008077793466758054,0.024502713233232498,0.30339714884757996,0.3368889093399048,0.3345284163951874,94.08460235595703,-0.08242280781269073,0.10469510457960769,0.4006815925278395,0.2080709197364089,0.1454958701736528,0.0855108596396095,0.6023961236258507,0.6578484110657047,0.31256947088521386,0.43751721400298,0.6973036654327951,2.799312551602112e-16,True,0.139984130859375
