edge_index,local_axis,mid_X_m,mid_Y_m,mid_Z_m,dir_X,dir_Y,dir_Z
0,local x,-2.872,-0.37767400000001,-0.48814359674575003,0.0,0.0,-1.0
406,local x,-8.074,0.0,0.0,1.0,0.0,0.0
813,local x,-2.872,-0.37767400000001,-7.486341525857651,0.0,0.0,-1.0
1220,local x,-7.812,-0.5984740000000071,-7.17,0.0,-1.0,0.0
1627,local x,0.0,0.0,-6.999680828295489,0.0,0.0,-1.0
2034,local x,-2.872,-0.37767400000001,-13.8246129032258,0.0,0.0,-1.0
2441,local x,0.26200000000000506,-2.226,-14.34,1.0,0.0,0.0
2848,local x,-7.812000000000001,-0.03776739999999999,-17.7095880582071,-1.1758532751792547e-14,1.0,0.0
3255,local x,0.0,-3.147431218022181,-17.387564989209622,0.0,-0.32110890475573883,-0.9470422753428539
3662,local x,-8.2836,8.033658344315255e-15,-20.577607800000003,0.7216500942728118,8.148273356873494e-14,-0.6922580020744014
4069,local x,-1.1220000000000003,-0.37767400000001006,-31.79701015368753,0.0,0.0,1.0
4476,local x,0.52400000000001,-4.134846787926451,-20.5990306857192,0.0,-1.0,0.0
4883,local x,0.15720000000000825,-15.68322118656728,-30.013903315994455,-0.5799920765858158,0.7019021694743619,-0.4134519749437138
5290,local x,-1.1220000000000003,-0.37767400000001006,-34.562964950698245,0.0,0.0,1.0
5697,local x,0.0,-11.226738364359058,-32.63897231317999,0.0,0.8616291604415245,-0.5075383629607065
6104,local x,0.52400000000001,8.218035081212988e-15,-37.40684200000002,0.0,-3.6144135941182483e-16,1.0
6511,local x,-0.5184817142462139,-13.276037566461046,-31.431842831027275,-0.5927813567974398,0.6939246206694568,-0.4087528395768487
6918,local x,-8.336,1.1283057809025672e-14,-45.88684200000001,0.0,-3.614413594118424e-16,1.0
7325,local x,0.0,-8.092092775020369,-40.262524584638,0.0,0.0,1.0
7732,local x,-6.69,-0.37767400000001006,-44.5357873477717,0.0,0.0,-1.0
8139,local x,0.52400000000001,1.0150300588628855e-14,-42.752841999999994,0.0,-3.6144135941191096e-16,1.0
8546,local x,-1.1220000000000003,-0.37767400000001006,-49.16591330967641,0.0,0.0,1.0
8953,local x,0.0,2.0724714762995326e-14,-66.66749999999999,0.0,8.707898641899495e-14,-1.0
9360,local x,-7.812,-0.3399066000000077,-48.717084584638,0.0,-1.0,0.0
9767,local x,0.0,-0.03776739999998992,-48.717084584638,0.0,-1.0,0.0
10174,local x,-2.872,-0.37767400000001006,-64.21378074223986,0.0,0.0,-1.0
10581,local x,-1.1220000000000003,-0.37767400000001006,-66.41737031767022,0.0,0.0,1.0
10988,local x,0.52400000000001,-8.092092775020355,-61.769110584638014,0.0,0.0,1.0
11395,local x,0.26200000000000556,-8.09209277502037,-65.272817584638,-0.7655220818340333,-2.5951152400339317e-14,-0.6434096224214306
11802,local x,0.47160000000000973,1.6391791041209e-14,-58.737607800000006,-0.7216500942728044,-1.6333711321111766e-14,-0.6922580020744091
12208,local x,-8.336,1.1850294661486932e-14,-78.050842,0.0,-2.611495503162501e-16,1.0
12615,local x,0.52400000000001,-0.3247615298424224,-58.91775055503132,0.0,-0.8507066746869009,-0.5256407077492719
13022,local x,0.0,-7.951664524705937,-63.848380210537556,0.0,0.730460143096,-0.6829553274908773
13429,local x,-5.412461187399849,-8.09209277502036,-62.75710704159923,0.8433265178978785,0.0,-0.5374015111722699
13836,local x,0.52400000000001,-8.09209277502036,-72.94511058463802,0.0,0.0,1.0
14243,local x,0.0,-8.09209277502036,-76.24546999999998,0.0,0.0,1.0
14650,local x,-8.336,1.2591698234834722e-14,-80.889842,0.0,-2.6114955031611835e-16,1.0
15057,local x,0.52400000000001,-6.442522821644721,-77.30216346357254,0.0,-0.8507066746868988,0.5256407077492753
15464,local x,0.52400000000001,-8.09209277502036,-81.05170203385521,0.0,0.0,1.0
15871,local x,-7.812,-8.09209277502036,-83.57052458463801,0.0,0.0,1.0
16278,local x,-8.336,-8.09209277502036,-88.315110584638,0.0,0.0,1.0
16685,local x,-6.414097124996071,-8.09209277502036,-84.6846554131217,0.8433265178978797,0.0,-0.5374015111722679
17092,local x,-8.336,-8.09209277502036,-91.32932396614478,0.0,0.0,1.0
17499,local x,-7.969199999999994,1.1520268863506244e-14,-102.49920259999999,0.7216500942728329,-2.66376833348935e-14,-0.6922580020743795
17906,local x,0.52400000000001,-8.804079102697191,-99.17506646937026,0.0,0.23904190957758348,0.971009250968034
18313,local x,-8.336,-8.98144819960375,-99.89555533358852,0.0,0.23904190957754587,0.9710092509680432
18720,local x,-5.845618250895139,-0.37767400000001,-101.23674883564706,0.9999974306958932,0.0,-0.002266848387617412
19127,local x,-2.872,-0.37767400000001006,-109.55798454436317,0.0,0.0,-1.0
19534,local x,-1.6653345369377346e-16,-13.342489262570615,-108.02563816272743,-1.1013367927517991e-15,-0.8616291604426168,0.5075383629588517
19941,local x,-8.2836,2.1146994128403923e-14,-109.6176078,0.7216500942728299,1.46833712845085e-14,-0.6922580020743825
20348,local x,-7.701185620544247,-0.37767400000001006,-110.40064703722999,1.0,2.504690794817951e-16,-1.9236025304201864e-13
20755,local x,-8.2836,2.2626814908375882e-14,-117.03760779999999,0.7216500942728241,8.377073787264729e-15,-0.6922580020743886
