epoch,elapsed_s,learning_rate,loss_total,loss_q,loss_qdot,loss_variational,loss_observation_displacement,loss_observation_velocity,gradient_norm,data_gradient_norm,physics_gradient_norm,data_physics_gradient_cosine,reduced_q_relative_l2,reduced_qdot_relative_l2,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,variational_weak_median,variational_weak_p90,hard_BC_max_abs,finite,peak_vram_GiB
0,0.46762460000172723,0.0,2.9727044105529785,1.0452675819396973,1.0325993299484253,58.8684196472168,1.3645018339157104,1.0887359380722046,0.0,6.746015548706055,nan,nan,1.0782554362733123,1.0293632633272911,1.3967740741457324,0.9389801202337521,1.1228727473142635,1.0816491483779505,1.050753613647187,0.9960722405649017,1.0988605907541384,1.337476914612417,6.603308987785806e-17,True,0.10519838333129883
1,0.8127013000048464,0.0002,2.9727044105529785,1.0452675819396973,1.0325993299484253,58.8684196472168,1.3645018339157104,1.0887359380722046,6.746016502380371,6.746015548706055,nan,nan,1.0592009258804973,1.0227406651082889,1.2750709426584295,0.9273345683317271,1.1020093864624712,1.0661254069317871,1.0428357363035679,0.9936051098592836,1.0833669274150293,1.2812061137636839,6.927176824447343e-17,True,0.11662817001342773
5,1.0324987999993027,0.001,2.1712911128997803,1.0440938472747803,1.0275760889053345,113.58940887451172,0.7035835385322571,0.9497900009155273,2.680577278137207,2.680577278137207,nan,nan,0.836657957956748,0.9456681796925414,0.8038149182442391,0.7453206077393818,0.8669133689175361,0.9224821315331273,0.9583548848096208,0.9560717639299487,0.7898791032051781,0.8978089462491573,1.20568389537168e-16,True,0.12256050109863281
10,1.2802067000011448,0.0009973620807194618,1.7094943523406982,1.0247609615325928,1.0220881700515747,133.11080932617188,0.4203939437866211,0.7773880362510681,1.6473276615142822,1.6473276615142822,nan,nan,0.6699136416629433,0.8469911019907899,0.5660859504378463,0.5392823501164768,0.7102608454097946,0.8578355131402141,0.8666719732926198,0.8858082113752109,0.783613259727165,1.1207049195945489,1.2590387265375212e-16,True,0.1226205825805664
15,1.526606700004777,0.000989479250069539,1.4193322658538818,1.0262688398361206,1.024027943611145,272.7802734375,0.22737593948841095,0.6793822050094604,1.2372361421585083,1.2372361421585083,nan,nan,0.5062144225249922,0.7658544250105209,0.38191231518611546,0.4016619007552221,0.5368220421756463,0.8176438217526805,0.7998379436840537,0.8092254525372938,0.8204586185881562,1.479960356146459,1.9562168254155054e-16,True,0.1232757568359375
20,1.7539417000007234,0.0009764439270322612,1.1525477170944214,0.9971950650215149,1.0176843404769897,344.3185729980469,0.08961229771375656,0.5592155456542969,0.7340618371963501,0.7340618968009949,nan,nan,0.22209232258314757,0.6602676056871484,0.34803401089390273,0.2003816957173131,0.2251764661623501,0.764036546597615,0.7561016865231333,0.6722286893696898,0.3998696115573194,2.218860937744355,2.5052816135572717e-16,True,0.1233358383178711
25,1.981383199999982,0.0009584089388519307,1.0012249946594238,0.9606565237045288,1.0060503482818604,319.9747314453125,0.06243074685335159,0.4471174478530884,1.1359784603118896,1.1359783411026,nan,nan,0.20866868513256967,0.5337460227889907,0.3076138033263849,0.22430179415886103,0.19866657369646457,0.7167866239914691,0.718636183191427,0.5017774924451924,0.3867341921774882,2.311878811041928,2.585895987830077e-16,True,0.1233358383178711
30,2.19433779999963,0.0009355857292754152,0.8758536577224731,0.915561318397522,0.9729573726654053,242.10533142089844,0.03571098670363426,0.36801302433013916,0.550320565700531,0.550320565700531,nan,nan,0.13964528520271913,0.4543693950563725,0.24422969820145057,0.1658165892229354,0.12281102385922171,0.6633555837855325,0.6934137212011326,0.38863110150943464,0.3175066720570756,2.837183400282741,2.369464786979431e-16,True,0.1233358383178711
35,2.412074100000609,0.0009082418795675396,0.8123778104782104,0.8908848762512207,0.9450576305389404,200.1333770751953,0.030362805351614952,0.32302936911582947,0.45336681604385376,0.45336684584617615,nan,nan,0.12525806430768835,0.41584829144323404,0.22716714074051444,0.14860863981304723,0.10900526993482217,0.6264489208487537,0.6672156533936137,0.3315933261915571,0.2833847542407889,1.626938568308711,2.542688294134588e-16,True,0.1233358383178711
40,2.6272490000046673,0.0008766979713654089,0.7577364444732666,0.8680495619773865,0.9203524589538574,159.0797882080078,0.021082522347569466,0.2895534038543701,0.2972713112831116,0.2972713112831116,nan,nan,0.10036622733476928,0.3956934367331567,0.19681228178784335,0.12943714008798674,0.08021680776631317,0.5842661777595739,0.6416884208391688,0.3112120275727598,0.2174522371662674,1.8674708009096295,2.604852966534187e-16,True,0.1233358383178711
45,2.8562176000050385,0.0008413238281518226,0.7190489768981934,0.8513908982276917,0.9014374613761902,130.3886260986328,0.018662482500076294,0.262179434299469,0.26399534940719604,0.26399534940719604,nan,nan,0.0952966859775567,0.3796517522672305,0.1793847389114096,0.12847792236358088,0.07343729276775217,0.5500872070927819,0.6191406861426477,0.29350197846087,0.18611953892879798,1.5027429496219642,2.4402809078473244e-16,True,0.1233358383178711
50,3.1237285000024713,0.000802534179413072,0.685145378112793,0.8396855592727661,0.8864339590072632,111.28611755371094,0.015533995814621449,0.23808151483535767,0.17930839955806732,0.17930838465690613,nan,nan,0.08436341072286024,0.36320293570416035,0.164407476116079,0.11894083476360974,0.06127335306394614,0.5213162464834377,0.5953109438703545,0.27347625477692766,0.17047827757896486,1.4422123018910205,2.4435882945661615e-16,True,0.1233358383178711
55,3.3528544000000693,0.0007607837983149056,0.6572738885879517,0.8309163451194763,0.8742886185646057,100.24527740478516,0.013555033132433891,0.21741759777069092,0.14087006449699402,0.14087006449699402,nan,nan,0.0797437744008875,0.35081215444723324,0.15453744565094316,0.1111360619850047,0.05894971954027651,0.4954645645589622,0.5718924277677293,0.26119701343941276,0.16449749053648116,1.3857733220168056,2.5416788789693763e-16,True,0.1233358383178711
