trial_id,variant,seed,case_id,quantity,axis,node_relative_l2_median,node_relative_l2_p90,node_relative_l2_worst,node_relative_metrics_defined,valid_energy_node_count,predicted_hotspot_node_zero_based,target_hotspot_node_zero_based,hotspot_distance_m
COMMON_B2,common,-1,V40_A_E2_C5_2T,total_displacement,X,0.017359700053930283,0.03424549475312233,0.0759122297167778,True,496,433,433,0.0
COMMON_B2,common,-1,V40_A_E2_C5_2T,total_displacement,Y,0.02965150959789753,0.0763913057744503,0.18816280364990234,True,496,280,280,0.0
COMMON_B2,common,-1,V40_A_E2_C5_2T,total_displacement,Z,0.054098401218652725,0.06939641758799553,0.1605616956949234,True,508,443,443,0.0
COMMON_B2,common,-1,V40_B_E2_C5_2T,total_displacement,X,0.018151652067899704,0.03761331923305988,0.0883866548538208,True,496,433,433,0.0
COMMON_B2,common,-1,V40_B_E2_C5_2T,total_displacement,Y,0.02023985516279936,0.057527465745806694,0.19142916798591614,True,496,280,280,0.0
COMMON_B2,common,-1,V40_B_E2_C5_2T,total_displacement,Z,0.0404964592307806,0.051462597027420995,0.17533107101917267,True,508,443,443,0.0
COMMON_B2,common,-1,V40_CPLUS_E2_C5_2T,total_displacement,X,0.021189311519265175,0.0551166757941246,0.12254346907138824,True,496,433,433,0.0
COMMON_B2,common,-1,V40_CPLUS_E2_C5_2T,total_displacement,Y,0.020367057994008064,0.05785887688398361,0.15426521003246307,True,496,280,280,0.0
COMMON_B2,common,-1,V40_CPLUS_E2_C5_2T,total_displacement,Z,0.04800033941864967,0.06099519543349743,0.21258150041103363,True,508,1,443,8.86000000000001
COMMON_B2,common,-1,V40_C_E2_C5_2T,total_displacement,X,0.02306031994521618,0.04644196480512619,0.11020827293395996,True,496,433,433,0.0
COMMON_B2,common,-1,V40_C_E2_C5_2T,total_displacement,Y,0.0288754440844059,0.06780987232923508,0.18172787129878998,True,496,280,280,0.0
COMMON_B2,common,-1,V40_C_E2_C5_2T,total_displacement,Z,0.049542004242539406,0.06277732700109481,0.19923797249794006,True,508,443,443,0.0
COMMON_B2,common,-1,V52_A_E2_C5_2T,total_displacement,X,0.01419403962790966,0.028186604380607605,0.06104900687932968,True,496,36,36,0.0
COMMON_B2,common,-1,V52_A_E2_C5_2T,total_displacement,Y,0.03866663575172424,0.07497384771704674,0.19250106811523438,True,496,280,280,0.0
COMMON_B2,common,-1,V52_A_E2_C5_2T,total_displacement,Z,0.048695316538214684,0.060338642448186874,0.10619021207094193,True,508,443,443,0.0
COMMON_B2,common,-1,V52_B_E2_C5_2T,total_displacement,X,0.020502290688455105,0.036849215626716614,0.08318981528282166,True,496,36,36,0.0
COMMON_B2,common,-1,V52_B_E2_C5_2T,total_displacement,Y,0.047786906361579895,0.0982089452445507,0.2053316980600357,True,496,280,280,0.0
COMMON_B2,common,-1,V52_B_E2_C5_2T,total_displacement,Z,0.0626952238380909,0.0749458521604538,0.12244396656751633,True,508,1,443,8.86000000000001
COMMON_B2,common,-1,V52_CPLUS_E2_C5_2T,total_displacement,X,0.020619855262339115,0.048742976039648056,0.1061355471611023,True,496,208,208,0.0
COMMON_B2,common,-1,V52_CPLUS_E2_C5_2T,total_displacement,Y,0.026195310056209564,0.06429003551602364,0.16650483012199402,True,496,280,280,0.0
COMMON_B2,common,-1,V52_CPLUS_E2_C5_2T,total_displacement,Z,0.04689989611506462,0.05858350954949856,0.09947634488344193,True,508,443,1,8.86000000000001
COMMON_B2,common,-1,V52_C_E2_C5_2T,total_displacement,X,0.019102745689451694,0.04052652604877949,0.0938379168510437,True,496,36,36,0.0
COMMON_B2,common,-1,V52_C_E2_C5_2T,total_displacement,Y,0.021773028187453747,0.06212044134736061,0.19241347908973694,True,496,280,280,0.0
COMMON_B2,common,-1,V52_C_E2_C5_2T,total_displacement,Z,0.039946360513567924,0.05035000182688236,0.09987707436084747,True,508,1,443,8.86000000000001
COMMON_B2,common,-1,V40_A_E3_C6_1T,total_displacement,X,0.0759526789188385,0.1557372361421585,0.37863630056381226,True,496,433,433,0.0
COMMON_B2,common,-1,V40_A_E3_C6_1T,total_displacement,Y,0.023461049422621727,0.06023605167865753,0.2555784583091736,True,496,207,207,0.0
COMMON_B2,common,-1,V40_A_E3_C6_1T,total_displacement,Z,0.025608530268073082,0.027778777107596398,0.05216727778315544,True,508,72,72,0.0
COMMON_B2,common,-1,V40_B_E3_C6_1T,total_displacement,X,0.07069548591971397,0.1671593189239502,0.39675647020339966,True,496,433,433,0.0
COMMON_B2,common,-1,V40_B_E3_C6_1T,total_displacement,Y,0.02783583290874958,0.07412145286798477,0.2728801369667053,True,496,207,207,0.0
COMMON_B2,common,-1,V40_B_E3_C6_1T,total_displacement,Z,0.026430098339915276,0.028016578033566476,0.0651003047823906,True,508,72,72,0.0
COMMON_B2,common,-1,V40_CPLUS_E3_C6_1T,total_displacement,X,0.07574634253978729,0.16717463731765747,0.4655972719192505,True,496,433,433,0.0
COMMON_B2,common,-1,V40_CPLUS_E3_C6_1T,total_displacement,Y,0.031125149689614773,0.07266824319958687,0.2208687663078308,True,496,207,207,0.0
COMMON_B2,common,-1,V40_CPLUS_E3_C6_1T,total_displacement,Z,0.03403603471815586,0.03720021694898605,0.08610814064741135,True,508,72,72,0.0
COMMON_B2,common,-1,V40_C_E3_C6_1T,total_displacement,X,0.0675225779414177,0.16934482008218765,0.37687796354293823,True,496,433,433,0.0
COMMON_B2,common,-1,V40_C_E3_C6_1T,total_displacement,Y,0.02377375029027462,0.06104196235537529,0.26672494411468506,True,496,207,207,0.0
COMMON_B2,common,-1,V40_C_E3_C6_1T,total_displacement,Z,0.027169378474354744,0.029564211331307887,0.07444054633378983,True,508,72,72,0.0
COMMON_B2,common,-1,V52_A_E3_C6_1T,total_displacement,X,0.057657698169350624,0.13921743631362915,0.35556551814079285,True,496,433,433,0.0
COMMON_B2,common,-1,V52_A_E3_C6_1T,total_displacement,Y,0.021633022464811802,0.05833570472896099,0.2568792402744293,True,496,207,207,0.0
COMMON_B2,common,-1,V52_A_E3_C6_1T,total_displacement,Z,0.024501530453562737,0.026500854082405566,0.05141062289476395,True,508,72,72,0.0
COMMON_B2,common,-1,V52_B_E3_C6_1T,total_displacement,X,0.0705048069357872,0.16419460624456406,0.3877456784248352,True,496,433,433,0.0
COMMON_B2,common,-1,V52_B_E3_C6_1T,total_displacement,Y,0.021340067498385906,0.05774295888841152,0.2665916383266449,True,496,207,207,0.0
COMMON_B2,common,-1,V52_B_E3_C6_1T,total_displacement,Z,0.023439968936145306,0.025350509397685527,0.060754045844078064,True,508,72,72,0.0
COMMON_B2,common,-1,V52_CPLUS_E3_C6_1T,total_displacement,X,0.09335645288228989,0.1915937140583992,0.4940323829650879,True,496,433,433,0.0
COMMON_B2,common,-1,V52_CPLUS_E3_C6_1T,total_displacement,Y,0.05095802992582321,0.10496867448091507,0.2607138752937317,True,496,207,207,0.0
COMMON_B2,common,-1,V52_CPLUS_E3_C6_1T,total_displacement,Z,0.047232793644070625,0.04934532716870308,0.08961386233568192,True,508,72,72,0.0
COMMON_B2,common,-1,V52_C_E3_C6_1T,total_displacement,X,0.10261505842208862,0.20747999101877213,0.49044960737228394,True,496,433,433,0.0
COMMON_B2,common,-1,V52_C_E3_C6_1T,total_displacement,Y,0.04560748115181923,0.11055894941091537,0.28006741404533386,True,496,207,207,0.0
COMMON_B2,common,-1,V52_C_E3_C6_1T,total_displacement,Z,0.03752192482352257,0.038901321962475775,0.07418403029441833,True,508,72,72,0.0
COMMON_B2,common,-1,V40_A_E4_C7_1T,total_displacement,X,0.0172222713008523,0.03129802085459232,0.05543265491724014,True,496,433,433,0.0
COMMON_B2,common,-1,V40_A_E4_C7_1T,total_displacement,Y,0.04588206484913826,0.11741990968585014,0.2873787581920624,True,496,207,207,0.0
COMMON_B2,common,-1,V40_A_E4_C7_1T,total_displacement,Z,0.0399506613612175,0.04143379367887974,0.06303577125072479,True,508,443,1,8.86000000000001
COMMON_B2,common,-1,V40_B_E4_C7_1T,total_displacement,X,0.015271852724254131,0.029448632150888443,0.06252621114253998,True,496,433,433,0.0
COMMON_B2,common,-1,V40_B_E4_C7_1T,total_displacement,Y,0.02550680935382843,0.06615432351827621,0.2630913555622101,True,496,207,207,0.0
COMMON_B2,common,-1,V40_B_E4_C7_1T,total_displacement,Z,0.024448913522064686,0.026127177663147448,0.06345566362142563,True,508,1,1,0.0
COMMON_B2,common,-1,V40_CPLUS_E4_C7_1T,total_displacement,X,0.016892368905246258,0.0381881408393383,0.081025630235672,True,496,433,433,0.0
COMMON_B2,common,-1,V40_CPLUS_E4_C7_1T,total_displacement,Y,0.027786836959421635,0.06343189999461174,0.2038917988538742,True,496,207,207,0.0
COMMON_B2,common,-1,V40_CPLUS_E4_C7_1T,total_displacement,Z,0.0350999366492033,0.03815312683582306,0.08327783644199371,True,508,1,1,0.0
COMMON_B2,common,-1,V40_C_E4_C7_1T,total_displacement,X,0.01758087519556284,0.03603740967810154,0.07330546528100967,True,496,433,433,0.0
COMMON_B2,common,-1,V40_C_E4_C7_1T,total_displacement,Y,0.024385939352214336,0.06204329803586006,0.2648284435272217,True,496,207,207,0.0
COMMON_B2,common,-1,V40_C_E4_C7_1T,total_displacement,Z,0.025631647557020187,0.027719933539628983,0.07426907122135162,True,508,1,1,0.0
COMMON_B2,common,-1,V52_A_E4_C7_1T,total_displacement,X,0.011216432321816683,0.021359892562031746,0.048639390617609024,True,496,433,503,3.660046115141711
COMMON_B2,common,-1,V52_A_E4_C7_1T,total_displacement,Y,0.019230292178690434,0.05297705717384815,0.2578912079334259,True,496,207,207,0.0
COMMON_B2,common,-1,V52_A_E4_C7_1T,total_displacement,Z,0.022675110958516598,0.02464404609054327,0.049079183489084244,True,508,1,1,0.0
COMMON_B2,common,-1,V52_B_E4_C7_1T,total_displacement,X,0.01714892778545618,0.029802732169628143,0.06241016089916229,True,496,503,503,0.0
COMMON_B2,common,-1,V52_B_E4_C7_1T,total_displacement,Y,0.0292234867811203,0.07761790603399277,0.2712688148021698,True,496,207,207,0.0
COMMON_B2,common,-1,V52_B_E4_C7_1T,total_displacement,Z,0.028950772248208523,0.030997492372989655,0.06325378268957138,True,508,1,1,0.0
COMMON_B2,common,-1,V52_CPLUS_E4_C7_1T,total_displacement,X,0.016161419451236725,0.03435448184609413,0.07931264489889145,True,496,503,503,0.0
COMMON_B2,common,-1,V52_CPLUS_E4_C7_1T,total_displacement,Y,0.026379399932920933,0.05985944904386997,0.22754399478435516,True,496,207,207,0.0
COMMON_B2,common,-1,V52_CPLUS_E4_C7_1T,total_displacement,Z,0.026158176362514496,0.028359585627913474,0.07380934804677963,True,508,1,1,0.0
COMMON_B2,common,-1,V52_C_E4_C7_1T,total_displacement,X,0.019869270734488964,0.03513512574136257,0.07359018921852112,True,496,503,503,0.0
COMMON_B2,common,-1,V52_C_E4_C7_1T,total_displacement,Y,0.028919586911797523,0.08177100494503975,0.2681346535682678,True,496,207,207,0.0
COMMON_B2,common,-1,V52_C_E4_C7_1T,total_displacement,Z,0.028168789111077785,0.030308691412210466,0.07189618796110153,True,508,1,1,0.0
COMMON_B2,common,-1,V40_A_E5_C9_1T,total_displacement,X,0.01999470964074135,0.03580106049776077,0.06405388563871384,True,496,433,433,0.0
COMMON_B2,common,-1,V40_A_E5_C9_1T,total_displacement,Y,0.04413868673145771,0.12032253295183182,0.3056657314300537,True,496,207,207,0.0
COMMON_B2,common,-1,V40_A_E5_C9_1T,total_displacement,Z,0.03551100753247738,0.036889384314417836,0.063841313123703,True,508,1,1,0.0
COMMON_B2,common,-1,V40_B_E5_C9_1T,total_displacement,X,0.020975032821297646,0.038164008408784866,0.07070639729499817,True,496,433,433,0.0
COMMON_B2,common,-1,V40_B_E5_C9_1T,total_displacement,Y,0.04239751398563385,0.1104046180844307,0.29201561212539673,True,496,207,207,0.0
COMMON_B2,common,-1,V40_B_E5_C9_1T,total_displacement,Z,0.03612702339887619,0.03789728656411171,0.07319173961877823,True,508,1,1,0.0
COMMON_B2,common,-1,V40_CPLUS_E5_C9_1T,total_displacement,X,0.01935574598610401,0.038342613726854324,0.08697651326656342,True,496,433,433,0.0
COMMON_B2,common,-1,V40_CPLUS_E5_C9_1T,total_displacement,Y,0.037629758939146996,0.07318106666207314,0.21497121453285217,True,496,207,207,0.0
COMMON_B2,common,-1,V40_CPLUS_E5_C9_1T,total_displacement,Z,0.04024314135313034,0.043336835131049155,0.09221338480710983,True,508,1,1,0.0
COMMON_B2,common,-1,V40_C_E5_C9_1T,total_displacement,X,0.01796034350991249,0.03624115698039532,0.07289011031389236,True,496,433,433,0.0
COMMON_B2,common,-1,V40_C_E5_C9_1T,total_displacement,Y,0.02552658226341009,0.06385282799601555,0.26596319675445557,True,496,207,207,0.0
COMMON_B2,common,-1,V40_C_E5_C9_1T,total_displacement,Z,0.03062678687274456,0.033442091196775436,0.08224091678857803,True,508,1,1,0.0
COMMON_B2,common,-1,V52_A_E5_C9_1T,total_displacement,X,0.01140172965824604,0.022916884161531925,0.05105943977832794,True,496,433,503,3.660046115141711
