trial_id,variant,seed,case_id,quantity,axis,band_low_hz,band_high_hz,predicted_energy,target_energy,relative_energy_error
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,X,1.0,2.0,1.3575272062365964e-10,1.6532683653885083e-10,0.17888273031971702
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,X,2.0,5.0,2.581801884035819e-10,7.527757131777977e-12,33.297093262173625
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,X,5.0,10.0,2.8945713183700394e-11,5.733321091155606e-12,4.048681684399802
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,X,10.0,20.0,1.7679708358956966e-11,3.1028174070735373e-12,4.697953195264498
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,Y,0.0,0.5,3.240053798762232e-08,2.1703492863109987e-11,1491.8720548338279
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,Y,0.5,1.0,2.4057642084402344e-10,5.502174902205604e-11,3.372387739756981
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,Y,1.0,2.0,1.2150578917516255e-08,1.2516215218473172e-08,0.029213008451409495
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,Y,2.0,5.0,2.1005654233319525e-08,2.135089792170793e-08,0.016169984496876188
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,Y,5.0,10.0,1.4977660588787287e-09,1.4965406927384123e-09,0.0008187990786098674
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,Y,10.0,20.0,4.519992873487019e-10,4.385976354053635e-10,0.030555686719451303
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,Z,0.0,0.5,2.2430758713113273e-08,1.1283952106726977e-11,1986.845969298388
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,Z,0.5,1.0,8.518997793252142e-11,6.199039015478997e-11,0.3742449066670186
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,Z,1.0,2.0,4.059482181806035e-08,4.221302879086547e-08,0.03833430149781824
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,Z,2.0,5.0,1.6265443416705524e-08,1.6610486719775446e-08,0.020772618460308808
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,Z,5.0,10.0,3.823660817380936e-10,3.6823512650847625e-10,0.03837481601389839
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,Z,10.0,20.0,9.946021022459111e-11,9.051302148549449e-11,0.09884974108979978
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,X,0.0,0.5,4.6595369109510736e-09,4.061826869464167e-12,1146.1530079187635
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,X,0.5,1.0,1.681906144101299e-08,1.711943479612213e-08,0.017545751871269676
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,X,1.0,2.0,5.275140700094043e-05,5.280143814496043e-05,0.0009475337372941771
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,X,2.0,5.0,4.009996684161606e-06,3.990211971234122e-06,0.004958311255169933
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,X,5.0,10.0,1.4453796168884802e-10,2.5094470050724774e-10,0.4240246500655888
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,X,10.0,20.0,2.0368684709543806e-11,1.0313000426719181e-10,0.8024950657737576
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,Y,0.0,0.5,4.606047297851452e-08,2.224908705556409e-11,2069.218560585641
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,Y,0.5,1.0,4.225477179736343e-10,1.6073370477137295e-10,1.628868155404398
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,Y,1.0,2.0,3.6637438761781736e-07,3.6679616289049514e-07,0.001149890089781822
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,Y,2.0,5.0,1.37044676146645e-07,1.3770793488775594e-07,0.004816416291853883
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,Y,5.0,10.0,1.5027804609002856e-09,1.5028591420640073e-09,5.2354316861425485e-05
