trial_id,variant,seed,case_id,quantity,axis,log_psd_l2_distance,target_dominant_frequency_hz,predicted_dominant_frequency_hz,dominant_frequency_abs_error_hz,coherence_at_target_dominant_frequency,phase_at_target_dominant_frequency_rad,coherence_defined,phase_defined,coherence_valid_node_count
COMMON_B2,common,-1,BASE_C1_0T,total_displacement,X,4.275180149198559,1.931723563696909,0.09991673605328841,1.8318068276436206,0.3620225191116333,0.1204480230808258,True,True,496
COMMON_B2,common,-1,BASE_C1_0T,total_displacement,Y,2.865628247617928,1.931723563696909,0.09991673605328841,1.8318068276436206,0.9378492832183838,0.06918514519929886,True,True,496
COMMON_B2,common,-1,BASE_C1_0T,total_displacement,Z,2.3305174213662263,1.931723563696909,0.09991673605328841,1.8318068276436206,0.9678179025650024,0.06715318560600281,True,True,508
COMMON_B2,common,-1,BASE_C2_0T,total_displacement,X,3.2312479679069916,1.1990008326394608,1.1990008326394608,0.0,0.999999463558197,-9.863882587524131e-05,True,True,496
COMMON_B2,common,-1,BASE_C2_0T,total_displacement,Y,2.3673889405902644,1.1990008326394608,0.09991673605328841,1.0990840965861723,0.9648148417472839,1.8059774447465315e-05,True,True,496
COMMON_B2,common,-1,BASE_C2_0T,total_displacement,Z,2.4500486378404105,1.1990008326394608,0.09991673605328841,1.0990840965861723,0.9857722520828247,-1.3606079846795183e-05,True,True,508
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,X,3.7864962099920496,1.931723563696909,0.09991673605328841,1.8318068276436206,0.3744875490665436,-0.03355186805129051,True,True,496
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,Y,2.020918931807665,1.931723563696909,0.09991673605328841,1.8318068276436206,0.9438705444335938,0.10487684607505798,True,True,496
COMMON_B2,common,-1,BASE_C3_0T,total_displacement,Z,1.9355142077005203,1.931723563696909,1.931723563696909,0.0,0.974271297454834,0.1085531935095787,True,True,508
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,X,3.653527747598065,1.1990008326394608,1.1990008326394608,0.0,0.9999995827674866,0.0002370636648265645,True,True,496
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,Y,1.9567008100254526,1.1990008326394608,1.1990008326394608,0.0,0.974590539932251,0.00033866867306642234,True,True,496
COMMON_B2,common,-1,BASE_C8_0T,total_displacement,Z,1.9938167343508435,1.1990008326394608,1.1990008326394608,0.0,0.9904072880744934,0.0002583192544989288,True,True,508
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,X,1.2270093551018464,0.06661115736885893,0.06661115736885893,0.0,0.992780864238739,0.0,True,True,496
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,Y,2.015498667376134,0.06661115736885893,0.06661115736885893,0.0,0.9977699518203735,0.0,True,True,496
COMMON_B2,common,-1,V40_A_E1_C4_2T,total_displacement,Z,5.060676386232384,0.06661115736885893,0.06661115736885893,0.0,0.9962407946586609,0.0,True,True,508
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,X,1.366139994521786,0.06661115736885893,0.06661115736885893,0.0,0.975879430770874,0.0,True,True,496
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,Y,2.213495116395459,0.06661115736885893,0.06661115736885893,0.0,0.9932698011398315,0.0,True,True,496
COMMON_B2,common,-1,V40_B_E1_C4_2T,total_displacement,Z,5.281752951215528,0.06661115736885893,0.06661115736885893,0.0,0.9918951988220215,0.0,True,True,508
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,X,1.654371126565164,0.06661115736885893,0.06661115736885893,0.0,0.9896298050880432,0.0,True,True,496
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,Y,2.6311332562520318,0.06661115736885893,0.06661115736885893,0.0,0.9992525577545166,0.0,True,True,496
COMMON_B2,common,-1,V40_CPLUS_E1_C4_2T,total_displacement,Z,6.109462498471359,0.06661115736885893,0.06661115736885893,0.0,0.999557375907898,0.0,True,True,508
