trial_id,variant,seed,case_id,axis,model,quantity,derivative_vs_velocity_relative_l2,derivative_vs_velocity_relative_l2_defined,derivative_vs_velocity_rmse_mps
COMMON_FEM,common,-1,V40_C_E1_C4_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.2808558901000967,True,0.00033174772814140944
R4_LHS_03,physics,20260813,V40_C_E1_C4_2T,Y,candidate,incremental_displacement_to_velocity,0.7246910382959847,True,0.0075942669518484565
COMMON_FEM,common,-1,V40_C_E1_C4_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.27640798661944893,True,0.002905783077350908
R4_LHS_03,physics,20260813,V40_C_E1_C4_2T,Z,candidate,incremental_displacement_to_velocity,0.8515336141449167,True,0.007471705846336023
COMMON_FEM,common,-1,V40_C_E1_C4_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.2521143288876125,True,0.0022557713863270313
R4_LHS_03,physics,20260813,V52_A_E1_C4_2T,X,candidate,incremental_displacement_to_velocity,0.9177243013024852,True,0.000665956181509153
COMMON_FEM,common,-1,V52_A_E1_C4_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.3393880922124302,True,0.0002586939214876414
R4_LHS_03,physics,20260813,V52_A_E1_C4_2T,Y,candidate,incremental_displacement_to_velocity,0.7131144710618927,True,0.005917974006919851
COMMON_FEM,common,-1,V52_A_E1_C4_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.31161851109329053,True,0.0026899287925459875
R4_LHS_03,physics,20260813,V52_A_E1_C4_2T,Z,candidate,incremental_displacement_to_velocity,0.720872908789636,True,0.00370597670719175
COMMON_FEM,common,-1,V52_A_E1_C4_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.22478779451641992,True,0.001236425374351197
R4_LHS_03,physics,20260813,V52_B_E1_C4_2T,X,candidate,incremental_displacement_to_velocity,0.914835740877226,True,0.0008006867390305692
COMMON_FEM,common,-1,V52_B_E1_C4_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.3390894974891429,True,0.0003191335648919658
R4_LHS_03,physics,20260813,V52_B_E1_C4_2T,Y,candidate,incremental_displacement_to_velocity,0.7211519202618183,True,0.007366925387141396
COMMON_FEM,common,-1,V52_B_E1_C4_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.3102116179501045,True,0.003309295969386412
R4_LHS_03,physics,20260813,V52_B_E1_C4_2T,Z,candidate,incremental_displacement_to_velocity,0.7168658359459731,True,0.0046912875716492
COMMON_FEM,common,-1,V52_B_E1_C4_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.22278535610464675,True,0.00151585484794251
R4_LHS_03,physics,20260813,V52_CPLUS_E1_C4_2T,X,candidate,incremental_displacement_to_velocity,0.9067191822049339,True,0.0011785525063151303
COMMON_FEM,common,-1,V52_CPLUS_E1_C4_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.3465127151998475,True,0.00048071721652323475
R4_LHS_03,physics,20260813,V52_CPLUS_E1_C4_2T,Y,candidate,incremental_displacement_to_velocity,0.7012188109371059,True,0.01062405994338862
COMMON_FEM,common,-1,V52_CPLUS_E1_C4_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.3139788765817397,True,0.004974690861622944
R4_LHS_03,physics,20260813,V52_CPLUS_E1_C4_2T,Z,candidate,incremental_displacement_to_velocity,0.7232541502335366,True,0.007050901807102212
COMMON_FEM,common,-1,V52_CPLUS_E1_C4_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.2181386827143002,True,0.002236826540607685
R4_LHS_03,physics,20260813,V52_C_E1_C4_2T,X,candidate,incremental_displacement_to_velocity,0.9143837402194283,True,0.0009641981291335731
COMMON_FEM,common,-1,V52_C_E1_C4_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.3364074849754714,True,0.000377467134108832
R4_LHS_03,physics,20260813,V52_C_E1_C4_2T,Y,candidate,incremental_displacement_to_velocity,0.7311881190842869,True,0.008892026381344925
COMMON_FEM,common,-1,V52_C_E1_C4_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.3118042107027322,True,0.003972093919887395
R4_LHS_03,physics,20260813,V52_C_E1_C4_2T,Z,candidate,incremental_displacement_to_velocity,0.7337896817646318,True,0.005717404352706243
COMMON_FEM,common,-1,V52_C_E1_C4_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.2210866355611207,True,0.0017933478721356855
R4_LHS_03,physics,20260813,V40_A_E2_C5_2T,X,candidate,incremental_displacement_to_velocity,0.894258950130627,True,0.0010448488794755338
