epoch,elapsed_s,lr,loss,qfield_loss,vfield_loss,q32_loss,v32_loss,weak_loss,physics_weight,data_grad_norm,physics_grad_norm,gradient_cosine,gradient_norm,score,peak_vram_GiB,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,rotation_X_relative_l2,rotation_Y_relative_l2,rotation_Z_relative_l2,rotation_rate_X_relative_l2,rotation_rate_Y_relative_l2,rotation_rate_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,weak_median,weak_p90,hard_BC_max_abs,finite
0,0.7208366999984719,0.0,2.4658334255218506,0.9250848293304443,1.0125230550765991,1.0114989280700684,1.0078638792037964,6.098950386047363,0.0038342179407599947,0.9425422549247742,49.164772033691406,-0.058151762932538986,0.0,5.809367333139747,1.8471250534057617,0.9246564507484436,0.896018385887146,1.0021511316299438,1.009898066520691,1.0098286867141724,0.9994921684265137,0.9854869246482849,1.0006074905395508,0.9551618695259094,1.0059436559677124,1.0053578615188599,1.0049083232879639,0.9748459698461409,1.0041718683947678,1.1199749064967646,1.5736520135522982,0.0,True
1,1.1046942999964813,0.00016,2.4658334255218506,0.9250848293304443,1.0125230550765991,1.0114989280700684,1.0078638792037964,6.09895133972168,0.0038342179110102794,0.9425422549247742,49.16477584838867,-0.058151762932538986,0.950398325920105,5.785539021346755,2.0818357467651367,0.9129934310913086,0.8943117260932922,0.9983803033828735,1.0067616701126099,1.0087283849716187,0.9984817504882812,0.9818243384361267,0.9969620704650879,0.9515028595924377,1.0054640769958496,1.005108118057251,1.0047509670257568,0.9715250785094304,1.0026851589671886,1.1073522075665883,1.5504392016870763,0.0,True
5,1.9855590000006487,0.0008,2.355567216873169,0.844262957572937,0.9939828515052795,0.9926485419273376,1.005507469177246,4.587626934051514,0.0038761921290574207,0.8809165358543396,43.481388092041016,-0.4114672541618347,0.8259770274162292,5.466812392587934,2.0818357467651367,0.748844563961029,0.8627961277961731,0.9581470489501953,0.9663059711456299,0.9936513304710388,0.9857962131500244,0.9412540793418884,0.9513868689537048,0.9015710353851318,1.0010908842086792,1.003359317779541,1.00287663936615,0.9328394878501431,0.9826168132940934,0.9833312898251076,1.3291280206942164,0.0,True
10,3.0451436000003014,0.0008,2.107025146484375,0.632481575012207,0.9502120018005371,0.9593592286109924,1.0002250671386719,10.773527145385742,0.0031962985348061167,0.9752792716026306,202.8507537841797,-0.5049448609352112,0.8561299443244934,4.799814009417838,2.0818357467651367,0.5463981628417969,0.7345805168151855,0.8370811939239502,0.9020281434059143,0.9539713859558105,0.9575764536857605,0.8315044641494751,0.8520646691322327,0.8142319917678833,0.99680495262146,1.0077556371688843,1.0012556314468384,0.8095454030560132,0.9308414825142975,0.8614379555698642,1.100693058481449,0.0,True
15,4.247823400000925,0.0008,1.9012207984924316,0.4968613386154175,0.9148968458175659,0.8870700001716614,0.9815077185630798,9.349352836608887,0.0023871290567603035,1.2681641578674316,150.73843383789062,-0.5059614777565002,1.1295807361602783,4.344625277587121,2.0818357467651367,0.46053868532180786,0.6661859750747681,0.7192935943603516,0.872754693031311,0.9009885787963867,0.9397842884063721,0.7432465553283691,0.708906352519989,0.7474778294563293,0.9901871085166931,1.0114630460739136,1.000082015991211,0.7029229191190468,0.8778406471882243,0.791514280174334,0.8787851219855564,0.0,True
20,5.311053600002197,0.0008,1.6966559886932373,0.34796497225761414,0.8940072059631348,0.7681286334991455,0.9521403908729553,13.222126007080078,0.001861767132027832,1.2770925760269165,319.9554138183594,-0.25354838371276855,1.2649242877960205,3.7363364252096267,2.0818357467651367,0.49023276567459106,0.5068472623825073,0.5013368725776672,0.8753623366355896,0.8596847057342529,0.9164775013923645,0.6115395426750183,0.5781396627426147,0.7247360944747925,0.9802785515785217,1.0121582746505737,1.0004568099975586,0.4978290623840171,0.8286563806194812,0.7788087723456011,1.0210332118271708,0.0,True
25,6.393407900002785,0.0008,1.5454658269882202,0.26884856820106506,0.8651071190834045,0.658689558506012,0.9196320176124573,10.076546669006348,0.001680111480121403,1.0694628953933716,143.75946044921875,0.10346056520938873,1.120508074760437,3.366899495615617,2.0818357467651367,0.48606693744659424,0.3606386184692383,0.4215782880783081,0.8514847755432129,0.8383122086524963,0.8988903164863586,0.5114690661430359,0.48394620418548584,0.6939067244529724,0.9587565064430237,1.0042836666107178,0.9940954446792603,0.40196368718603703,0.8046166281888107,0.9629657289544596,1.200935402135076,0.0,True
30,7.465836399998807,0.0008,1.3921222686767578,0.2003232091665268,0.8299562931060791,0.505892813205719,0.888900637626648,8.682717323303223,0.001513853330438806,0.9360392689704895,217.8918914794922,-0.26633119583129883,0.9058206081390381,2.9168399400092695,2.0818357467651367,0.44098708033561707,0.2697858214378357,0.28431814908981323,0.837992787361145,0.8196458220481873,0.862403154373169,0.39791491627693176,0.3981053829193115,0.6782894730567932,0.9115385413169861,0.9968817234039307,0.989364743232727,0.2750670958150561,0.773321822879393,0.7277829332557577,0.9007240123393416,0.0,True
35,8.514720799998031,0.0008,1.2428765296936035,0.15155978500843048,0.7802344560623169,0.3687497675418854,0.8380430340766907,7.814448356628418,0.0012008754693317897,0.7984206676483154,181.1707305908203,0.044429585337638855,0.8368062973022461,2.568367090755098,2.0818357467651367,0.4001442492008209,0.2028609663248062,0.19953277707099915,0.8411340713500977,0.7925794720649719,0.7952223420143127,0.34022799134254456,0.31144559383392334,0.6442877054214478,0.8338069915771484,0.991780161857605,0.9846632480621338,0.19325456406549812,0.7162131827565655,0.781093866521715,1.0387609331483665,0.0,True
40,9.556407600000966,0.0008,1.1147136688232422,0.1239108070731163,0.7299585342407227,0.24307212233543396,0.7734273076057434,5.935703754425049,0.0011320451769759174,0.6051187515258789,127.28699493408203,-0.03919031843543053,0.6165207028388977,2.266540565805725,2.0818357467651367,0.3376825153827667,0.17536714673042297,0.1337786465883255,0.8309007883071899,0.77140873670578,0.7179610729217529,0.3057618737220764,0.2870500981807709,0.6152046322822571,0.7715976238250732,0.9823643565177917,0.9783378839492798,0.13526339227061449,0.6486271317324676,0.6388938276654639,1.0493562789077417,0.0,True
45,10.646370000002207,0.0008,1.005861759185791,0.10626225173473358,0.6826682090759277,0.17047759890556335,0.6777446269989014,4.772265911102295,0.0010216536400221485,0.477843701839447,96.86903381347656,0.05353294685482979,0.49314528703689575,2.0540007520656234,2.0818357467651367,0.29659679532051086,0.15982168912887573,0.10752478241920471,0.8276486396789551,0.7525966167449951,0.6204108595848083,0.2868052124977112,0.2651188373565674,0.5839754939079285,0.7199544906616211,0.967097282409668,0.9736116528511047,0.10970867896401267,0.5600414964572802,0.571328238320394,0.8156677365359274,0.0,True
50,11.728291999999783,0.0008,0.9136976599693298,0.09259333461523056,0.6386759281158447,0.13437390327453613,0.576519250869751,4.80037260055542,0.0009801648325230246,0.4210195243358612,98.75555419921875,-0.18690398335456848,0.41399648785591125,1.882536170789028,2.0818357467651367,0.27350088953971863,0.1488422155380249,0.09069065749645233,0.8165608644485474,0.7423377633094788,0.5184476971626282,0.2667652666568756,0.2382015734910965,0.5554595589637756,0.6749531030654907,0.9499279260635376,0.9672544598579407,0.09352676674944647,0.4746049580101171,0.37251743058407094,0.5869899808325435,0.0,True
