epoch,elapsed_s,lr,loss,data_loss,physics_loss,displacement_loss,velocity_loss,state_loss,equilibrium_loss,data_gradient_l2,physics_gradient_l2,gradient_cosine,score,peak_vram_GiB,displacement_X_pooled_l2,displacement_Y_pooled_l2,displacement_Z_pooled_l2,velocity_X_pooled_l2,velocity_Y_pooled_l2,velocity_Z_pooled_l2,physical_q13_pooled_l2,physical_qdot13_pooled_l2,equilibrium_residual_median,equilibrium_residual_p90,hard_BC_max_abs,finite
0,1.1537575000038487,0.0,1.1864209175109863,1.1864209175109863,0.1288948506116867,1.0947601795196533,0.3666427731513977,2.5198938846588135,2.9001572132110596,0.24198974668979645,0.07959674298763275,0.023199260234832764,3.8457735346778676,1.4800357818603516,1.0015922083863473,1.0010068755401507,0.9956609553291702,1.0037382912720538,1.0030615769966127,1.0032957244481409,0.9498959724299785,1.0130041877054095,1.2751431985959676,24.025657740943103,0.0,True
1,2.5971340000032797,0.00016,1.1786693334579468,1.1786693334579468,0.128108948469162,1.087107539176941,0.3662469983100891,2.506415367126465,2.7881760597229004,0.2620200514793396,0.08080708235502243,-0.03829655051231384,3.835952088715225,1.4874467849731445,1.0005141070263281,0.9978526265921623,0.9912276955795949,1.0033148349681045,1.0026723547661407,1.0028959587807866,0.9413687238838195,1.0095087726078253,1.2585111233008714,24.23582124335157,0.0,True
5,5.592924900003709,0.0008,0.8794194459915161,0.8794194459915161,0.2220398485660553,0.788555920124054,0.3634541928768158,3.1182079315185547,66.12943267822266,1.5584030151367188,2.0361082553863525,0.2149968147277832,3.483098947362645,1.4874467849731445,0.9947546497278763,0.8894576077944883,0.7855025527485611,0.9985987941584675,0.9955367494103848,0.9966357251310534,0.6569131991674273,1.0253749174418343,1.1030767492571258,25.744620226755337,0.0,True
10,8.933979000001273,0.0008,0.48388737440109253,0.48388737440109253,0.3113388121128082,0.39896252751350403,0.3396993577480316,4.5262322425842285,85.0271987915039,2.078685760498047,3.1676337718963623,-0.5525788068771362,2.5059268333143296,1.4874467849731445,0.90951239446319,0.4337139815101011,0.4026458062121335,0.9753582421073761,0.8485172732336413,0.8799919866736459,0.8408777562523927,1.6541698143461623,1.8310490817988792,33.343115013656714,0.0,True
15,12.34214449999854,0.0008,0.4557558298110962,0.4557558298110962,0.3248053193092346,0.37468960881233215,0.3242648243904114,5.114048957824707,69.10284423828125,1.4525407552719116,2.6170883178710938,-0.17199239134788513,2.166045341272841,1.4874467849731445,0.8011360936998053,0.36097876345566604,0.3203419181769881,0.9359997952449673,0.7308843690262333,0.7570136474200424,0.7761411301757033,2.434320335924819,2.2342971426178355,41.038573594635736,0.0,True
20,15.731599999999162,0.0008,0.33769041299819946,0.33769041299819946,0.3743756115436554,0.2648000717163086,0.2915613353252411,5.549581527709961,96.89651489257812,1.0918211936950684,3.281694173812866,0.05659342184662819,1.7840532781795457,1.4874467849731445,0.606547236508976,0.22843333596358092,0.2171113917660439,0.9062170737719191,0.7020326157123302,0.7111863139077254,1.521023130929514,2.828610396694044,3.964450675987101,58.09410160244249,0.0,True
25,19.12876939999842,0.0008,0.24140885472297668,0.24140885472297668,0.5589588284492493,0.17322905361652374,0.27271923422813416,7.891901969909668,164.3637237548828,1.6246737241744995,4.81178092956543,0.430783748626709,1.5999036805770466,1.4874467849731445,0.43714268834102754,0.19688583179598776,0.24018968611177954,0.8991018616348446,0.6973650448654176,0.6905493822543312,1.5393140213960346,2.792892986369291,3.5382186689888204,55.00980686636783,0.0,True
30,22.546434700001555,0.0008,0.1413966715335846,0.1413966715335846,0.6232631206512451,0.07674430310726166,0.25860947370529175,9.065701484680176,169.9780731201172,0.8569244742393494,4.839795112609863,-0.5858604907989502,1.3855779179880139,1.4874467849731445,0.30915662976061004,0.166803668554535,0.20051008436964815,0.8964516862328047,0.6926981837527119,0.6782142644309473,1.4226650169910475,2.800684028326907,3.7127015931746836,67.042529460524,0.0,True
35,25.903671100000793,0.0008,0.09961138665676117,0.09961138665676117,0.8867430686950684,0.039251867681741714,0.241438090801239,12.319169998168945,270.7845153808594,1.0096116065979004,6.5199174880981445,0.5591776371002197,1.2305369777332715,1.4874467849731445,0.2408514775210156,0.13897009988504966,0.13278985722589626,0.8878477907158765,0.6890410612032027,0.6635203934499685,1.5782323175904798,2.9175142757743475,3.8843896640847264,66.78098430237056,0.0,True
40,29.278180000001157,0.0008,0.07309672236442566,0.07309672236442566,0.8819180727005005,0.017504863440990448,0.22236742079257965,13.125648498535156,225.6356201171875,0.17627698183059692,6.473034381866455,-0.05753512680530548,1.1636473123004727,1.4874467849731445,0.21990064482378052,0.13333193164230872,0.11839165606206607,0.8802157348040633,0.6929039077101599,0.663853472836854,1.3277980093454833,3.1722421677085335,4.386851486076986,79.36547367046052,0.0,True
45,32.81604209999932,0.0008,0.06877212971448898,0.06877212971448898,0.9835842847824097,0.018195927143096924,0.20230481028556824,15.492745399475098,208.94699096679688,0.40383434295654297,6.703815460205078,-0.09476176649332047,1.0413273369672562,1.4874467849731445,0.18257568694381834,0.11044420378921097,0.09765072034298174,0.8675978326273337,0.684194546365965,0.6434573985215841,1.0184428151252454,3.228490686101859,4.27579168644702,92.18693318467919,0.0,True
50,36.6077237999998,0.0008,0.06528821587562561,0.06528821587562561,1.136349081993103,0.01735367625951767,0.19173817336559296,18.19961929321289,226.36807250976562,0.5445165038108826,7.810266971588135,0.4794566035270691,1.0081502533024458,1.4874467849731445,0.16077699879300997,0.10714344933085453,0.09658498227716238,0.8582486527326852,0.6794534638807661,0.6340197278856102,1.0071436177665343,3.4219728294260463,4.239095063054618,105.42625971131768,0.0,True
55,40.28404330000194,0.0008,0.061111997812986374,0.061111997812986374,1.3076623678207397,0.015064737759530544,0.18418903648853302,21.914718627929688,211.92640686035156,0.3925384283065796,8.698241233825684,0.4533109664916992,1.113859495828403,1.4874467849731445,0.1749883013358065,0.1609188775843758,0.1530226185859593,0.8527182687975374,0.6776641398130095,0.6279622540978353,0.8534353264516561,3.67326946755001,4.099255469400651,130.68620280612203,0.0,True
60,43.89913410000008,0.0008,0.06562748551368713,0.06562748551368713,1.0907334089279175,0.021302051842212677,0.17730174958705902,18.050424575805664,188.21214294433594,0.7065846920013428,7.501560688018799,-0.3093719482421875,0.9752119105616812,1.4874467849731445,0.14170810022966415,0.09978529650937404,0.10860242795929463,0.8498918856112478,0.6733521656229381,0.6247261520196882,0.8812353504987991,3.4858518113799217,3.8290562291433243,125.29441253575473,0.0,True
