epoch,elapsed_s,lr,loss,qfield_loss,vfield_loss,q32_loss,v32_loss,gradient_norm,score,peak_vram_GiB,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,rotation_X_relative_l2,rotation_Y_relative_l2,rotation_Z_relative_l2,rotation_rate_X_relative_l2,rotation_rate_Y_relative_l2,rotation_rate_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,hard_BC_max_abs,finite
0,0.4305584000030649,0.0,2.5789794921875,1.0400995016098022,1.0227450132369995,1.0523054599761963,1.0122346878051758,0.0,5.850266136927449,1.9105868339538574,1.0755819082260132,0.9906066656112671,0.8592906594276428,1.022369146347046,1.0026987791061401,1.017472267150879,0.926848292350769,1.1199822425842285,1.1162009239196777,1.0038074254989624,1.0148667097091675,1.004469871520996,0.8959311364062328,1.015171341908521,0.0,True
1,0.7639811999979429,0.00016,2.578979730606079,1.0400996208190918,1.0227450132369995,1.0523054599761963,1.0122346878051758,2.9263648986816406,5.796457097466251,2.1706910133361816,1.0387378931045532,0.9770774841308594,0.8622714877128601,1.018770694732666,1.000880479812622,1.0163114070892334,0.9219309091567993,1.1093214750289917,1.1042592525482178,1.0035134553909302,1.013688087463379,1.004249095916748,0.8939440588032966,1.0128897657948417,0.0,True
5,1.1038120000011986,0.0008,2.340653419494629,0.8504142761230469,1.003283977508545,0.9407691359519958,1.0070515871047974,1.8814120292663574,5.20461723212444,2.1706910133361816,0.8151494860649109,0.7601640820503235,0.832809329032898,0.9900004267692566,0.9813252091407776,1.0058497190475464,0.8395657539367676,1.0388178825378418,0.9878493547439575,1.0009498596191406,1.0070445537567139,1.002762794494629,0.8129514565453441,0.9899104019043479,0.0,True
10,1.4571059000008972,0.0007978896645755696,1.9752864837646484,0.5615648031234741,0.9740089178085327,0.7535053491592407,1.0053457021713257,2.772066116333008,4.214082763673171,2.1706910133361816,0.6753462553024292,0.4687507152557373,0.5903722643852234,0.9537459015846252,0.9497475624084473,0.9882816672325134,0.6343261003494263,0.9084618091583252,0.894644021987915,0.999240517616272,1.003424882888794,1.0024096965789795,0.5579631281580143,0.9515256699179474,0.0,True
15,1.8501918999972986,0.0007915834000556312,1.7042772769927979,0.35121950507164,0.9398946762084961,0.6609445214271545,0.9917075634002686,3.1492340564727783,3.4326199911768156,2.1706910133361816,0.5645897388458252,0.3204525411128998,0.35927727818489075,0.9061983227729797,0.9067260026931763,0.9686102867126465,0.46986284852027893,0.6236663460731506,0.865928053855896,0.9988316893577576,1.0058172941207886,1.001530647277832,0.34606352705610455,0.9029391997753878,0.0,True
20,2.2275343000001158,0.0007811551416258089,1.515442132949829,0.22459343075752258,0.9032278656959534,0.5823450088500977,0.9681379199028015,1.8162553310394287,2.843339965296758,2.1706910133361816,0.48846015334129333,0.2314358353614807,0.1851426064968109,0.8698092103004456,0.8549471497535706,0.9358888268470764,0.3459714651107788,0.364728718996048,0.8227293491363525,0.9972765445709229,1.008333683013916,1.0011999607086182,0.18983272882619584,0.8362920956408614,0.0,True
25,2.592173199998797,0.0007667271510815446,1.3877307176589966,0.16958318650722504,0.8766697645187378,0.4341585040092468,0.931752622127533,0.967786967754364,2.656932461790714,2.1706910133361816,0.42164504528045654,0.2056485414505005,0.1706392616033554,0.8594962954521179,0.8309179544448853,0.9004887342453003,0.33373188972473145,0.31055811047554016,0.7160072326660156,0.9934531450271606,1.001609444618225,0.9977788925170898,0.1697514558558487,0.787593331058802,0.0,True
30,2.9680068000016036,0.0007484685834203322,1.287996530532837,0.13517312705516815,0.8505910634994507,0.3267591595649719,0.8821698427200317,0.709091067314148,2.374159163616623,2.1706910133361816,0.3874700963497162,0.1773170828819275,0.08771243691444397,0.8717034459114075,0.8075257539749146,0.8412224054336548,0.29149582982063293,0.26672032475471497,0.6601499319076538,0.9848010540008545,0.9933936595916748,0.9944731593132019,0.10315953700627764,0.7165484156085387,0.0,True
35,3.3531475999989198,0.0007265935036540318,1.2022517919540405,0.11619645357131958,0.8183081746101379,0.2479410171508789,0.8230475187301636,0.5711701512336731,2.20075744113899,2.1706910133361816,0.3313942849636078,0.16709090769290924,0.07669513672590256,0.880791962146759,0.7879531383514404,0.7668430805206299,0.2862594723701477,0.22598589956760406,0.6353625655174255,0.9598192572593689,0.9839125871658325,0.9926539659500122,0.08922437575468116,0.6371172909849491,0.0,True
40,3.735345699999016,0.0007013583770923271,1.1153833866119385,0.10280709713697433,0.7722469568252563,0.20115776360034943,0.7601597309112549,0.49906426668167114,2.0485365065459553,2.1706910133361816,0.2915305197238922,0.15982100367546082,0.07693637907505035,0.8776420950889587,0.7699518799781799,0.6730834245681763,0.28169313073158264,0.19912390410900116,0.6077473163604736,0.9066281914710999,0.9729728102684021,0.988994300365448,0.08541989608611433,0.5489800163355599,0.0,True
45,4.114655299999868,0.000673059062521458,1.0233687162399292,0.09479247778654099,0.7136530876159668,0.171322762966156,0.688369631767273,0.5220096707344055,1.9156253125150173,2.1706910133361816,0.2662009298801422,0.1527821570634842,0.08180831372737885,0.8451232314109802,0.755881667137146,0.5812126398086548,0.27107399702072144,0.18926028907299042,0.590901792049408,0.8296945691108704,0.9638044834136963,0.9845119714736938,0.08597202142511866,0.47550624248100554,0.0,True
50,4.489503299999342,0.0006420273435304578,0.9411507844924927,0.08821576833724976,0.661365807056427,0.15370193123817444,0.6125750541687012,0.4235905408859253,1.783634387571048,2.1706910133361816,0.2508370280265808,0.14551448822021484,0.07581458240747452,0.8049169182777405,0.7453059554100037,0.5014826655387878,0.25980621576309204,0.18893760442733765,0.572409451007843,0.7646876573562622,0.9560717940330505,0.9793766736984253,0.07905866073101035,0.41311371714500306,0.0,True
55,4.890806399998837,0.0006086270386519245,0.8704978823661804,0.08083785325288773,0.6213584542274475,0.14037473499774933,0.532831609249115,0.3539399802684784,1.666345608368547,2.1706910133361816,0.22694818675518036,0.1469935029745102,0.07006432116031647,0.7686498165130615,0.7374753355979919,0.4305368959903717,0.2544310986995697,0.1824342906475067,0.5482497811317444,0.7209157943725586,0.9477481842041016,0.973807156085968,0.07707497467526495,0.35386719750512485,0.0,True
60,5.292758399999002,0.0005732497359223691,0.8174917697906494,0.07478278875350952,0.5935735106468201,0.12902942299842834,0.467512309551239,0.29296714067459106,1.5631365117969227,2.1706910133361816,0.21325795352458954,0.13770784437656403,0.06159491464495659,0.7510352730751038,0.7302229404449463,0.3757926821708679,0.24411462247371674,0.173679381608963,0.5320164561271667,0.6853893399238586,0.9414247870445251,0.9682899713516235,0.06771260582263021,0.30867549116544657,0.0,True
65,5.6983161000025575,0.0005363102018705197,0.7785062789916992,0.06943574547767639,0.5734630823135376,0.11962655186653137,0.42280328273773193,0.23993182182312012,1.4915177081453095,2.1706910133361816,0.20333456993103027,0.12927697598934174,0.056080590933561325,0.7407466173171997,0.7214973568916321,0.3415120244026184,0.2368726283311844,0.1663292795419693,0.5152658224105835,0.6570001840591431,0.9358873963356018,0.9617237448692322,0.06055736634813586,0.2807804112750304,0.0,True
70,6.100559200000134,0.0004982415187589954,0.7490134835243225,0.06490141898393631,0.5586979389190674,0.11149575561285019,0.3901607394218445,0.20554326474666595,1.442648445678212,2.1706910133361816,0.19167500734329224,0.12555280327796936,0.05352337658405304,0.7299860715866089,0.7134938836097717,0.3223321735858917,0.23153339326381683,0.15978385508060455,0.4999142289161682,0.6416879892349243,0.9300053715705872,0.9554299712181091,0.05802834222316171,0.261925703717199,0.0,True
75,6.486084299998765,0.0004594900070907504,0.7267740964889526,0.06139430031180382,0.5476043224334717,0.10438523441553116,0.3667168617248535,0.17107051610946655,1.4081784994318265,2.1706910133361816,0.18351790308952332,0.12318860739469528,0.05164031311869621,0.7194949984550476,0.7068406343460083,0.31031695008277893,0.22705258429050446,0.15701079368591309,0.4863422214984894,0.6327921748161316,0.9255392551422119,0.9492384791374207,0.0566500976603003,0.2497105734533877,0.0,True
80,6.893275800000993,0.00042050999290924973,0.7091259956359863,0.0584414079785347,0.5384729504585266,0.0985492691397667,0.350297212600708,0.15088604390621185,1.3751873991745416,2.1706910133361816,0.1766015887260437,0.11845870316028595,0.049052972346544266,0.7112263441085815,0.7003297805786133,0.3026556968688965,0.2227780520915985,0.1546395868062973,0.4752562344074249,0.6260541677474976,0.9221083521842957,0.9426053166389465,0.05329846961774755,0.2413395090917488,0.0,True
85,7.299657499999739,0.00038175848124100473,0.6942876577377319,0.05583625286817551,0.530386745929718,0.09373656660318375,0.33852192759513855,0.1389956921339035,1.3535582501588492,2.1706910133361816,0.1716797947883606,0.11604208499193192,0.048205096274614334,0.7029187679290771,0.6944465041160583,0.2971261143684387,0.21973399817943573,0.15343758463859558,0.4634331464767456,0.62115877866745,0.9185454845428467,0.9362741112709045,0.052560118534979966,0.2356509247243504,0.0,True
90,7.685198599996511,0.00034368979812948047,0.6814287304878235,0.0536089651286602,0.5227736830711365,0.08978422731161118,0.33040013909339905,0.13160309195518494,1.3357528234607083,2.1706910133361816,0.16758303344249725,0.1140182614326477,0.04765523597598076,0.6954594850540161,0.6886348724365234,0.29294824600219727,0.21676746010780334,0.1521182358264923,0.45321255922317505,0.6167716979980469,0.9149754047393799,0.9297741055488586,0.052133680563024705,0.23168262060037895,0.0,True
95,8.078216299996711,0.00030675026407763086,0.6701062321662903,0.0516652949154377,0.5157132744789124,0.08654733002185822,0.3243633210659027,0.12627200782299042,1.3189039797721294,2.1706910133361816,0.16392837464809418,0.11114382743835449,0.04761309176683426,0.6883803606033325,0.6827611327171326,0.29008421301841736,0.2139703631401062,0.1503250002861023,0.44465479254722595,0.6133971214294434,0.9116489291191101,0.9233590960502625,0.051428648895952965,0.2283543677069044,0.0,True
100,8.468458999996074,0.0002713729613480756,0.6600971221923828,0.05002669617533684,0.5092067122459412,0.08357211202383041,0.31988272070884705,0.12437564879655838,1.303282682152248,2.1706910133361816,0.1604132056236267,0.10871405899524689,0.04726900905370712,0.6817213296890259,0.6772426962852478,0.287874311208725,0.21157164871692657,0.1485893428325653,0.4375683069229126,0.6107990145683289,0.9084067344665527,0.9171791672706604,0.050659887773531594,0.2256147042292727,0.0,True
105,8.876483499996539,0.0002379726564695424,0.6512023210525513,0.04863092303276062,0.503235936164856,0.08093228936195374,0.31640955805778503,0.12170763313770294,1.2893535033923231,2.1706910133361816,0.15725639462471008,0.10632121562957764,0.04717449098825455,0.6756259202957153,0.672224223613739,0.28589051961898804,0.20957829058170319,0.14691795408725739,0.4315132200717926,0.6084238886833191,0.9054533243179321,0.9112983345985413,0.049974407904670344,0.2235133249617785,0.0,True
110,9.279060499997286,0.00020694093747854208,0.643316924571991,0.04741692170500755,0.49778613448143005,0.07871390134096146,0.31374168395996094,0.12005234509706497,1.2770510880801635,2.1706910133361816,0.15448476374149323,0.10432318598031998,0.04709101468324661,0.6700964570045471,0.6675407886505127,0.28421011567115784,0.20791611075401306,0.1456090360879898,0.42601871490478516,0.6063120365142822,0.9028105735778809,0.9058001637458801,0.04944428906691861,0.22156830789015258,0.0,True
115,9.679099900000438,0.00017864162290767292,0.6363645792007446,0.0463688001036644,0.4928932785987854,0.07685008645057678,0.3115599751472473,0.11890662461519241,1.2666395081990667,2.1706910133361816,0.15190750360488892,0.10274098813533783,0.04712656885385513,0.6649758815765381,0.6634233593940735,0.28285059332847595,0.206512913107872,0.14445947110652924,0.42124417424201965,0.604448139667511,0.9003932476043701,0.9008326530456543,0.04915659584210058,0.22016586922668085,0.0,True
