trial_id,variant,model,case_id,axis,relative_l2
R4_LHS_03,control,R4_LHS_03-control,V40_CPLUS_E3_C6_1T,Y,0.0386179291577748
R4_LHS_03,control,R4_LHS_03-control,V40_CPLUS_E3_C6_1T,Z,0.0327722169586307
R4_LHS_03,control,R4_LHS_03-control,V40_CPLUS_E4_C7_1T,X,0.0104230038899562
R4_LHS_03,control,R4_LHS_03-control,V40_CPLUS_E4_C7_1T,Y,0.0261039367551654
R4_LHS_03,control,R4_LHS_03-control,V40_CPLUS_E4_C7_1T,Z,0.0202478440996575
R4_LHS_03,control,R4_LHS_03-control,V40_CPLUS_E5_C9_1T,X,0.0154001078483294
R4_LHS_03,control,R4_LHS_03-control,V40_CPLUS_E5_C9_1T,Y,0.041056901037924
R4_LHS_03,control,R4_LHS_03-control,V40_CPLUS_E5_C9_1T,Z,0.0297422522739133
R4_LHS_03,control,R4_LHS_03-control,V40_CPLUS_E6_C10_1T,X,0.1112460522572715
R4_LHS_03,control,R4_LHS_03-control,V40_CPLUS_E6_C10_1T,Y,0.0334086555454791
R4_LHS_03,control,R4_LHS_03-control,V40_CPLUS_E6_C10_1T,Z,0.0275417476787368
R4_LHS_03,control,R4_LHS_03-control,V40_CPLUS_E7_C11_2T,X,0.0154246932427621
R4_LHS_03,control,R4_LHS_03-control,V40_CPLUS_E7_C11_2T,Y,0.0448708926484935
R4_LHS_03,control,R4_LHS_03-control,V40_CPLUS_E7_C11_2T,Z,0.0756583364235099
R4_LHS_03,control,R4_LHS_03-control,V40_CPLUS_E8_C12_2T,X,0.0848712122357013
R4_LHS_03,control,R4_LHS_03-control,V40_CPLUS_E8_C12_2T,Y,0.0306707220686252
R4_LHS_03,control,R4_LHS_03-control,V40_CPLUS_E8_C12_2T,Z,0.040708093173607
R4_LHS_03,control,R4_LHS_03-control,V40_C_E1_C4_2T,X,0.1480006171788112
R4_LHS_03,control,R4_LHS_03-control,V40_C_E1_C4_2T,Y,0.0408284653674382
R4_LHS_03,control,R4_LHS_03-control,V40_C_E1_C4_2T,Z,0.0500170208299908
R4_LHS_03,control,R4_LHS_03-control,V40_C_E2_C5_2T,X,0.0158679354668207
R4_LHS_03,control,R4_LHS_03-control,V40_C_E2_C5_2T,Y,0.0321852307812248
R4_LHS_03,control,R4_LHS_03-control,V40_C_E2_C5_2T,Z,0.046118494145814
R4_LHS_03,control,R4_LHS_03-control,V40_C_E3_C6_1T,X,0.0460147270460564
