epoch,elapsed_s,lr,loss,field_q_loss,field_v_loss,state_q_loss,state_v_loss,physics_loss,q_task_weight,v_task_weight,effective_physics_weight,data_grad_norm,physics_grad_norm,gradient_cosine,q_task_grad_norm,v_task_grad_norm,q_v_task_gradient_cosine,gradient_norm,peak_vram_GiB,score,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,variational_weak_median,variational_weak_p90,hard_BC_max_abs,q_graph_residual_fraction,v_graph_residual_fraction,finite
0,0.663367000001017,0.0,2.5145554542541504,0.9604617953300476,1.0113012790679932,0.9688670039176941,1.014316439628601,7.184648036956787,0.2444557541009109,1.755544245899089,0.0,48.810726165771484,nan,nan,141.18856811523438,19.66020393371582,2.1215894321358064e-06,0.0,1.53147554397583,5.889448581332367,0.9385973811149597,0.9830530285835266,0.973354697227478,1.0216891765594482,1.0028289556503296,1.0054130554199219,0.9758119196775159,1.0073319218280736,0.9755977076845642,0.9984636788295559,0.0,0.0,0.0,True
1,1.0280521000022418,0.00016,2.5145554542541504,0.9604617953300476,1.0113012790679932,0.9688670039176941,1.014316439628601,7.184648036956787,0.2444557541009109,1.7555442458990893,0.0,48.810726165771484,nan,nan,141.18856811523438,19.66020393371582,2.121589204762131e-06,48.810726165771484,1.759042739868164,6.192009235573726,1.0725855827331543,0.9614752531051636,0.9169445633888245,1.5177409648895264,1.019270896911621,0.9945725202560425,0.9724746691568685,1.0054739523222407,0.9717883010669155,0.9963321183880253,0.0,0.8145627379417419,1.0550153255462646,True
5,1.9497052000006079,0.0008,4.517594814300537,2.6680593490600586,1.7861799001693726,0.9612683057785034,1.0121846199035645,7.447627067565918,0.5052551045437452,1.494744895456255,0.0,1301.1793212890625,nan,nan,785.1231079101562,829.0477905273438,5.347257319954224e-05,1301.1793212890625,1.759042739868164,5.856900761542495,1.0622766017913818,0.9514514207839966,0.6407736539840698,1.3024922609329224,1.035111427307129,1.153218388557434,0.9576428120163085,0.9986904691359919,0.9706390299986138,0.9890307628917753,0.0,0.9111738801002502,1.0388712882995605,True
10,3.039052100000845,0.0007978896645755696,2.6236889362335205,0.9132269024848938,1.1585216522216797,0.9491706490516663,1.0100678205490112,7.398645401000977,0.7615125578348879,1.2384874421651124,0.0,421.8482360839844,nan,nan,187.9341583251953,320.41363525390625,1.4126012501947116e-05,421.8482666015625,1.759042739868164,5.229498694537384,0.8634284734725952,0.9196625351905823,0.49361783266067505,1.054223656654358,0.9928635358810425,0.9597485661506653,0.9516163484914529,0.99551125075809,0.9610430909935961,0.9790266212574322,0.0,0.9363188147544861,0.9761868119239807,True
15,4.108255899998767,0.0007915834000556312,2.5207581520080566,0.8602296710014343,1.1315666437149048,0.9343751668930054,1.0074745416641235,7.453314304351807,0.8498010732410035,1.150198926758997,0.0,386.95208740234375,nan,nan,239.38050842285156,286.1840515136719,-1.5736815839773044e-05,386.9521179199219,1.759042739868164,5.010877766808243,0.8407055735588074,0.864764928817749,0.4272727966308594,1.0349429845809937,0.9856842160224915,0.8709130883216858,0.9386536188008481,0.9874214090747874,0.9355695837524619,0.9878307359104511,0.0,0.9388952255249023,0.9675037264823914,True
20,5.189105199999176,0.0007811551416258089,2.107694625854492,0.6349393725395203,0.9529871940612793,0.9132108688354492,1.0040431022644043,8.096091270446777,0.8812797488417264,1.118720251158274,0.0,152.6708984375,nan,nan,138.63819885253906,81.83184814453125,-6.95664402883267e-06,152.67091369628906,1.759042739868164,4.480998010454029,0.6614226698875427,0.7788572907447815,0.28229764103889465,0.9525368809700012,0.954489529132843,0.8136003613471985,0.9105653007303722,0.9750834446548343,0.9164369296347389,1.0171331153344816,0.0,0.9058979153633118,0.9656670689582825,True
25,6.294651099997282,0.0007667271510815446,1.9136290550231934,0.48574358224868774,0.8986734747886658,0.8761682510375977,0.9975945949554443,11.390461921691895,0.8629072391214045,1.137092760878596,0.0,125.0993881225586,nan,nan,72.71569061279297,95.17713928222656,-1.256191808352014e-06,125.0993881225586,1.759042739868164,3.997203925390751,0.5390475988388062,0.6315433979034424,0.21836206316947937,0.9220286011695862,0.9284018874168396,0.6984050273895264,0.855434211320746,0.9567977923406021,0.8732673784010045,1.050148917818323,0.0,0.8716870546340942,0.9517880082130432,True
30,7.398381999999401,0.0007484685834203322,1.7657060623168945,0.4211657643318176,0.8374274373054504,0.8210509419441223,0.9856862425804138,18.942726135253906,0.8788236644203017,1.121176335579699,0.0,73.5737533569336,nan,nan,62.937564849853516,43.271907806396484,7.584717877762159e-06,73.5737533569336,1.759042739868164,3.6773696952920205,0.5184705853462219,0.4868919253349304,0.19499260187149048,0.9343441724777222,0.8978044986724854,0.6047993302345276,0.7948987171828544,0.9272837297283116,0.7999940738678265,1.0968272024249817,0.0,0.8053985238075256,0.9416199326515198,True
35,8.489895700004126,0.0007265935036540318,1.6531658172607422,0.385587602853775,0.7994745969772339,0.7617412805557251,0.9659184813499451,21.416818618774414,0.9221635382126974,1.0778364617873035,0.0,81.47547149658203,nan,nan,83.2738265991211,25.25792121887207,2.0894482076982968e-05,81.47547149658203,1.759042739868164,3.348275373349549,0.4331662058830261,0.4328950047492981,0.15761896967887878,0.8618829846382141,0.8532198071479797,0.5541962385177612,0.7466284597662625,0.8866344362402118,0.7488873451680388,0.970012663484945,0.0,0.7588367462158203,0.8943718671798706,True
40,9.578607399998873,0.0007013583770923271,1.5884956121444702,0.36050403118133545,0.7850537896156311,0.6895642280578613,0.9371745586395264,31.427797317504883,0.9254745484579294,1.0745254515420715,0.0,110.07475280761719,nan,nan,98.86094665527344,56.95466232299805,7.502109383494826e-06,110.07476043701172,1.759042739868164,3.1128207683651814,0.4030551612377167,0.37909457087516785,0.13910560309886932,0.8502272963523865,0.8153533935546875,0.5328285694122314,0.6750701049779384,0.834581397031673,0.7324407924432025,0.9528565181819029,0.0,0.6718554496765137,0.8516258597373962,True
45,10.677123000001302,0.000673059062521458,1.46558678150177,0.2866305112838745,0.7693696022033691,0.6031113266944885,0.9050983786582947,48.546424865722656,0.9417193781549248,1.058280621845076,0.0,66.48805236816406,nan,nan,39.060035705566406,52.336246490478516,-7.0643700382788666e-06,66.48804473876953,1.759042739868164,2.8821152701541406,0.3700329661369324,0.3284122049808502,0.1184486597776413,0.8323232531547546,0.7930008769035339,0.5235996246337891,0.5906403827454128,0.8002383583345304,0.6586943774761439,1.0006017937036755,0.0,0.6008570194244385,0.8018351197242737,True
50,11.78612509999948,0.0006420273435304578,1.4441312551498413,0.2552464008331299,0.7531710863113403,0.49258318543434143,0.8652293682098389,74.65777587890625,0.8371459913970546,1.162854008602946,0.0,34.066471099853516,nan,nan,27.904726028442383,21.323070526123047,-2.807296368700918e-06,34.066471099853516,1.759042739868164,2.6386376372586127,0.37670233845710754,0.2609332799911499,0.093781478703022,0.8353301286697388,0.7780320048332214,0.5131176114082336,0.4593827053976394,0.7691959245081934,0.6319110465276109,1.0884817469250432,0.0,0.4594062864780426,0.7768187522888184,True
55,12.8538888999974,0.0006086270386519245,1.4216716289520264,0.22913499176502228,0.7458748817443848,0.3892800509929657,0.8087086081504822,113.74432373046875,0.7632475650163673,1.2367524349836332,0.0,41.889957427978516,nan,nan,29.615598678588867,28.516624450683594,-3.7244064969854662e-06,41.889957427978516,1.759042739868164,2.4109049469698602,0.3625745475292206,0.2123013585805893,0.08545419573783875,0.8261507153511047,0.7665668725967407,0.5085644721984863,0.3383232705953682,0.7232210889073549,0.48356403012833676,1.3663612420260385,0.0,0.34777677059173584,0.7210520505905151,True
60,13.925879700000223,0.0005732497359223691,1.3905261754989624,0.22621585428714752,0.7434490323066711,0.31151172518730164,0.7345771193504333,143.25503540039062,0.7442389568524008,1.2557610431475996,0.0,71.95059204101562,nan,nan,75.45602416992188,35.81959533691406,-6.5093317971332e-06,71.95059967041016,1.759042739868164,2.247103554211014,0.36608558893203735,0.18392127752304077,0.08356703817844391,0.8071763515472412,0.7587509751319885,0.5122357606887817,0.24451413805903346,0.6598679356689057,0.4089399115956736,1.7737774775620774,0.0,0.22115561366081238,0.653022825717926,True
65,15.022699900000589,0.0005363102018705197,1.3643181324005127,0.19836139678955078,0.7359911203384399,0.25633910298347473,0.6531676650047302,151.2982635498047,0.6818823337891163,1.3181176662108842,0.0,26.682218551635742,nan,nan,35.7490234375,8.228546142578125,0.00015326282300520688,26.682218551635742,1.759042739868164,2.1088700642417413,0.32635200023651123,0.17281444370746613,0.07458076626062393,0.8578340411186218,0.7521648406982422,0.5014986991882324,0.18407859116940162,0.59059094473038,0.3840339977865561,2.037697367949193,0.0,0.19012732803821564,0.5748088955879211,True
70,16.132003300001088,0.0004982415187589954,1.3540860414505005,0.19779495894908905,0.7354201674461365,0.215087428689003,0.5805560946464539,132.8272705078125,0.6471180502103855,1.3528819497896154,0.0,62.34029769897461,nan,nan,45.21381378173828,40.68899917602539,7.84373241913272e-06,62.340293884277344,1.759042739868164,2.0148419419089136,0.31747108697891235,0.17270277440547943,0.07491905242204666,0.7994346618652344,0.7480892539024353,0.4982612133026123,0.15839626076718763,0.5369204056002934,0.3591999875465983,2.1419947173559124,0.0,0.16553597152233124,0.504503607749939,True
75,17.228403699999035,0.0004594900070907504,1.3208136558532715,0.1958359032869339,0.7244592308998108,0.18684904277324677,0.517169713973999,116.3717269897461,0.632669252845447,1.3673307471545537,0.0,43.66090774536133,nan,nan,57.94887161254883,17.340600967407227,-2.4017821488087066e-05,43.66090774536133,1.759042739868164,1.9373274187120775,0.2966557741165161,0.1636277586221695,0.07253533601760864,0.7877371907234192,0.7462688684463501,0.4951198399066925,0.1459922357163787,0.487906729402347,0.30878811723098615,2.2583245814886705,0.0,0.1469530612230301,0.46421247720718384,True
80,18.3183812999996,0.00042050999290924973,1.252090334892273,0.17945034801959991,0.7192466259002686,0.1630992442369461,0.4570349156856537,99.78156280517578,0.6765592186165681,1.3234407813834324,0.0,26.83180046081543,nan,nan,9.59298038482666,19.671998977661133,4.559617809718475e-05,26.831798553466797,1.759042739868164,1.8876107007754777,0.29085609316825867,0.1610346883535385,0.07107195258140564,0.7757851481437683,0.7448638081550598,0.4927530884742737,0.14071506517986185,0.434463758211724,0.31653585653088256,2.1114932473611514,0.0,0.1424432396888733,0.4047771394252777,True
85,19.453883800000767,0.00038175848124100473,1.147263765335083,0.17508286237716675,0.7112472653388977,0.1414450854063034,0.41185906529426575,87.4505844116211,0.79692919822357,1.2030708017764302,0.0,20.237491607666016,nan,nan,11.293839454650879,15.066498756408691,-1.5999548850231804e-05,20.237491607666016,1.759042739868164,1.8172415464422005,0.2863311469554901,0.1541157066822052,0.0675213560461998,0.75721275806427,0.7413884401321411,0.49170324206352234,0.12116341587339047,0.3859154015098964,0.300776706801707,1.8249836118812865,0.0,0.12099025398492813,0.3580929636955261,True
