trial_id,route,variant,fidelity,fold,run_id,best_epoch,parameters,peak_vram_GiB,disp_X,disp_Y,disp_Z,residual,hp_width,hp_graph_depth,hp_temporal_modes,hp_temporal_kernel,hp_temporal_blocks,hp_head_hidden,hp_learning_rate,hp_weight_decay,hp_velocity_data_weight,hp_state_loss_weight,hp_equilibrium_loss_weight,hp_gradient_clip,hp_scheduler,predictive_error,nondominated
R2_LHS_02,R2,physics,high,3,S9_HIGH_R2_LHS_02_FOLD_3_PHYSICS_SEED_20260812,130,396512,2.2717905044555664,0.10989969345388378,0.09577518363224226,0.060185960550577414,0.1995894991646585,64,1,12,17,2,64,0.0009790366902160642,0.00025564896597731916,0.1,0.01,0.0003,2.0,constant,0.10989969345388378,False
R4_LHS_03,R4,control,high,0,S9_HIGH_R4_LHS_03_FOLD_0_CONTROL_SEED_20260812,135,377760,1.8359403610229492,0.12976589896039092,0.11157543561705667,0.08044065996958304,2.3991154626916114,48,1,12,25,4,64,0.000985849832184497,0.00010793542141659115,0.1,0.05,0.0003,2.0,constant,0.12976589896039092,False
R4_LHS_03,R4,physics,high,0,S9_HIGH_R4_LHS_03_FOLD_0_PHYSICS_SEED_20260812,150,377760,1.838252067565918,0.11477864030431782,0.08547694250220869,0.06585540817234194,5.916414098187603e-08,48,1,12,25,4,64,0.000985849832184497,0.00010793542141659115,0.1,0.05,0.0003,2.0,constant,0.11477864030431782,False
R4_LHS_03,R4,control,high,1,S9_HIGH_R4_LHS_03_FOLD_1_CONTROL_SEED_20260812,125,377760,1.8359403610229492,0.12542910157194834,0.0994678318096963,0.09447481666643093,3.0640198784509023,48,1,12,25,4,64,0.000985849832184497,0.00010793542141659115,0.1,0.05,0.0003,2.0,constant,0.12542910157194834,False
R4_LHS_03,R4,physics,high,1,S9_HIGH_R4_LHS_03_FOLD_1_PHYSICS_SEED_20260812,90,377760,1.838252067565918,0.11923157208640203,0.07198378616205606,0.07814104780642035,5.816503900272924e-08,48,1,12,25,4,64,0.000985849832184497,0.00010793542141659115,0.1,0.05,0.0003,2.0,constant,0.11923157208640203,False
R4_LHS_03,R4,control,high,2,S9_HIGH_R4_LHS_03_FOLD_2_CONTROL_SEED_20260812,75,377760,1.8359403610229492,0.14841796350152028,0.10846053976280062,0.09431696969638885,2.669848615803292,48,1,12,25,4,64,0.000985849832184497,0.00010793542141659115,0.1,0.05,0.0003,2.0,constant,0.14841796350152028,False
R4_LHS_03,R4,physics,high,2,S9_HIGH_R4_LHS_03_FOLD_2_PHYSICS_SEED_20260812,145,377760,1.838252067565918,0.11184934063437305,0.06437575029818733,0.05701735748720928,5.5270400070406067e-08,48,1,12,25,4,64,0.000985849832184497,0.00010793542141659115,0.1,0.05,0.0003,2.0,constant,0.11184934063437305,True
R4_LHS_03,R4,control,high,3,S9_HIGH_R4_LHS_03_FOLD_3_CONTROL_SEED_20260812,85,377760,1.8359403610229492,0.14203775145299852,0.1268643415608797,0.08634432776647427,3.1282182227745294,48,1,12,25,4,64,0.000985849832184497,0.00010793542141659115,0.1,0.05,0.0003,2.0,constant,0.14203775145299852,False
R4_LHS_03,R4,physics,high,3,S9_HIGH_R4_LHS_03_FOLD_3_PHYSICS_SEED_20260812,90,377760,1.838252067565918,0.13307473781202672,0.11757050404148746,0.07284003577808786,5.111992154785612e-08,48,1,12,25,4,64,0.000985849832184497,0.00010793542141659115,0.1,0.05,0.0003,2.0,constant,0.13307473781202672,True
R6_LHS_04,R6,control,high,0,S9_HIGH_R6_LHS_04_FOLD_0_CONTROL_SEED_20260812,150,279753,1.78071928024292,0.11353148813559434,0.08610802037725691,0.07283063151640207,2.6840891040685277,40,3,8,17,3,96,0.0009783235389984137,8.623061767774373e-05,0.5,0.03,0.0001,1.0,constant,0.11353148813559434,False
R6_LHS_04,R6,physics,high,0,S9_HIGH_R6_LHS_04_FOLD_0_PHYSICS_SEED_20260812,135,279753,1.7839446067810059,0.10378723744970948,0.07107472826747936,0.06568797842563155,0.0080380959560169,40,3,8,17,3,96,0.0009783235389984137,8.623061767774373e-05,0.5,0.03,0.0001,1.0,constant,0.10378723744970948,True
R6_LHS_04,R6,control,high,1,S9_HIGH_R6_LHS_04_FOLD_1_CONTROL_SEED_20260812,115,279753,1.78071928024292,0.12716448202935202,0.08161571915953224,0.090290039878528,5.825853811670157,40,3,8,17,3,96,0.0009783235389984137,8.623061767774373e-05,0.5,0.03,0.0001,1.0,constant,0.12716448202935202,False
R6_LHS_04,R6,physics,high,1,S9_HIGH_R6_LHS_04_FOLD_1_PHYSICS_SEED_20260812,135,279753,1.7839446067810059,0.13630784633538454,0.06488890894847071,0.061704283903521284,0.007910431421358744,40,3,8,17,3,96,0.0009783235389984137,8.623061767774373e-05,0.5,0.03,0.0001,1.0,constant,0.13630784633538454,True
R6_LHS_04,R6,control,high,2,S9_HIGH_R6_LHS_04_FOLD_2_CONTROL_SEED_20260812,125,279753,1.78071928024292,0.12377292916675714,0.07505382830161418,0.0795053086771628,5.475513084274553,40,3,8,17,3,96,0.0009783235389984137,8.623061767774373e-05,0.5,0.03,0.0001,1.0,constant,0.12377292916675714,False
R6_LHS_04,R6,physics,high,2,S9_HIGH_R6_LHS_04_FOLD_2_PHYSICS_SEED_20260812,150,279753,1.7839446067810059,0.12500990641866855,0.09434784458155565,0.08669245863421111,0.010567111025862946,40,3,8,17,3,96,0.0009783235389984137,8.623061767774373e-05,0.5,0.03,0.0001,1.0,constant,0.12500990641866855,False
R6_LHS_04,R6,control,high,3,S9_HIGH_R6_LHS_04_FOLD_3_CONTROL_SEED_20260812,120,279753,1.78071928024292,0.11848580132333067,0.10776209331661984,0.08909037018106951,2.775733688852953,40,3,8,17,3,96,0.0009783235389984137,8.623061767774373e-05,0.5,0.03,0.0001,1.0,constant,0.11848580132333067,False
R6_LHS_04,R6,physics,high,3,S9_HIGH_R6_LHS_04_FOLD_3_PHYSICS_SEED_20260812,130,279753,1.7839446067810059,0.10985830673678285,0.07730031104267839,0.054156100781410976,0.010748722815054495,40,3,8,17,3,96,0.0009783235389984137,8.623061767774373e-05,0.5,0.03,0.0001,1.0,constant,0.10985830673678285,False
