configuration,run_id,status,core,representation_repair,optimization_repair,best_epoch,parameter_count,causality_future_perturbation_max_abs,graph_load_branch_sensitivity_relative_l2,all_capacity_diagnostic_gates_pass,physical_q_relative_l2,physical_qdot_relative_l2,displacement_X_relative_l2,velocity_X_relative_l2,rotation_X_relative_l2,rotation_rate_X_relative_l2,displacement_Y_relative_l2,velocity_Y_relative_l2,rotation_Y_relative_l2,rotation_rate_Y_relative_l2,displacement_Z_relative_l2,velocity_Z_relative_l2,rotation_Z_relative_l2,rotation_rate_Z_relative_l2,weak_median,weak_p90,hard_BC_max_abs,finite
base_unconstrained,S6_R4_PORT_HAMILTONIAN_OPINF_CAPACITY_UNCONSTRAINED_OPINF_REP_STATE_STD_V1,REPAIR_REQUIRED_S6_R4_ONE_CASE_CAPACITY,unconstrained_opinf,state_standardization,none,150,209296,3.0547380447387695e-07,0.05702771246433258,False,0.0014727338745163217,0.04747060012202036,0.06377623230218887,0.46973085403442383,0.15927846729755402,0.4781804084777832,0.04592432081699371,0.4562128484249115,0.0880105271935463,0.7668299674987793,0.00767708383500576,0.18932443857192993,0.2762409746646881,0.6295452117919922,nan,nan,0.0,True
base_ph,S6_R4_PORT_HAMILTONIAN_OPINF_CAPACITY_PORT_HAMILTONIAN_REP_STATE_STD_V1,REPAIR_REQUIRED_S6_R4_ONE_CASE_CAPACITY,port_hamiltonian,state_standardization,none,150,209296,8.940696716308594e-08,0.05642704293131828,False,0.002974513124844239,0.052131795862402366,0.05730239301919937,0.44153454899787903,0.15293940901756287,0.4537680745124817,0.04196247085928917,0.40928706526756287,0.07999086380004883,0.7266846895217896,0.007009534630924463,0.17935720086097717,0.25846028327941895,0.5606375336647034,1.0488840743973441e-07,1.9437305163559906e-07,0.0,True
optimized_unconstrained,S6_R4_PORT_HAMILTONIAN_OPINF_CAPACITY_UNCONSTRAINED_OPINF_REP_STATE_STD_OPT_CONSTANT_LR_V1,REPAIR_REQUIRED_S6_R4_ONE_CASE_CAPACITY,unconstrained_opinf,state_standardization,constant_after_warmup,150,209296,4.6566128730773926e-07,0.05455399677157402,False,0.0012920444729037036,0.04570159508392917,0.04555889219045639,0.4020792543888092,0.1393679976463318,0.40378373861312866,0.035545118153095245,0.361715167760849,0.07146146893501282,0.6318231225013733,0.005699086468666792,0.1594189554452896,0.22333310544490814,0.5014230608940125,nan,nan,0.0,True
optimized_ph,S6_R4_PORT_HAMILTONIAN_OPINF_CAPACITY_PORT_HAMILTONIAN_REP_STATE_STD_OPT_CONSTANT_LR_V1,REPAIR_REQUIRED_S6_R4_ONE_CASE_CAPACITY,port_hamiltonian,state_standardization,constant_after_warmup,150,209296,1.043081283569336e-07,0.05478736758232117,False,0.0028786442697299676,0.04772162529353107,0.04298540577292442,0.374971479177475,0.1362825185060501,0.3696728050708771,0.034149304032325745,0.32638999819755554,0.06861351430416107,0.5790433287620544,0.005598454270511866,0.1436540186405182,0.2165088802576065,0.46613016724586487,1.0407160292553184e-07,1.9885797973699614e-07,0.0,True
