comparison,metric,reference,candidate,relative_improvement_positive_is_better
base_physics_vs_base_data,reduced_q_relative_l2,0.3266055941359688,0.3987953217542981,-0.22103028519553186
representation_repair_vs_base_data,reduced_q_relative_l2,0.3266055941359688,0.05460182519743632,0.8328203001486094
optimized_physics_vs_optimized_data,reduced_q_relative_l2,0.048962255832528175,0.05036833370985283,-0.028717587729904497
base_physics_vs_base_data,reduced_qdot_relative_l2,0.42288057600879275,0.41339719150864407,0.02242568005760449
representation_repair_vs_base_data,reduced_qdot_relative_l2,0.42288057600879275,0.2654160587662585,0.3723616694072516
optimized_physics_vs_optimized_data,reduced_qdot_relative_l2,0.28049442018291,0.28295431809470967,-0.008769863978740055
base_physics_vs_base_data,displacement_X_relative_l2,1.4708316509408275,1.4331142574416529,0.025643582985889916
representation_repair_vs_base_data,displacement_X_relative_l2,1.4708316509408275,0.10106065990287028,0.9312901243060508
optimized_physics_vs_optimized_data,displacement_X_relative_l2,0.09817253600020796,0.10097983784742173,-0.028595592633033566
base_physics_vs_base_data,displacement_Y_relative_l2,0.41166785171771014,0.48153113206726517,-0.169707884786354
representation_repair_vs_base_data,displacement_Y_relative_l2,0.41166785171771014,0.07719354884844075,0.8124858462317478
optimized_physics_vs_optimized_data,displacement_Y_relative_l2,0.07885327189096013,0.08192729488715532,-0.038984089340592123
base_physics_vs_base_data,displacement_Z_relative_l2,0.26808969291609513,0.3491340869955243,-0.3023032821511488
representation_repair_vs_base_data,displacement_Z_relative_l2,0.26808969291609513,0.04012569729881706,0.8503273405912873
optimized_physics_vs_optimized_data,displacement_Z_relative_l2,0.034919173407845325,0.03586661201895758,-0.027132332144477137
base_physics_vs_base_data,velocity_X_relative_l2,0.6905257092095817,0.7053125403909463,-0.021413874942166178
representation_repair_vs_base_data,velocity_X_relative_l2,0.6905257092095817,0.35581255686127716,0.4847222165434475
optimized_physics_vs_optimized_data,velocity_X_relative_l2,0.3694789332744951,0.3731948099415452,-0.01005707317090653
base_physics_vs_base_data,velocity_Y_relative_l2,0.5209515994432384,0.6097144049820145,-0.17038589695019718
representation_repair_vs_base_data,velocity_Y_relative_l2,0.5209515994432384,0.3721611640042374,0.28561278168263476
optimized_physics_vs_optimized_data,velocity_Y_relative_l2,0.39521578786267814,0.4035876430361058,-0.02118299782177865
base_physics_vs_base_data,velocity_Z_relative_l2,0.3706579077482077,0.3862813903163637,-0.04215067921542687
representation_repair_vs_base_data,velocity_Z_relative_l2,0.3706579077482077,0.2030623459738638,0.4521569842999102
optimized_physics_vs_optimized_data,velocity_Z_relative_l2,0.21330445353665173,0.21423005383454474,-0.004339338830232019
base_physics_vs_base_data,variational_weak_median,1.0666258979360455,0.7180635502592649,0.32678969107281153
representation_repair_vs_base_data,variational_weak_median,1.0666258979360455,0.11729944740513319,0.8900275648358892
optimized_physics_vs_optimized_data,variational_weak_median,0.10353658297681113,0.08244174032536143,0.20374289014516028
base_physics_vs_base_data,variational_weak_p90,2.4948536931695338,0.9396663298290279,0.6233581422423017
representation_repair_vs_base_data,variational_weak_p90,2.4948536931695338,0.8880112097256048,0.6440628113156207
optimized_physics_vs_optimized_data,variational_weak_p90,0.5523496879103805,0.2963647867072713,0.4634471726987617
base_physics_vs_base_data,hard_BC_max_abs,3.002349563595477e-16,3.031177723201242e-16,-0.009601866469953
representation_repair_vs_base_data,hard_BC_max_abs,3.002349563595477e-16,2.4041057671780925e-16,0.199258541933723
optimized_physics_vs_optimized_data,hard_BC_max_abs,2.3504199269272213e-16,2.415402029840603e-16,-0.027647018376981965
