configuration,run_id,status,ablation,representation_repair,optimization_repair,best_epoch,parameter_count,causality_future_perturbation_max_abs,graph_load_branch_sensitivity_relative_l2,all_capacity_diagnostic_gates_pass,physical_q_relative_l2,physical_qdot_relative_l2,displacement_X_relative_l2,velocity_X_relative_l2,rotation_X_relative_l2,rotation_rate_X_relative_l2,displacement_Y_relative_l2,velocity_Y_relative_l2,rotation_Y_relative_l2,rotation_rate_Y_relative_l2,displacement_Z_relative_l2,velocity_Z_relative_l2,rotation_Z_relative_l2,rotation_rate_Z_relative_l2,weak_median,weak_p90,hard_BC_max_abs,finite
base_data,S6_R3_GRAPH_GALERKIN_CAPACITY_DATA_ONLY_REP_PETROV_PHYSICAL32_V1,REPAIR_REQUIRED_S6_R3_ONE_CASE_CAPACITY,data_only,Petrov-Galerkin Physical32 FEM/COMSOL-compatible test space,none,150,211920,2.60770320892334e-08,0.8074299097061157,False,0.04747550066394423,0.2332012078327668,0.15650969743728638,0.6466546058654785,0.19201448559761047,0.584990382194519,0.09333104640245438,0.6303008198738098,0.14680249989032745,0.8833593130111694,0.03847252577543259,0.2800073027610779,0.3742928206920624,0.8639307618141174,0.1571412884771517,0.6400577634802986,0.0,True
base_physics,S6_R3_GRAPH_GALERKIN_CAPACITY_PHYSICS_INFORMED_REP_PETROV_PHYSICAL32_V1,REPAIR_REQUIRED_S6_R3_ONE_CASE_CAPACITY,physics_informed,Petrov-Galerkin Physical32 FEM/COMSOL-compatible test space,none,150,211920,2.60770320892334e-08,0.7970156073570251,False,0.044142012098344674,0.23576966755225034,0.1612900048494339,0.6552419066429138,0.1932254582643509,0.5924342274665833,0.09213528782129288,0.6409775614738464,0.13828125596046448,0.8918153047561646,0.03658865764737129,0.28226685523986816,0.37629076838493347,0.8758426904678345,0.1015394480432642,0.5422320330944049,0.0,True
optimized_data,S6_R3_GRAPH_GALERKIN_CAPACITY_DATA_ONLY_REP_PETROV_PHYSICAL32_OPT_CONSTANT_LR_V1,REPAIR_REQUIRED_S6_R3_ONE_CASE_CAPACITY,data_only,Petrov-Galerkin Physical32 FEM/COMSOL-compatible test space,constant_after_warmup,150,211920,2.7939677238464355e-08,0.7995650768280029,False,0.03889432037985742,0.20343037081442192,0.12414884567260742,0.4835500717163086,0.16896064579486847,0.47164225578308105,0.0672360435128212,0.4601537585258484,0.10942692309617996,0.7546947598457336,0.03299872949719429,0.23286943137645721,0.2932073473930359,0.6096208095550537,0.10728817221329946,0.5980513391503834,0.0,True
optimized_physics,S6_R3_GRAPH_GALERKIN_CAPACITY_PHYSICS_INFORMED_REP_PETROV_PHYSICAL32_OPT_CONSTANT_LR_V1,REPAIR_REQUIRED_S6_R3_ONE_CASE_CAPACITY,physics_informed,Petrov-Galerkin Physical32 FEM/COMSOL-compatible test space,constant_after_warmup,150,211920,2.60770320892334e-08,0.7855840921401978,False,0.03958917290825174,0.20581269801374433,0.13035212457180023,0.5032132863998413,0.16974091529846191,0.4796423017978668,0.06724045425653458,0.5159043073654175,0.10478918999433517,0.7849298715591431,0.03504370525479317,0.23084475100040436,0.2957463264465332,0.699065625667572,0.07845218219104347,0.2565632980797688,0.0,True
