configuration,run_id,status,basis,basis_rank,optimization_repair,physical32_anchor_frozen,force_projection_relative_l2,best_epoch,parameter_count,residual_gate,causality_future_perturbation_max_abs,graph_load_branch_sensitivity_relative_l2,all_capacity_diagnostic_gates_pass,physical_q_relative_l2,physical_qdot_relative_l2,displacement_X_relative_l2,velocity_X_relative_l2,rotation_X_relative_l2,rotation_rate_X_relative_l2,displacement_Y_relative_l2,velocity_Y_relative_l2,rotation_Y_relative_l2,rotation_rate_Y_relative_l2,displacement_Z_relative_l2,velocity_Z_relative_l2,rotation_Z_relative_l2,rotation_rate_Z_relative_l2,hard_BC_max_abs,finite
rank8_modal,S6_R6_RITZ_KRYLOV_CAPACITY_MODAL_V1,REPAIR_REQUIRED_S6_R6_ONE_CASE_CAPACITY,modal,8,none,False,0.22029975966806223,150,209889,0.12777495384216309,7.450580596923828e-09,0.02900204062461853,False,0.056887550943036234,0.2270074277560357,0.5180785059928894,0.82914799451828,0.40920117497444153,0.9218916296958923,0.16638602316379547,0.7203323841094971,0.6735092401504517,0.9469175338745117,0.057105712592601776,0.4707035720348358,0.7581343650817871,0.9667765498161316,0.0,True
rank8_ritz,S6_R6_RITZ_KRYLOV_CAPACITY_RITZ_V1,REPAIR_REQUIRED_S6_R6_ONE_CASE_CAPACITY,ritz,8,none,False,0.03438532085477097,150,209889,0.1278562843799591,7.450580596923828e-09,0.028873318806290627,False,0.05481894028664592,0.19505063583520185,0.2487555742263794,0.7673066258430481,0.4049575924873352,0.922507643699646,0.1644963026046753,0.7131783962249756,0.6715517044067383,0.9441114068031311,0.06106323003768921,0.4615257978439331,0.7272758483886719,0.9619849920272827,0.0,True
rank16_modal,S6_R6_RITZ_KRYLOV_CAPACITY_MODAL_REP_RANK16_V1,REPAIR_REQUIRED_S6_R6_ONE_CASE_CAPACITY,modal,16,none,False,0.21885464625257994,150,209889,0.12775897979736328,3.725290298461914e-09,0.030512966215610504,False,0.0580230614391423,0.22754582702567672,0.5098849534988403,0.8236306309700012,0.40848714113235474,0.9211963415145874,0.16634351015090942,0.7208642363548279,0.6743410229682922,0.9465197324752808,0.05872487649321556,0.47097525000572205,0.7565849423408508,0.9681837558746338,0.0,True
rank16_ritz,S6_R6_RITZ_KRYLOV_CAPACITY_RITZ_REP_RANK16_V1,REPAIR_REQUIRED_S6_R6_ONE_CASE_CAPACITY,ritz,16,none,False,0.008305463424627258,150,209889,0.12784865498542786,7.450580596923828e-09,0.029347429051995277,False,0.05473751210753325,0.19218955765357082,0.2462449073791504,0.7632572650909424,0.4050855040550232,0.9206350445747375,0.16473856568336487,0.7125310301780701,0.6726296544075012,0.9403358101844788,0.06083052232861519,0.4594724476337433,0.7271484732627869,0.960474967956543,0.0,True
optimized_modal,S6_R6_RITZ_KRYLOV_CAPACITY_MODAL_REP_RANK16_OPT_STAGED_RESIDUAL_V1,REPAIR_REQUIRED_S6_R6_ONE_CASE_CAPACITY,modal,16,staged_residual,True,0.21885464625257994,150,209889,0.5363777279853821,7.450580596923828e-09,0.030914615839719772,False,0.05415722114356624,0.23366297298175726,0.6944234371185303,0.751488983631134,0.2594781517982483,0.7010046243667603,0.15669532120227814,0.6204624176025391,0.25190943479537964,0.8153749108314514,0.0347212478518486,0.36081400513648987,0.7518113851547241,0.8176828026771545,0.0,True
optimized_ritz,S6_R6_RITZ_KRYLOV_CAPACITY_RITZ_REP_RANK16_OPT_STAGED_RESIDUAL_V1,REPAIR_REQUIRED_S6_R6_ONE_CASE_CAPACITY,ritz,16,staged_residual,True,0.008305463424627258,150,209889,0.537492036819458,7.450580596923828e-09,0.030685853213071823,False,0.003841984455124692,0.2202539825998092,0.21374842524528503,0.6387407183647156,0.2580982446670532,0.699985682964325,0.1436338573694229,0.6149355173110962,0.2397938370704651,0.8120682835578918,0.024706479161977768,0.3597770631313324,0.6922066807746887,0.8093925714492798,0.0,True
