configuration,run_id,status,mechanics,hierarchy,optimization_repair,best_epoch,parameter_count,coarse_gate,causality_future_perturbation_max_abs,graph_load_branch_sensitivity_relative_l2,mechanics_branch_sensitivity_relative_l2,all_capacity_diagnostic_gates_pass,physical_q_relative_l2,physical_qdot_relative_l2,displacement_X_relative_l2,velocity_X_relative_l2,rotation_X_relative_l2,rotation_rate_X_relative_l2,displacement_Y_relative_l2,velocity_Y_relative_l2,rotation_Y_relative_l2,rotation_rate_Y_relative_l2,displacement_Z_relative_l2,velocity_Z_relative_l2,rotation_Z_relative_l2,rotation_rate_Z_relative_l2,hard_BC_max_abs,finite
fine_neutralized,S6_R5_ROTATION_MULTISCALE_CAPACITY_NEUTRALIZED_V1,REPAIR_REQUIRED_S6_R5_ONE_CASE_CAPACITY,neutralized,none,none,150,220021,0.0,2.2351741790771484e-08,0.7259065508842468,0.0010570636950433254,False,0.048251889008788705,0.21656826781124364,0.14221550524234772,0.6421723961830139,0.20053420960903168,0.5940322875976562,0.097260482609272,0.6444669961929321,0.1388370543718338,0.8887457847595215,0.046555809676647186,0.2775424122810364,0.4025232195854187,0.8769881129264832,0.0,True
fine_active,S6_R5_ROTATION_MULTISCALE_CAPACITY_ACTIVE_V1,REPAIR_REQUIRED_S6_R5_ONE_CASE_CAPACITY,active,none,none,150,220021,0.0,2.9802322387695312e-08,0.7257928252220154,0.0013619369128718972,False,0.048176364898638205,0.21668754762301637,0.142184317111969,0.6423221826553345,0.20045821368694305,0.5941584706306458,0.09711679816246033,0.64461350440979,0.13879194855690002,0.8888562321662903,0.04651351645588875,0.27763238549232483,0.40229472517967224,0.8770911693572998,0.0,True
hierarchy_neutralized,S6_R5_ROTATION_MULTISCALE_CAPACITY_NEUTRALIZED_REP_QUANTILE_HIERARCHY_V1,REPAIR_REQUIRED_S6_R5_ONE_CASE_CAPACITY,neutralized,quantile,none,150,220021,0.1179175078868866,2.2351741790771484e-08,0.7259739637374878,0.0011736038140952587,False,0.04826139454636476,0.2165134135756636,0.14223156869411469,0.6421701312065125,0.20054911077022552,0.5940290689468384,0.09726371616125107,0.6444377303123474,0.13888241350650787,0.8887405395507812,0.04656760022044182,0.27751675248146057,0.4025269150733948,0.8769752979278564,0.0,True
hierarchy_active,S6_R5_ROTATION_MULTISCALE_CAPACITY_ACTIVE_REP_QUANTILE_HIERARCHY_V1,REPAIR_REQUIRED_S6_R5_ONE_CASE_CAPACITY,active,quantile,none,150,220021,0.11818426102399826,2.60770320892334e-08,0.7258887887001038,0.001737994491122663,False,0.04817755566030945,0.21665147035137935,0.1422002762556076,0.6423302888870239,0.20046205818653107,0.594158411026001,0.09712696075439453,0.6446029543876648,0.13880109786987305,0.8888590335845947,0.04650651291012764,0.2776150107383728,0.4022950828075409,0.8770932555198669,0.0,True
optimized_neutralized,S6_R5_ROTATION_MULTISCALE_CAPACITY_NEUTRALIZED_REP_QUANTILE_HIERARCHY_OPT_LAYERWISE_CONSTANT_LR_V1,REPAIR_REQUIRED_S6_R5_ONE_CASE_CAPACITY,neutralized,quantile,layerwise_constant_lr,150,220021,0.1178756058216095,2.2351741790771484e-08,0.725953996181488,0.001387628959491849,False,0.03969687962831508,0.21881871953793067,0.11658156663179398,0.49759143590927124,0.171781986951828,0.476604163646698,0.07144329696893692,0.4619859755039215,0.1025775745511055,0.7558561563491821,0.03440770506858826,0.24872347712516785,0.2992192804813385,0.6030361652374268,0.0,True
optimized_active,S6_R5_ROTATION_MULTISCALE_CAPACITY_ACTIVE_REP_QUANTILE_HIERARCHY_OPT_LAYERWISE_CONSTANT_LR_V1,REPAIR_REQUIRED_S6_R5_ONE_CASE_CAPACITY,active,quantile,layerwise_constant_lr,150,220021,0.11823222041130066,2.9802322387695312e-08,0.7253727316856384,0.0017828610725700855,False,0.04217996985512273,0.22149780703063188,0.12480635941028595,0.5012621283531189,0.1728745847940445,0.47973331809043884,0.07537762820720673,0.4660707116127014,0.10616098344326019,0.758992612361908,0.035664867609739304,0.2520870864391327,0.3011957108974457,0.6080831289291382,0.0,True
