route,final_capacity_run_id,finite,all_one_case_diagnostic_gates_pass,representation_repair_consumed,optimization_repair_consumed,q_relative_l2,qdot_relative_l2,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,displacement_worst_axis_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,velocity_median_axis_relative_l2,velocity_worst_axis_relative_l2,weak_median,weak_p90,hard_BC_max_abs,causality_future_perturbation_max_abs,automatic_micropanel_promotion,scientific_route_closure,HPO_authorized,nested_OOF_authorized,next_scope
R1_BRIDGE_PINO,S6_R1_BRIDGE_PINO_CAPACITY_PHYSICS_INFORMED_REP_OBSERVATION_WEIGHTED_OPT_GRADIENT_BALANCED_V1,True,False,True,True,0.05036833370985283,0.28295431809470967,0.10097983784742173,0.08192729488715532,0.03586661201895758,0.10097983784742173,0.3731948099415452,0.4035876430361058,0.21423005383454474,0.3731948099415452,0.4035876430361058,0.08244174032536143,0.2963647867072713,2.415402029840603e-16,0.0,False,False,False,False,common diagnostic six-case micropanel only
R2_MO_PIGNO,S6_R2_MO_PIGNO_CAPACITY_PHYSICS_INFORMED_OPT_TASK_GRADNORM_V1,True,False,True,True,0.15739663531214426,0.27387823620122465,0.29245370626449585,0.16285568475723267,0.06197459623217583,0.29245370626449585,0.7118286490440369,0.7177858352661133,0.4870232343673706,0.7118286490440369,0.7177858352661133,0.6570222791685175,0.699712659096579,0.0,2.2351741790771484e-08,False,False,False,False,common diagnostic six-case micropanel only
R3_GRAPH_NEURAL_GALERKIN,S6_R3_GRAPH_GALERKIN_CAPACITY_PHYSICS_INFORMED_REP_PETROV_PHYSICAL32_OPT_CONSTANT_LR_V1,True,False,True,True,0.03958917290825174,0.20581269801374433,0.13035212457180023,0.06724045425653458,0.03504370525479317,0.13035212457180023,0.5032132863998413,0.5159043073654175,0.23084475100040436,0.5032132863998413,0.5159043073654175,0.07845218219104347,0.2565632980797688,0.0,2.60770320892334e-08,False,False,False,False,common diagnostic six-case micropanel only
R4_PORT_HAMILTONIAN_OPINF,S6_R4_PORT_HAMILTONIAN_OPINF_CAPACITY_PORT_HAMILTONIAN_REP_STATE_STD_OPT_CONSTANT_LR_V1,True,False,True,True,0.0028786442697299676,0.04772162529353107,0.04298540577292442,0.034149304032325745,0.005598454270511866,0.04298540577292442,0.374971479177475,0.32638999819755554,0.1436540186405182,0.32638999819755554,0.374971479177475,1.0407160292553184e-07,1.9885797973699614e-07,0.0,1.043081283569336e-07,False,False,False,False,common diagnostic six-case micropanel only
R5_ROTATION_MULTISCALE_GNO,S6_R5_ROTATION_MULTISCALE_CAPACITY_ACTIVE_REP_QUANTILE_HIERARCHY_OPT_LAYERWISE_CONSTANT_LR_V1,True,False,True,True,0.04217996985512273,0.22149780703063188,0.12480635941028595,0.07537762820720673,0.035664867609739304,0.12480635941028595,0.5012621283531189,0.4660707116127014,0.2520870864391327,0.4660707116127014,0.5012621283531189,,,0.0,2.9802322387695312e-08,False,False,False,False,common diagnostic six-case micropanel only
R6_LOAD_DEPENDENT_RITZ_KRYLOV,S6_R6_RITZ_KRYLOV_CAPACITY_RITZ_REP_RANK16_OPT_STAGED_RESIDUAL_V1,True,False,True,True,0.003841984455124692,0.2202539825998092,0.21374842524528503,0.1436338573694229,0.024706479161977768,0.21374842524528503,0.6387407183647156,0.6149355173110962,0.3597770631313324,0.6149355173110962,0.6387407183647156,,,0.0,7.450580596923828e-09,False,False,False,False,common diagnostic six-case micropanel only
