configuration,run_id,status,ablation,spatial_rank,representation_repair,optimization_repair,best_epoch,parameter_count,causality_future_perturbation_max_abs,all_capacity_diagnostic_gates_pass,physical_q_relative_l2,physical_qdot_relative_l2,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,rotation_X_relative_l2,rotation_Y_relative_l2,rotation_Z_relative_l2,rotation_rate_X_relative_l2,rotation_rate_Y_relative_l2,rotation_rate_Z_relative_l2,variational_weak_median,variational_weak_p90,hard_BC_max_abs,q_graph_residual_fraction,v_graph_residual_fraction,finite
base_data,S6_R2_MO_PIGNO_CAPACITY_DATA_ONLY_V1,REPAIR_REQUIRED_S6_R2_ONE_CASE_CAPACITY,data_only,,none,none,150,139232,3.3527612686157227e-08,False,0.08408684930185088,0.24199482387934326,0.25123533606529236,0.13151313364505768,0.04260119050741196,0.6956133246421814,0.7054738998413086,0.4790656864643097,0.3752228617668152,0.4943309426307678,0.6261585354804993,0.9636334776878357,0.9522508382797241,0.981774091720581,0.2710690800568409,0.48080976516823093,0.0,0.09226221591234207,0.28384703397750854,True
base_physics,S6_R2_MO_PIGNO_CAPACITY_PHYSICS_INFORMED_V1,REPAIR_REQUIRED_S6_R2_ONE_CASE_CAPACITY,physics_informed,,none,none,150,139232,2.2351741790771484e-08,False,0.11982815583554667,0.26783422762403203,0.27878785133361816,0.1488579511642456,0.0532059520483017,0.7137787342071533,0.7184202671051025,0.4858970046043396,0.3872434198856354,0.4951944947242737,0.6306478381156921,0.9748212099075317,0.9560872912406921,0.9858263731002808,0.5160854955675527,0.6570942798736413,0.0,0.11847028881311417,0.27001944184303284,True
representation_rank64,S6_R2_MO_PIGNO_CAPACITY_DATA_ONLY_REP_RANK64_V1,REPAIR_REQUIRED_S6_R2_ONE_CASE_CAPACITY,data_only,64,rank64,none,150,170912,2.9802322387695312e-08,False,0.09895838552309458,0.34066753891297036,0.25512900948524475,0.14107827842235565,0.046924661844968796,0.7328125834465027,0.7192738652229309,0.4901495575904846,0.38307711482048035,0.5522463321685791,0.654335081577301,0.9828033447265625,0.961938738822937,0.9851965308189392,0.2936081989341964,0.8383239473133016,0.0,0.10322240740060806,0.3306938707828522,True
optimized_data,S6_R2_MO_PIGNO_CAPACITY_DATA_ONLY_OPT_TASK_GRADNORM_V1,REPAIR_REQUIRED_S6_R2_ONE_CASE_CAPACITY,data_only,24,none,task_gradnorm,150,139232,2.2351741790771484e-08,False,0.0934433731151054,0.25569344085209217,0.2592913806438446,0.1357755959033966,0.04826749116182327,0.6854082942008972,0.7044923305511475,0.47551459074020386,0.3815581202507019,0.5002002716064453,0.6385535001754761,0.9512487053871155,0.9510644674301147,0.9821575880050659,0.27018989213723354,0.757772868189441,0.0,0.09816577285528183,0.307416170835495,True
optimized_physics,S6_R2_MO_PIGNO_CAPACITY_PHYSICS_INFORMED_OPT_TASK_GRADNORM_V1,REPAIR_REQUIRED_S6_R2_ONE_CASE_CAPACITY,physics_informed,24,none,task_gradnorm,150,139232,2.2351741790771484e-08,False,0.15739663531214426,0.27387823620122465,0.29245370626449585,0.16285568475723267,0.06197459623217583,0.7118286490440369,0.7177858352661133,0.4870232343673706,0.4044632017612457,0.509499728679657,0.653142511844635,0.9733423590660095,0.9558596611022949,0.9854869842529297,0.6570222791685175,0.699712659096579,0.0,0.14969755709171295,0.27526795864105225,True
