comparison,metric,reference,candidate,relative_improvement_positive_is_better
base_physics_vs_base_data,physical_q_relative_l2,0.04747550066394423,0.044142012098344674,0.07021492178030275
base_physics_vs_base_data,physical_qdot_relative_l2,0.2332012078327668,0.23576966755225034,-0.011013921168562063
base_physics_vs_base_data,displacement_X_relative_l2,0.15650969743728638,0.1612900048494339,-0.0305432026923635
base_physics_vs_base_data,displacement_Y_relative_l2,0.09333104640245438,0.09213528782129288,0.012812013014460893
base_physics_vs_base_data,displacement_Z_relative_l2,0.03847252577543259,0.03658865764737129,0.048966583037921486
base_physics_vs_base_data,velocity_X_relative_l2,0.6466546058654785,0.6552419066429138,-0.013279578772878472
base_physics_vs_base_data,velocity_Y_relative_l2,0.6303008198738098,0.6409775614738464,-0.0169391205966925
base_physics_vs_base_data,velocity_Z_relative_l2,0.2800073027610779,0.28226685523986816,-0.008069619815302796
base_physics_vs_base_data,rotation_X_relative_l2,0.19201448559761047,0.1932254582643509,-0.006306673493780864
base_physics_vs_base_data,rotation_Y_relative_l2,0.14680249989032745,0.13828125596046448,0.058045632303462054
base_physics_vs_base_data,rotation_Z_relative_l2,0.3742928206920624,0.37629076838493347,-0.0053379268380753745
base_physics_vs_base_data,rotation_rate_X_relative_l2,0.584990382194519,0.5924342274665833,-0.012724731035986514
base_physics_vs_base_data,rotation_rate_Y_relative_l2,0.8833593130111694,0.8918153047561646,-0.009572539305857974
base_physics_vs_base_data,rotation_rate_Z_relative_l2,0.8639307618141174,0.8758426904678345,-0.013788059391129773
base_physics_vs_base_data,weak_median,0.1571412884771517,0.1015394480432642,0.3538334257833961
base_physics_vs_base_data,weak_p90,0.6400577634802986,0.5422320330944049,0.15283890918527207
base_physics_vs_base_data,hard_BC_max_abs,0.0,0.0,0.0
optimized_data_vs_base_data,physical_q_relative_l2,0.04747550066394423,0.03889432037985742,0.18074965327546041
optimized_data_vs_base_data,physical_qdot_relative_l2,0.2332012078327668,0.20343037081442192,0.12766159015648895
optimized_data_vs_base_data,displacement_X_relative_l2,0.15650969743728638,0.12414884567260742,0.20676579339530055
optimized_data_vs_base_data,displacement_Y_relative_l2,0.09333104640245438,0.0672360435128212,0.27959616757224043
optimized_data_vs_base_data,displacement_Z_relative_l2,0.03847252577543259,0.03299872949719429,0.14227805863824258
optimized_data_vs_base_data,velocity_X_relative_l2,0.6466546058654785,0.4835500717163086,0.2522282106548546
optimized_data_vs_base_data,velocity_Y_relative_l2,0.6303008198738098,0.4601537585258484,0.2699458036275852
optimized_data_vs_base_data,velocity_Z_relative_l2,0.2800073027610779,0.23286943137645721,0.16834515000075567
optimized_data_vs_base_data,rotation_X_relative_l2,0.19201448559761047,0.16896064579486847,0.12006302405254002
optimized_data_vs_base_data,rotation_Y_relative_l2,0.14680249989032745,0.10942692309617996,0.2545976861570468
optimized_data_vs_base_data,rotation_Z_relative_l2,0.3742928206920624,0.2932073473930359,0.21663646433052214
optimized_data_vs_base_data,rotation_rate_X_relative_l2,0.584990382194519,0.47164225578308105,0.19376066660485342
optimized_data_vs_base_data,rotation_rate_Y_relative_l2,0.8833593130111694,0.7546947598457336,0.1456537009009933
optimized_data_vs_base_data,rotation_rate_Z_relative_l2,0.8639307618141174,0.6096208095550537,0.29436381189281097
optimized_data_vs_base_data,weak_median,0.1571412884771517,0.10728817221329946,0.3172502704220913
optimized_data_vs_base_data,weak_p90,0.6400577634802986,0.5980513391503834,0.06562911463100811
optimized_data_vs_base_data,hard_BC_max_abs,0.0,0.0,0.0
optimized_physics_vs_optimized_data,physical_q_relative_l2,0.03889432037985742,0.03958917290825174,-0.017865141275335592
optimized_physics_vs_optimized_data,physical_qdot_relative_l2,0.20343037081442192,0.20581269801374433,-0.011710774501294463
optimized_physics_vs_optimized_data,displacement_X_relative_l2,0.12414884567260742,0.13035212457180023,-0.04996646457391525
optimized_physics_vs_optimized_data,displacement_Y_relative_l2,0.0672360435128212,0.06724045425653458,-6.560088135670601e-05
optimized_physics_vs_optimized_data,displacement_Z_relative_l2,0.03299872949719429,0.03504370525479317,-0.061971348253657785
optimized_physics_vs_optimized_data,velocity_X_relative_l2,0.4835500717163086,0.5032132863998413,-0.04066427829023014
optimized_physics_vs_optimized_data,velocity_Y_relative_l2,0.4601537585258484,0.5159043073654175,-0.12115634786548722
optimized_physics_vs_optimized_data,velocity_Z_relative_l2,0.23286943137645721,0.23084475100040436,0.008694487567927085
optimized_physics_vs_optimized_data,rotation_X_relative_l2,0.16896064579486847,0.16974091529846191,-0.00461805469506049
optimized_physics_vs_optimized_data,rotation_Y_relative_l2,0.10942692309617996,0.10478918999433517,0.042382011397400686
optimized_physics_vs_optimized_data,rotation_Z_relative_l2,0.2932073473930359,0.2957463264465332,-0.008659329570257621
optimized_physics_vs_optimized_data,rotation_rate_X_relative_l2,0.47164225578308105,0.4796423017978668,-0.01696210616562136
optimized_physics_vs_optimized_data,rotation_rate_Y_relative_l2,0.7546947598457336,0.7849298715591431,-0.040062702594608916
optimized_physics_vs_optimized_data,rotation_rate_Z_relative_l2,0.6096208095550537,0.699065625667572,-0.14672205198802474
optimized_physics_vs_optimized_data,weak_median,0.10728817221329946,0.07845218219104347,0.26877137924325156
optimized_physics_vs_optimized_data,weak_p90,0.5980513391503834,0.2565632980797688,0.5710012146377713
optimized_physics_vs_optimized_data,hard_BC_max_abs,0.0,0.0,0.0
