epoch,elapsed_s,lr,loss,qfield_loss,vfield_loss,q32_loss,v32_loss,gradient_norm,residual_gate,score,peak_vram_GiB,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,rotation_X_relative_l2,rotation_Y_relative_l2,rotation_Z_relative_l2,rotation_rate_X_relative_l2,rotation_rate_Y_relative_l2,rotation_rate_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,hard_BC_max_abs,finite
0,0.427531799999997,0.0,1.4928785562515259,0.36400291323661804,0.7665768265724182,1.0137838125228882,0.43541160225868225,0.0,0.11920291930437088,2.2035556387331443,1.8442482948303223,0.7284160256385803,0.1664455085992813,0.05415291711688042,0.9168474674224854,0.7406120896339417,0.509645402431488,0.4957612156867981,0.8293483257293701,0.8288983702659607,0.9978365898132324,0.9818642139434814,0.9939005970954895,0.05415722114356624,0.23366297298175726,0.0,True
1,0.8468828999975813,0.00016,1.4928785562515259,0.36400291323661804,0.7665768265724182,1.0137838125228882,0.43541160225868225,0.06235954537987709,0.11920291930437088,2.2033557689732914,2.0451459884643555,0.7282475829124451,0.16644024848937988,0.054149240255355835,0.9168368577957153,0.7406102418899536,0.5096422433853149,0.49573102593421936,0.8292694091796875,0.8288509249687195,0.9978311061859131,0.9818588495254517,0.9938982129096985,0.0541435623552116,0.2336609268508144,0.0,True
5,1.326220499999181,0.0008,1.4912508726119995,0.3626578748226166,0.7664534449577332,1.0132381916046143,0.43532001972198486,0.08602182567119598,0.11938710510730743,2.196126963960757,2.0451459884643555,0.7220096588134766,0.16624261438846588,0.05408623814582825,0.9165244698524475,0.7405678033828735,0.5095680952072144,0.49514850974082947,0.827372670173645,0.8272172212600708,0.997689962387085,0.9817521572113037,0.9938471913337708,0.05364937460982836,0.23361778756377988,0.0,True
10,1.8925910999969346,0.0007978896645755696,1.4728941917419434,0.34688282012939453,0.7654513716697693,1.0076364278793335,0.43460318446159363,0.3626120984554291,0.11973479390144348,2.1378841242869266,2.0451459884643555,0.6682785749435425,0.1650693416595459,0.05502049997448921,0.9143894910812378,0.740338921546936,0.5091243982315063,0.49108266830444336,0.8114525675773621,0.8127744793891907,0.9968035817146301,0.9812891483306885,0.9935726523399353,0.05088780749200774,0.23340298957500227,0.0,True
15,2.48498649999965,0.0007915834000556312,1.4184380769729614,0.30242303013801575,0.762142539024353,0.983272910118103,0.4322171211242676,0.47675129771232605,0.1201295256614685,2.096531294719451,2.0451459884643555,0.5993915796279907,0.17213396728038788,0.06669441610574722,0.9080021977424622,0.7397405505180359,0.5078920722007751,0.4676888883113861,0.7430620789527893,0.7819831967353821,0.9940558075904846,0.9801487326622009,0.9927831888198853,0.0638895821714963,0.2332086786063851,0.0,True
20,2.982092999998713,0.0007811551416258089,1.3869874477386475,0.2871410846710205,0.7529199719429016,0.9601044654846191,0.42760151624679565,0.7571039795875549,0.12057309597730637,2.105016236326145,2.0451459884643555,0.609728991985321,0.184101864695549,0.059562817215919495,0.8902817368507385,0.7382499575614929,0.5025854110717773,0.43838322162628174,0.6989955306053162,0.7795114517211914,0.9840063452720642,0.9776891469955444,0.9908085465431213,0.07003341306436155,0.23206119324597868,0.0,True
25,3.5278359999938402,0.0007667271510815446,1.3568323850631714,0.27569007873535156,0.736825168132782,0.9583359956741333,0.41893240809440613,0.6316273808479309,0.12105178833007812,2.055652218675178,2.0451459884643555,0.5879525542259216,0.18265613913536072,0.0537659227848053,0.867296576499939,0.7359071373939514,0.4947909116744995,0.42526182532310486,0.7051485776901245,0.7669383883476257,0.9676238894462585,0.9753308892250061,0.9875680804252625,0.06605291910069866,0.2324547412883934,0.0,True
30,4.077672999999777,0.0007484685834203322,1.332404613494873,0.2675001323223114,0.7233021855354309,0.9539690017700195,0.4124402105808258,0.5264485478401184,0.12155721336603165,2.0045546775463614,2.0451459884643555,0.5640538334846497,0.1754022091627121,0.05128328874707222,0.8569753170013428,0.733537495136261,0.48530739545822144,0.42048564553260803,0.6919695734977722,0.7643603682518005,0.948778510093689,0.9733114242553711,0.9844801425933838,0.058858755982477445,0.23409297274307492,0.0,True
35,4.63128560000041,0.0007265935036540318,1.3187463283538818,0.26244089007377625,0.7163755893707275,0.949966311454773,0.40975314378738403,0.4887221157550812,0.12207387387752533,1.9730945861412623,2.0451459884643555,0.5581730604171753,0.16414837539196014,0.05055103078484535,0.8530018925666809,0.7323445677757263,0.48124006390571594,0.42321792244911194,0.6794728636741638,0.7691644430160522,0.9402748942375183,0.9723912477493286,0.9829504489898682,0.04928824249289548,0.2352812298606486,0.0,True
40,5.16721829999733,0.0007013583770923271,1.3099802732467651,0.25782856345176697,0.7129742503166199,0.9480267763137817,0.40868332982063293,0.2810344398021698,0.12258529663085938,1.9567720430094864,2.0451459884643555,0.5384678244590759,0.16926990449428558,0.049137916415929794,0.8486265540122986,0.7317251563072205,0.4795685112476349,0.4172077178955078,0.6809375882148743,0.7617854475975037,0.9369128346443176,0.9709461331367493,0.9821523427963257,0.05229475607331434,0.2352830615666079,0.0,True
