route,family,seed,physics_run_id,control_run_id,axis,scope,control,physics,relative_change,noninferior_2pct
R1,BRIDGE_PINO,20260811,S8_FACTORIAL_R1_BRIDGE_PINO_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,Z,P90,0.08078616641255455,0.06229733003659815,-0.2288614152271885,True
R1,BRIDGE_PINO,20260811,S8_FACTORIAL_R1_BRIDGE_PINO_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,Z,worst,0.08472482880003593,0.0821705887435519,-0.03014747970175824,True
R2,MO_PIGNO,20260810,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,X,pooled,0.0946989393960375,0.09829802614455775,0.03800556554776846,False
R2,MO_PIGNO,20260810,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,X,P90,0.12630427956381166,0.1287568805902596,0.019418194180893522,True
R2,MO_PIGNO,20260810,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,X,worst,0.14358767454345775,0.14757266037628716,0.027752979811810574,False
R2,MO_PIGNO,20260810,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Y,pooled,0.07620210071640454,0.06485286538273893,-0.14893599030692317,True
R2,MO_PIGNO,20260810,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Y,P90,0.0926231093728641,0.08087988161737167,-0.12678507377914539,True
R2,MO_PIGNO,20260810,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Y,worst,0.09643003093925923,0.0834913825115967,-0.13417654543544133,True
R2,MO_PIGNO,20260810,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Z,pooled,0.06978399213016354,0.057683403901448355,-0.17340063042172682,True
R2,MO_PIGNO,20260810,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Z,P90,0.10126236387693599,0.08249676754477761,-0.18531659358618358,True
R2,MO_PIGNO,20260810,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Z,worst,0.11591889162751427,0.10086876401727679,-0.12983326012638663,True
R2,MO_PIGNO,20260811,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,X,pooled,0.0858608922033709,0.0892734241412551,0.039744892585104274,False
R2,MO_PIGNO,20260811,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,X,P90,0.11200524706988609,0.11769740196321138,0.05082043066941,False
R2,MO_PIGNO,20260811,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,X,worst,0.13415589904042083,0.14528746028796127,0.0829748175604752,False
R2,MO_PIGNO,20260811,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,Y,pooled,0.0596005483295753,0.07032428682138732,0.17992684282890448,False
R2,MO_PIGNO,20260811,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,Y,P90,0.08009098155829364,0.08306337609386946,0.03711272452582426,False
R2,MO_PIGNO,20260811,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,Y,worst,0.08470547811337477,0.0999561250498513,0.18004321888206776,False
R2,MO_PIGNO,20260811,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,Z,pooled,0.04968459601070399,0.05167294306034758,0.04001938647574432,False
R2,MO_PIGNO,20260811,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,Z,P90,0.06579782824389122,0.09241705583635666,0.4045608844990536,False
R2,MO_PIGNO,20260811,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,Z,worst,0.08628971829104023,0.1237927560520245,0.4346176868313909,False
R3,GRAPH_NEURAL_GALERKIN,20260810,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,X,pooled,0.0895758730944021,0.10175432732257358,0.13595685766117938,False
R3,GRAPH_NEURAL_GALERKIN,20260810,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,X,P90,0.1202865937255412,0.12527758140070266,0.0414924682841169,False
R3,GRAPH_NEURAL_GALERKIN,20260810,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,X,worst,0.14159665602147836,0.14551267799365666,0.02765617552143529,False
R3,GRAPH_NEURAL_GALERKIN,20260810,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Y,pooled,0.06608354558981896,0.07170167746857332,0.08501559395172498,False
