route,family,seed,variant,run_id,status,best_epoch,selection_tier,disp_X_l2,disp_Y_l2,disp_Z_l2,vel_X_l2,vel_Y_l2,vel_Z_l2,q13_l2,qdot13_l2,residual_median,residual_p90,hard_BC_max_abs,causality_max_abs,primary_pass,velocity_pass,parameters
R6,LOAD_DEPENDENT_RITZ_KRYLOV,20260810,modal,S8_FACTORIAL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_RANK_MATCHED_MODAL_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,PASS_S8_FACTORIAL_PRIMARY_WITH_VELOCITY_LIMITATION,150,0.0,0.08645445930723993,0.06484722875004012,0.04949919204185581,0.5649628500092332,0.3861119316195056,0.3027318550334723,0.05065378628078645,0.09056679893262568,0.14261905903077865,0.9088465041273778,0.0,0.0,True,False,266081
R1,BRIDGE_PINO,20260811,control,S8_FACTORIAL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,PASS_S8_FACTORIAL_PRIMARY_WITH_VELOCITY_LIMITATION,150,0.0,0.07720790140486625,0.057885583995016754,0.06361917695683983,0.49564167762400996,0.39758405642131023,0.3221061485741806,2.4689096243742275,2.5020739105430785,4.246783735986314,47.885434761905216,0.0,0.0,True,False,621216
R1,BRIDGE_PINO,20260811,physics,S8_FACTORIAL_R1_BRIDGE_PINO_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,PASS_S8_FACTORIAL_PRIMARY_WITH_VELOCITY_LIMITATION,105,0.0,0.08261997349207761,0.056491958422596245,0.040599698853083704,0.7389301693514891,0.6663761289801169,0.5655289857296372,0.04290303590081207,0.07485106196956991,0.1982264382433685,2.413311808537181,0.0,0.0,True,False,621216
R2,MO_PIGNO,20260811,control,S8_FACTORIAL_R2_MO_PIGNO_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,PASS_S8_FACTORIAL_PRIMARY_WITH_VELOCITY_LIMITATION,110,0.0,0.0858608922033709,0.0596005483295753,0.04968459601070399,0.8404529015889931,0.6663237730949654,0.5693657653850661,1.2210235386830044,2.4480405802983967,1.9029666847210558,65.00898867565678,0.0,0.0,True,False,187552
R2,MO_PIGNO,20260811,physics,S8_FACTORIAL_R2_MO_PIGNO_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,PASS_S8_FACTORIAL_PRIMARY_WITH_VELOCITY_LIMITATION,105,0.0,0.0892734241412551,0.07032428682138732,0.05167294306034758,0.8489419234837301,0.6712498269247638,0.5723543735548173,0.052958346350659456,0.10669291439678998,0.15603039921389525,2.812831130703313,0.0,0.0,True,False,187552
R3,GRAPH_NEURAL_GALERKIN,20260811,control,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,PASS_S8_FACTORIAL_PRIMARY_WITH_VELOCITY_LIMITATION,150,0.0,0.08551815605471327,0.05560518780851415,0.04475723647130988,0.6163081025817077,0.38503198811558625,0.3315118980803512,1.1803788863164855,3.6700276297199284,2.494820313879791,92.54905569979645,0.0,0.0,True,False,244080
R3,GRAPH_NEURAL_GALERKIN,20260811,physics,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,PASS_S8_FACTORIAL_PRIMARY_WITH_VELOCITY_LIMITATION,140,0.0,0.0931144641240117,0.0683847481285509,0.0668410854836171,0.6782942208731116,0.4239087019489972,0.3546700670898474,0.04123624538744847,0.089098724506807,0.135035297445066,3.1773020044585394,0.0,0.0,True,False,244080
R4,PORT_HAMILTONIAN_OPINF,20260811,control,S8_FACTORIAL_R4_PORT_HAMILTONIAN_OPINF_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,PASS_S8_FACTORIAL_PRIMARY_WITH_VELOCITY_LIMITATION,150,0.0,0.08679019822487884,0.058038259488777035,0.04517553563278298,0.6123132704816207,0.3831966809946413,0.3258705266980732,1.960275943095713,1.611272910981663,4.498830920808238,120.64179135870988,0.0,0.0,True,False,283792
R4,PORT_HAMILTONIAN_OPINF,20260811,physics,S8_FACTORIAL_R4_PORT_HAMILTONIAN_OPINF_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,PASS_S8_FACTORIAL_PRIMARY_WITH_VELOCITY_LIMITATION,140,0.0,0.08731805243110856,0.05858834113564388,0.04813492173783491,0.5668877368565507,0.3676768689767869,0.3015752909171938,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,0.0,True,False,283792
R5,ROTATION_MULTISCALE_GNO,20260811,control,S8_FACTORIAL_R5_ROTATION_MULTISCALE_GNO_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,PASS_S8_FACTORIAL_PRIMARY_WITH_VELOCITY_LIMITATION,140,0.0,0.08924215808218258,0.0650318897367382,0.051640715461676014,0.6592299447469782,0.39016925345264575,0.333591778355918,1.2026119020355899,2.494504869584271,1.6627268519002232,337.75553907066075,0.0,0.0,True,False,261045
R5,ROTATION_MULTISCALE_GNO,20260811,physics,S8_FACTORIAL_R5_ROTATION_MULTISCALE_GNO_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,PASS_S8_FACTORIAL_PRIMARY_WITH_VELOCITY_LIMITATION,140,0.0,0.09923924093992784,0.07606204003359596,0.07746409194127604,0.6467115594413076,0.391885912910211,0.3367819067376725,0.05463460835125481,0.08071774649235901,0.16857675677247191,2.9034285212214836,0.0,0.0,True,False,261045
R6,LOAD_DEPENDENT_RITZ_KRYLOV,20260811,control,S8_FACTORIAL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,PASS_S8_FACTORIAL_PRIMARY_WITH_VELOCITY_LIMITATION,150,0.0,0.08580096583110884,0.0627942279613149,0.06955145807145018,0.6300349381716261,0.3755481658298283,0.32429712585731335,1.3330089434800503,2.031196211789426,2.3130289822320638,224.17504588575704,0.0,0.0,True,False,266081
R6,LOAD_DEPENDENT_RITZ_KRYLOV,20260811,physics,S8_FACTORIAL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,PASS_S8_FACTORIAL_PRIMARY_WITH_VELOCITY_LIMITATION,140,0.0,0.08464976352119334,0.059683066665281545,0.04910361636056369,0.5991090854878429,0.3677187043941424,0.30542349683290815,0.00418769050427725,0.0838167323855823,0.009262366837055117,0.15222899269649615,0.0,0.0,True,False,266081
R6,LOAD_DEPENDENT_RITZ_KRYLOV,20260811,modal,S8_FACTORIAL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_RANK_MATCHED_MODAL_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,PASS_S8_FACTORIAL_PRIMARY_WITH_VELOCITY_LIMITATION,140,0.0,0.0825649564219661,0.055900980636110965,0.044169990534894205,0.5917483699427367,0.3837704617879411,0.30374892215351107,0.05065378628078645,0.09056679893262568,0.14261905903077865,0.9088465041273778,0.0,0.0,True,False,266081
