epoch,elapsed_s,lr,loss,field_q_loss,field_v_loss,state_q_loss,state_v_loss,physics_loss,effective_physics_weight,data_grad_norm,physics_grad_norm,gradient_cosine,gradient_norm,peak_vram_GiB,score,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,variational_weak_median,variational_weak_p90,hard_BC_max_abs,q_graph_residual_fraction,v_graph_residual_fraction,finite
0,0.6464581999971415,0.0,2.826791286468506,0.9604617953300476,1.0113012790679932,0.9688670039176941,1.014316439628601,7.184647083282471,0.05,142.5508575439453,60.78419876098633,-0.001591101405210793,0.0,1.5309557914733887,5.889448581010439,0.9385973811149597,0.9830530285835266,0.973354697227478,1.0216891765594482,1.0028289556503296,1.0054130554199219,0.9758119193772312,1.0073319217847854,0.9755977076845642,0.9984636543486829,0.0,0.0,0.0,True
1,0.9458321999991313,0.00016,2.826791286468506,0.9604617953300476,1.0113012790679932,0.9688668847084045,1.014316439628601,7.184648036956787,0.05,142.5508575439453,60.78419876098633,-0.001591101405210793,142.5784149169922,1.7585229873657227,6.194680217247737,1.0673164129257202,0.9668118357658386,0.9192975759506226,1.510121464729309,1.019805908203125,0.9953296780586243,0.9753936667875043,1.0064644006450458,0.9807880334670345,0.9990762603987703,0.0,0.825957715511322,1.0541592836380005,True
5,1.6961948999960441,0.0008,3.603732109069824,1.5460795164108276,1.3212043046951294,0.9634903073310852,1.0132554769515991,4.845239162445068,0.05,747.5145263671875,37.08330154418945,-0.0004766261554323137,747.5159301757812,1.7585229873657227,5.7808158456164245,1.112906575202942,0.9579087495803833,0.6353898048400879,1.211993932723999,1.0043926239013672,0.9848973155021667,0.9723773483188918,1.003182863220706,0.9968985781903775,1.0331608462791146,0.0,0.9368727207183838,1.018932580947876,True
10,2.6042021999965073,0.0007978896645755696,2.7569336891174316,0.9756430983543396,1.1394116878509521,0.9583999514579773,1.0109769105911255,2.9906933307647705,0.05,429.8671569824219,22.382375717163086,-9.020718425745144e-05,429.8685607910156,1.7585229873657227,5.2723957819031595,0.8995426893234253,0.9274371266365051,0.4875856339931488,1.0564336776733398,0.9873188734054565,0.9288527965545654,0.9715914875388441,0.9998723411891102,0.9969949497008589,1.0167717850258735,0.0,0.9640164971351624,0.9770638346672058,True
15,3.487443099998927,0.0007915834000556312,2.316162347793579,0.7312749624252319,1.0066359043121338,0.9537956118583679,1.0073518753051758,1.7592893838882446,0.05,181.0303192138672,12.412315368652344,-0.0005374379688873887,181.0310516357422,1.7585229873657227,4.929042655629138,0.7679519653320312,0.8763354420661926,0.41644561290740967,0.9833704233169556,0.964229941368103,0.875811755657196,0.9610132776830447,0.9911805949386627,0.9679972780422067,1.0102546265002825,0.0,0.961033046245575,0.9684578776359558,True
20,4.351591200000257,0.0007811551416258089,2.0796377658843994,0.5906444787979126,0.9406881928443909,0.9466856718063354,1.0008021593093872,1.228662371635437,0.05,99.01651000976562,8.729398727416992,-0.0009382920688949525,99.01705932617188,1.7585229873657227,4.515235193047811,0.6731764674186707,0.786056399345398,0.2848844528198242,0.9599066376686096,0.9349031448364258,0.8006128668785095,0.9373221834910419,0.9721687305622086,0.9713094785800368,1.0223560252453516,0.0,0.9368487000465393,0.9475629925727844,True
25,5.24198179999803,0.0007667271510815446,1.9280728101730347,0.4859732687473297,0.9102064371109009,0.9341640472412109,0.9902026653289795,1.0160281658172607,0.05,138.9586944580078,9.63782787322998,-0.00157639617100358,138.95877075195312,1.7585229873657227,4.024673695641413,0.5461256504058838,0.6449854969978333,0.21547333896160126,0.916674792766571,0.8950233459472656,0.6869683861732483,0.8976999480081058,0.9421119976488925,0.9426602896924954,1.0613893186374013,0.0,0.9159111380577087,0.9444639086723328,True
30,6.150213399996574,0.0007484685834203322,1.7948955297470093,0.4135569632053375,0.8653978109359741,0.9129409790039062,0.9758093357086182,0.8750658631324768,0.05,193.92681884765625,8.290058135986328,-0.0005687830271199346,193.9270477294922,1.7585229873657227,3.7354994836776507,0.4992064833641052,0.544708251953125,0.19204798340797424,0.9106974005699158,0.8595395684242249,0.6010106205940247,0.8599999816388618,0.907825977039003,0.9246365816361335,1.0472464352928281,0.0,0.874780535697937,0.9122576713562012,True
35,7.042232299994794,0.0007265935036540318,1.6942336559295654,0.3821362555027008,0.8149754405021667,0.8871421813964844,0.957626461982727,0.7185950875282288,0.05,120.73883056640625,4.594143867492676,-0.0006193401059135795,120.73890686035156,1.7585229873657227,3.5374113026864924,0.46212518215179443,0.5037857890129089,0.17168179154396057,0.8630501627922058,0.8349542021751404,0.5653714537620544,0.8317088151359394,0.8728436309543776,0.9265739996816565,1.0428653264122782,0.0,0.8346477150917053,0.8736575841903687,True
40,7.944972099998267,0.0007013583770923271,1.618573546409607,0.35070666670799255,0.7905094027519226,0.8565937280654907,0.9318272471427917,0.6050472259521484,0.05,95.93064880371094,3.9921875,-0.0014808319974690676,95.93054962158203,1.7585229873657227,3.3701635446164913,0.4253983795642853,0.46279510855674744,0.1599448174238205,0.8490156531333923,0.8101213574409485,0.5391135215759277,0.8067976469744751,0.8322046520440571,0.9211876838054164,1.0318486116320376,0.0,0.824957549571991,0.8415452241897583,True
