epoch,elapsed_s,lr,loss,data_loss,physics_loss,displacement_loss,velocity_loss,state_loss,equilibrium_loss,data_gradient_l2,physics_gradient_l2,gradient_cosine,score,peak_vram_GiB,displacement_X_pooled_l2,displacement_Y_pooled_l2,displacement_Z_pooled_l2,velocity_X_pooled_l2,velocity_Y_pooled_l2,velocity_Z_pooled_l2,physical_q13_pooled_l2,physical_qdot13_pooled_l2,equilibrium_residual_median,equilibrium_residual_p90,hard_BC_max_abs,finite
0,2.9486920999988797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.860377444459432,1.7443785667419434,1.0005777236448472,1.0085949804212813,0.9986441925579588,1.002396658642438,1.0023746157129807,1.0022519376885755,1.0080474482434663,1.002525813969794,1.0702107816337803,25.061899195349753,0.0,True
1,6.455804299999727,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8477544669649415,1.7522740364074707,0.998392105362675,1.0016888800645014,0.9948986500038783,1.0019310612756165,1.0016122012159134,1.0017893337185264,1.0144168248137275,1.0032474115191592,1.076737182029909,26.222745192944352,0.0,True
5,13.815997999998217,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1116566286976934,1.7522740364074707,0.9566033614056525,0.723893762942214,0.5727558845358889,0.9997798812097795,0.9681633560889291,0.9765628456451118,1.2227709907798305,1.3348642042360108,2.3776914433033993,60.01114953460257,0.0,True
10,21.94381450000219,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1481496163918155,1.7522740364074707,0.7405794665415273,0.3024686704045704,0.32106599955238274,0.9610712663022373,0.7440292635846935,0.7652377323981919,1.6645091432205465,3.262902522652206,2.2428433521929154,51.86528799683535,0.0,True
15,29.56674159999966,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8873986967524772,1.7522740364074707,0.5929267604461264,0.24468058193128117,0.2818922899402108,0.9676613721691882,0.7870493262049106,0.7608350553541161,1.3901262600280533,3.6656490763282035,3.161702409189187,48.026659814881256,0.0,True
20,37.324978500000725,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6689007771359174,1.7522740364074707,0.39535351218288756,0.2268997226602664,0.2516547869634847,0.9102193606534751,0.7159300666594158,0.6531972922719838,2.2515607543306015,3.595180703625589,4.034655537387353,58.259624580437745,0.0,True
25,45.13129910000134,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4700860620753513,1.7522740364074707,0.298409484323469,0.19308973200935187,0.1829119673181191,0.889297856439119,0.7160557733797922,0.6441830540692404,2.3329070745237344,4.008511518702183,4.103132067333397,106.30782644089692,0.0,True
30,52.905584799998906,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2628614451519837,1.7522740364074707,0.21887244814448506,0.14698752468774728,0.13456279467128637,0.8790294424635087,0.7161670535110064,0.6294604674254702,2.0627443679846866,3.691187684903183,3.400790831984506,154.53785720880862,0.0,True
35,60.56037820000347,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1895231465968097,1.7522740364074707,0.20991696985563843,0.1270947075435832,0.11915807695330392,0.8692295521786864,0.6935376783616363,0.6027832846024659,1.9196576345858682,3.875445036105438,3.3820420127412114,163.7490183070265,0.0,True
40,68.2915514999986,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.180521822304304,1.7522740364074707,0.20618810886042852,0.12944487273798333,0.11406553602580491,0.8717383802505285,0.7025444017626716,0.6150734067636282,1.8348425748588002,3.8807605249617043,3.2191560851374295,186.02239801663183,0.0,True
