epoch,elapsed_s,lr,loss,qfield_loss,vfield_loss,physical_state_loss,residual_force_loss,gradient_norm,residual_head_gradient_norm,score,peak_vram_GiB
0,1.9801860000006855,0.0,0.8026127219200134,0.3238137662410736,0.7401645183563232,0.4348667562007904,0.0,0.0,0.0,1.5569311939179897,1.8391036987304688
1,3.994474499995704,0.00016,0.8026127219200134,0.3238137662410736,0.7401645183563232,0.4348667562007904,0.0,3.9913382530212402,3.9332892894744873,1.5479259938001633,2.040001392364502
5,8.21664349999628,0.0008,0.7380238175392151,0.28609099984169006,0.7299031615257263,0.3479248881340027,1.1096684602307505e-06,1.3630914688110352,1.2298136949539185,1.5038979798555374,2.040001392364502
10,13.106050299989874,0.0007978896645755696,0.6023168563842773,0.1835954487323761,0.7228726744651794,0.2291402816772461,1.8373724742559716e-05,1.2479922771453857,0.9704234600067139,1.4107414744794369,2.040001392364502
15,18.499530699991737,0.0007915834000556312,0.5400713682174683,0.12797893583774567,0.716459333896637,0.21545112133026123,0.00011533115321071818,8.965338706970215,6.965376853942871,1.3967680986970663,2.040001392364502
20,24.6934551000013,0.0007811551416258089,0.537970781326294,0.1333765983581543,0.7064573168754578,0.20546206831932068,0.00017669933731667697,8.259488105773926,6.549459934234619,1.3501159623265266,2.040001392364502
25,31.627113700000336,0.0007667271510815446,0.4780450761318207,0.10004766285419464,0.6912509202957153,0.12948782742023468,8.898876694729552e-05,2.824949264526367,1.87258780002594,1.3172747194766998,2.040001392364502
30,38.08766959999048,0.0007484685834203322,0.45257121324539185,0.09466918557882309,0.6645382046699524,0.10253163427114487,7.679669943172485e-05,1.7656668424606323,1.0510447025299072,1.2761388588696718,2.040001392364502
35,44.0418018999917,0.0007265935036540318,0.4239157438278198,0.08338231593370438,0.6313990354537964,0.0993356704711914,0.00010931595898000523,4.203978538513184,2.6885876655578613,1.2248497158288956,2.040001392364502
40,50.685164099995745,0.0007013583770923271,0.4009285569190979,0.07518000900745392,0.6052933931350708,0.09240751713514328,0.00012328661978244781,4.197148323059082,2.741647720336914,1.1804006733000278,2.040001392364502
45,57.3108954999916,0.000673059062521458,0.3740236759185791,0.06707455217838287,0.5791599750518799,0.06947657465934753,0.00011645633640000597,1.801748275756836,1.131596565246582,1.1403955947607756,2.040001392364502
50,64.11969179999141,0.0006420273435304578,0.35173189640045166,0.06032024323940277,0.554750919342041,0.05614475905895233,0.000122175581054762,0.6194342970848083,0.5005006790161133,1.0978771727532148,2.040001392364502
55,70.10566249999101,0.0006086270386519245,0.33449074625968933,0.0532178096473217,0.5344354510307312,0.05622090399265289,0.0001402206253260374,1.7455811500549316,1.2031241655349731,1.0590763967484236,2.040001392364502
60,75.05870129998948,0.0005732497359223691,0.3179158866405487,0.04604583606123924,0.519168496131897,0.04914306104183197,0.00014915058272890747,1.222717523574829,0.999997079372406,1.024482131935656,2.040001392364502
65,81.21621349999623,0.0005363102018705197,0.30468568205833435,0.03975866734981537,0.5051952004432678,0.04931754618883133,0.0001565258571645245,1.6864267587661743,1.2844505310058594,0.9892495889216661,2.040001392364502
70,88.74240329999884,0.0004982415187589954,0.29196348786354065,0.03476794436573982,0.4917130172252655,0.04535609111189842,0.0001720001018838957,1.8262641429901123,1.3661210536956787,0.9572695437818766,2.040001392364502
75,96.80864199998905,0.0004594900070907504,0.28073015809059143,0.030963491648435593,0.47841209173202515,0.04224236682057381,0.00018391667981632054,1.3390616178512573,1.022775411605835,0.9274822697043419,2.040001392364502
80,103.57950899998832,0.00042050999290924973,0.2709147036075592,0.028167547658085823,0.46482399106025696,0.04134046286344528,0.0001937029155669734,1.6164735555648804,1.23606538772583,0.9020356563851237,2.040001392364502
85,111.18559839999944,0.00038175848124100473,0.26130765676498413,0.026109516620635986,0.45097464323043823,0.03884318843483925,0.00020049599697813392,1.0976333618164062,0.8708799481391907,0.8776539554819465,2.040001392364502
90,118.15682839999499,0.00034368979812948047,0.2523566484451294,0.02453671768307686,0.43654078245162964,0.038198016583919525,0.00020588241750374436,1.3336446285247803,1.0140438079833984,0.8560433089733124,2.040001392364502
95,125.58021889999509,0.00030675026407763086,0.2433711439371109,0.023291433230042458,0.4219386577606201,0.03644145652651787,0.00021310022566467524,0.9625914096832275,0.7895736694335938,0.8353889845311642,2.040001392364502
100,131.68031929999415,0.0002713729613480756,0.2347542643547058,0.02231382578611374,0.407257616519928,0.03524645045399666,0.00022222800180315971,0.9089193344116211,0.7303895950317383,0.8165219044312835,2.040001392364502
105,137.07670389999112,0.0002379726564695424,0.2266024351119995,0.02156054601073265,0.39315858483314514,0.033850234001874924,0.000229997793212533,0.439371258020401,0.3657560348510742,0.799219274893403,2.040001392364502
110,142.8957076999941,0.00020694093747854208,0.2193589061498642,0.02098900079727173,0.3801875114440918,0.03310446813702583,0.0002376813645241782,0.40064674615859985,0.3604033589363098,0.783927476964891,2.040001392364502
115,150.57952109999314,0.00017864162290767292,0.21300183236598969,0.020548544824123383,0.3686463236808777,0.0325203612446785,0.00024484426830895245,0.40381598472595215,0.34093135595321655,0.7708271350711584,2.040001392364502
120,158.6422210999881,0.00015340649634596826,0.2075309157371521,0.020197441801428795,0.3586787283420563,0.03197631239891052,0.0002504283329471946,0.2789320945739746,0.22551563382148743,0.7596968607977033,2.040001392364502
125,166.33910469998955,0.00013153141657966795,0.20292316377162933,0.01991366222500801,0.3502517640590668,0.03153438866138458,0.0002547286276239902,0.2262236326932907,0.18285472691059113,0.7503448063507676,2.040001392364502
130,173.15458869999566,0.00011327284891845553,0.19906769692897797,0.01968150958418846,0.3432008922100067,0.031142856925725937,0.00025844614719972014,0.1647908091545105,0.12516796588897705,0.7424912033602595,2.040001392364502
135,180.22908949998964,9.884485837419116e-05,0.19584712386131287,0.019488269463181496,0.33730587363243103,0.03082352504134178,0.0002613586839288473,0.11195135861635208,0.08978047221899033,0.7358343405649066,2.040001392364502
140,187.15662109998812,8.841659994436882e-05,0.1931077092885971,0.019323591142892838,0.332297682762146,0.03054097853600979,0.00026395797613076866,0.06420013308525085,0.044449351727962494,0.7301134541630745,2.040001392364502
