epoch,elapsed_s,lr,train_data_loss,train_physics_loss,val_X_l2,val_Y_l2,val_Z_l2,val_P90_worst,val_case_worst,val_velocity_median,val_residual_median,selection_key,peak_vram_GiB
0,0.526387000005343,0.0,nan,nan,1.0071141610531533,1.0054781060452216,0.9991941502080129,1.0129337695000369,1.0141134654182462,1.0029930648967469,1.1554505083992175,"[6.0, 1.0071141610531533, 1.0071141610531533, 1.0129337695000369, 1.0141134654182462, 3.011786417306388, 1.0029930648967469, 1.1554505083992175, 301024]",0.5185713768005371
1,1.242567199995392,0.00023693430745692478,9.952780306339264,1.2178088277578354,1.0050391063082385,1.0027014850325868,0.9961386082585525,1.0100278769482152,1.0111870936942315,1.0020958665431547,1.2007503753869995,"[6.0, 1.0050391063082385, 1.0050391063082385, 1.0100278769482152, 1.0111870936942315, 3.003879199599378, 1.0020958665431547, 1.2007503753869995, 301024]",0.5382847785949707
5,2.3423056000028737,0.001184671537284624,6.940063267946243,14.193707704544067,0.914736488772582,0.6327130731256935,0.46660655809245905,0.9198449050310965,0.9216927224098223,0.9528157964108444,9.999017318382693,"[6.0, 0.914736488772582, 0.914736488772582, 0.9198449050310965, 0.9216927224098223, 2.0140561199907343, 0.9528157964108444, 9.999017318382693, 301024]",0.5382847785949707
10,3.3865439999935916,0.001184671537284624,2.2569504380226135,29.245655298233032,0.5638857915940881,0.34009717204818024,0.3350753274751694,0.688015161741234,0.7147448518737153,0.8152658082144519,7.6395313664398135,"[6.0, 0.5638857915940881, 0.5638857915940881, 0.688015161741234, 0.7147448518737153, 1.2390582911174377, 0.8152658082144519, 7.6395313664398135, 301024]",0.5382847785949707
15,4.399271000002045,0.001184671537284624,1.2218829542398453,30.490722179412842,0.29664841288172994,0.21779168899653345,0.23610736774446636,0.3751435619221998,0.3925747011546745,0.8046478983301693,6.9520102307770735,"[6.0, 0.29664841288172994, 0.29664841288172994, 0.3751435619221998, 0.3925747011546745, 0.7505474696227298, 0.8046478983301693, 6.9520102307770735, 301024]",0.5382847785949707
20,5.172287599998526,0.001184671537284624,0.9679345786571503,23.939253568649292,0.279264890563036,0.23303136880588962,0.21388937659707288,0.32404729658249964,0.33334843461248687,0.786814648570266,5.368767427190203,"[6.0, 0.279264890563036, 0.279264890563036, 0.32404729658249964, 0.33334843461248687, 0.7261856359659985, 0.786814648570266, 5.368767427190203, 301024]",0.5382847785949707
25,5.999217899996438,0.001184671537284624,1.870786465704441,20.334631085395813,0.3107476642663453,0.2064810538937551,0.19232404969056963,0.31930994067149726,0.3225185267691184,0.7635140614153122,4.773340428350579,"[6.0, 0.3107476642663453, 0.3107476642663453, 0.31930994067149726, 0.3225185267691184, 0.70955276785067, 0.7635140614153122, 4.773340428350579, 301024]",0.5382847785949707
30,6.726771799993003,0.001184671537284624,0.6848972775042057,17.422054409980774,0.18130605322370152,0.14031865711837851,0.11352448887095265,0.2084888355774903,0.21410180629482556,0.7329342288071508,4.062456762426915,"[4.0, 0.18130605322370152, 0.18130605322370152, 0.2084888355774903, 0.21410180629482556, 0.4351491992130327, 0.7329342288071508, 4.062456762426915, 301024]",0.5382847785949707
35,7.5195242000045255,0.001184671537284624,0.7283161245286465,18.120166778564453,0.1867548836217162,0.18439512338679462,0.1872810799789232,0.2248224843592676,0.23159164182539668,0.7131036533465072,3.9808709087612115,"[5.0, 0.1872810799789232, 0.1872810799789232, 0.2248224843592676, 0.23159164182539668, 0.558431086987434, 0.7131036533465072, 3.9808709087612115, 301024]",0.5382847785949707
40,8.574258499997086,0.001184671537284624,0.8995756059885025,15.203724026679993,0.1899426028756133,0.16669835987914863,0.16524379845843187,0.2438197431108371,0.2592574483991048,0.7126097933009,3.997522359183489,"[5.0, 0.1899426028756133, 0.1899426028756133, 0.2438197431108371, 0.2592574483991048, 0.5218847612131938, 0.7126097933009, 3.997522359183489, 301024]",0.5382847785949707
