epoch,elapsed_s,lr,loss,qfield_loss,vfield_loss,q32_loss,v32_loss,gradient_norm,residual_gate,score,peak_vram_GiB,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,rotation_X_relative_l2,rotation_Y_relative_l2,rotation_Z_relative_l2,rotation_rate_X_relative_l2,rotation_rate_Y_relative_l2,rotation_rate_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,hard_BC_max_abs,finite
0,0.5597354999990785,0.0,1.3635705709457397,0.3673107326030731,0.7684360146522522,0.5018856525421143,0.409409761428833,0.0,0.11920291930437088,2.219929134630114,1.8442482948303223,0.7404069900512695,0.16685165464878082,0.054161183536052704,0.9230465292930603,0.7407020926475525,0.5096490383148193,0.49586623907089233,0.8288676738739014,0.8305689096450806,0.997837245464325,0.9816022515296936,0.9939566254615784,0.05475306341034492,0.23411482571190076,0.0,True
1,1.0054434000048786,0.00016,1.3635705709457397,0.3673107326030731,0.7684360146522522,0.5018856525421143,0.409409761428833,0.06266703456640244,0.11920291930437088,2.2197271925455015,2.0451459884643555,0.7402363419532776,0.16684632003307343,0.05415764078497887,0.923036515712738,0.7407001852989197,0.5096458792686462,0.4958361089229584,0.8287894129753113,0.830520749092102,0.9978319406509399,0.981596827507019,0.9939541220664978,0.05473932959318689,0.23411254008166557,0.0,True
5,1.505051200001617,0.0008,1.3619478940963745,0.3659266233444214,0.7683139443397522,0.501507043838501,0.40932199358940125,0.08810891956090927,0.1193869411945343,2.212258707342494,2.0451459884643555,0.7337841987609863,0.1666378378868103,0.05409650504589081,0.9227334856987,0.7406558394432068,0.5095681548118591,0.4952547252178192,0.8268846869468689,0.8288233876228333,0.9976945519447327,0.9814924001693726,0.9939019083976746,0.054230705438063805,0.2340614404677201,0.0,True
10,2.0425195999996504,0.0007978896645755696,1.343458652496338,0.3494711220264435,0.7673138380050659,0.49802836775779724,0.4086667597293854,0.37463411688804626,0.11973416060209274,2.1518043992812186,2.0451459884643555,0.6779900193214417,0.16538047790527344,0.05510973930358887,0.9205431342124939,0.7404123544692993,0.5091250538825989,0.49129799008369446,0.8110465407371521,0.8136957287788391,0.9968348741531372,0.9810675382614136,0.9936180710792542,0.05137772531942284,0.23381233229859205,0.0,True
15,2.602371300003142,0.0007915834000556312,1.290849208831787,0.3047044575214386,0.7639921307563782,0.4822690486907959,0.40634143352508545,0.46348756551742554,0.1201297715306282,2.113511038074166,2.0451459884643555,0.6104423403739929,0.17241333425045013,0.0679011270403862,0.9139248728752136,0.7398062944412231,0.5080024600028992,0.4690396189689636,0.7429465651512146,0.7828378081321716,0.9942244291305542,0.9800847768783569,0.9928057193756104,0.06504367510448768,0.23368749529036187,0.0,True
20,3.137177700002212,0.0007811551416258089,1.260922908782959,0.28931015729904175,0.7546725273132324,0.4653737545013428,0.4023870825767517,0.7050402164459229,0.12057293206453323,2.110863269708802,2.0451459884643555,0.6137434244155884,0.18226200342178345,0.061035431921482086,0.8960078954696655,0.7382515668869019,0.5026819705963135,0.44148051738739014,0.7022706270217896,0.7796507477760315,0.9846801161766052,0.9779204726219177,0.9908034801483154,0.06931174086305973,0.23207990522089586,0.0,True
25,3.6987884000045597,0.0007667271510815446,1.232273817062378,0.2776237428188324,0.7398858070373535,0.46371161937713623,0.3953455686569214,0.584341287612915,0.12105145305395126,2.06072853000454,2.0451459884643555,0.5931704640388489,0.1812172532081604,0.0530531145632267,0.8740636706352234,0.7361322641372681,0.49536675214767456,0.4279462397098541,0.7074742913246155,0.7679663300514221,0.9695545434951782,0.9757745862007141,0.9877632260322571,0.06428455275809528,0.23244360395225105,0.0,True
30,4.279619599998114,0.0007484685834203322,1.207816243171692,0.26954537630081177,0.7258663773536682,0.45843204855918884,0.39118608832359314,0.5448968410491943,0.12155652791261673,2.017538249271653,2.0451459884643555,0.5735219120979309,0.17563508450984955,0.05055871978402138,0.8651852607727051,0.7338148355484009,0.4851279854774475,0.42122700810432434,0.6900655031204224,0.7661997675895691,0.9493926763534546,0.9732400178909302,0.9846091270446777,0.05859898221220747,0.2343190195367338,0.0,True
35,4.818935100003728,0.0007265935036540318,1.1937605142593384,0.26406025886535645,0.7187833786010742,0.4550095498561859,0.3886581063270569,0.5233393311500549,0.12207282334566116,1.9830153420941545,2.0451459884643555,0.5639662146568298,0.1632484346628189,0.051961611956357956,0.8601253032684326,0.7327522039413452,0.48103415966033936,0.42439720034599304,0.6795839071273804,0.7705600261688232,0.9412474632263184,0.9720331430435181,0.9833372235298157,0.04954994654392548,0.23466660167832756,0.0,True
40,5.356198900000891,0.0007013583770923271,1.1845756769180298,0.2589963674545288,0.7155532240867615,0.4537302255630493,0.38637423515319824,0.27460283041000366,0.12258540838956833,1.9651415375883516,2.0451459884643555,0.5430915355682373,0.16847631335258484,0.05000973865389824,0.8562068343162537,0.7322589159011841,0.4794348478317261,0.41785579919815063,0.6808190941810608,0.7634662389755249,0.937754213809967,0.9709997177124023,0.982645571231842,0.05216724794188664,0.23489280609432547,0.0,True
45,5.9076095999989775,0.000673059062521458,1.1779215335845947,0.2559703290462494,0.712561845779419,0.4528316557407379,0.38472554087638855,0.4789159893989563,0.1230851262807846,1.9566664615422344,2.0451459884643555,0.5333271622657776,0.16859093308448792,0.05228438600897789,0.8525049090385437,0.7315934896469116,0.4783046245574951,0.4151695966720581,0.681181788444519,0.7604527473449707,0.93535315990448,0.9692496061325073,0.9818578958511353,0.05378292459658239,0.2349590879298668,0.0,True
